"Name","TID","InfoTID","SWF","ExportName","ExportNameBase","ClearTimeSeconds","Width","Height","Passable","ClearResource","ClearCost","LootResource","LootCount","ClearEffect","PickUpEffect","RespawnWeight","IsTombstone","TombGroup","LootMultiplierForVersion2","AppearancePeriodHours","MinRespawnTimeHours","SpawnObstacle","SpawnRadius","SpawnIntervalSeconds","SpawnCount","MaxSpawned","MaxLifetimeSpawns","LootDefensePercentage","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","LightsOn","VillageType","Village2RespawnCount","VariationCount","TallGrass","TallGrassSpawnPoint","LootHighlightPercentage","HighlightExportName",,
"Fallen Tree","TID_OBSTACLE_TRUNK","TID_OBSTACLE_TRUNK","sc/buildings.sc","env_fallen_tree","fallen_tree2_base",10,2,2,"false","Elixir",1000,"Diamonds",1,,"Tree Pickup",20,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Small Stone 3","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_small_stone_c","small_stone_c_base",10,2,2,"false","Gold",500,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Small Stone 4","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_small_stone_d","small_stone_c_base",10,2,2,"false","Gold",500,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Square Tree 2","TID_OBSTACLE_TREE","TID_OBSTACLE_TREE","sc/buildings.sc","env_square_tree_b","square_tree_a_base",15,3,3,"false","Elixir",10000,"Diamonds",1,,"Tree Pickup",5,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Stone Pillar 1","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_stonepillar_a","small_stone_a_base",15,2,2,"false","Gold",10000,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Large Stone2","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_large_stone_b","large_stone_b_base",15,3,3,"false","Gold",20000,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,,,,,,,,,,,,,,,,
"Sharp Stone 1","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_sharpstone_1","env_sharpstone_1_base",10,2,2,"false","Gold",10000,,,,"Stone Pickup",0,"false",,1,,,,,,,,,,,,,,,,,,,,,,,,,"¨"
"Sharp Stone 2","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_sharpstone_2","env_sharpstone_2_base",10,2,2,"false","Gold",10000,,,,"Stone Pickup",0,"false",,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Sharp Stone 3","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_sharpstone_3","env_sharpstone_3_base",10,2,2,"false","Gold",10000,,,,"Stone Pickup",0,"false",,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Sharp Stone 4","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_sharpstone_4","env_sharpstone_4_base",10,3,3,"false","Gold",10000,,,,"Stone Pickup",0,"false",,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Sharp Stone 5","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_sharpstone_5","env_sharpstone_5_base",10,3,3,"false","Gold",10000,,,,"Stone Pickup",0,"false",,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Xmas tree","TID_OBSTACLE_XMASTREE","TID_OBSTACLE_XMASTREE","sc/buildings.sc","env_xmastree_1","pine_tree2_base",30,2,2,"false","Gold",25000,"Gold",50000,,"Xmas Tree Pickup",0,"false",,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Hero TombStone","TID_OBSTACLE_TOMBSTONE","TID_OBSTACLE_TOMBSTONE","sc/buildings.sc","tombstone_hero",,0,1,1,"true","Gold",0,"DarkElixir",5,"Clear Tombstone","Stone Pickup",0,"true",0,1,,,,,,,,,,,,,,,,,,,,,,,,,
"DarkTombStone","TID_OBSTACLE_TOMBSTONE","TID_OBSTACLE_TOMBSTONE","sc/buildings.sc","tombstone_dark",,0,1,1,"true","Gold",0,"DarkElixir",1,"Clear Tombstone","Stone Pickup",0,"true",0,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Passable Stone 1","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_small_stone_c",,10,2,2,"true","Gold",0,,,,"Stone Pickup",0,"false",,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Passable Stone 2","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_small_stone_d",,10,2,2,"true","Gold",0,,,,"Stone Pickup",0,"false",,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Campfire","TID_CAMP_FIRE_DECO","TID_CAMP_FIRE_DECO","sc/buildings.sc","fireplace_lvl7_deco",,10,3,3,"false","Gold",0,,,,"Stone Pickup",0,"false",,1,,,,,,,,,,,,,,,,"true",,,,,,,,,
"Campfire2","TID_CAMP_FIRE_DECO","TID_CAMP_FIRE_DECO","sc/buildings.sc","fireplace_lvl1_deco","npc_small_stone_a_base",10,2,2,"false","Gold",0,,,,"Stone Pickup",0,"false",,1,,,,,,,,,,,,,,,,"true",,,,,,,,,
"Xmas tree2013","TID_OBSTACLE_XMASTREE","TID_OBSTACLE_XMASTREE","sc/buildings.sc","env_xmastree_2","pine_tree2_base",30,2,2,"false","Gold",25000,"Gold",75000,,"Xmas Tree Pickup",0,"false",,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Xmas TombStone","TID_OBSTACLE_XMASPRESENT","TID_OBSTACLE_XMASPRESENT","sc/buildings.sc","tombstone_xmas",,0,1,1,"true","Gold",0,"Elixir",5000,"Clear Tombstone","Stone Pickup",0,"true",1,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Bonus Gembox","TID_BONUS_GEMBOX","TID_BONUS_GEMBOX","sc/buildings.sc","bonus_gembox","bonus_gembox_base",30,2,2,"false","Elixir",1000,"Diamonds",25,"Clear Bonus Gems","Chest Pickup",0,"false",,1,168,24,,,,,,,,,,,,,,,,,,,,,,,
"Halloween2014","TID_OBSTACLE_HALLOWEEN2014","TID_OBSTACLE_HALLOWEEN2014","sc/buildings.sc","env_tombArm_Hween","bonus_gembox_base",30,2,2,"false","Elixir",25000,"Elixir",75000,,"Headstone Pickup",0,"false",,1,96,0,,,,,,,,,,,,,,,,,,,,,,,
"Xmas tree2014","TID_OBSTACLE_XMASTREE","TID_OBSTACLE_XMASTREE","sc/buildings.sc","env_xmastree_3","pine_tree2_base",30,2,2,"false","Gold",25000,"Gold",75000,,"Xmas Tree Pickup",0,"false",,1,120,0,,,,,,,,,,,,,,,,,,,,,,,
"Xmas TombStone2014","TID_OBSTACLE_XMASPRESENT","TID_OBSTACLE_XMASPRESENT","sc/buildings.sc","tombstone_xmas",,0,1,1,"true","Gold",0,"Elixir",5000,"Present Open","Chest Pickup",0,"true",2,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Npc Plant 1","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_npc_plant1",,10,3,3,"true","Gold",0,,,,"Stone Pickup",0,"false",,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Npc Plant 2","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_npc_plant2",,10,3,3,"true","Gold",0,,,,"Stone Pickup",0,"false",,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Halloween2015","TID_OBSTACLE_HALLOWEEN2015","TID_OBSTACLE_HALLOWEEN2015","sc/env.sc","env_cauldron","env_sharpstone_2_base",30,2,2,"false","Elixir",25000,"Elixir",75000,,"Cauldron Pickup",0,"false",,1,96,0,,,,,,,,,,,,,,,,,,,,,,,
"Xmas tree2015","TID_OBSTACLE_XMASTREE","TID_OBSTACLE_XMASTREE","sc/buildings.sc","env_xmastree_4","pine_tree2_base",30,2,2,"false","Gold",25000,"Gold",75000,,"Xmas Tree Pickup",0,"false",,1,120,0,,,,,,,,,,,,,,,,,,,,,,,
"LootCart","TID_LOOT_CART","TID_LOOT_CART_INFO","sc/buildings.sc","mega_tombstone",,0,2,2,"true","Gold",0,"Elixir",0,,"Gold Storage Pickup",0,"false",,1,,,,,,,,,20,,,,,,,,,,,,,33,"mega_tombstone2",,
"Halloween2016","TID_OBSTACLE_HALLOWEEN2016","TID_OBSTACLE_HALLOWEEN2016","sc/buildings.sc","env_halloween2016_maw","env_sharpstone_2_base",30,2,2,"false","Elixir",25000,"Elixir",75000,,"Pumpkin Pickup",0,"false",,1,96,0,,,,,,,,,,,,,,,,,,,,,,,
"Xmas tree2016","TID_OBSTACLE_XMASTREE","TID_OBSTACLE_XMASTREE","sc/buildings.sc","env_xmastree_5","pine_tree2_base",30,2,2,"false","Gold",25000,"Gold",75000,,"Xmas Tree Pickup",0,"false",,1,120,0,,,,,,,,,,,,,,,,,,,,,,,
"Pine Tree_village2","TID_OBSTACLE_TREE","TID_OBSTACLE_TREE","sc/buildings.sc","env_pinetree_1","pine_tree2_base",10,2,2,"false","Elixir2",2000,"Diamonds",1,,"Tree Pickup",30,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,3,,,,,,,
"Large Stone_village2","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_large_stone","large_stone2_base",15,3,3,"false","Gold2",20000,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,1,,,,,,,
"Small Stone 1_village2","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_small_stone_a","small_stone_a_base",10,2,2,"false","Gold2",500,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,1,,,,,,,
"Small Stone 2_village2","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_small_stone_b","small_stone_a_base",10,2,2,"false","Gold2",500,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,1,,,,,,,
"Square Bush_village2","TID_OBSTACLE_BUSH","TID_OBSTACLE_BUSH","sc/buildings.sc","env_square_bush_a","square_bush_a_base",10,2,2,"false","Elixir2",250,"Diamonds",1,,"Bush Pickup",5,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,,,,,,,,
"Square Tree_village2","TID_OBSTACLE_TREE","TID_OBSTACLE_TREE","sc/buildings.sc","env_square_tree_a","square_tree_a_base",15,3,3,"false","Elixir2",7500,"Diamonds",1,,"Tree Pickup",0,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,,,,,,,,
"Mushrooms_village2","TID_OBSTACLE_MUSHROOM","TID_OBSTACLE_MUSHROOM","sc/buildings.sc","env_mushrooms","mushrooms_base",10,2,2,"false","Elixir2",100,"Diamonds",1,,"Flower Pickup",10,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,,,,,,,,
"TombStone_village2","TID_OBSTACLE_TOMBSTONE","TID_OBSTACLE_TOMBSTONE","sc/buildings.sc","tombstone",,0,1,1,"true","Gold2",0,"Elixir2",20,"Clear Tombstone","Stone Pickup",0,"true",3,2,,,,,,,,,,230,230,255,0,0,10,,1,,,,,,,,
"Fallen Tree_village2","TID_OBSTACLE_TRUNK","TID_OBSTACLE_TRUNK","sc/buildings.sc","env_fallen_tree","fallen_tree2_base",10,2,2,"false","Elixir2",1000,"Diamonds",1,,"Tree Pickup",20,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,1,,,,,,,
"Small Stone 3_village2","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_small_stone_c","small_stone_c_base",10,2,2,"false","Gold2",500,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,1,,,,,,,
"Small Stone 4_village2","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_small_stone_d","small_stone_c_base",10,2,2,"false","Gold2",500,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,2,,,,,,,
"Square Tree 2_village2","TID_OBSTACLE_TREE","TID_OBSTACLE_TREE","sc/buildings.sc","env_square_tree_b","square_tree_a_base",15,3,3,"false","Elixir2",10000,"Diamonds",1,,"Tree Pickup",0,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,,,,,,,,
"Stone Pillar 1_village2","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_stonepillar_a","small_stone_a_base",15,2,2,"false","Gold2",10000,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,1,,,,,,,
"Large Stone_village22","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings.sc","env_large_stone_b","large_stone_b_base",15,3,3,"false","Gold2",20000,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,230,230,255,0,0,10,,1,1,,,,,,,
"Old Barbarian Statue","TID_OBSTACLE_OLD_BARBARIAN_STATUE","TID_OBSTACLE_OLD_BARBARIAN_STATUE","sc/buildings2.sc","env_barbarian_stone_3x3","large_stone_b_base",60,3,3,"false","Gold2",200000,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,,,,,,,,1,1,,,"true",,,,
"Tree Stump","TID_OBSTACLE_TREE_STUMP","TID_OBSTACLE_TREE_STUMP","sc/buildings2.sc","env_tree_stump_1x1","small_stone_c_base",10,2,2,"false","Elixir2",500,"Diamonds",1,,"Tree Pickup",20,"false",,2,,,,,,,,,,,,,,,,,1,1,,,,,,,
"Large_Pine_tree","TID_OBSTACLE_LARGE_PINE_TREE","TID_OBSTACLE_LARGE_PINE_TREE","sc/buildings2.sc","env_pine_patch_4x4","large_stone_b_base",60,3,3,"false","Elixir2",20000,"Diamonds",1,,"Tree Pickup",20,"false",,2,,,,,,,,,,,,,,,,,1,2,,,,,,,
"Small_Pine Tree","TID_OBSTACLE_SMALL_TREE","TID_OBSTACLE_SMALL_TREE","sc/buildings2.sc","env_small_pine_tree_1x1","pine_tree2_base",10,2,2,"false","Elixir2",2000,"Diamonds",1,,"Tree Pickup",20,"false",,2,,,,,,,,,,,,,,,,,1,7,,,,,,,
"Big_Pine Tree","TID_OBSTACLE_BIG_TREE","TID_OBSTACLE_BIG_TREE","sc/buildings2.sc","env_big_pine_tree_1x1","pine_tree2_base",10,2,2,"false","Elixir2",10000,"Diamonds",1,,"Tree Pickup",10,"false",,2,,,,,,,,,,,,,,,,,1,3,,,,,,,
"Small Stone 1 new","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings2.sc","env2_small_rock_1x1","small_stone_c_base",10,2,2,"false","Gold2",500,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,,,,,,,,1,1,,,,,,,
"Small Stone 2 new","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings2.sc","env2_small_rocks_1x1","small_stone_c_base",10,2,2,"false","Gold2",500,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,,,,,,,,1,1,,,,,,,
"Small Pillar 1 new","TID_OBSTACLE_STONE","TID_OBSTACLE_STONE","sc/buildings2.sc","env2_rock_pillar_1x1","small_stone_c_base",10,2,2,"false","Gold2",500,"Diamonds",1,,"Stone Pickup",0,"false",,2,,,,,,,,,,,,,,,,,1,1,,,,,,,
"Tall grass 1","TID_GRASS","TID_GRASS","sc/buildings2.sc","TallGrass_01_1",,0,1,1,"true","Elixir2",50,"Elixir2",0,,"Stone Pickup",3,"false",,2,,,,,,,,,,,,,,,,,1,,3,"true","true",,,,
"Tall grass 2","TID_GRASS","TID_GRASS","sc/buildings2.sc","TallGrass_02_1",,0,1,1,"true","Elixir2",50,"Elixir2",0,,"Stone Pickup",3,"false",,2,,,,,,,,,,,,,,,,,1,,3,"true","true",,,,
"Birthday2017","TID_OBSTACLE_BIRTHDAY2017","TID_OBSTACLE_BIRTHDAY2017","sc/buildings.sc","deco_birthday_cake",,30,2,2,"false","Elixir",25000,"Elixir",75000,,"Cake Pickup",0,"false",,1,96,0,,,,,,,,,,,,,,,,,,,,,,,
"Birthday TombStone","TID_OBSTACLE_XMASPRESENT","TID_OBSTACLE_XMASPRESENT","sc/buildings.sc","tombstone_birthday",,0,1,1,"true","Gold",0,"Elixir",5000,"Clear Tombstone","Stone Pickup",0,"true",1,1,,,,,,,,,,,,,,,,,,,,,,,,,
