"Name","TID","InfoTID","DisableProduction","SpellForgeLevel","LaboratoryLevel","TrainingResource","TrainingCost","DonateCost","HousingSpace","TrainingTime","DeployTimeMS","ChargingTimeMS","HitTimeMS","UpgradeTimeH","UpgradeResource","UpgradeCost","BoostTimeMS","SpeedBoost","SpeedBoost2","JumpHousingLimit","JumpBoostMS","DamageBoostPercent","BuildingDamageBoostPercent","Damage","TroopDamagePermil","BuildingDamagePermil","ExecuteHealthPermil","DamagePermilMin","PreferredDamagePermilMin","Radius","NumberOfHits","RandomRadius","TimeBetweenHitsMS","IconSWF","IconExportName","BigPicture","PreDeployEffect","DeployEffect","DeployEffect2Delay","DeployEffect2","ChargingEffect","HitEffect","RandomRadiusAffectsOnlyGfx","FreezeTimeMS","SpawnObstacle","NumObstacles","StrengthWeight","UnitOfType","TroopsOnly","TargetInfoString","PreferredTarget","PreferredTargetDamageMod","BoostDefenders","HeroDamageMultiplier","ShieldProjectileSpeed","ShieldProjectileDamageMod","ExtraHealthPermil","ExtraHealthMin","ExtraHealthMax","PoisonDPS","PoisonIncreaseSlowly","AttackSpeedBoost","BoostLinkedToPoison","PoisonAffectAir","ScaleDeployEffects","InvulnerabilityTime","MaxUnitsHit","EnemyDeployEffect","SnapToGrid","DuplicateHousing","DuplicateLifetime","SummonTroop","UnitsToSpawn","ShrinkReduceSpeedRatio","ShrinkHitpointsRatio","SpawnDuration","SpawnFirstGroupSize","DamageTHPercent","ScaleByTH","EnabledByCalendar","VillageType","PauseCombatComponentsMs"
"Haste","TID_HASTE","TID_HASTE_INFO",,3,3,"Elixir",23000,20,2,360,800,300,400,48,"Elixir",450000,1000,20,10,,,130,,0,,,,,,500,60,400,300,"sc/ui.sc","icon_spell_rage","icon_spell_rage","Rage predeploy","Rage deploy",,"Rage deploy top",,,"TRUE",,,,100,1,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,,25000,,,,,,,72,,900000,1000,22,11,,,140,,0,,,,,,500,60,400,300,,"icon_spell_rage2",,,,,,,,,,,,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,,27000,,,,,,,120,,1800000,1000,24,12,,,150,,0,,,,,,500,60,400,300,,"icon_spell_rage3",,,,,,,,,,,,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,,30000,,,,,,,168,,3000000,1000,26,13,,,160,,0,,,,,,500,60,400,300,,"icon_spell_rage4",,,,,,,,,,,,85,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,,33000,,,,,,,,,,1000,28,14,,,170,,0,,,,,,500,60,400,300,,"icon_spell_rage5",,,,,,,,,,,,80,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jump","TID_JUMP_SPELL","TID_JUMP_SPELL_INFO",,4,4,"Elixir",23000,20,2,360,800,300,400,120,"Elixir",3000000,0,0,0,100,400,,,0,,,,,,350,66,400,300,"sc/ui.sc","icon_spell_jump","icon_spell_jump","Jump predeploy","Jump deploy lvl1",,"Jump deploy top lvl1",,,"TRUE",,,,250,1,,"TID_INFO_TARGET_TYPE_GROUND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,,27000,,,,,,,168,,6000000,0,0,0,100,400,,,0,,,,,,350,133,400,300,,"icon_spell_jump2","icon_spell_jump","Jump predeploy","Jump deploy lvl2",,"Jump deploy top lvl2",,,,,,,170,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,,31000,,,,,,,,,,0,0,0,100,400,,,0,,,,,,350,199,400,300,,"icon_spell_jump3","icon_spell_jump","Jump predeploy","Jump deploy lvl3",,"Jump deploy top lvl3",,,,,,,150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"xmas","TID_XMAS_SPELL","TID_XMAS_SPELL_INFO",,1,1,"Elixir",19000,1,2,90000,800,4500,6000,,"Elixir",,0,0,0,,,,,300,,,,,,100,5,400,100,"sc/ui.sc","icon_spell_xmas","icon_spell_xmas","xmas predeploy","xmas Red Smoke",2500,"xmas test","xmas Drop Bombs","xmas boom","FALSE",,,,0,1,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,70,"true","true",,
"Freeze","TID_FREEZE_SPELL","TID_FREEZE_SPELL_INFO",,4,8,"Elixir",23000,20,2,360,800,300,400,120,"Elixir",3000000,0,0,0,,,,,0,,,,,,350,1,400,0,"sc/ui.sc","icon_spell_freeze","icon_spell_freeze","Freeze predeploy","Freeze deploy lvl1",,"Freeze deploy2 lvl1",,,"TRUE",5000,,,1000,1,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,,26000,,,,,,,168,,4000000,0,0,0,,,,,0,,,,,,350,1,400,0,,"icon_spell_freeze2",,,"Freeze deploy lvl2",,"Freeze deploy2 lvl2",,,,5750,,,1150,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,,29000,,,,,,,240,,5000000,0,0,0,,,,,0,,,,,,350,1,400,0,,"icon_spell_freeze3",,,"Freeze deploy lvl3",,"Freeze deploy2 lvl3",,,,6500,,,1300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,,31000,,,,,,,288,,7000000,0,0,0,,,,,0,,,,,,350,1,400,0,,"icon_spell_freeze4",,,"Freeze deploy lvl4",,"Freeze deploy2 lvl4",,,,7250,,,1450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,,33000,,,,,,,336,,9500000,0,0,0,,,,,0,,,,,,350,1,400,0,,"icon_spell_freeze5",,,"Freeze deploy lvl5",,"Freeze deploy2 lvl5",,,,8000,,,1600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,9,,35000,,,,,,,,,,0,0,0,,,,,0,,,,,,350,1,400,0,,"icon_spell_freeze6",,,"Freeze deploy lvl6",,"Freeze deploy2 lvl6",,,,9000,,,1750,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"xmas2013","TID_XMAS_SPELL","TID_XMAS_SPELL_INFO",,1,1,"Elixir",19000,1,2,360,0,4500,6000,,"Elixir",,0,0,0,,,,,180,,,,,,100,5,400,100,"sc/ui.sc","icon_spell_xmas","icon_spell_xmas",,"xmas Red Smoke",2500,"xmas test","xmas Drop Bombs","xmas boom","FALSE",,"Xmas TombStone",5,0,1,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,70,"true","true",,
"Slow","TID_SLOW_SPELL",,"TRUE",1,1,"Elixir",0,,2,2700,0,300,300,0,"Elixir",0,500,-30,-30,,,-30,,0,,,,,,500,9999,0,300,,,,,"Totem Slow",,,,,"TRUE",,,,0,1,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,,0,,2,2700,0,300,300,0,,0,500,-40,-40,,,-40,,0,,,,,,500,9999,0,300,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BoostDefences","TID_BOOSTDEFENCES_SPELL",,"TRUE",1,1,"Elixir",0,,2,2700,0,300,300,0,"Elixir",0,500,0,0,,,0,50,0,,,,,,400,9999,0,300,,,,,"Totem Slow",,,,,"TRUE",,,,0,1,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1,1,,0,,2,2700,0,300,300,0,,0,500,0,0,,,0,75,0,,,,,,400,9999,0,300,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Poison","TID_POISON_CLOUD","TID_POISON_CLOUD_INFO",,1,1,"DarkElixir",95,10,1,180,800,300,400,96,"DarkElixir",25000,500,-26,-26,,,,,,,,,,,400,40,0,400,"sc/ui.sc","icon_spell_toxic","icon_spell_toxic","toxic_Predeploy","Toxic deploy ground halloween",,"Toxic deploy halloween",,,"TRUE",,,,-160,2,"TRUE","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,"TRUE",5,,,,,,90,"TRUE",-35,"TRUE","TRUE",,,,,,,,,,,,,,,,,,
,,,,,6,,110,,,,,,,144,,50000,,-30,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,-170,,,,,,,,,,,,,115,,-40,,,,,,,,,,,,,,,,,,,,
,,,,,7,,125,,,,,,,240,,75000,,-34,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,-190,,,,,,,,,,,,,145,,-45,,,,,,,,,,,,,,,,,,,,
,,,,,8,,140,,,,,,,288,,150000,,-38,-38,,,,,,,,,,,,,,,,,,,,,,,,,,,,-210,,,,,,,,,,,,,180,,-50,,,,,,,,,,,,,,,,,,,,
,,,,,9,,155,,,,,,,,,,,-40,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,-230,,,,,,,,,,,,,220,,-55,,,,,,,,,,,,,,,,,,,,
"Earthquake","TID_EARTHQUAKE","TID_EARTHQUAKE_INFO",,2,1,"DarkElixir",125,10,1,180,800,300,400,144,"DarkElixir",30000,0,0,0,,,,,0,0,29,0,0,0,350,5,200,400,"sc/ui.sc","icon_spell_earthquake","icon_spell_earthquake","Earthquake_Predeploy","EarthQuake_deploy_ground",,"EarthQuake_deploy",,,"TRUE",,,,150,2,,"TID_INFO_TARGET_TYPE_BUILDINGS_AND_WALLS","Wall",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,,140,,,,,,,192,,60000,,,,,,,,,,34,,,,,,,400,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,,160,,,,,,,288,,90000,,,,,,,,,,42,,,,,,,400,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,,180,,,,,,,,,,,,,,,,,,,50,,,,,,,400,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SpeedUp","TID_SPEEDUP","TID_SPEEDUP_INFO",,3,1,"DarkElixir",80,10,1,180,800,300,400,192,"DarkElixir",40000,1000,28,14,,,,,0,,,,,,400,40,200,250,"sc/ui.sc","icon_spell_speedup","icon_spell_speedup","speedup_Predeploy","Speedup_deploy_lvl1",,"Speedup_deploy_top_lvl1",,,"TRUE",,,,140,2,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7,,85,,,,,,,240,,80000,,34,17,,,,,,,,,,,,60,,,,,,,"Speedup_deploy_lvl2",,"Speedup_deploy_top_lvl2",,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,,90,,,,,,,336,,100000,,40,20,,,,,,,,,,,,80,,,,,,,"Speedup_deploy_lvl3",,"Speedup_deploy_top_lvl3",,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,,95,,,,,,,,,,,46,23,,,,,,,,,,,,100,,,,,,,"Speedup_deploy_lvl4",,"Speedup_deploy_top_lvl4",,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shield",,,"TRUE",,,"Elixir",,,,2700,0,0,0,120,"Elixir",6500000,0,0,0,,,,,0,,,,,,900,1,0,0,"sc/ui.sc","icon_spell_jump","icon_spell_jump",,"GrandWarden Shield",,,,,"TRUE",,,,0,1,,"TID_PREFERRED_TARGET_ANY",,,,,,,,,,,,,,,"TRUE",3500,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,4500,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,5000,,,,,,,,,,,,,,,,
"Growth",,,"TRUE",,,"Elixir",,,,1200,0,0,300,24,"Elixir",300000,0,0,0,,,,,0,,,,,,900,4000,200,300,"sc/ui.sc","icon_spell_healing","icon_spell_healing",,"Growth aura",,,,,"TRUE",,,,0,1,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,200,0,70,,,,,,"TRUE",,,"Enemy growth aura",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,211,0,76,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,222,0,82,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,233,0,88,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,244,0,94,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,256,0,101,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,268,0,108,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,281,0,116,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,295,0,125,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,310,0,135,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,326,0,146,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,343,0,158,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,361,0,171,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,380,0,185,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,400,0,200,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,420,0,215,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,440,0,230,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,460,0,245,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,480,0,260,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,500,0,275,,,,,,,,,,,,,,,,,,,,,,,
"Artillery Center",,,"TRUE",1,1,"Elixir",15000,,2,1200,0,0,0,24,"Elixir",200000,0,0,0,,,,,250,,,,,,75,1,0,150,"sc/ui.sc","icon_spell_lightning","icon_spell_lightning",,,,,,"Artillery Hit","FALSE",,,,0,1,,"TID_GOLEM","Golem",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MiniGrowth",,,"TRUE",,,"Elixir",,,,1200,0,0,300,24,"Elixir",300000,0,0,0,,,,,0,,,,,,350,40,200,300,"sc/ui.sc","icon_spell_healing","icon_spell_healing",,"Toxic deploy ground",,,,,"TRUE",,,,0,1,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,10,0,50,,,,,,,,,,,,,,,,,,,,,,,
"Duplicate","TID_DUPLICATE_SPELL","TID_DUPLICATE_SPELL_INFO",,5,1,"Elixir",38000,40,4,720,800,300,400,144,"Elixir",4000000,0,0,0,,,,,0,,,,,,350,60,200,300,"sc/ui.sc","icon_spell_clone","icon_spell_clone","Clone_Predeploy","Clone deploy",,"Clone deploy top",,,"TRUE",,,,300,1,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,25,30000,,,,,,,,,,,
,,,,,8,,39000,,,,,,,192,,6000000,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,
,,,,,8,,41000,,,,,,,240,,8000000,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,360,,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,
,,,,,9,,43000,,,,,,,336,,10000000,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,
,,,,,9,,45000,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,
"SpawnSkele","TID_CREATE_SKELETONS_SPELL","TID_CREATE_SKELETONS_SPELL_INFO",,4,1,"DarkElixir",110,10,1,180,800,0,0,192,"DarkElixir",50000,0,0,0,,,,,0,,,,,,350,1,200,300,"sc/ui.sc","icon_spell_skeleton","icon_spell_skeleton","skele_Predeploy","SkeleSpell Summon1",,,,,,,,,460,2,,"TID_INFO_TARGET_TYPE_GROUND",,,,,,,,,,,,,,,,,,,,,,"Skeleton",15,,,8250,3,,,,,
,,,,,8,,120,,,,,,,240,,75000,,,,,,,,,,,,,,,,,,,,,,"SkeleSpell Summon2",,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,9900,3,,,,,
,,,,,8,,130,,,,,,,288,,100000,,,,,,,,,,,,,,,,,,,,,,"SkeleSpell Summon3",,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,12100,3,,,,,
,,,,,9,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SkeleSpell Summon4",,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,14300,3,,,,,
"FreezeTrap","TID_FREEZE_SPELL","TID_FREEZE_SPELL_INFO","TRUE",4,8,"Elixir",26000,20,2,360,0,300,10,120,"Elixir",4000000,0,0,0,,,,,0,,,,,,350,1,400,0,"sc/ui.sc","icon_spell_freeze","icon_spell_freeze",,"Freeze deploy lvl1",,"Freeze deploy2 lvl1",,,"TRUE",5000,,,1000,1,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true","true",,
"Mortar2Poison","TID_POISON_CLOUD","TID_POISON_CLOUD_INFO","TRUE",1,1,"DarkElixir",95,10,1,180,0,300,500,96,"DarkElixir",25000,500,0,0,,,,,,,,,,,300,4,0,500,"sc/ui.sc","icon_spell_toxic","icon_spell_toxic",,"Multi Mortar Ground Effects",,"Multi Mortar Area Effects",,,"TRUE",,,,0,2,"TRUE","TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,"TRUE",5,,,,,,10,"FALSE",,"FALSE","FALSE",,,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,
"TroopRage","TID_HASTE","TID_HASTE_INFO","TRUE",3,3,"Elixir",23000,20,2,360,800,300,400,48,"Elixir",450000,200,16,16,,,70,,0,,,,,,500,60,400,300,"sc/ui.sc","icon_spell_rage","icon_spell_rage","Rage predeploy","Rage deploy",,"Rage deploy top",,,"TRUE",,,,100,1,,"TID_INFO_TARGET_TYPE_GROUND_AND_AIR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
