"Name","Dependencies","MissionCategory","VillageType","FirstStep","WarStates","Deprecated","OpenInfo","ShowWarBase","ShowDonate","SwitchSides","OpenAchievements","Action","Character","FixVillageObject","BuildBuilding","BuildBuildingLevel","BuildBuildingCount","DefendNPC","AttackNPC","AttackPlayer","ChangeName","Delay","TrainTroops","ShowMap","TutorialText","TutorialStep","Darken","TutorialTextBox","TutorialCharacter","CharacterSWF","LoopAnim","SwitchAnim","SpeechBubble","RightAlignTextBox","ButtonText","TutorialMusic","TutorialMusicAlt","TutorialSound","RewardResource","RewardResourceCount","RewardXP","RewardTroop","RewardTroopCount","CustomData","ShowGooglePlusSignin","HideGooglePlusSignin","ShowInstructor","Villagers","ForceCamera"
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_MAP_FRIENDLY_3",1,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_talk_aha_01.wav",,,,,,,,,,,
"step15 war map enemy","step14 war map own side",1,0,,,,,,,"true",,,,,,,,,,,,500,,,"TID_TUTORIAL_WAR_MAP_ENEMY_1",,"true","tutorial_friendly_scared","character_friendly_scared_war","sc/tutorial_characters.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_wow_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_MAP_ENEMY_2",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_MAP_ENEMY_3",1,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.wav",,,,,,,,,,,
"step16 show info","step15 war map enemy",1,0,,,,"true",,,,,,,,,,,,,,,200,,,"TID_TUTORIAL_WAR_DONATE_1",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_happy_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_BATTLE_1",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_WAR_INFO_1",,"true","tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"step17 show state","step16 show info",1,0,,"true","true",,,,,,,,,,,,,,,,,,,,1,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_talk_aha_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"tutorial_friendly","character_friendly_neutral_war","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_happy_01.wav",,,,,,,,,,,
"ship repair move",,2,0,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_SHIP_LOAD_SHIP",,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_hey_01.wav",,,,,,,,,,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"ship repair finished","ship repair move",2,0,,,,,,,,,"travel",,"Shipyard",,,,,,,,500,,,"TID_TUTORIAL_SHIP_READY",,,"tutorial_friendly","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.wav",,,,,,,,,,,
"ship fix1","ship repair finished",2,1,,,,,,,,,,,,"Town Hall2",2,1,,,,,4250,,,"TID_TUTORIAL_SHIP_ARRIVE",,,"tutorial_friendly_v2","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_talk_aha_01.wav",,,,,,,,,,,"TRUE"
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_SHIP_ARRIVE_FIX_VILLAGE",1,,"tutorial_friendly_v2","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_no_talk_woop_01.wav",,,,,,,,,,,
"ship fix2","ship fix1",2,1,,,,,,,,,,,,,,,,,,,0,,,"TID_TUTORIAL_VILLAGERS_MOVE_OUT",,,"tutorial_friendly_v2","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_relief_01.wav",,,,,,,,,,3,
"upgrade unit","ship fix2",2,1,,,,,,,,,"upgrade2","Barbarian2",,,,,,,,,,,,"TID_TUTORIAL_MEET_NEW_BUILDER",,"true","tutorial_builder_v2","character_builder_sleeping","sc/tutorial_characters_v2.sc","TRUE",,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_snore_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_MEET_NEW_BUILDER2",,"true","tutorial_builder_v2","character_builder_sleep_to_talk","sc/tutorial_characters_v2.sc",,"TRUE","bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_wakeup_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_MEET_NEW_BUILDER3",,"true","tutorial_friendly_scared_v2","character_friendly_scared","sc/tutorial_characters.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_urgency_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_MEET_NEW_BUILDER4",,"TRUE","tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_surprised_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_LOOK_LABORATORY",1,,"tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tutor_no_talk_woop_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_LOOK_LABORATORY_DO",,"TRUE","tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,"TRUE","bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_surprised_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_LOOK_FINISH",,"TRUE","tutorial_friendly_v2","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_happy_01.wav",,,,,,,,,,,
"duel","upgrade unit",2,1,,,,,,,,,"duel",,,,,,,"DuelNPC",,,0,,,"TID_TUTORIAL_ATTACK",,,"tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_neutral_01.wav",,,,,,2,,,,,
"duel done","duel",2,1,,,,,,,,,"duel_end",,,,,,,"DuelNPC",,,0,,,"TID_TUTORIAL_ATTACK_DONE",,,"tutorial_friendly_scared_v2","character_friendly_scared","sc/tutorial_characters.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_urgency_04.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,"TID_TUTORIAL_ATTACK_DONE2",,,"tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_neutral_01.wav",,,,,,,,,,,
"duel done2","duel done",2,1,,,,,,,,,"duel_end2",,,,,,,,,,,,,"TID_TUTORIAL_ATTACK_DONE3",0,,"tutorial_friendly_v2","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_happy_01.wav",,,,,,,,,,,
"worker task","duel done2",2,1,,,,,,,,,"show_builder_menu",,,,,,,,,,0,,,"TID_TUTORIAL_WORKER_MENU",0,,"tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_neutral_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,"TID_TUTORIAL_WORKER_MENU2",1,,"tutorial_builder_short_v2","character_builder_talking","sc/tutorial_characters_v2.sc",,,"bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_neutral_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,"TID_TUTORIAL_WORKER_MENU3",2,,"tutorial_builder_short_v2","character_builder_talk_to_sleep","sc/tutorial_characters_v2.sc",,"TRUE","bubble_no_button_right_top_v2","true",,,,"sfx/tut_builder_backtosleep_01.wav",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0,,,"TID_TUTORIAL_WORKER_MENU4",3,,"tutorial_friendly_v2","character_friendly_neutral","sc/tutorial_character_neutral.sc",,,"bubble_no_button_left","false",,,,"sfx/tutor_hey_01.wav",,,,,,,,,,,
