"Name","FileNames","MinVolume","MaxVolume","FileNameLite","MinVolumeLite","MaxVolumeLite","FadeOutRadius","MaxVolumeRadius","MinPitch","MaxPitch","IsMusic"
"TapChicken","audio/sfx/wav/chicken_idle_1.wav",33,33,,,,3,8,96,108,
"TapCow","audio/sfx/wav/cow_idle2_1.wav",26,26,,,,3,8,96,108,
"TapPig","audio/sfx/wav/pig_idle_3.wav",19,19,,,,3,8,96,108,
"TapSheep","audio/sfx/wav/tap_sheep_02.wav",25,25,,,,3,8,96,108,
"FeedAnimal","audio/sfx/wav/add_to_queue.wav",38,38,,,,2,10,96,108,
,"audio/sfx/wav/add_to_queue_3.wav",38,38,,,,2,10,96,108,
"CropSeed","audio/sfx/wav/crops_seeding_1.wav",28,30,,,,2,10,96,108,
,"audio/sfx/wav/crops_seeding_2.wav",28,30,,,,2,10,96,108,
,"audio/sfx/wav/crops_seeding_3.wav",28,30,,,,2,10,96,108,
"SiloWareHouseUpgrade","audio/sfx/wav/silo_warehouse_upgrade_02.wav",77,77,,,,100,100,100,100,
"TreasureBox","audio/sfx/wav/magic_03.wav",42,42,,,,100,100,100,100,
"TreasureBoxLocked","audio/sfx/wav/treasure_box_locked_temp_01.wav",61,61,,,,100,100,100,100,
"FoxTap","audio/sfx/wav/fox_growl_temp_02.wav",65,65,,,,3,10,96,112,
"MailboxTap","audio/sfx/wav/mail_box_tap_01.wav",34,34,,,,2,10,96,106,
"IntroMusic","audio/music/mp3/hayday_intro_01-1.mp3",22,22,,,,100,100,100,100,"TRUE"
"InGameMusic","audio/music/mp3/hayday_ingame_music_03.mp3",13,13,,,,100,100,100,100,"TRUE"
"WaterTap","audio/sfx/wav/water_tap_01.wav",25,25,,,,3,12,98,112,
"NewspaperPage","audio/sfx/wav/news_paper_page02.wav",60,60,,,,100,100,96,104,
"JuicePressIdle","audio/sfx/wav/juice_press_idle_01.wav",88,88,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"JuicePressProcessing","audio/sfx/wav/juice_press_process_01.wav",54,54,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"ClaimAchievement","audio/sfx/wav/level_up_04.wav",55,55,,,,100,100,100,100,
"BoatLoop","audio/sfx/wav/boat_engine_02.wav",48,48,,,,2,11,100,100,
"BoatHorn","audio/sfx/wav/boat_horn_01.wav",30,30,,,,2,27,100,100,
"JamMakerProcessing","audio/sfx/wav/jammaker_processing.wav",59,59,"audio/sfx/wav/add_to_queue.wav",38,38,2,15,98,108,
"RandomGoats","audio/sfx/wav/goats_idle_02.wav",52,52,,,,1,14,96,108,
"TapGoat","audio/sfx/wav/tap_goat_02.wav",37,37,,,,3,8,80,88,
"SpinWheelTick","audio/sfx/wav/menu_bleep.wav",56,56,,,,100,100,100,100,
"SpinWheelReward","audio/sfx/wav/magic_03.wav",42,42,,,,100,100,100,100,
"SpinWheelJackpot","audio/sfx/wav/level_up_04.wav",55,55,,,,100,100,100,100,
"SpinWheelBuySpin","audio/sfx/wav/magic_03.wav",42,42,,,,100,100,100,100,
"WheelCarHorn","audio/sfx/wav/wheel_car_honky_02.wav",43,43,,,,1,25,100,100,
"DogTap","audio/sfx/wav/dog_bark_demo_01.wav",44,44,,,,3,13,96,104,
,"audio/sfx/wav/dog_bark_demo_02.wav",46,46,,,,3,13,96,104,
"CatTap","audio/sfx/wav/cat_meow_demo_01.wav",44,44,,,,3,13,96,104,
,"audio/sfx/wav/cat_meow_demo_02.wav",36,36,,,,3,13,96,104,
"TapDecorationGeneric","audio/sfx/wav/add_to_queue.wav",32,32,,,,2,13,96,108,
"TapDecorationWater","audio/sfx/wav/water_tap_01.wav",30,30,,,,2,13,96,108,
"PetWhistle","audio/sfx/wav/calling_whistle_01.wav",23,23,,,,100,100,100,100,
"Ambience","audio/sfx/wav/birds_wind_temp_02_loop.wav",80,80,,,,100,100,100,100,
"TapDecorationXmas","audio/sfx/wav/hay_day_xmas_deco01.wav",32,32,,,,2,13,96,108,
"HorseTap","audio/sfx/wav/horse_01.wav",38,38,,,,3,13,96,104,
,"audio/sfx/wav/horse_02.wav",38,38,,,,3,13,96,104,
,"audio/sfx/wav/horse_03.wav",38,38,,,,3,13,96,104,
"BalloonPop","audio/sfx/wav/balloon_pop_01.wav",30,30,,,,100,100,96,100,
"FishingCastLine","audio/sfx/wav/cast_line_new_01.wav",40,40,,,,100,100,95,102,
"FishingFishJump","audio/sfx/wav/fish_jump_01.wav",9,12,,,,1,10,110,120,
"FishingAmbience","audio/sfx/wav/lake_ambiance_02_loop.wav",9,9,,,,100,100,100,100,
"FishingReelIn","audio/sfx/wav/reel_in_01_loop_v3.wav",40,40,,,,100,100,95,12,
"FishingReelInFish","audio/sfx/wav/reel_in_with_fish_01.wav",50,50,,,,100,100,95,12,
"FishingTakePhoto","audio/sfx/wav/take_photo_01.wav",60,60,,,,100,100,100,100,
"FishingMusicCalm","audio/music/mp3/hayday_fishing_01.mp3",14,14,,,,100,100,100,100,"TRUE"
"FishingMusicHectic","audio/music/mp3/hayday_catching_fish_loop01.mp3",15,15,,,,100,100,100,100,"TRUE"
"FishingFishCaught","audio/sfx/wav/fish_jump_temp_01.wav",44,44,,,,100,100,95,102,
"FishingBaitUnderWater","audio/sfx/wav/bait_underwater_01v2.wav",42,42,,,,100,100,95,102,
"FishingSeagulLanding","audio/sfx/wav/seagull_diveunderwater_anim_01.wav",60,60,,,,3,10,98,102,
"FishingSeagulTakeoff","audio/sfx/wav/seagull_takeoff_03.wav",60,60,,,,3,10,98,102,
"FishingTapSeagul","audio/sfx/wav/mine_02.wav",20,20,,,,5,10,95,104,
"WorkbenchTap","audio/sfx/wav/lure_maker_idle_03.wav",82,82,"audio/sfx/wav/add_to_queue.wav",38,38,3,12,96,108,
"WorkbenchTapProcessing","audio/sfx/wav/lure_maker_active_03.wav",75,75,"audio/sfx/wav/add_to_queue.wav",38,38,3,12,96,108,
"FishingFishJumpEnd","audio/sfx/wav/fish_jump_inwater_02.wav",9,12,,,,1,10,80,95,
"EventBoardSound","audio/sfx/wav/event_bell_02.wav",50,50,,,,3,60,100,100,
"NetmakerTap","audio/sfx/wav/netmakertapidle_01.wav",60,60,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"NetmakerTapProcessing","audio/sfx/wav/netmakertapprocessing_01.wav",50,50,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"LobsterpoolTap","audio/sfx/wav/lobsterpooltapidle1.wav",65,65,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"LobsterpoolTapProcessing","audio/sfx/wav/lobsterpooltapprocessing02.wav",60,60,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"TapLobster","audio/sfx/wav/taplobster_01.wav",75,75,,,,2,15,96,115,
"LobsterDrop","audio/sfx/wav/lobsterdropsintopool_01.wav",50,50,,,,3,15,95,102,
"CollectLobsterCage","audio/sfx/wav/collectlobstercage_02.wav",25,25,,,,3,20,95,102,
"HarvestLobster","audio/sfx/wav/lobsterharvesting_first_part_01.wav",90,90,,,,3,12,96,108,
"HarvestLobsterSlide","audio/sfx/wav/lobsterharvesting_end_02.wav",90,90,,,,3,12,96,108,
"FishingPlaceNet","audio/sfx/wav/placenet_01.wav",75,75,,,,3,12,96,108,
"FishingPlaceMysteryNet","audio/sfx/wav/placemysterynet_01.wav",85,85,,,,3,12,96,108,
"NetReadyTap","audio/sfx/wav/fishingnetreadytap_01.wav",75,75,,,,3,12,96,108,
"CollectNet","audio/sfx/wav/fishingnetcollect_01.wav",75,75,,,,3,12,96,108,
"FishingPlaceCage","audio/sfx/wav/placelobstercage_01.wav",50,50,,,,3,12,96,108,
"SoupKitchenTap","audio/sfx/wav/soupkitchentap_01.wav",55,55,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SoupKitchenProcessing","audio/sfx/wav/soupkitchentapprocessing_01.wav",55,55,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SaladBarTap","audio/sfx/wav/food_mix_wooden_spoon.wav",85,85,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SaladBarTapProcessing","audio/sfx/wav/saladbar_processing_001.wav",25,25,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SushiBarTap","audio/sfx/wav/select_hihna_kolisee_02.wav",50,50,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SushiBarTapProcessing","audio/sfx/wav/food_mixer_loop_new.wav",85,85,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SauceMachineTap","audio/sfx/wav/juice_press_idle_01.wav",88,88,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SauceMachineTapProcessing","audio/sfx/wav/juice_press_process_01.wav",54,54,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"Fireworks","audio/sfx/wav/newyear_surprise_package_01_001.wav",80,80,,,,100,100,96,108,
"HolidayPresent","audio/sfx/wav/xmas_surprise_package_01.wav",70,70,,,,100,100,96,108,
"SandwichBarTap","audio/sfx/wav/food_mix_wooden_spoon.wav",85,85,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SandwichBarTapProcessing","audio/sfx/wav/saladbar_processing_001.wav",25,25,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"DonkeyTap","audio/sfx/wav/donkey_072.wav",50,58,,,,3,13,86,112,
"SmoothieMixerTap","audio/sfx/wav/juice_press_idle_01.wav",88,88,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SmoothieMixerTapProcessing","audio/sfx/wav/juice_press_process_01.wav",54,54,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"BunnyTap","audio/sfx/wav/rabbit_06.wav",24,24,,,,3,13,96,104,
,"audio/sfx/wav/rabbit_02.wav",40,40,,,,3,13,96,104,
"TrainMusic","audio/music/mp3/hayday_train_area_music_02.mp3",12,12,,,,100,100,100,100,"TRUE"
"TrainChoo","audio/sfx/wav/train_chug_01v3.wav",17,17,,,,2,30,75,83,
"TrainWhistle","audio/sfx/wav/train_whistle_01.wav",45,45,,,,4,30,100,100,
"TrainWagon","audio/sfx/wav/train_wagon_loop_01.wav",15,15,,,,1,20,100,100,
"FemaleMumble","audio/sfx/wav/vo/female/fem_mumble_05.wav",19,19,,,,1,5,98,104,
,"audio/sfx/wav/vo/female/fem_mumble_02.wav",19,19,,,,1,5,98,104,
,"audio/sfx/wav/vo/female/fem_mumble_01.wav",19,19,,,,1,5,98,104,
,"audio/sfx/wav/vo/female/fem_mumble_06.wav",19,19,,,,1,5,98,104,
"FemaleAttention","audio/sfx/wav/vo/female/fem_attention_04.wav",19,19,,,,100,100,98,104,
,"audio/sfx/wav/vo/female/fem_attention_06.wav",19,19,,,,100,100,98,104,
,"audio/sfx/wav/vo/female/fem_attention_08.wav",19,19,,,,100,100,98,104,
,"audio/sfx/wav/vo/female/fem_attention_01.wav",19,19,,,,100,100,98,104,
"FemaleHappy","audio/sfx/wav/vo/female/fem_thank_you_04.wav",22,22,,,,100,100,98,104,
,"audio/sfx/wav/vo/female/fem_thank_you_02.wav",22,22,,,,100,100,98,104,
,"audio/sfx/wav/vo/female/fem_thank_you_03.wav",22,22,,,,100,100,98,104,
,"audio/sfx/wav/vo/female/fem_thank_you_01.wav",22,22,,,,100,100,98,104,
"MaleHappy","audio/sfx/wav/vo/male/thank_you_10_no_lang.wav",22,22,,,,100,100,98,104,
,"audio/sfx/wav/vo/male/thank_you_07_no_lang.wav",20,20,,,,100,100,98,104,
,"audio/sfx/wav/vo/male/thank_you_06_no_lang.wav",20,20,,,,100,100,98,104,
,"audio/sfx/wav/vo/male/thank_you_11_no_lang.wav",20,20,,,,100,100,98,104,
,"audio/sfx/wav/vo/male/thank_you_12_no_lang.wav",20,20,,,,100,100,98,104,
"MaleMumble","audio/sfx/wav/vo/male/random_voc_05.wav",36,36,,,,1,5,98,104,
,"audio/sfx/wav/vo/male/random_voc_06.wav",36,36,,,,1,5,98,104,
,"audio/sfx/wav/vo/male/random_voc_07.wav",36,36,,,,1,5,98,104,
,"audio/sfx/wav/vo/male/random_voc_09.wav",36,36,,,,1,5,98,104,
,"audio/sfx/wav/vo/male/random_voc_04.wav",36,36,,,,1,5,98,104,
,"audio/sfx/wav/vo/male/whistle_02.wav",15,15,,,,1,5,98,104,
"MaleAttention","audio/sfx/wav/vo/male/attention_voc_02.wav",34,34,,,,100,100,98,104,
,"audio/sfx/wav/vo/male/attention_voc_01.wav",32,32,,,,100,100,98,104,
,"audio/sfx/wav/vo/male/attention_voc_07.wav",34,34,,,,100,100,98,104,
"Ocean","audio/sfx/wav/shore_loop_01.wav",7,7,,,,4,12,100,100,
"TrainSteam","audio/sfx/wav/train_steem_release_01.wav",25,25,,,,2,15,100,100,
"TrainAmbience","audio/sfx/wav/birds_wind_temp_02_loop.wav",80,80,,,,14,26,100,100,
"ServiceBuildingTap","audio/sfx/wav/door_open_01.wav",30,30,,,,1,8,96,108,
"FarmMaleAttention","audio/sfx/wav/vo/male/attention_voc_01.wav",32,32,,,,100,100,87,100,
,"audio/sfx/wav/vo/male/attention_voc_02.wav",34,34,,,,100,100,87,100,
"FarmFemaleAttention","audio/sfx/wav/vo/female/fem_attention_04.wav",22,22,,,,100,100,98,114,
,"audio/sfx/wav/vo/female/fem_attention_06.wav",22,22,,,,100,100,98,114,
"MaleEat","audio/sfx/wav/vo/male/nom_02.wav",28,28,,,,100,100,87,100,
,"audio/sfx/wav/vo/male/nom_01.wav",28,28,,,,100,100,87,100,
,"audio/sfx/wav/vo/male/nom_03.wav",28,28,,,,100,100,87,100,
"FemaleEat","audio/sfx/wav/vo/female/fem_nom_01.wav",19,19,,,,100,100,112,120,
,"audio/sfx/wav/vo/female/fem_nom_08.wav",19,19,,,,100,100,112,120,
,"audio/sfx/wav/vo/female/fem_nom_02.wav",22,22,,,,100,100,112,120,
"NeighborhoodEventBoardSound","audio/sfx/wav/event_bell_02.wav",50,50,,,,3,60,100,100,
"SewingMachineTap","audio/sfx/wav/sewing_machine_idle01.wav",22,22,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"SewingMachineTapProcessing","audio/sfx/wav/sewing_machine_01.wav",22,22,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"TapBee","audio/sfx/wav/tap_bee_06.wav",20,20,,,,3,8,96,108,
,"audio/sfx/wav/tap_bee_07.wav",20,20,,,,3,8,96,108,
"TapBeeHive","audio/sfx/wav/tap_beehive_04.wav",20,20,,,,3,8,96,108,
"DuckDrop","audio/sfx/wav/duck_landing_01_001.wav",55,55,,,,5,15,95,102,
"DuckHarvest","audio/sfx/wav/duck_ejecting_01_001.wav",90,90,,,,5,15,96,108,
"DuckLanding","audio/sfx/wav/duck_incoming_01_001.wav",70,70,,,,3,15,98,102,
"TapDuck","audio/sfx/wav/duck_tap_01_001.wav",60,60,,,,2,12,96,115,
"DuckCollect","audio/sfx/wav/duck_collect_01_001.wav",50,50,,,,5,15,95,102,
"PuppyTap","audio/sfx/wav/puppy_001.wav",20,20,,,,3,13,96,104,
,"audio/sfx/wav/puppy_002.wav",20,20,,,,3,13,96,104,
"KittenTap","audio/sfx/wav/kitten_001.wav",24,24,,,,3,13,96,104,
,"audio/sfx/wav/kitten_002.wav",22,22,,,,3,13,96,104,
"NewDerby","audio/sfx/wav/derby_new_board.wav",50,50,,,,100,100,100,100,
"DerbyJingle","audio/sfx/wav/derby_jingle_02.wav",40,40,,,,2,50,100,100,
"DerbyRace","audio/sfx/wav/derby_game_tab.wav",50,50,,,,100,100,100,100,
"DerbyKey","audio/sfx/wav/derby_race_key_02.wav",50,50,,,,100,100,100,100,
"DerbyPause","audio/sfx/wav/horse_snore_01.wav",50,50,,,,100,100,100,100,
"ScooterLoop","audio/sfx/wav/scooter_loop_02.wav",40,40,,,,2,12,100,100,
"RavenSwipe","audio/sfx/wav/crow_01.wav",24,24,,,,100,100,100,100,
"TacoKitchenTap","audio/sfx/wav/popcorn_pot_metal_pot.wav",34,34,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"TacoKitchenProcessing","audio/sfx/wav/paistuu_02.wav",54,54,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"TeaStandTap","audio/sfx/wav/juice_press_idle_01.wav",88,88,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"TeaStandProcessing","audio/sfx/wav/juice_press_process_01.wav",54,54,"audio/sfx/wav/add_to_queue.wav",38,38,2,10,96,108,
"MillerAttention","audio/sfx/wav/vo/male/attention_voc_01.wav",32,32,,,,100,100,87,100,
,"audio/sfx/wav/vo/male/attention_voc_02.wav",34,34,,,,100,100,87,100,
"CaretakerAttention","audio/sfx/wav/vo/female/fem_attention_04.wav",22,22,,,,100,100,98,114,
,"audio/sfx/wav/vo/female/fem_attention_06.wav",22,22,,,,100,100,98,114,
"BoosterActivate","audio/sfx/wav/hayday_booster_start_01.wav",30,30,,,,100,100,100,100,
"BoosterEnd","audio/sfx/wav/hayday_booster_end_01.wav",30,30,,,,100,100,100,100,
"Waterfall","audio/sfx/wav/water_fall_01.wav",10,10,,,,3,15,100,100,
"TownRiver","audio/sfx/wav/river_temp_03.wav",22,22,,,,10,15,108,108,
"Sanctuary","audio/sfx/wav/sanctuary_birds_01.wav",15,15,,,,15,22,100,100,
"ElephantIdle","audio/sfx/wav/idle_elephant_01.wav",25,35,,,,1,10,98,104,
,"audio/sfx/wav/idle_elephant_02.wav",25,35,,,,1,10,98,104,
,"audio/sfx/wav/idle_elephant_03.wav",25,35,,,,1,10,98,104,
,"audio/sfx/wav/idle_elephant_04.wav",25,35,,,,1,10,98,104,
"ElephantTap","audio/sfx/wav/tap_elephant_01.wav",45,45,,,,2,10,96,108,
"GiraffeIdle","audio/sfx/wav/giraffe_idle_01.wav",25,40,,,,1,5,98,104,
,"audio/sfx/wav/giraffe_idle_02.wav",25,40,,,,1,5,98,104,
,"audio/sfx/wav/giraffe_idle_03.wav",25,40,,,,1,5,98,104,
"GiraffeTap","audio/sfx/wav/giraffe_tap_01.wav",40,45,,,,2,10,96,108,
"HippoIdle","audio/sfx/wav/idle_hippo_01.wav",15,30,,,,1,10,98,104,
,"audio/sfx/wav/idle_hippo_02.wav",15,30,,,,1,10,98,104,
,"audio/sfx/wav/idle_hippo_03.wav",15,30,,,,1,10,98,104,
,"audio/sfx/wav/idle_hippo_04.wav",15,30,,,,1,10,98,104,
"HippoTap","audio/sfx/wav/tap_hippo_01.wav",30,30,,,,3,10,96,108,
"LionIdle","audio/sfx/wav/idle_lion_01.wav",25,40,,,,1,10,98,104,
,"audio/sfx/wav/idle_lion_02.wav",25,40,,,,1,10,98,104,
,"audio/sfx/wav/idle_lion_03.wav",25,40,,,,1,10,98,104,
,"audio/sfx/wav/idle_lion_04.wav",25,40,,,,1,10,98,104,
"LionTap","audio/sfx/wav/tap_lion_01.wav",45,45,,,,3,10,96,108,
"SantuaryCrateFall","audio/sfx/wav/hayday_crate_drop_01.wav",45,45,,,,3,10,96,108,
"SantuaryCrateHit","audio/sfx/wav/crate_break_01.wav",45,45,,,,3,10,96,108,
"PlaceAnimalPuzzlePiece","audio/sfx/wav/place_puzzle_piece_01.wav",30,30,,,,3,10,100,100,
"CompleteAnimalPuzzle","audio/sfx/wav/complete_puzzle_01.wav",40,40,,,,3,10,100,100,
