Name,ExportName,IsFruit,DeadExportName,FileName,TileWidth,TileHeight,TimeMin,FruitCount,ExpClear,InstantComplete,Tool,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,Price,CollectIconExportName,ShopIconExportName,BirdCanLand,FBHelpTitle,FBHelpText,FBHelpDescription,FBPictureURL
BlueberryBush,blackberry_bush_stage_1,,blackberry_bush_stage_4,sc/fruit_trees_berrybushes.sc,1,2,1920,2,4,18,Axe,TID_BLUEBERRY_BUSH,TID_BLUEBERRY_BUSH_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,530,tool_collect_eggs,shop_icon_blackberry_bush,,TID_FRUIT_TREE_FB_HELP_TITLE,TID_BLUEBERRY_BUSH_FB_HELP_TEXT,TID_GENERIC_FB_DESCRIPTION,http://c15056174.r74.cf2.rackcdn.com/static/fb_feed_icons/fb_feed_dead_blackberry.png
,blackberry_bush_stage_2,,,,,,1920,3,,18,,,,,,,,,,,,,,
,blackberry_bush_stage_3,,,,,,1920,4,,18,,,,,,,,,,,,,,
CacaoTree,cacao_tree_stage_1,TRUE,cacao_tree_stage_4,sc/fruit_trees_berrybushes.sc,1,1,2100,2,5,19,Saw,TID_CACAO_TREE,TID_CACAO_TREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,550,tool_collect_eggs,shop_icon_cacao_tree,TRUE,TID_FRUIT_TREE_FB_HELP_TITLE,TID_CACAO_TREE_FB_HELP_TEXT,TID_GENERIC_FB_DESCRIPTION,http://c15056174.r74.cf2.rackcdn.com/static/fb_feed_icons/fb_feed_dead_cacao.png
,cacao_tree_stage_2,,,,,,2100,3,,19,,,,,,,,,,,,,,
,cacao_tree_stage_3,,,,,,2100,4,,19,,,,,,,,,,,,,,
CoffeeBush,coffee_bush_stage_1,,coffee_bush_stage_4,sc/fruit_trees_berrybushes.sc,1,1,1500,2,4,16,Axe,TID_COFFEE_BUSH,TID_COFFEE_BUSH_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,375,tool_collect_eggs,shop_icon_coffee_bush,,TID_FRUIT_TREE_FB_HELP_TITLE,TID_COFFEE_BUSH_FB_HELP_TEXT,TID_GENERIC_FB_DESCRIPTION,http://c15056174.r74.cf2.rackcdn.com/static/fb_feed_icons/fb_feed_dead_coffee.png
,coffee_bush_stage_2,,,,,,1500,3,,16,,,,,,,,,,,,,,
,coffee_bush_stage_3,,,,,,1500,4,,16,,,,,,,,,,,,,,
OliveTree,olive_tree_stage_1,TRUE,olive_tree_stage_4,sc/fruit_trees_berrybushes.sc,1,1,1440,2,4,16,Saw,TID_PRODUCT_OLIVETREE,TID_PRODUCT_OLIVETREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,620,tool_collect_eggs,shop_icon_olive_tree,TRUE,TID_FRUIT_TREE_FB_HELP_TITLE,TID_OLIVE_TREE_FB_HELP_TEXT,TID_GENERIC_FB_DESCRIPTION,http://c15056174.r74.cf2.rackcdn.com/static/fb_feed_icons/fb_feed_dead_olive.png
,olive_tree_stage_2,,,,,,1440,3,,16,,,,,,,,,,,,,,
,olive_tree_stage_3,,,,,,1440,4,,16,,,,,,,,,,,,,,
LemonTree,lemon_tree_stage_1,TRUE,lemon_tree_stage_4,sc/fruit_trees_berrybushes.sc,1,1,1800,2,4,17,Saw,TID_TREE_LEMONTREE,TID_TREE_LEMONTREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,670,tool_collect_eggs,shop_icon_lemon_tree,TRUE,TID_FRUIT_TREE_FB_HELP_TITLE,TID_LEMON_TREE_FB_HELP_TEXT,TID_GENERIC_FB_DESCRIPTION,http://c15056174.r74.cf2.rackcdn.com/static/fb_feed_icons/fb_feed_dead_lemon.png
,lemon_tree_stage_2,,,,,,1800,3,,17,,,,,,,,,,,,,,
,lemon_tree_stage_3,,,,,,1800,4,,17,,,,,,,,,,,,,,
PeachTree,peach_tree_stage_1,TRUE,peach_tree_stage_4,sc/fruit_trees_berrybushes.sc,1,1,1800,2,4,17,Saw,TID_TREE_PEACHTREE,TID_TREE_PEACHTREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,750,tool_collect_eggs,shop_icon_peach_tree,TRUE,TID_FRUIT_TREE_FB_HELP_TITLE,TID_PEACH_TREE_FB_HELP_TEXT,TID_GENERIC_FB_DESCRIPTION,http://c15056174.r74.cf2.rackcdn.com/static/fb_feed_icons/fb_feed_dead_peach.png
,peach_tree_stage_2,,,,,,1800,3,,17,,,,,,,,,,,,,,
,peach_tree_stage_3,,,,,,1800,4,,17,,,,,,,,,,,,,,
OrangeTree,orange_tree_stage_1,TRUE,orange_tree_stage_4,sc/fruit_trees_berrybushes.sc,1,1,1860,2,4,18,Saw,TID_TREE_ORANGETREE,TID_TREE_ORANGETREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,720,tool_collect_eggs,shop_icon_orange_tree,TRUE,TID_FRUIT_TREE_FB_HELP_TITLE,TID_ORANGE_TREE_FB_HELP_TEXT,TID_GENERIC_FB_DESCRIPTION,http://c15056174.r74.cf2.rackcdn.com/static/fb_feed_icons/fb_feed_dead_orange.png
,orange_tree_stage_2,,,,,,1860,3,,18,,,,,,,,,,,,,,
,orange_tree_stage_3,,,,,,1860,4,,18,,,,,,,,,,,,,,
BananaTree,banana_tree_stage_1,TRUE,banana_tree_stage_4,sc/fruit_trees_berrybushes02.sc,1,1,1680,2,4,17,Saw,TID_TREE_BANANATREE,TID_TREE_BANANATREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,800,tool_collect_eggs,shop_icon_banana_tree,TRUE,TID_FRUIT_TREE_FB_HELP_TITLE,TID_BANANA_TREE_FB_HELP_TEXT,TID_GENERIC_FB_DESCRIPTION,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/fb_feed_icons/fb_feed_dead_banana.png
,banana_tree_stage_2,,,,,,1680,3,,17,,,,,,,,,,,,,,
,banana_tree_stage_3,,,,,,1680,4,,17,,,,,,,,,,,,,,
