Level,RepToNextLevel,GoodReward,GoodAmount,MinGoodsInPassengerService,MaxGoodsInPassengerService,PassengerServiceMinValue,PassengerServiceMaxValue,PassengerServiceMinCount,PassengerServiceMaxCount,PassengerAnimalViewChance,TID
54,68438,FreeDiamonds,1,1,3,35,89,2,3,10,
55,68858,FreeDiamonds,5,1,3,36,90,2,3,10,
56,69246,FreeDiamonds,1,1,3,36,90,2,3,10,
57,69605,FreeDiamonds,1,1,3,36,91,2,3,10,
58,69936,FreeDiamonds,1,1,3,37,91,2,3,10,
59,70242,FreeDiamonds,1,1,3,37,92,2,3,10,
60,70525,FreeDiamonds,10,1,3,37,92,2,3,10,
61,70786,FreeDiamonds,1,1,3,38,93,2,3,10,
62,71027,FreeDiamonds,1,1,3,38,93,2,3,10,
63,71249,FreeDiamonds,1,1,3,38,94,2,3,10,
64,71454,FreeDiamonds,1,1,3,39,94,2,3,10,
65,71642,FreeDiamonds,5,1,3,39,95,2,3,10,
66,71816,FreeDiamonds,1,1,3,39,95,2,3,10,
67,71976,FreeDiamonds,1,1,3,40,96,2,3,10,
68,72124,FreeDiamonds,1,1,3,40,96,2,3,10,
69,72260,FreeDiamonds,1,1,3,40,97,2,3,10,
70,72385,FreeDiamonds,10,1,3,41,97,2,3,10,
71,72500,FreeDiamonds,1,1,3,41,98,2,3,10,
72,72606,FreeDiamonds,1,1,3,41,98,2,3,10,
73,72704,FreeDiamonds,1,1,3,42,99,2,3,10,
74,72794,FreeDiamonds,1,1,3,42,99,2,3,10,
75,72877,FreeDiamonds,5,1,3,42,100,2,3,10,
76,72953,FreeDiamonds,1,1,3,43,100,2,3,10,
77,73023,FreeDiamonds,1,1,3,43,101,2,3,10,
78,73088,FreeDiamonds,1,1,3,43,101,2,3,10,
79,73147,FreeDiamonds,1,1,3,44,102,2,3,10,
80,73202,FreeDiamonds,10,1,3,44,102,2,3,10,
81,73252,FreeDiamonds,1,1,3,44,103,2,3,10,
82,73298,FreeDiamonds,1,1,3,45,103,2,3,10,
83,73341,FreeDiamonds,1,1,3,45,104,2,3,10,
84,73380,FreeDiamonds,1,1,3,45,104,2,3,10,
85,73416,FreeDiamonds,5,1,3,46,105,2,3,10,
86,73449,FreeDiamonds,1,1,3,46,105,2,3,10,
87,73479,FreeDiamonds,1,1,3,46,106,2,3,10,
88,73507,FreeDiamonds,1,1,3,47,106,2,3,10,
89,73533,FreeDiamonds,1,1,3,47,107,2,3,10,
90,73557,FreeDiamonds,10,1,3,47,107,2,3,10,
91,73579,FreeDiamonds,1,1,3,48,108,2,3,10,
92,73599,FreeDiamonds,1,1,3,48,108,2,3,10,
93,73617,FreeDiamonds,1,1,3,48,109,2,3,10,
94,73634,FreeDiamonds,1,1,3,49,109,2,3,10,
95,73650,FreeDiamonds,5,1,3,49,110,2,3,10,
96,73664,FreeDiamonds,1,1,3,49,110,2,3,10,
97,73677,FreeDiamonds,1,1,3,50,111,2,3,10,
98,73689,FreeDiamonds,1,1,3,50,111,2,3,10,
99,73700,FreeDiamonds,1,1,3,50,112,2,3,10,
100,980423,FreeDiamonds,10,1,3,51,112,2,3,10,
