TileMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e
,0,,,,,,,,,,5,5,,,5,,,,,,,,6,6,,,5,,,,,,308,307,308,307,207,207,207,1107,1107,1107,1207,1209,1208,1207,1207,1207,1909,1908,1909,1907,1909,1807,1808,1807,2709,2707,2708,2707,2907,2909,2907,2907,2908,3009,3008,3007,3007,3008,3009,6007,6007,6007,6007,6007,6007,6607,6607,6607,6607,6607,6607,6607,6607
,0,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,307,308,307,307,209,207,207,1109,1107,1107,1207,1207,1207,1207,1207,1209,1908,1907,1907,1907,1907,1807,1807,1807,3207,3207,3207,3209,2908,2907,2909,2907,2907,3007,3007,3007,3007,3007,3008,6007,6007,6007,6007,6008,6008,6607,6608,6607,6607,6607,6607,6607,6607
,0,,,,6,,,,,,,,,,,,,,,,,,5,,,,,,,,5,,308,307,309,307,207,207,207,1107,1107,1107,1207,1208,1207,1507,1507,1507,1907,1907,1909,1909,1907,1807,1807,1807,3207,3208,3207,3207,3209,3207,3207,3109,3107,3107,3108,3107,3107,3108,3109,6009,6009,6007,6007,6007,6008,6607,6607,6609,6607,6607,6607,6609,6607
,0,,6,,,,,,6,,,,,,,,,,,,,,,,,,,,5,,,,407,409,409,407,407,407,407,1307,1307,1307,1307,1307,1307,1507,1507,1507,2007,2007,2007,2009,2007,2009,2007,2009,3208,3209,3207,3207,3208,3207,3209,3107,3108,3109,3107,3108,3107,3107,3107,6007,6007,6007,6007,6007,6007,6707,6707,6707,6707,6807,6807,6807,6807
,0,6,,,,,,,,,,,,,,,,6,,,,5,,,,5,,,,,,,407,407,409,407,409,407,407,1307,1309,1307,1307,1307,1307,1509,1507,1507,2008,2007,2009,2008,2007,2007,2007,2007,3207,3207,3207,3208,3207,3208,3207,3107,3107,3107,3107,3107,3108,3107,3108,6007,6007,6007,6707,6707,6707,6707,6707,6707,6707,6807,6807,6807,6808
,0,,,,,,,,,,,5,,5,,,,,,,,,6,,,,5,,,,,,407,407,407,407,407,407,409,1307,1307,1308,1307,1307,1307,1507,1507,1507,2007,2007,2007,2007,2007,2009,2009,2008,3209,3207,3209,3207,3207,3207,3207,3407,3407,3407,3407,3407,3407,3407,3407,6007,6007,6007,6707,6707,6707,6707,6708,6707,6707,6807,6807,6807,6807
,0,,,5,,5,,,,,5,6,,,,,,,,,,,,5,,,,,,,,5,508,508,507,507,507,507,507,1307,1307,1308,1507,1507,1509,1507,1508,1507,2007,2007,2007,2007,2109,2107,2107,2109,3207,3207,3207,3307,3307,3308,3307,3407,3408,3407,3407,3408,3407,3407,3408,6107,6107,6107,6707,6708,6707,6707,6707,6707,6707,6807,6807,6808,6807
,0,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,507,507,507,507,507,509,509,1307,1307,1307,1507,1509,1509,1507,1507,1507,2008,2008,2007,2007,2107,2107,2109,2107,3209,3208,3207,3308,3307,3307,3307,3408,3407,3408,3407,3407,3408,3408,3407,6107,6107,6107,6707,6707,6707,6707,6707,6707,6707,6807,6808,6807,6807
,0,,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,507,507,507,509,507,507,507,1307,1307,1307,1507,1507,1507,1507,1507,1507,2007,2007,2007,2009,2107,2109,2107,2107,3208,3209,3207,3307,3308,3307,3308,3407,3407,3407,3407,3407,3407,3407,3407,6108,6107,6107,6708,6707,6707,6707,6707,6707,6707,6807,6807,6807,6807
,0,,,,,,,,,,,,,,,,3,2,4,,,,,,,,,,,,,,607,607,607,607,607,607,607,1307,1307,1307,1307,1308,1307,1507,1507,1507,2207,2207,2207,2207,2107,2109,2107,2107,3207,3207,3207,3307,3307,3309,3307,3407,3408,3407,3408,3407,3407,3407,3408,6108,6107,6107,6107,6107,6907,6907,6907,6907,6907,6907,6907,6907,6907
,0,,,,,,,,5,,,,,,,,3,2,4,,,,,,,,5,,,,,,607,609,607,607,607,607,607,1307,1307,1307,1307,1307,1309,1507,1507,1508,2207,2207,2207,2207,2107,2107,2107,2107,3507,3507,3508,3309,3307,3307,3307,3407,3407,3407,3407,3407,3407,3408,3407,6107,6107,6109,6107,6107,6907,6907,6907,6907,6907,6907,6908,6907,6909
,0,,,,,,,,,,,,,,,,3,2,4,,,,,,,6,,,,6,,,607,607,609,607,607,607,607,1307,1309,1307,1308,1307,1307,1507,1507,1507,2207,2207,2207,2207,2107,2108,2107,2107,3507,3509,3507,3507,3507,3507,3507,3507,3508,3408,3407,3408,3407,3407,3407,6107,6108,6107,6107,6107,6907,6907,6907,6907,6907,6907,6907,6907,6907
,0,,,,,5,,,,,,,,,,,3,2,4,5,,6,,,,,,,,,,,707,707,707,707,707,707,707,1409,1407,1408,1407,1407,1408,1507,1507,1507,2207,2209,2207,2407,2407,2409,2407,2407,3508,3507,3509,3507,3508,3508,3507,3507,3507,3407,3408,3407,3407,3407,3407,6207,6207,6207,6207,6207,6207,6207,6207,6207,6207,6907,6909,6907,6907
,0,,,,,,,,,,,5,,,,,3,2,4,6,,5,,,,,,,,,,,707,709,709,709,709,708,709,1407,1407,1407,1407,1407,1407,1507,1507,1509,2207,2208,2207,2407,2409,2407,2407,2407,3509,3508,3507,3507,3507,3509,3509,3509,3508,3607,3607,3607,3607,3607,3607,6207,6207,6207,6207,6207,6207,6207,6207,6207,6207,6907,6907,6907,6907
,0,,,5,,,,,,,,,,,,,3,2,4,,,,,,,,,,,,,,707,707,709,707,707,708,708,1407,1407,1407,1407,1407,1407,1607,1607,1607,2207,2207,2209,2408,2408,2407,2407,2408,3507,3507,3507,3507,3509,3507,3508,3507,3507,3608,3607,3607,3608,3609,3607,6207,6207,6207,6207,6207,6207,6207,6209,6207,6207,6907,6907,6907,6907
,0,6,,,,,,,,,,,,,,,3,2,4,,,,,5,,,,,5,,,,807,809,807,807,707,707,707,1407,1407,1407,1407,1407,1407,1607,1607,1607,2307,2307,2308,2307,2307,2407,2407,2407,3508,3507,3507,3508,3907,3907,3907,3909,3908,3607,3608,3609,3607,3607,3608,6207,6207,6207,6207,6207,6207,6207,6207,6207,6207,6907,6907,6907,6907
,0,,,,,,,6,,,,,,,6,,3,2,4,,,,,,,,5,,,,,,807,807,807,807,709,707,707,707,707,707,707,709,708,1608,1609,1607,2307,2307,2307,2307,2309,2507,2507,2508,3807,3809,3807,3907,3907,3907,3908,3908,3907,3609,3607,3607,3607,3607,3609,6307,6307,6307,6307,7007,7007,7007,7007,7008,7007,7007,7007,7007,7007
,0,,,,,,,,5,,6,,,,,,3,2,4,,5,,,,6,,,,,,,5,807,807,807,807,707,709,707,708,707,707,708,707,708,1607,1607,1607,2308,2307,2307,2309,2307,2507,2507,2507,3807,3808,3809,3907,3908,3907,3907,3907,3907,3607,3609,3607,3607,3608,3607,6307,6307,6309,6307,7007,7007,7007,7008,7007,7007,7007,7007,7007,7007
,0,,,6,,,5,,,,,,,,,,3,2,4,,,,,,,,,,,,,,807,807,809,809,707,707,707,707,707,707,707,707,707,1607,1609,1607,2307,2308,2307,2307,2307,2507,2507,2507,3807,3807,3807,3908,3909,3907,3908,3907,3908,3709,3707,3708,3707,3707,3709,6307,6307,6307,6307,7007,7007,7007,7007,7007,7009,7009,7007,7007,7007
,0,5,,5,,,,,6,,,,,,,,3,2,4,,,,,6,,,,,,,,,907,908,907,907,909,1707,1708,1708,1707,1707,1707,1707,1707,1607,1607,1609,2307,2307,2307,2307,2309,2507,2508,2507,3808,3807,3807,3907,3907,3907,3909,3907,3907,3707,3707,3707,3709,3707,3707,6308,6307,6307,6307,6307,6307,6307,6307,6307,7007,7007,7007,7007,7007
,0,,,,,,,,,,,,,,5,,3,2,4,,,6,,,,,6,5,,,,,908,909,907,907,907,1709,1707,1707,1709,1707,1707,1707,1707,1607,1607,1607,2307,2307,2307,2507,2507,2507,2508,2507,3807,3808,3809,3807,3807,3808,3809,3908,3909,3708,3707,3707,3707,3708,3707,6307,6307,6307,6307,6307,6309,6307,6307,6307,7007,7008,7007,7007,7007
,0,,,,,5,,,5,,,,,,6,,3,2,4,,,,,,,,,,,,6,,907,907,907,907,907,1707,1709,1707,1707,1707,1708,1707,1709,1608,1607,1607,2307,2307,2307,2507,2508,2507,2507,2507,3809,3807,3807,3808,3807,3807,3807,3907,3908,3709,3708,3707,3707,3707,3708,6307,6307,6307,6307,6307,6308,6307,6307,6307,7007,7007,7007,7008,7007
,0,,,,,,,,,,,,,,,,3,2,4,,,,,,,,,,,,,,907,908,907,907,907,1707,1707,1707,1707,1707,1707,1707,1707,1608,1607,1607,2307,2307,2307,2508,2507,2507,2507,2507,3807,3807,3807,3807,3809,3807,3808,3909,3907,3707,3707,3707,3708,3707,3707,6309,6307,6307,6307,6307,6307,6307,6308,6307,7007,7007,7007,7007,7007
,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4009,4007,4007,4007,4007,4707,4707,4707,4707,4707,4407,4407,4407,4407,4907,4907,4907,4907,4907,4907,5207,5207,5207,5207,5207,5207,5207,5207,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4007,4008,4007,4007,4007,4707,4707,4707,4707,4707,4408,4407,4409,4407,4908,4907,4908,4907,4907,4907,5208,5207,5207,5207,5207,5208,5207,5207,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4007,4007,4007,4007,4008,4707,4707,4707,4707,4707,4407,4407,4407,4408,4909,4907,4907,4907,4907,4907,5207,5207,5207,5207,5207,5207,5207,5207,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4007,4007,4007,4007,4007,4707,4707,4707,4707,4707,4407,4407,4407,4407,4907,4907,4907,4907,4908,4907,5209,5208,5207,5207,5207,5207,5207,5207,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4007,4007,4007,4007,4607,4607,4608,4807,4807,4807,4409,4408,4407,4407,4907,4907,4907,4907,4908,4907,5307,5307,5307,5308,5607,5609,5608,5607,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4007,4007,4007,4007,4607,4607,4607,4807,4808,4807,4407,4407,4407,4407,5007,5007,5007,5007,5007,5007,5307,5307,5307,5307,5607,5607,5607,5607,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4507,4507,4507,4607,4607,4607,4607,4807,4808,4807,4307,4307,4307,4307,5007,5007,5007,5007,5009,5007,5307,5307,5307,5307,5607,5607,5607,5607,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4507,4507,4507,4607,4607,4607,4607,4807,4807,4807,4307,4307,4307,4307,5007,5007,5008,5007,5007,5007,5407,5407,5407,5407,5609,5609,5607,5607,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4507,4507,4507,4607,4607,4607,4607,4808,4807,4807,4307,4307,4307,4307,5107,5107,5107,5107,5407,5407,5407,5407,5407,5407,5607,5607,5609,5607,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4507,4507,4507,4607,4607,4607,4607,4807,4807,4807,4308,4307,4307,4308,5107,5107,5108,5107,5407,5407,5408,5407,5407,5407,5607,5607,5607,5608,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4108,4107,4107,4208,4207,4207,4207,4207,4207,4207,4307,4308,4307,4307,5107,5107,5107,5107,5407,5407,5409,5407,5407,5409,5707,5707,5707,5707,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4107,4107,4107,4207,4207,4207,4209,4208,4207,4207,4307,4307,4307,4307,5109,5107,5107,5107,5507,5509,5507,5507,5507,5507,5707,5709,5707,5707,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4109,4107,4108,4207,4207,4208,4207,4207,4207,4207,4307,4309,4307,4307,5107,5107,5107,5107,5507,5509,5508,5508,5508,5507,5707,5707,5707,5707,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,41,41,4107,4107,4107,4207,4207,4207,4207,4207,4207,4208,4307,4307,4308,4307,5107,5107,5107,5107,5507,5507,5507,5507,5507,5507,5707,5707,5707,5707,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,3,2,4,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
SpecialObjects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,String,int,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mine,18,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RoadsideShop,12,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,House,15,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OrderTable,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Car,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MailBox,19,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BoyBox,26,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MovieTicket,19,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SpinWheelCar,24,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BoatScoreBoard,-1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GiftMailBox,21,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gift,15,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FishingBoat,-3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EventBoard,10,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NeighborhoodBuilding,9,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drasine,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TownRequestBoard,23,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Derby,14,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dock,-4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NeighborhoodDonationsArea,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
