TileMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
,Spot2_shallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,Deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spot4_reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,Deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spot6_rocky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,Deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spot1_shallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,Deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spot5_reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,Deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spot3_rocky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,Deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spot7_deep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,Deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,15,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spot8_deep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,Deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spot9_deep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,Deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,18,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spot10_swamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,Deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spot11_shallow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,Deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,8,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spot12_rocky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,X,Y,Mirrored,Deprecated,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,int,int,boolean,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SoundName,X,Y,Loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,String,int,int,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FishingAmbience,8,8,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,
