Name,Rewards,RewardAmounts,Probabilities
RewardSetChristmas3,ToySoldier,1,20
,Snowman,1,20
RewardSetChristmas4,HolidayTree,1,20
RewardSetChristmas5,ChristmasSnowglobe,1,20
CompanyRewardSet1,Nail,10,5
,Screw,10,5
,Wood Panel,10,5
,Bolt,10,5
,Plank,10,5
,Duct Tape,10,5
,FreeDiamonds,100,1
CompanyRewardSet2,Nail,20,5
,Screw,20,5
,Wood Panel,20,5
,Bolt,20,5
,Plank,20,5
,Duct Tape,20,5
,FreeDiamonds,200,1
CompanyRewardSet3,Nail,30,5
,Screw,30,5
,Wood Panel,30,5
,Bolt,30,5
,Plank,30,5
,Duct Tape,30,5
,FreeDiamonds,300,1
CompanyRewardSet4,Nail,40,5
,Screw,40,5
,Wood Panel,40,5
,Bolt,40,5
,Plank,40,5
,Duct Tape,40,5
,FreeDiamonds,400,1
CompanyRewardSet5,Nail,50,5
,Screw,50,5
,Wood Panel,50,5
,Bolt,50,5
,Plank,50,5
,Duct Tape,50,5
,FreeDiamonds,500,1
RewardSetEaster1,Voucher1,1,40
,Voucher2,1,20
RewardSetEaster2,Voucher1,2,20
,Voucher2,2,20
,Voucher3,1,10
RewardSetEaster3,Voucher2,2,20
,Voucher3,2,20
,Voucher4,1,10
RewardSetEaster4,Voucher1,5,20
,Voucher3,2,20
,Voucher4,2,20
RewardSetEaster5,Voucher3,4,20
,Voucher4,4,20
RewardSetBirthday1,Nail,1,5
,Screw,1,5
,Wood Panel,1,5
,Land Deed,1,5
,Mallet,1,5
,Marker Stake,1,5
,Bolt,1,5
,Plank,1,5
,Duct Tape,1,5
,Hammer,1,20
,Hand Drill,1,1
,Paint Bucket,1,20
,Stone Block,1,20
,Brick,1,20
,Tar Bucket,1,20
,Map Piece,1,1
,Voucher3,1,40
,Voucher4,1,40
RewardSetBirthday2,Nail,2,5
,Screw,2,5
,Wood Panel,2,5
,Land Deed,2,5
,Mallet,2,5
,Marker Stake,2,5
,Bolt,2,5
,Plank,2,5
,Duct Tape,2,5
,Hammer,2,20
,Hand Drill,2,1
,Paint Bucket,2,20
,Stone Block,2,20
,Brick,2,20
,Tar Bucket,2,20
,Map Piece,2,1
,Voucher3,2,70
,Voucher4,2,70
RewardSetBirthday3,Nail,3,5
,Screw,3,5
,Wood Panel,3,5
,Land Deed,3,5
,Mallet,3,5
,Marker Stake,3,5
,Bolt,3,5
,Plank,3,5
,Duct Tape,3,5
,Hammer,3,20
,Hand Drill,3,1
,Paint Bucket,3,20
,Stone Block,3,20
,Brick,3,20
,Tar Bucket,3,20
,Map Piece,3,1
,Voucher3,3,70
,Voucher4,3,70
RewardSetBirthday4,Nail,4,2
,Screw,4,2
,Wood Panel,4,2
,Land Deed,4,2
,Mallet,4,2
,Marker Stake,4,2
,Bolt,4,2
,Plank,4,2
,Duct Tape,4,2
,Hammer,4,15
,Hand Drill,4,1
,Paint Bucket,4,15
,Stone Block,4,15
,Brick,4,15
,Tar Bucket,4,15
,Map Piece,4,1
,Voucher3,4,70
,Voucher4,4,70
RewardSetBirthday5,Nail,5,1
,Screw,5,1
,Wood Panel,5,1
,Land Deed,5,1
,Mallet,5,1
,Marker Stake,5,1
,Bolt,5,1
,Plank,5,1
,Duct Tape,5,1
,Hammer,5,5
,Hand Drill,5,1
,Paint Bucket,5,5
,Stone Block,5,5
,Brick,5,5
,Tar Bucket,5,5
,Map Piece,5,1
,Voucher3,5,70
,Voucher4,5,70
RewardSetNewYear1,NewYearBalloonPig,1,10
,BalloonCow,1,10
,BalloonChicken,1,10
RewardSetCNY2,Axe,8,10
RewardSetSpecialDiamonds,FreeDiamonds,25,100
RewardSetHalloween20161,HalloweenPumpkinLantern,1,9
,HalloweenPumpkintotem,1,1
RewardSetHalloween20162,HalloweenTombstone,1,999
,SpookyPumpkin,1,1
RewardSetHalloween20163,HalloweenCauldron,1,999
,SpookyPlant,1,1
RewardSetHalloween20164,HalloweenBirdhouse,1,999
,OpenGrave,1,1
