Title,DescriptionTID,IconExportName,GlobalID,ObjectGlobalID,Name,Type,ObjectType
Rudd_3,,Rudd_3,9700019,970319,Fish_47 (fishes),9700019-3,fish
,,,,,,,
Yellow-Bass,,Yellow-Bass,9700020,970020,Fish_48 (fishes),9700020-0,fish
Yellow-Bass_1,,Yellow-Bass_1,9700020,970120,Fish_48 (fishes),9700020-1,fish
Yellow-Bass_2,,Yellow-Bass_2,9700020,970220,Fish_48 (fishes),9700020-2,fish
Yellow-Bass_3,,Yellow-Bass_3,9700020,970320,Fish_48 (fishes),9700020-3,fish
,,,,,,,
Greater-Redhorse,,Greater-Redhorse,9700021,970021,Fish_55 (fishes),9700021-0,fish
Greater-Redhorse_1,,Greater-Redhorse_1,9700021,970121,Fish_55 (fishes),9700021-1,fish
Greater-Redhorse_2,,Greater-Redhorse_2,9700021,970221,Fish_55 (fishes),9700021-2,fish
Greater-Redhorse_3,,Greater-Redhorse_3,9700021,970321,Fish_55 (fishes),9700021-3,fish
,,,,,,,
Golden-Trout,,Golden-Trout,9700022,970022,Fish_50 (fishes),9700022-0,fish
Golden-Trout_1,,Golden-Trout_1,9700022,970122,Fish_50 (fishes),9700022-1,fish
Golden-Trout_2,,Golden-Trout_2,9700022,970222,Fish_50 (fishes),9700022-2,fish
Golden-Trout_3,,Golden-Trout_3,9700022,970322,Fish_50 (fishes),9700022-3,fish
,,,,,,,
Largemouth-Bass,,Largemouth-Bass,9700023,970023,Fish_57 (fishes),9700023-0,fish
Largemouth-Bass_1,,Largemouth-Bass_1,9700023,970123,Fish_57 (fishes),9700023-1,fish
Largemouth-Bass_2,,Largemouth-Bass_2,9700023,970223,Fish_57 (fishes),9700023-2,fish
Largemouth-Bass_3,,Largemouth-Bass_3,9700023,970323,Fish_57 (fishes),9700023-3,fish
,,,,,,,
Brook-Trout,,Brook-Trout,9700024,970024,Fish_31 (fishes),9700024-0,fish
Brook-Trout_1,,Brook-Trout_1,9700024,970124,Fish_31 (fishes),9700024-1,fish
Brook-Trout_2,,Brook-Trout_2,9700024,970224,Fish_31 (fishes),9700024-2,fish
Brook-Trout_3,,Brook-Trout_3,9700024,970324,Fish_31 (fishes),9700024-3,fish
,,,,,,,
Grass-carp,,Grass-carp,9700025,970025,Fish_59 (fishes),9700025-0,fish
Grass-carp_1,,Grass-carp_1,9700025,970125,Fish_59 (fishes),9700025-1,fish
Grass-carp_2,,Grass-carp_2,9700025,970225,Fish_59 (fishes),9700025-2,fish
Grass-carp_3,,Grass-carp_3,9700025,970325,Fish_59 (fishes),9700025-3,fish
,,,,,,,
Green-Sunfish,,Green-Sunfish,9700026,970026,Fish_60 (fishes),9700026-0,fish
Green-Sunfish_1,,Green-Sunfish_1,9700026,970126,Fish_60 (fishes),9700026-1,fish
Green-Sunfish_2,,Green-Sunfish_2,9700026,970226,Fish_60 (fishes),9700026-2,fish
Green-Sunfish_3,,Green-Sunfish_3,9700026,970326,Fish_60 (fishes),9700026-3,fish
,,,,,,,
Northern-Studfish,,Northern-Studfish,9700027,970027,Fish_62 (fishes),9700027-0,fish
Northern-Studfish_1,,Northern-Studfish_1,9700027,970127,Fish_62 (fishes),9700027-1,fish
Northern-Studfish_2,,Northern-Studfish_2,9700027,970227,Fish_62 (fishes),9700027-2,fish
Northern-Studfish_3,,Northern-Studfish_3,9700027,970327,Fish_62 (fishes),9700027-3,fish
,,,,,,,
Striped-Bass,,Striped-Bass,9700028,970028,Fish_63 (fishes),9700028-0,fish
Striped-Bass_1,,Striped-Bass_1,9700028,970128,Fish_63 (fishes),9700028-1,fish
Striped-Bass_2,,Striped-Bass_2,9700028,970228,Fish_63 (fishes),9700028-2,fish
Striped-Bass_3,,Striped-Bass_3,9700028,970328,Fish_63 (fishes),9700028-3,fish
,,,,,,,
Longear-Sunfish,,Longear-Sunfish,9700029,970029,Fish_66 (fishes),9700029-0,fish
Longear-Sunfish_1,,Longear-Sunfish_1,9700029,970129,Fish_66 (fishes),9700029-1,fish
Longear-Sunfish_2,,Longear-Sunfish_2,9700029,970229,Fish_66 (fishes),9700029-2,fish
Longear-Sunfish_3,,Longear-Sunfish_3,9700029,970329,Fish_66 (fishes),9700029-3,fish
,,,,,,,
unlock_Tom,,unlock_Tom,5200029,52029,Boy (features),U-14,unlock
unlock_Lobsters,,unlock_Lobsters,10700001,107001,LobsterPool (lobster_pool),10700001-0,unlock
unlock_Alfred,,unlock_Alfred,5200070,52070,Postman (features),U-15,unlock
unlock_TruckOrders,,unlock_TruckOrders,200000,2000,Truck (cars),U-5,unlock
unlock_RoadsideShop,,unlock_RoadsideShop,3500000,35000,RoadsideShop (roadside_shop),U-7,unlock
unlock_Pets,,unlock_Pets,7800003,78003,Dog1 (pets),7800003-0,unlock
unlock_Boat,,unlock_Boat,5200017,52017,Boat (features),U-17,unlock
unlock_Mine,,unlock_Mine,5200018,52018,Mine (features),U-24,unlock
unlock_Fishing_boat,,unlock_Fishing_boat,5200073,52073,FishingBoat (features),U-27,unlock
unlock_Expansions,,unlock_Expansions,5200049,52049,Expansions (features),U-22,unlock
,,,,,,,
BoatOrders_1,,BoatOrders_1,1900031,190031,BoatOrderComplete",BO,boat_order
BoatOrders_2,,BoatOrders_2,1900031,190131,BoatOrderComplete",BO-1,boat_order
BoatOrders_3,,BoatOrders_3,1900031,190231,BoatOrderComplete",BO-2,boat_order
,,,,,,,
TruckOrders_1,,TruckOrders_1,19031,19031,TruckOrderComplete",TO,boat_order
TruckOrders_2,,TruckOrders_2,19031,19131,TruckOrderComplete",TO-1,boat_order
TruckOrders_3,,TruckOrders_3,19031,19231,TruckOrderComplete",TO-2,boat_order
