Name,UnlockLevel,HappyDurationMinutes,FedDurationMinutes,Habitat,FileName,ShopIconExportName,MaxPathLength,MaxDistanceFromHouse,MaxDistanceFromHouseHungry,Exp,Vouchers,VoucherCount,StateIdleExportName,StateIdleHungryExportName,StateIdleMinMS,StateIdleMaxMS,StateTapExportName,StateTapMinMS,StateTapMaxMS,StateRunExportName,StateMoveExportName,StateMoveHungryExportName,StateMoveMinMS,StateMoveMaxMS,StateRunMinMS,StateRunMaxMS,Speed,HungrySpeed,RunSpeed,StateEatExportName,StateEatMinMS,StateEatMaxMS,StateSleepExportName,StateSleepMinMS,StateSleepMaxMS,TID,DescriptionTID,ReadyNotificationName,TapSound,CollectSound,BuySound,FeedSound,RandomSounds,MaxCountColumnName,SpecialDropCounterIncrease,RandomAnimationFrame,ShopOrder,PuzzlePiece,PuzzlePieceCount,PuzzlePieceExportName,PuzzleBgExportName,ReputationUnlockLevel,StateTapWalkMinMS,StateTapWalkMaxMS,TapWalkSpeed,MaxDistanceFromHouseTapped,StateIdleHungryMinMS,StateIdleHungryMaxMS,SmallIconExportName
,,,,,,,,,,,Voucher2,1,hippo_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippo2,34,0,600,HippoHouse,sc/animals04.sc,shop_icon_hippo02,150,25,10,25,Voucher1,1,hippo2_idle01,hippo2_hungry,6100,7300,hippo2_special,21800,21800,hippo2_run,hippo2_walk,hippo2_walk,4500,4500,1400,7000,6,4,25,hippo2_eating,9000,9000,hippo2_sleep,3300,3300,TID_HIPPO2,TID_HIPPO2_DESCRIPTION,,HippoTap,HippoTap,Buy,,HippoIdle,,8,FALSE,1800,Puzzle Piece 1,36,hippo02_image_,hippo02_image_bg,3,21800,21800,16,50,5600,11200,icon_hippo02
,,,,,,,,,,,Voucher2,1,hippo2_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giraffe1,34,0,600,GiraffeHouse,sc/animals03.sc,shop_icon_giraffe01,150,25,10,25,Voucher1,1,giraffe_idle01,giraffe_hungry,4900,9800,giraffe_stretching,11700,11700,giraffe_run,giraffe_walk,giraffe_walk,2100,12500,1100,11500,11,4,55,giraffe_eating,4400,8800,giraffe_sleeping,2600,2600,TID_GIRAFFE1,TID_GIRAFFE1_DESCRIPTION,,GiraffeTap,GiraffeTap,Buy,,GiraffeIdle,,8,FALSE,1900,Puzzle Piece 1,36,giraffe01_image_,giraffe01_image_bg,3,11700,11700,16,50,6600,13200,icon_giraffe01
,,,,,,,,,,,Voucher2,1,giraffe_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher3,1,giraffe_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giraffe2,34,0,600,GiraffeHouse,sc/animals03.sc,shop_icon_giraffe02,150,25,10,25,Voucher2,1,giraffe2_idle01,giraffe2_hungry,4900,9800,giraffe2_scared,6300,6300,giraffe2_run,giraffe2_walk,giraffe2_walk,2100,12500,1100,11500,11,4,55,giraffe2_eating,4400,8800,giraffe2_sleeping,2600,2600,TID_GIRAFFE2,TID_GIRAFFE2_DESCRIPTION,,GiraffeTap,GiraffeTap,Buy,,GiraffeIdle,,8,FALSE,2000,Puzzle Piece 1,36,giraffe02_image_,giraffe02_image_bg,3,6300,6300,16,50,6600,13200,icon_giraffe02
,,,,,,,,,,,Voucher3,1,giraffe2_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,1,giraffe2_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
