Name,TaskType,SubTaskType,TID,DescriptionTID,IconTooltipTID,ExportName,SubTaskIcon,MinRequiredQuantity,MaxRequiredQuantity,Deprecated,MinXPLevelForSpawn,SpawnProbabilityWeightLeague1,SpawnProbabilityWeightLeague2,SpawnProbabilityWeightLeague3,SpawnProbabilityWeightLeague4,SpawnProbabilityWeightLeague5,MinEventTimeMinLeftForSpawn,TaskParam1,TaskParam2,TaskParam3,MinRewardNeighborhoodPoints,MaxRewardNeighborhoodPoints,MinTaskDurationMin,MaxTaskDurationMin,CooldownIntervalSeconds,AdminCooldownIntervalSeconds,InstantCompleteCooldown
HarvestCropMediumPumpkin,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_PUMPKIN_DESCRIPTION,,,,115,157,,18,7,26,22,20,0,0,Pumpkin,,,120,190,900,1260,1800,1800,5
HarvestCropMediumCotton,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_COTTON_DESCRIPTION,,,,117,159,,18,7,26,22,20,0,0,Cotton,,,120,190,780,1080,1800,1800,5
HarvestCropMediumChili,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CHILI_DESCRIPTION,,,,113,154,,25,7,26,22,20,0,0,Chili,,,120,190,1140,1620,1800,1800,5
HarvestCropMediumTomato,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_TOMATO_DESCRIPTION,,,,111,151,,30,7,26,22,20,0,0,Tomato,,,120,190,1620,2340,1800,1800,5
HarvestCropMediumStrawberry,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_STRAWBERRY_DESCRIPTION,,,,110,150,,34,7,26,22,20,0,0,Strawberry,,,120,190,2100,3060,1800,1800,5
HarvestCropMediumPotato,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_POTATO_DESCRIPTION,,,,114,155,,35,7,26,22,20,0,0,Potato,,,120,190,1060,1500,1800,1800,5
HarvestCropMediumRice,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_RICE_DESCRIPTION,,,,130,176,,56,7,26,22,20,0,0,Rice,,,120,190,450,450,1800,1800,5
HarvestCropMediumLettuce,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_LETTUCE_DESCRIPTION,,,,114,155,,58,7,26,22,20,0,0,Lettuce,,,120,190,1020,1440,1800,1800,5
HarvestCropHardWheat,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_WHEAT_DESCRIPTION,,,,723,960,,18,9,43,55,79,21,0,Wheat,,,230,320,250,262,1800,1800,5
HarvestCropHardCorn,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CORN_DESCRIPTION,,,,520,700,,18,9,43,55,79,21,0,Corn,,,230,320,280,300,1800,1800,5
HarvestCropHardSoybean,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SOYBEAN_DESCRIPTION,,,,346,465,,18,9,43,55,79,21,0,Soybean,,,230,320,410,490,1800,1800,5
HarvestCropHardSugarcane,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_SUGARCANE_DESCRIPTION,,,,314,425,,18,9,43,55,79,21,0,Sugarcane,,,230,320,510,570,1800,1800,5
HarvestCropHardCarrot,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CARROT_DESCRIPTION,,,,418,560,,18,9,43,55,79,21,0,Carrot,,,230,320,330,370,1800,1800,5
HarvestCropHardIndigo,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_INDIGO_DESCRIPTION,,,,242,335,,18,9,43,55,79,21,0,Indigo,,,230,320,1170,1410,1800,1800,5
HarvestCropHardPumpkin,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_PUMPKIN_DESCRIPTION,,,,229,320,,18,9,43,55,79,21,0,Pumpkin,,,230,320,1290,2010,1800,1800,5
HarvestCropHardCotton,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_COTTON_DESCRIPTION,,,,235,325,,18,9,43,55,79,21,0,Cotton,,,230,320,1410,1710,1800,1800,5
HarvestCropHardChili,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_CHILI_DESCRIPTION,,,,221,310,,25,9,43,55,79,21,0,Chili,,,230,320,1650,2130,1800,1800,5
HarvestCropHardTomato,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_TOMATO_DESCRIPTION,,,,212,295,,30,9,43,55,79,21,0,Tomato,,,230,320,2370,3090,1800,1800,5
HarvestCropHardStrawberry,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_STRAWBERRY_DESCRIPTION,,,,207,290,,34,9,43,55,79,21,0,Strawberry,,,230,320,3090,4050,1800,1800,5
HarvestCropHardPotato,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_POTATO_DESCRIPTION,,,,224,310,,35,9,43,55,79,21,0,Potato,,,230,320,1530,1970,1800,1800,5
HarvestCropHardRice,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_RICE_DESCRIPTION,,,,287,390,,56,9,43,55,79,21,0,Rice,,,230,320,570,750,1800,1800,5
HarvestCropHardLettuce,HarvestCrop,,TID_NEIGHBORHOOD_TASK_HARVEST_CROP_TITLE,TID_DERBY_TASK_HARVEST_LETTUCE_DESCRIPTION,,,,225,310,,58,9,43,55,79,21,0,Lettuce,,,230,320,1470,1890,1800,1800,5
CollectAnimalProductEasyEgg,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_CHICKEN_DESCRIPTION,,,,16,30,,18,22,83,33,22,0,0,Egg,,,50,90,160,200,1800,1800,5
CollectAnimalProductEasyMilk,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_COW_DESCRIPTION,,,,12,20,,18,22,83,33,22,0,0,Milk,,,50,90,240,360,1800,1800,5
CollectAnimalProductEasyWool,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_SHEEP_DESCRIPTION,,,,11,17,,32,22,83,33,22,0,0,Wool,,,50,90,840,1560,1800,1800,5
CollectAnimalProductEasyBacon,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_PIG_DESCRIPTION,,,,11,17,,42,22,83,33,22,0,0,Bacon,,,50,90,600,1080,1800,1800,5
CollectAnimalProductEasyGoat Milk,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_GOAT_DESCRIPTION,,,,8,13,,50,22,83,33,22,0,0,Goat Milk,,,50,90,1080,2040,1800,1800,5
CollectAnimalProductMediumEgg,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_CHICKEN_DESCRIPTION,,,,45,75,,18,18,66,59,52,0,0,Egg,,,120,190,270,350,1800,1800,5
CollectAnimalProductMediumMilk,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_COW_DESCRIPTION,,,,29,50,,18,18,66,59,52,0,0,Milk,,,120,190,390,630,1800,1800,5
CollectAnimalProductMediumWool,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_SHEEP_DESCRIPTION,,,,22,40,,32,18,66,59,52,0,0,Wool,,,120,190,1590,2310,1800,1800,5
CollectAnimalProductMediumBacon,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_PIG_DESCRIPTION,,,,23,41,,42,18,66,59,52,0,0,Bacon,,,120,190,1110,1590,1800,1800,5
CollectAnimalProductMediumGoat Milk,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_GOAT_DESCRIPTION,,,,17,31,,50,18,66,59,52,0,0,Goat Milk,,,120,190,2070,3030,1800,1800,5
CollectAnimalProductHardEgg,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_CHICKEN_DESCRIPTION,,,,93,138,,18,23,108,140,195,55,0,Egg,,,230,320,380,460,1800,1800,5
CollectAnimalProductHardMilk,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_COW_DESCRIPTION,,,,60,86,,18,23,108,140,195,55,0,Milk,,,230,320,660,780,1800,1800,5
CollectAnimalProductHardWool,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_SHEEP_DESCRIPTION,,,,46,63,,32,23,108,140,195,55,0,Wool,,,230,320,2340,3060,1800,1800,5
CollectAnimalProductHardBacon,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_PIG_DESCRIPTION,,,,49,67,,42,23,108,140,195,55,0,Bacon,,,230,320,1620,2100,1800,1800,5
CollectAnimalProductHardGoat Milk,CollectAnimalProduct,,TID_NEIGHBORHOOD_TASK_COLLECT_ANIMAL_PRODUCT_TITLE,TID_DERBY_TASK_HARVEST_GOAT_DESCRIPTION,,,,36,49,,50,23,108,140,195,55,0,Goat Milk,,,230,320,3060,4020,1800,1800,5
FishLureEasy,FishLureByWeight,,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_TITLE,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FISHING_TASK,nh_derby_task_fishing_order,,10,25,,27,101,396,160,100,0,0,,,,50,90,0,0,1800,1800,5
FishLureMedium,FishLureByWeight,,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_TITLE,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FISHING_TASK,nh_derby_task_fishing_order,,35,60,,27,87,310,280,250,0,0,,,,120,190,0,0,1800,1800,5
FishLureHard,FishLureByWeight,,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_TITLE,TID_NEIGHBORHOOD_TASK_FISH_LURE_BY_WEIGHT_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FISHING_TASK,nh_derby_task_fishing_order,,75,110,,27,115,551,700,975,275,0,,,,230,320,0,0,1800,1800,5
CarOrderEasy,CarOrder,,TID_NEIGHBORHOOD_TASK_CAR_ORDER_TITLE,TID_NEIGHBORHOOD_TASK_CAR_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_CARORDERS_TASK,nh_derby_task_car_order,,3,7,,10,101,396,160,100,0,0,,,,50,90,270,630,1800,1800,5
CarOrderMedium,CarOrder,,TID_NEIGHBORHOOD_TASK_CAR_ORDER_TITLE,TID_NEIGHBORHOOD_TASK_CAR_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_CARORDERS_TASK,nh_derby_task_car_order,,10,16,,10,87,310,280,250,0,0,,,,120,190,700,1120,1800,1800,5
CarOrderHard,CarOrder,,TID_NEIGHBORHOOD_TASK_CAR_ORDER_TITLE,TID_NEIGHBORHOOD_TASK_CAR_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_CARORDERS_TASK,nh_derby_task_car_order,,20,32,,10,115,551,700,975,275,0,,,,230,320,1200,1920,1800,1800,5
BoatOrderEasy,BoatOrder,,TID_NEIGHBORHOOD_TASK_BOAT_ORDER_TITLE,TID_NEIGHBORHOOD_TASK_BOAT_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_BOATORDERS_TASK,nh_derby_task_boat_order,,1,1,,17,72,288,110,68,0,0,,,,120,120,0,0,1800,1800,5
BoatOrderMedium,BoatOrder,,TID_NEIGHBORHOOD_TASK_BOAT_ORDER_TITLE,TID_NEIGHBORHOOD_TASK_BOAT_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_BOATORDERS_TASK,nh_derby_task_boat_order,,2,2,,17,60,220,190,170,0,0,,,,220,220,0,0,1800,1800,5
BoatOrderHard,BoatOrder,,TID_NEIGHBORHOOD_TASK_BOAT_ORDER_TITLE,TID_NEIGHBORHOOD_TASK_BOAT_ORDER_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_BOATORDERS_TASK,nh_derby_task_boat_order,,3,4,,17,80,390,475,680,180,0,,,,270,320,0,0,1800,1800,5
ServeTownVisitorEasy,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_TOWNVISITOR_TASK,nh_derby_task_town_order,,2,5,,36,114,450,185,110,0,0,,,,50,90,0,0,1800,1800,5
ServeTownVisitorMedium,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_TOWNVISITOR_TASK,nh_derby_task_town_order,,8,13,,38,95,340,310,270,0,0,,,,120,190,0,0,1800,1800,5
ServeTownVisitorHard,ServeTownVisitor,,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_TITLE,TID_NEIGHBORHOOD_TASK_SERVE_TOWN_VISITOR_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_TOWNVISITOR_TASK,nh_derby_task_town_order,,16,23,,40,130,618,775,1070,310,0,,,,230,320,0,0,1800,1800,5
ExcavateOreEasy,ExcavateOre,,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_TITLE,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_EXCAVATEORE_TASK,nh_derby_task_mine_order,,9,17,,24,104,403,170,100,0,0,,,,50,90,0,0,1800,1800,5
ExcavateOreMedium,ExcavateOre,,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_TITLE,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_EXCAVATEORE_TASK,nh_derby_task_mine_order,,27,46,,24,90,316,295,250,0,0,,,,120,190,0,0,1800,1800,5
ExcavateOreHard,ExcavateOre,,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_TITLE,TID_NEIGHBORHOOD_TASK_EXCAVATE_ORE_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_EXCAVATEORE_TASK,nh_derby_task_mine_order,,57,99,,24,117,550,700,975,275,0,,,,230,320,0,0,1800,1800,5
GiveHelpEasy,GiveHelp,,TID_NEIGHBORHOOD_TASK_GIVE_HELP_TITLE,TID_NEIGHBORHOOD_TASK_GIVE_HELP_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_HELP_TASK,tool_request_help,,3,6,,18,104,403,170,100,0,0,,,,50,90,0,0,1800,1800,5
GiveHelpMedium,GiveHelp,,TID_NEIGHBORHOOD_TASK_GIVE_HELP_TITLE,TID_NEIGHBORHOOD_TASK_GIVE_HELP_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_HELP_TASK,tool_request_help,,9,15,,18,90,316,295,250,0,0,,,,120,190,0,0,1800,1800,5
GiveHelpDifficult,GiveHelp,,TID_NEIGHBORHOOD_TASK_GIVE_HELP_TITLE,TID_NEIGHBORHOOD_TASK_GIVE_HELP_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_HELP_TASK,tool_request_help,,19,30,,18,117,550,700,975,275,0,,,,230,320,0,0,1800,1800,5
FeedAnimalEasy,FeedAnyAnimal,,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_TITLE,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FEEDANIMAL_TASK,tool_feed_question,,18,51,,18,60,227,100,60,0,0,,,,50,90,680,750,1800,1800,5
FeedAnimalMedium,FeedAnyAnimal,,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_TITLE,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FEEDANIMAL_TASK,tool_feed_question,,84,117,,18,50,176,160,140,0,0,,,,120,190,920,1070,1800,1800,5
FeedAnimalHard,FeedAnyAnimal,,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_TITLE,TID_NEIGHBORHOOD_TASK_FEED_ANIMAL_DESCRIPTION,TID_DERBY_TASKLIST_TOOLTIP_FEEDANIMAL_TASK,tool_feed_question,,162,195,,18,70,300,450,550,170,0,,,,230,320,1320,1550,1800,1800,5
CollectGoodEasyApple Juice,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,30,4,14,6,3,0,0,Apple Juice,Juice_Press,,50,90,576,864,1800,1800,5
CollectGoodEasyBacon and Eggs,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,4,5,,18,4,14,6,3,0,0,Bacon and Eggs,Barbecue_Grill,,50,90,576,720,1800,1800,5
CollectGoodEasyBaked Potato,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,4,,35,4,14,6,3,0,0,Baked Potato,Barbecue_Grill,,50,90,252,336,1800,1800,5
CollectGoodEasyBerry Cake,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,5,,23,4,14,6,3,0,0,Berry Cake,Cake_Oven,,50,90,432,720,1800,1800,5
CollectGoodEasyBlackberry Muffin,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,5,,26,4,14,6,3,0,0,Blackberry Muffin,Bakery,,50,90,324,540,1800,1800,5
CollectGoodEasyCarrot Cake,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,4,,21,4,14,6,3,0,0,Carrot Cake,Cake_Oven,,50,90,648,864,1800,1800,5
CollectGoodEasyChili Popcorn,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,25,4,14,6,3,0,0,Chili Popcorn,Popcorn_Pot,,50,90,576,864,1800,1800,5
CollectGoodEasyCotton Shirt,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,5,,19,4,14,6,3,0,0,Cotton Shirt,Sewing_Machine,,50,90,324,540,1800,1800,5
CollectGoodEasyFeta Pie,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,2,3,,34,4,14,6,3,0,0,Feta Pie,Pie_Oven,,50,90,432,648,1800,1800,5
CollectGoodEasyGoat Cheese,CollectGood,,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,,3,4,,33,4,14,6,3,0,0,Goat Cheese,Dairy,,50,90,648,864,1800,1800,5
