"Name","ToolIconExportName","BonusIconExportName","BonusTID","TID","DescriptionTID","DiamondPrice"
"TotalLikes","tool_collect_milk",,,"TID_STAT_TOTAL_LIKES_NAME","TID_NONE",
"Voucher","icon_voucher_common",,,"TID_VOUCHERS_GENERIC","TID_VOUCHERS_GENERIC_DESCRIPTION",
"BoatOrderCrateCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"BoatOrderSharedCrateCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"FBRequirementIgnored","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LastSuccessfulPurchaseTime","tool_collect_milk",,,"TID_NONE","TID_NONE",
"TotalPurchaseCounterUSD","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PurchaseLimitCounterUSD","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CurrentOfferState","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CurrentOfferDataGlobalID","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CurrentOfferTier","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LastOfferPurchasedPackageGlobalID","tool_collect_milk",,,"TID_NONE","TID_NONE",
"MostDiamondsBought","tool_collect_milk",,,"TID_NONE","TID_NONE",
"OfferManagerTicks","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PetFeedCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"SocialBoatCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"SpinTheWheelCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"FacebookAdClicked","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CurrentToolOfferDataGlobalID","tool_collect_milk",,,"TID_NONE","TID_NONE",
"ToolOfferManagerTicks","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CurrentToolOfferState","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LastTargetedOfferID","tool_collect_milk",,,"TID_NONE","TID_NONE",
"BoatScore","points_icon_boat",,,"TID_NONE","TID_NONE",
"BoatHelpScore","points_icon_boat",,,"TID_NONE","TID_NONE",
"LastOpenedFriendLeaderboardHash","tool_collect_milk",,,"TID_NONE","TID_NONE",
"GiftCards","icon_gift_card",,,"TID_GIFT_CARDS","TID_GIFT_CARDS_DESCRIPTION",3
"AIWelcomeLetterSent","tool_collect_milk",,,"TID_NONE","TID_NONE",
"SportsFisherCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"BigGameFisherCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"FishFarmerCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"FishermansFriendCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"TackleBoxRank","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LastSeenCalendarEvent","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LobsterPoolRank","tool_collect_milk",,,"TID_NONE","TID_NONE",
"WeiboAdClicked","tool_collect_milk",,,"TID_NONE","TID_NONE",
"EasterEggSpawnAtFriendState","tool_collect_milk",,,"TID_NONE","TID_NONE",
"EasterEggSpawnAtFriendStateFishing","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PersonalEventCounter","tool_collect_milk",,,"TID_NONE","TID_NONE",
"EventThresholdRewardIndex1","tool_collect_milk",,,"TID_NONE","TID_NONE",
"EventThresholdRewardIndex2","tool_collect_milk",,,"TID_NONE","TID_NONE",
"EventThresholdRewardIndex3","tool_collect_milk",,,"TID_NONE","TID_NONE",
"EventThresholdRewardIndex4","tool_collect_milk",,,"TID_NONE","TID_NONE",
"EventThresholdRewardIndex5","tool_collect_milk",,,"TID_NONE","TID_NONE",
"MysteryBoxRandomSeed","tool_collect_milk",,,"TID_NONE","TID_NONE",
"EasterEggRandomSeed","tool_collect_milk",,,"TID_NONE","TID_NONE",
"InstagramAdClicked","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LobsterTails","tool_collect_milk",,,"TID_NONE","TID_NONE",
"MaxSimultaneousLobsters","tool_collect_milk",,,"TID_NONE","TID_NONE",
"IsNeighborhoodBuildingRepaired","tool_collect_milk",,,"TID_NONE","TID_NONE",
"NeighborhoodJoinAllowedTime","tool_collect_milk",,,"TID_NONE","TID_NONE",
"NeighborhoodJoinDelayLevel","tool_collect_milk",,,"TID_NONE","TID_NONE",
"NeighborhoodJoinDelayLevelTime","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LastTimeChatWasRead","tool_collect_milk",,,"TID_NONE","TID_NONE",
"IsTrainRepaired","tool_collect_milk",,,"TID_NONE","TID_NONE",
"ReputationLevel","icon_xp_reputation",,,"TID_NONE","TID_NONE",
"ReputationPoints","icon_xp_reputation",,,"TID_NONE","TID_NONE",
"LastSeenPersonalNeighborhoodEventCalendarEvent","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PersonalNeighborhoodEventCounter","tool_collect_milk",,,"TID_NONE","TID_NONE",
"VisitorsCompletedCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"ServiceBuildingCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PersonalTrainManagerCurrentCapacity","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PersonalTrainManagerMaxCapacity","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PersonalTrainManagerCooldownIntervalUpgradeLevel","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PersonalTrainManagerCooldownTimerTicks","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PersonalTrainManagerCurrentLevel","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PersonalTrainManagerCurrentCapacityLevel","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PersonalTrainManagerCurrentVillageCapacity","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PersonalTrainManagerCurrentVillageVisitorCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"AIVisitorPickupBits","tool_collect_milk",,,"TID_NONE","TID_NONE",
"AIVisitorCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"AIVisitorSpawnCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"AIVisitorCooldownTimerTicks","tool_collect_milk",,,"TID_NONE","TID_NONE",
"SecondsSinceLastOpenCrateAtFriend","tool_collect_milk",,,"TID_NONE","TID_NONE",
"MysteryCrateRandomSeed","tool_collect_milk",,,"TID_NONE","TID_NONE",
"ShowMysteryCrateAtFriend","tool_collect_milk",,,"TID_NONE","TID_NONE",
"FriendMysteryCrateState","tool_collect_milk",,,"TID_NONE","TID_NONE",
"RoadsideShopPutStuffLastDayIndex","tool_collect_milk",,,"TID_NONE","TID_NONE",
"RoadsideShopPutStuffCountToday","tool_collect_milk",,,"TID_NONE","TID_NONE",
"RoadsideShopPutStuffMostPutsInDay","tool_collect_milk",,,"TID_NONE","TID_NONE",
"GregTrainTownVisited","tool_collect_milk",,,"TID_NONE","TID_NONE",
"FreeCash","icon_coin_big",,,"TID_CASH","TID_CASH_DESCRIPTION",
"LastManualOfferID","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LastSeenManualOfferTime","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PreviousOfferWaitingTimeLeftSeconds","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LastManualOfferVersion","tool_collect_milk",,,"TID_NONE","TID_NONE",
"GCPopupCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"DuckSalonRank","tool_collect_milk",,,"TID_NONE","TID_NONE",
"ExpLevelThresholdRewardIndex1","tool_collect_milk",,,"TID_NONE","TID_NONE",
"ExpLevelThresholdRewardIndex2","tool_collect_milk",,,"TID_NONE","TID_NONE",
"ExpLevelThresholdRewardIndex3","tool_collect_milk",,,"TID_NONE","TID_NONE",
"DuckDown","tool_collect_milk",,,"TID_NONE","TID_NONE",
"MaxSimultaneousDucks","tool_collect_milk",,,"TID_NONE","TID_NONE",
"ExpLevelThresholdRewardIndex4","tool_collect_milk",,,"TID_NONE","TID_NONE",
"ExpLevelThresholdRewardIndex5","tool_collect_milk",,,"TID_NONE","TID_NONE",
"RoadsideShopStandDiamondPriceCurrent","tool_collect_milk",,,"TID_NONE","TID_NONE",
"Honeycombs","tool_collect_milk",,,"TID_NONE","TID_NONE",
"DerbyRacePoints","icon_nh_derby_star",,,"TID_NONE","TID_NONE",
"TotalDerbyPoints","tool_collect_milk",,,"TID_NONE","TID_NONE",
"TotalDerbyTasks","tool_collect_milk",,,"TID_NONE","TID_NONE",
"NoticeDialogToSPrivacyPolicyDisplayed","tool_collect_milk",,,"TID_NONE","TID_NONE",
"RedPackageState","tool_collect_milk",,,"TID_NONE","TID_NONE",
"TimesInLeague5","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LastCheckedSeasonId","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PurchasedLayoutSlots","tool_collect_milk",,,"TID_PANDORA_PURCHASED_FARM_LAYOUT_SLOT","TID_NONE",
"ActiveLayout","tool_collect_milk",,,"TID_NONE","TID_NONE",
"PurchasedLayoutSlotsTown","tool_collect_milk",,,"TID_PANDORA_PURCHASED_TOWN_LAYOUT_SLOT","TID_NONE",
"ActiveLayoutTown","tool_collect_milk",,,"TID_NONE","TID_NONE",
"WWFPackageState","tool_collect_milk",,,"TID_NONE","TID_NONE",
"NeighborhoodRequestCooldownTimerTicks","tool_collect_milk",,,"TID_NONE","TID_NONE",
"NeighborhoodRequestCounter","tool_collect_milk",,,"TID_NONE","TID_NONE",
"NeighborhoodDonationCooldownTimerTicks","tool_collect_milk",,,"TID_NONE","TID_NONE",
"NeighborhoodDonationCounter","tool_collect_milk",,,"TID_NONE","TID_NONE",
"DonationCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LastCheckedTradingSeasonId","tool_collect_milk",,,"TID_NONE","TID_NONE",
"WarehouseUpgradeBits","tool_collect_milk",,,"TID_NONE","TID_NONE",
"SiloUpgradeBits","tool_collect_milk",,,"TID_NONE","TID_NONE",
"TackleBoxUpgradeBits","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LumberjackState","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LumberjackTicks","tool_collect_milk",,,"TID_NONE","TID_NONE",
"LumberjackTreeCounter","tool_collect_milk",,,"TID_NONE","TID_NONE",
"DailyEventCountLastDayIndex","tool_collect_milk",,,"TID_NONE","TID_NONE",
"DailyEventCountToday","tool_collect_milk",,,"TID_NONE","TID_NONE",
"DailyEventMostEventsInDay","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CampaignPackageState","tool_collect_milk",,,"TID_NONE","TID_NONE",
"SanctuaryAnimalFeedCount","tool_collect_milk",,,"TID_NONE","TID_NONE",
"SpecialBoatCycleEndDay","tool_collect_milk",,,"TID_NONE","TID_NONE",
"BoatsUntilNextSpecialReward","tool_collect_milk",,,"TID_NONE","TID_NONE",
"SpecialRewardBoatsInCurrentCycle","tool_collect_milk",,,"TID_NONE","TID_NONE",
"CounterSanctuaryAnimalCollect","tool_collect_milk",,,"TID_NONE","TID_NONE",
"FirstOfMonthSpecialBoatLastGenerated","tool_collect_milk",,,"TID_NONE","TID_NONE",

