Name,FileName,ExportName,UnlockLevel,ReputationUnlockLevel,GoodReward,GoodAmount,Probability,DiamondPrice,RandomNumberMax,TileWidth,TileHeight,OpenSound,LockedSound,Mode
Box25,sc/buildings_new.sc,mystery_box_01,35,,FasterBuildings4_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box26,sc/buildings_new.sc,mystery_box_01,35,,FasterTrees_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box27,sc/buildings_new.sc,mystery_box_01,35,,FasterBushes_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box28,sc/buildings_new.sc,mystery_box_01,35,,FreeTom_lv1,1,2,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box29,sc/buildings_new.sc,mystery_box_01,35,,FreeRose_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box30,sc/buildings_new.sc,mystery_box_01,35,,FreeErnest_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box31,sc/buildings_new.sc,mystery_box_01,35,,EasierBoats_lv1,1,4,3,16,2,2,TreasureBox,TreasureBoxLocked,home
TownCrate21,sc/common.sc,mystery_crate_01,35,3,FasterBoats_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate22,sc/common.sc,mystery_crate_01,35,3,FasterCrops1_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate23,sc/common.sc,mystery_crate_01,35,3,FasterCrops2_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate24,sc/common.sc,mystery_crate_01,35,3,FasterCrops3_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate25,sc/common.sc,mystery_crate_01,35,3,FasterCrops4_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate26,sc/common.sc,mystery_crate_01,35,3,FasterTom_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate27,sc/common.sc,mystery_crate_01,35,3,FasterBuildings1_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate28,sc/common.sc,mystery_crate_01,35,3,FasterBuildings2_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate29,sc/common.sc,mystery_crate_01,35,3,FasterBuildings3_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate30,sc/common.sc,mystery_crate_01,35,3,FasterBuildings4_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate31,sc/common.sc,mystery_crate_01,35,3,FasterTrees_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate32,sc/common.sc,mystery_crate_01,35,3,FasterBushes_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate33,sc/common.sc,mystery_crate_01,35,3,FreeTom_lv2,1,2,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate34,sc/common.sc,mystery_crate_01,35,3,FreeRose_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate35,sc/common.sc,mystery_crate_01,35,3,FreeErnest_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
TownCrate36,sc/common.sc,mystery_crate_01,35,3,EasierBoats_lv2,1,4,5,16,2,2,TreasureBox,TreasureBoxLocked,train
Box32,sc/buildings_new.sc,mystery_box_01,25,,Expansion Key,1,50,3,16,2,2,TreasureBox,TreasureBoxLocked,home
Box33,sc/buildings_new.sc,mystery_box_01,,3,Puzzle Piece 1,1,23,3,16,2,2,TreasureBox,TreasureBoxLocked,home
TownCrate37,sc/common.sc,mystery_crate_01,,3,Puzzle Piece 1,1,21,5,16,2,2,TreasureBox,TreasureBoxLocked,train
