Name,FileName,ExportName,ToolIconExportName,BoosterType,BoosterTarget,BoosterPercentage,BoosterDurationSeconds,UnlockLevel,BoosterStars,TID,BoosterValueTID,DescriptionTID,BoosterEffectExportName,BoosterTapEffectExportName,SpinWheelPrize,FreeBooster
FasterTrees_lv4,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterTrees,,40,129600,35,4,TID_BOOSTER_FASTER_TREES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_TREES,happy_character,happy_character,,
FasterTrees_lv5,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterTrees,,50,172800,35,5,TID_BOOSTER_FASTER_TREES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_TREES,happy_character,happy_character,,
FasterBushes_lv1,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterBushes,,10,86400,35,1,TID_BOOSTER_FASTER_BUSHES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BUSHES,happy_character,happy_character,TRUE,
FasterBushes_lv2,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterBushes,,20,86400,35,2,TID_BOOSTER_FASTER_BUSHES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BUSHES,happy_character,happy_character,TRUE,
FasterBushes_lv3,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterBushes,,30,86400,35,3,TID_BOOSTER_FASTER_BUSHES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BUSHES,happy_character,happy_character,TRUE,
FasterBushes_lv4,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterBushes,,40,129600,35,4,TID_BOOSTER_FASTER_BUSHES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BUSHES,happy_character,happy_character,,
FasterBushes_lv5,sc/hud.sc,booster_item01,icon_booster_treesbushes,FasterBushes,,50,172800,35,5,TID_BOOSTER_FASTER_BUSHES,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_BUSHES,happy_character,happy_character,,
FasterBuildings1_lv1,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Popcorn_Pot,10,21600,35,1,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,
,,,,,Pie_Oven,,,,,,,,,,,
,,,,,Loom,,,,,,,,,,,
FasterBuildings1_lv2,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Popcorn_Pot,20,28800,35,2,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,
,,,,,Pie_Oven,,,,,,,,,,,
,,,,,Loom,,,,,,,,,,,
FasterBuildings1_lv3,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Popcorn_Pot,30,28800,35,3,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,
,,,,,Pie_Oven,,,,,,,,,,,
,,,,,Loom,,,,,,,,,,,
FasterBuildings1_lv4,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Popcorn_Pot,40,28800,35,4,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,
,,,,,Pie_Oven,,,,,,,,,,,
,,,,,Loom,,,,,,,,,,,
FasterBuildings1_lv5,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Popcorn_Pot,50,36000,35,5,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,
,,,,,Pie_Oven,,,,,,,,,,,
,,,,,Loom,,,,,,,,,,,
FasterBuildings2_lv1,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Sewing_Machine,10,21600,35,1,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,
,,,,,Cake_Oven,,,,,,,,,,,
,,,,,Juice_Press,,,,,,,,,,,
FasterBuildings2_lv2,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Sewing_Machine,20,28800,35,2,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,
,,,,,Cake_Oven,,,,,,,,,,,
,,,,,Juice_Press,,,,,,,,,,,
FasterBuildings2_lv3,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Sewing_Machine,30,28800,35,3,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,
,,,,,Cake_Oven,,,,,,,,,,,
,,,,,Juice_Press,,,,,,,,,,,
FasterBuildings2_lv4,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Sewing_Machine,40,28800,35,4,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,
,,,,,Cake_Oven,,,,,,,,,,,
,,,,,Juice_Press,,,,,,,,,,,
FasterBuildings2_lv5,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Sewing_Machine,50,36000,35,5,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,
,,,,,Cake_Oven,,,,,,,,,,,
,,,,,Juice_Press,,,,,,,,,,,
FasterBuildings3_lv1,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Ice_Cream_Maker,10,28800,35,1,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,
,,,,,Jam_Maker,,,,,,,,,,,
,,,,,Soup_Kitchen,,,,,,,,,,,
FasterBuildings3_lv2,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Ice_Cream_Maker,20,28800,35,2,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,
,,,,,Jam_Maker,,,,,,,,,,,
,,,,,Soup_Kitchen,,,,,,,,,,,
FasterBuildings3_lv3,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Ice_Cream_Maker,30,36000,35,3,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,
,,,,,Jam_Maker,,,,,,,,,,,
,,,,,Soup_Kitchen,,,,,,,,,,,
FasterBuildings3_lv4,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Ice_Cream_Maker,40,36000,35,4,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,
,,,,,Jam_Maker,,,,,,,,,,,
,,,,,Soup_Kitchen,,,,,,,,,,,
FasterBuildings3_lv5,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Ice_Cream_Maker,50,43200,35,5,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,
,,,,,Jam_Maker,,,,,,,,,,,
,,,,,Soup_Kitchen,,,,,,,,,,,
FasterBuildings4_lv1,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Candle_Maker,10,36000,51,1,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,
,,,,,Candy_Machine,,,,,,,,,,,
,,,,,Salad_Bar,,,,,,,,,,,
FasterBuildings4_lv2,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Candle_Maker,20,36000,51,2,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,
,,,,,Candy_Machine,,,,,,,,,,,
,,,,,Salad_Bar,,,,,,,,,,,
FasterBuildings4_lv3,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Candle_Maker,30,43200,51,3,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,TRUE,
,,,,,Candy_Machine,,,,,,,,,,,
,,,,,Salad_Bar,,,,,,,,,,,
FasterBuildings4_lv4,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Candle_Maker,40,43200,51,4,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,
,,,,,Candy_Machine,,,,,,,,,,,
,,,,,Salad_Bar,,,,,,,,,,,
FasterBuildings4_lv5,sc/hud.sc,booster_item01,icon_booster_fasterproduce,FasterProcessingBuilding,Candle_Maker,50,54000,51,5,TID_BOOSTER_FASTER_PRODUCTION,TID_BOOSTER_PERCENTAGE_FASTER,TID_BOOSTER_DESCRIPTION_FASTER_PRODUCTION,happy_character,happy_character,,
,,,,,Candy_Machine,,,,,,,,,,,
,,,,,Salad_Bar,,,,,,,,,,,
FasterTom_lv1,sc/hud.sc,booster_item01,icon_booster_fastertom,FasterTom,,20,28800,35,1,TID_BOOSTER_FASTER_TOM,TID_BOOSTER_PERCENTAGE_FASTER,TID_TEST_BOOSTER_DESCRIPTION_FASTER_TOM,happy_character,happy_character,TRUE,
FasterTom_lv2,sc/hud.sc,booster_item01,icon_booster_fastertom,FasterTom,,20,43200,35,2,TID_BOOSTER_FASTER_TOM,TID_BOOSTER_PERCENTAGE_FASTER,TID_TEST_BOOSTER_DESCRIPTION_FASTER_TOM,happy_character,happy_character,TRUE,
FasterTom_lv3,sc/hud.sc,booster_item01,icon_booster_fastertom,FasterTom,,25,43200,35,3,TID_BOOSTER_FASTER_TOM,TID_BOOSTER_PERCENTAGE_FASTER,TID_TEST_BOOSTER_DESCRIPTION_FASTER_TOM,happy_character,happy_character,TRUE,
FasterTom_lv4,sc/hud.sc,booster_item01,icon_booster_fastertom,FasterTom,,40,43200,35,4,TID_BOOSTER_FASTER_TOM,TID_BOOSTER_PERCENTAGE_FASTER,TID_TEST_BOOSTER_DESCRIPTION_FASTER_TOM,happy_character,happy_character,,
FasterTom_lv5,sc/hud.sc,booster_item01,icon_booster_fastertom,FasterTom,,50,43200,35,5,TID_BOOSTER_FASTER_TOM,TID_BOOSTER_PERCENTAGE_FASTER,TID_TEST_BOOSTER_DESCRIPTION_FASTER_TOM,happy_character,happy_character,,
FreeTom_lv1,sc/hud.sc,booster_item02,icon_booster_freetom,FreeTom,,100,10800,35,1,TID_BOOSTER_FREE_TOM,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_TOM,happy_character,happy_character,TRUE,
FreeTom_lv2,sc/hud.sc,booster_item02,icon_booster_freetom,FreeTom,,100,18000,35,2,TID_BOOSTER_FREE_TOM,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_TOM,happy_character,happy_character,TRUE,
FreeTom_lv3,sc/hud.sc,booster_item02,icon_booster_freetom,FreeTom,,100,32400,35,3,TID_BOOSTER_FREE_TOM,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_TOM,happy_character,happy_character,TRUE,
FreeTom_lv4,sc/hud.sc,booster_item02,icon_booster_freetom,FreeTom,,100,46800,35,4,TID_BOOSTER_FREE_TOM,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_TOM,happy_character,happy_character,,
FreeTom_lv5,sc/hud.sc,booster_item02,icon_booster_freetom,FreeTom,,100,90000,35,5,TID_BOOSTER_FREE_TOM,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_TOM,happy_character,happy_character,,
FreeRose_lv1,sc/hud.sc,booster_item02,icon_booster_freerose,FreeRose,,100,21600,35,1,TID_BOOSTER_FREE_ROSE,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ROSE,happy_character,happy_character,TRUE,
FreeRose_lv2,sc/hud.sc,booster_item02,icon_booster_freerose,FreeRose,,100,43200,35,2,TID_BOOSTER_FREE_ROSE,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ROSE,happy_character,happy_character,TRUE,
FreeRose_lv3,sc/hud.sc,booster_item02,icon_booster_freerose,FreeRose,,100,86400,35,3,TID_BOOSTER_FREE_ROSE,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ROSE,happy_character,happy_character,TRUE,
FreeRose_lv4,sc/hud.sc,booster_item02,icon_booster_freerose,FreeRose,,100,172800,35,4,TID_BOOSTER_FREE_ROSE,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ROSE,happy_character,happy_character,,
FreeRose_lv5,sc/hud.sc,booster_item02,icon_booster_freerose,FreeRose,,100,259200,35,5,TID_BOOSTER_FREE_ROSE,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ROSE,happy_character,happy_character,,
FreeErnest_lv1,sc/hud.sc,booster_item02,icon_booster_freeernist,FreeErnest,,100,21600,35,1,TID_BOOSTER_FREE_ERNEST,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ERNEST,happy_character,happy_character,TRUE,
FreeErnest_lv2,sc/hud.sc,booster_item02,icon_booster_freeernist,FreeErnest,,100,43200,35,2,TID_BOOSTER_FREE_ERNEST,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ERNEST,happy_character,happy_character,TRUE,
FreeErnest_lv3,sc/hud.sc,booster_item02,icon_booster_freeernist,FreeErnest,,100,86400,35,3,TID_BOOSTER_FREE_ERNEST,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ERNEST,happy_character,happy_character,TRUE,
FreeErnest_lv4,sc/hud.sc,booster_item02,icon_booster_freeernist,FreeErnest,,100,172800,35,4,TID_BOOSTER_FREE_ERNEST,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ERNEST,happy_character,happy_character,,
FreeErnest_lv5,sc/hud.sc,booster_item02,icon_booster_freeernist,FreeErnest,,100,259200,35,5,TID_BOOSTER_FREE_ERNEST,TID_HELPER_HIRE_FREE_BUTTON,TID_BOOSTER_DESCRIPTION_FREE_ERNEST,happy_character,happy_character,,
EasierBoats_lv1,sc/hud.sc,booster_item03,icon_booster_easyboat,EasierBoat,,100,28800,35,1,TID_BOOSTER_EASIER_BOAT,TID_BOOSTER_AMOUNT_EASIER,TID_BOOSTER_DESCRIPTION_EASIER_BOAT_SINGLE,happy_character,happy_character,TRUE,
EasierBoats_lv2,sc/hud.sc,booster_item03,icon_booster_easyboat,EasierBoat,,100,43200,35,2,TID_BOOSTER_EASIER_BOAT,TID_BOOSTER_AMOUNT_EASIER,TID_BOOSTER_DESCRIPTION_EASIER_BOAT_SINGLE,happy_character,happy_character,TRUE,
EasierBoats_lv3,sc/hud.sc,booster_item03,icon_booster_easyboat,EasierBoat,,100,86400,35,3,TID_BOOSTER_EASIER_BOAT,TID_BOOSTER_AMOUNT_EASIER,TID_BOOSTER_DESCRIPTION_EASIER_BOAT_SINGLE,happy_character,happy_character,TRUE,
EasierBoats_lv4,sc/hud.sc,booster_item03,icon_booster_easyboat,EasierBoat,,200,86400,35,4,TID_BOOSTER_EASIER_BOAT,TID_BOOSTER_AMOUNT_EASIER,TID_BOOSTER_DESCRIPTION_EASIER_BOAT_MULTIPLE,happy_character,happy_character,,
EasierBoats_lv5,sc/hud.sc,booster_item03,icon_booster_easyboat,EasierBoat,,300,86400,35,5,TID_BOOSTER_EASIER_BOAT,TID_BOOSTER_AMOUNT_EASIER,TID_BOOSTER_DESCRIPTION_EASIER_BOAT_MULTIPLE,happy_character,happy_character,,
