Name,ShopIconExportName,UnlockLevel,TimeMin,TimeSec,Slots,Price,PriceIncrease,DoPriceIncreaseEveryNObject,MaxHabitatsColumnName,FileName,ExportName,ExportNameMastered,TileWidth,TileHeight,ExpToBuild,InstantComplete,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,BuySound,RandomSounds,BuildingMasteryHours,BuildingMasteryBonusPercent,BuildingMasteryBonusType,BuildingMasteryStarDiamondPrice,BuildingMasteryEnabled
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Sugar_Mill,shop_icon_sugarmill,7,360,,2,350,,,,sc/buildings_new.sc,sugarmill_01,sugarmill_01_mastered,2,2,13,25,TID_SUGAR_MILL,TID_SUGAR_MILL_DESCRIPTION,SugarmillTap,SugarmillTapProcessing,Collect,Buy,,25,10,Coin,465,true
,,,,,,6,,,,,,,,,,,,,,,,,,125,10,Exp,1050,
,,,,,,9,,,,,,,,,,,,,,,,,,525,-15,SpeedUp,2282,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Pie_Oven,shop_icon_pieoven,14,720,,2,2200,,,,sc/buildings_new.sc,pie_oven_01,pie_oven_01_mastered,3,3,17,35,TID_PIE_OVEN,TID_PIE_OVEN_DESCRIPTION,SelectPieOwenIdle,SelecPieOwenProcess,Collect,Buy,,40,10,Coin,545,true
,,,,,,6,,,,,,,,,,,,,,,,,,200,10,Exp,1242,
,,,,,,9,,,,,,,,,,,,,,,,,,840,-15,SpeedUp,2688,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Loom,shop_icon_loom,17,1440,,2,3200,,,,sc/buildings_new.sc,loom_01,loom_01_mastered,2,2,24,47,TID_LOOM,TID_LOOM_DESCRIPTION,LoomTap,LoomTapProcessing,Collect,Buy,,36,10,Coin,525,true
,,,,,,6,,,,,,,,,,,,,,,,,,216,10,Exp,1290,
,,,,,,9,,,,,,,,,,,,,,,,,,1116,-15,SpeedUp,3031,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Cake_Oven,shop_icon_cakery,21,1440,,2,12100,,,,sc/buildings_new.sc,cakery_01,cakery_01_mastered,3,3,24,47,TID_CAKE_OVEN,TID_CAKE_OVEN_DESCRIPTION,SelectCakeOwenIdle,SelectCakeOwenProcess,Collect,Buy,,65,10,Coin,645,true
,,,,,,6,,,,,,,,,,,,,,,,,,325,10,Exp,1470,
,,,,,,9,,,,,,,,,,,,,,,,,,1365,-15,SpeedUp,3185,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Barbecue_Grill,shop_icon_grill,9,480,,2,730,,,,sc/buildings_new.sc,grill_01,grill_01_mastered,2,2,14,29,TID_BARBECUE_GRILL,TID_BARBECUE_GRILL_DESCRIPTION,BarbecueTapProcessing,BarbecueTapProcessing,Collect,Buy,,30,10,Coin,495,true
,,,,,,6,,,,,,,,,,,,,,,,,,150,10,Exp,1122,
,,,,,,9,,,,,,,,,,,,,,,,,,630,-15,SpeedUp,2429,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Juice_Press,shop_icon_juicepress,26,1920,,2,31000,,,,sc/buildings_new.sc,juicepress_01,juicepress_01_mastered,2,2,27,54,TID_JUICE_PRESS,TID_JUICE_PRESS_DESCRIPTION,JuicePressIdle,JuicePressProcessing,Collect,Buy,,50,10,Coin,590,true
,,,,,,6,,,,,,,,,,,,,,,,,,300,10,Exp,1452,
,,,,,,9,,,,,,,,,,,,,,,,,,1550,-15,SpeedUp,3395,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Jam_Maker,shop_icon_jamcooker,35,2160,,2,59000,,,,sc/buildings_new.sc,jamcooker_01,jamcooker_01_mastered,2,2,28,57,TID_JAM_MAKER,TID_JAM_MAKER_DESCRIPTION,JuicePressIdle,JamMakerProcessing,Collect,Buy,,90,10,Coin,725,true
,,,,,,6,,,,,,,,,,,,,,,,,,450,10,Exp,1650,
,,,,,,9,,,,,,,,,,,,,,,,,,1890,-15,SpeedUp,3570,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Smelter,shop_icon_smelter,24,1080,,1,12500,9500,1,MaxSmelters,sc/buildings_new.sc,smelter_01,smelter_01_mastered,2,2,21,42,TID_SMELTER,TID_SMELTER_DESCRIPTION,BakeryTap,DairyTap,Collect,Buy,,390,10,Coin,1210,true
,,,,,,6,,,,,,,,,,,,,,,,,,1930,10,Exp,2742,
,,,,,,9,,,,,,,,,,,,,,,,,,8110,-15,SpeedUp,5943,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
,,,,,,27,,,,,,,,,,,,,,,,,,,,,,
Ice_Cream_Maker,shop_icon_icecreammaker,29,1920,,2,38000,,,,sc/buildings_new.sc,ice_cream_maker01,ice_cream_maker01_mastered,2,3,27,54,TID_ICE_CREAM_MAKER,TID_ICE_CREAM_MAKER_DESCRIPTION,JuicePressIdle,JamMakerProcessing,Collect,Buy,,60,10,Coin,630,true
,,,,,,6,,,,,,,,,,,,,,,,,,300,5,Exp,1428,
,,,,,,9,,,,,,,,,,,,,,,,,,660,-15,SpeedUp,2198,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Jeweler,shop_icon_jewelry,38,2160,,2,68000,,,,sc/buildings_new.sc,jewelry_01,jewelry_01_mastered,2,2,28,57,TID_JEWELER,TID_JEWELER_DESCRIPTION,JuicePressIdle,DairyTap,Collect,Buy,,70,10,Coin,665,true
,,,,,,6,,,,,,,,,,,,,,,,,,350,5,Exp,1512,
,,,,,,9,,,,,,,,,,,,,,,,,,1470,-15,SpeedUp,3269,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Cafe_Kiosk,shop_icon_coffee_kiosk,42,2160,,2,75000,,,,sc/buildings_new.sc,coffee_kiosk01,coffee_kiosk01_mastered,2,2,28,57,TID_CAFE,TID_CAFE_DESCRIPTION,JuicePressIdle,DairyTap,Collect,Buy,,70,10,Coin,665,true
,,,,,,6,,,,,,,,,,,,,,,,,,310,5,Exp,1428,
,,,,,,9,,,,,,,,,,,,,,,,,,1270,-15,SpeedUp,3094,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Candy_Machine,shop_icon_candymaker,51,1920,,2,120000,,,,sc/buildings_new.sc,candy_maker_01,candy_maker_01_mastered,2,2,27,54,TID_CANDY_MACHINE,TID_CANDY_MACHINE_DESCRIPTION,JuicePressIdle,DairyTap,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Soup_Kitchen,shop_icon_soup_kitchen,46,2160,,2,115000,,,,sc/buildings_new.sc,soup_kitchen_01,soup_kitchen_01_mastered,2,2,28,57,TID_SOUP_KITCHEN,TID_SOUP_KITCHEN_DESCRIPTION,SoupKitchenTap,SoupKitchenProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Sauce_Mixer,shop_icon_saucemixer,54,2400,,2,135000,,,,sc/buildings_new.sc,saucemixer,saucemixer_mastered,3,3,30,60,TID_SAUCEMIXER,TID_SAUCEMIXER_DESCRIPTION,SauceMachineTap,SauceMachineTapProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Sushi_Bar,shop_icon_sushibar,56,2640,,2,150000,,,,sc/buildings_new.sc,sushi_bar,sushi_bar_mastered,2,2,31,62,TID_SUSHIBAR,TID_SUSHIBAR_DESCRIPTION,SushiBarTap,SushiBarTapProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Salad_Bar,shop_icon_saladbar,58,2880,,2,165000,,,,sc/buildings_new.sc,salad_bar,salad_bar_mastered,3,3,32,65,TID_SALADBAR,TID_SALADBAR_DESCRIPTION,SaladBarTap,SaladBarTapProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Sandwich_Bar,shop_icon_sandwich_bar,61,3120,,2,180000,,,,sc/buildings_new.sc,sandwich_bar,sandwich_bar_mastery,3,3,34,67,TID_SANDWICHBAR,TID_SANDWICHBAR_DESCRIPTION,SandwichBarTap,SandwichBarTapProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Smoothie_Mixer,shop_icon_smoothie_mixer,64,4320,,2,220000,,,,sc/buildings_new.sc,smoothie_mixer,smoothie_mixer_mastery,2,2,39,78,TID_SMOOTHIEMIXER,TID_SMOOTHIEMIXER_DESCRIPTION,SmoothieMixerTap,SmoothieMixerTapProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Sewing_Machine,shop_icon_sowing_machine,19,1200,,2,4500,,,,sc/buildings_new.sc,sowing_machine,sowing_machine_mastered,2,2,24,44,TID_SEWINGMACHINE,TID_SEWINGMACHINE_DESCRIPTION,SewingMachineTap,SewingMachineTapProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Honey_Extractor,shop_icon_honey_extractor,39,1440,,2,35000,,,,sc/buildings_new.sc,honey_extractor,honey_extractor_mastered,2,2,24,47,TID_HONEYEXTRACTOR,TID_HONEYEXTRACTOR_DESCRIPTION,SauceMachineTap,SauceMachineTapProcessing,Collect,Buy,,50,10,Coin,590,true
,,,,,,6,,,,,,,,,,,,,,,,,,200,5,Exp,1212,
,,,,,,9,,,,,,,,,,,,,,,,,,650,-15,SpeedUp,2373,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Candle_Maker,shop_icon_candle_maker,48,2280,,2,118000,,,,sc/buildings_new.sc,candle_maker,candle_maker_mastered,2,2,24,58,TID_CANDLEMAKER,TID_CANDLEMAKER_DESCRIPTION,SauceMachineTap,SauceMachineTapProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Hat_Maker,shop_icon_hat_maker,70,4560,,2,260000,,,,sc/buildings_new.sc,hat_maker,hat_maker_mastery,2,2,40,80,TID_HATMAKER,TID_HATMAKER_DESCRIPTION,SewingMachineTap,SewingMachineTapProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Pasta_Maker,shop_icon_pasta_maker,67,4800,,2,400000,,,,sc/buildings_new.sc,pasta_maker,pasta_maker_mastered,2,2,43,82,TID_PASTA_MAKER,TID_PASTA_MAKER_DESCRIPTION,SaladBarTap,SaladBarTapProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Hotdog_Stand,shop_icon_hotdog_stand,75,5280,,2,650000,,,,sc/buildings_new.sc,hotdog_stand,hotdog_stand_mastered,2,2,41,85,TID_HOTDOG_STAND,TID_HOTDOG_STAND_DESCRIPTION,BarbecueTapProcessing,BarbecueTapProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Pasta_Kitchen,shop_icon_pasta_kitchen,72,5040,,2,550000,,,,sc/buildings_new.sc,pasta_kitchen,pasta_kitchen_mastered,2,2,42,83,TID_PASTA_KITCHEN,TID_PASTA_KITCHEN_DESCRIPTION,SoupKitchenTap,SoupKitchenProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Taco_Kitchen,shop_icon_mexican_kitchen,77,5400,,2,700000,,,,sc/buildings_new.sc,mexican_kitchen,mexican_kitchen_mastered,2,2,43,86,TID_TACOKITCHEN,TID_TACO_KITCHEN_DESCRIPTION,TacoKitchenTap,TacoKitchenProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Tea_Stand,shop_icon_tea_stand,80,5700,,2,750000,,,,sc/buildings_new.sc,tea_stand,tea_stand_mastered,2,2,44,88,TID_TEASTAND,TID_TEA_STAND_DESCRIPTION,TeaStandTap,TeaStandProcessing,Collect,Buy,,72,10,Coin,670,true
,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,
,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,
,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
