Name,UnlockLevel,HappyDurationMinutes,FedDurationMinutes,Habitat,FileName,ShopIconExportName,MaxPathLength,MaxDistanceFromHouse,MaxDistanceFromHouseHungry,Exp,Vouchers,VoucherCount,StateIdleExportName,StateIdleHungryExportName,StateIdleMinMS,StateIdleMaxMS,StateRunExportName,StateMoveExportName,StateMoveHungryExportName,StateMoveMinMS,StateMoveMaxMS,StateRunMinMS,StateRunMaxMS,Speed,HungrySpeed,RunSpeed,StateEatExportName,StateEatMinMS,StateEatMaxMS,StateSleepExportName,StateSleepMinMS,StateSleepMaxMS,TID,DescriptionTID,ReadyNotificationName,TapSound,CollectSound,BuySound,FeedSound,RandomSounds,MaxCountColumnName,SpecialDropCounterIncrease,RandomAnimationFrame,ShopOrder
Dog1,20,0,360,DogHouse,sc/animals.sc,shop_icon_dog01a,150,1000,3,30,Voucher1,9,dog01a_idle01,dog01a_hungry_idle01,3000,9000,dog01a_run01,dog01a_walk01,dog01a_hungry_walk01,3000,9000,3000,9000,20,5,40,dog01a_eating01,3000,9000,dog01a_sleeping01,3000,9000,TID_DOG1,TID_DOG_DESCRIPTION,,DogTap,DogTap,Buy,,,MaxDogAmount,22,true,100
,,,,,,,,,,,Voucher2,2,dog01a_idle02,dog01a_hungry_idle02,,,,dog01a_walk02,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,dog01a_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog2,22,0,360,DogHouse,sc/animals.sc,shop_icon_dog01b,150,1000,3,40,Voucher1,12,dog01b_idle01,dog01b_hungry_idle01,3000,9000,dog01b_run01,dog01b_walk01,dog01b_hungry_walk01,3000,9000,3000,9000,20,5,40,dog01b_eating01,3000,9000,dog01b_sleeping01,3000,9000,TID_DOG2,TID_DOG_DESCRIPTION,,DogTap,DogTap,Buy,,,MaxDogAmount,28,true,200
,,,,,,,,,,,Voucher2,5,dog01b_idle02,dog01b_hungry_idle02,,,,dog01b_walk02,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,2,dog01b_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dog3,30,0,360,DogHouse,sc/animals.sc,shop_icon_dog01c,150,1000,3,50,Voucher1,18,dog01c_idle01,dog01c_hungry_idle01,3000,9000,dog01c_run01,dog01c_walk01,dog01c_hungry_walk01,3000,9000,3000,9000,20,5,40,dog01c_eating01,3000,9000,dog01c_sleeping01,3000,9000,TID_DOG3,TID_DOG_DESCRIPTION,,DogTap,DogTap,Buy,,,MaxDogAmount,34,true,300
,,,,,,,,,,,Voucher2,10,dog01c_idle02,dog01c_hungry_idle02,,,,dog01c_walk02,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher3,5,dog01c_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse1,27,0,360,HorseHouse,sc/animals02.sc,shop_icon_horse01bay,150,8,4,60,Voucher1,9,horse01bay_idle01,horse01bay_hungry_idle01,5000,7000,horse01bay_run01,horse01bay_walk01,horse01bay_hungry_walk01,6000,12000,8000,15000,11,4,55,horse01bay_eating01,4000,8000,horse01bay_sleeping01,3000,9000,TID_HORSE1,TID_HORSE_DESCRIPTION,,HorseTap,HorseTap,Buy,,,MaxHorseAmount,30,true,900
,,,,,,,,,,,Voucher2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse2,32,0,360,HorseHouse,sc/animals02.sc,shop_icon_horse01palomino,150,8,4,80,Voucher2,10,horse01palomino_idle01,horse01palomino_hungry_idle01,5000,7000,horse01palomino_run01,horse01palomino_walk01,horse01palomino_hungry_walk01,6000,12000,8000,15000,11,4,55,horse01palomino_eating01,4000,8000,horse01palomino_sleeping01,3000,9000,TID_HORSE2,TID_HORSE_DESCRIPTION,,HorseTap,HorseTap,Buy,,,MaxHorseAmount,36,true,1000
,,,,,,,,,,,Voucher3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse3,34,0,360,HorseHouse,sc/animals02.sc,shop_icon_horse01pinto,150,8,4,100,Voucher1,9,horse01pinto_idle01,horse01pinto_hungry_idle01,5000,7000,horse01pinto_run01,horse01pinto_walk01,horse01pinto_hungry_walk01,6000,12000,8000,15000,11,4,55,horse01pinto_eating01,4000,8000,horse01pinto_sleeping01,3000,9000,TID_HORSE3,TID_HORSE_DESCRIPTION,,HorseTap,HorseTap,Buy,,,MaxHorseAmount,42,true,1100
,,,,,,,,,,,Voucher2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse4,40,0,360,HorseHouse,sc/animals02.sc,shop_icon_horse01black,150,8,4,100,Voucher1,50,horse01black_idle01,horse01black_hungry_idle01,5000,7000,horse01black_run01,horse01black_walk01,horse01black_hungry_walk01,6000,12000,8000,15000,11,4,55,horse01black_eating01,4000,8000,horse01black_sleeping01,3000,9000,TID_HORSE4,TID_HORSE_DESCRIPTION,,HorseTap,HorseTap,Buy,,,MaxHorseAmount,42,true,1200
,,,,,,,,,,,Voucher2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donkey1,43,0,60,DonkeyHouse,sc/animals.sc,shop_icon_donkey01grey,150,8,4,25,Voucher1,2,donkey01grey_idle01,donkey01grey_hungry01,7900,11600,donkey01grey_run01,donkey01grey_walk01,donkey01grey_hungry_walk01,6000,12000,8000,15000,11,4,55,donkey01grey_eat,4000,8000,donkey01grey_sleep,3000,9000,TID_DONKEY1,TID_DONKEY_DESCRIPTION,,DonkeyTap,DonkeyTap,Buy,,,MaxDonkeyAmount,8,true,1500
,,,,,,,,,,,Voucher2,20,donkey01grey_idle02,,,,,donkey01grey_walk02,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donkey2,52,0,60,DonkeyHouse,sc/animals.sc,shop_icon_donkey01brown,150,8,4,35,Voucher1,2,donkey01brown_idle01,donkey01brown_hungry01,9700,9700,donkey01brown_run01,donkey01brown_walk01,donkey01brown_hungry_walk01,2000,3000,2000,3000,11,4,55,donkey01brown_eat,8400,8400,donkey01brown_sleep,3000,9000,TID_DONKEY2,TID_DONKEY_DESCRIPTION,,DonkeyTap,DonkeyTap,Buy,,,MaxDonkeyAmount,10,false,1600
,,,,,,,,,,,Voucher2,2,donkey01brown_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donkey3,55,0,60,DonkeyHouse,sc/animals.sc,shop_icon_donkey01female,150,8,4,30,Voucher1,2,donkey01female_idle01,donkey01female_hungry01,8400,8400,donkey01female_run01,donkey01female_walk01,donkey01female_hungry_walk01,2000,3000,2000,3000,11,4,55,donkey01female_eat,8400,8400,donkey01female_sleep,3000,9000,TID_DONKEY3,TID_DONKEY_DESCRIPTION,,DonkeyTap,DonkeyTap,Buy,,,MaxDonkeyAmount,9,false,1700
,,,,,,,,,,,Voucher2,2,donkey01female_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny1,31,0,360,BunnyHouse,sc/animals.sc,shop_icon_bunny01a,80,8,4,30,Voucher1,24,bunny_01_white_idle01,bunny_01_white_hungry01,5500,5500,bunny_01_white_running01,bunny_01_white_walk01,bunny_01_white_hungry_walk01,2000,3000,2000,3000,6,4,25,bunny_01_white_eating01,8400,8400,bunny_01_white_sleeping01,2000,3000,TID_BUNNY1,TID_BUNNY_DESCRIPTION,,BunnyTap,BunnyTap,Buy,,,MaxBunnyAmount,25,false,1300
,,,,,,,,,,,Voucher2,6,bunny_01_white_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny2,41,0,360,BunnyHouse,sc/animals.sc,shop_icon_bunny02a,80,8,4,30,Voucher1,12,bunny_02_fluffy_idle01,bunny_02_fluffy_hungry01,7000,7000,bunny_02_fluffy_running01,bunny_02_fluffy_walk01,bunny_02_fluffy_hungry_walk01,2000,3000,2000,3000,6,4,25,bunny_02_fluffy_eating01,8400,8400,bunny_02_fluffy_sleeping01,2000,3000,TID_BUNNY2,TID_BUNNY_DESCRIPTION,,BunnyTap,BunnyTap,Buy,,,MaxBunnyAmount,25,false,1400
,,,,,,,,,,,Voucher2,12,bunny_02_fluffy_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puppy1,35,0,360,PuppyHouse,sc/animals02.sc,shop_icon_dog01a_puppy,50,5,3,35,Voucher1,36,puppy_01_idle03,puppy_01_hungry,5400,7200,puppy_01_running,puppy_01_walking,puppy_01_hungry_walking,2000,3000,2000,3000,6,4,25,puppy_01_eating,8400,8400,puppy_01_sleeping,2000,3000,TID_PUPPY1,TID_PUPPY_DESCRIPTION,,PuppyTap,PuppyTap,Buy,,,MaxPuppyAmount,29,false,400
,,,,,,,,,,,Voucher2,8,puppy_01_idle04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitten1,49,0,360,KittenHouse,sc/animals02.sc,shop_icon_cat02_kitten,50,5,3,40,Voucher1,70,kitten_01_idle01,kitten_01_hungry,10900,13300,kitten_01_running,kitten_01_walking,kitten_01_hungry_walking,2000,3000,2000,3000,6,4,25,kitten_01_eating,8400,8400,kitten_01_sleeping,2000,3000,TID_KITTEN2,TID_KITTEN_DESCRIPTION,,KittenTap,KittenTap,Buy,,,MaxKittenAmount,36,false,800
,,,,,,,,,,,Voucher4,1,kitten_01_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puppy2,50,0,360,PuppyHouse,sc/animals02.sc,shop_icon_dog01b_puppy,50,5,3,35,Voucher2,35,puppy_02_idle01,puppy_02_hungry,6800,6800,puppy_02_running,puppy_02_walking,puppy_02_hungry_walking,2000,3000,2000,3000,6,4,25,puppy_02_eating,8400,8400,puppy_02_sleeping,2000,3000,TID_PUPPY2,TID_PUPPY_DESCRIPTION,,PuppyTap,PuppyTap,Buy,,,MaxPuppyAmount,29,false,410
,,,,,,,,,,,Voucher3,5,puppy_02_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitten2,56,0,360,KittenHouse,sc/animals02.sc,shop_icon_cat03_kitten,50,5,3,40,Voucher2,20,kitten_03_idle01,kitten_03_hungry,9600,13300,kitten_03_running,kitten_03_walking,kitten_03_hungry_walking,2000,3000,2000,3000,6,4,25,kitten_03_eating,8400,8400,kitten_03_sleeping,2000,3000,TID_KITTEN3,TID_KITTEN_DESCRIPTION,,KittenTap,KittenTap,Buy,,,MaxKittenAmount,36,false,810
,,,,,,,,,,,Voucher3,15,kitten_03_idle04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puppy3,54,0,360,PuppyHouse,sc/animals02.sc,shop_icon_dog01c_puppy,50,5,3,35,Voucher1,15,puppy_03_idle03,puppy_03_hungry,6800,11600,puppy_03_running,puppy_03_walking,puppy_03_hungry_walking,2000,3000,2000,3000,6,4,25,puppy_03_eating,8400,8400,puppy_03_sleeping,2000,3000,TID_PUPPY3,TID_PUPPY_DESCRIPTION,,PuppyTap,PuppyTap,Buy,,,MaxPuppyAmount,29,false,420
,,,,,,,,,,,Voucher2,15,puppy_03_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitten3,60,0,360,KittenHouse,sc/animals02.sc,shop_icon_cat01_kitten,50,5,3,40,Voucher3,30,kitten_02_idle01,kitten_02_hungry,5000,13300,kitten_02_running,kitten_02_walking,kitten_02_hungry_walking,2000,3000,2000,3000,6,4,25,kitten_02_eating,8400,8400,kitten_02_sleeping,2000,3000,TID_KITTEN1,TID_KITTEN_DESCRIPTION,,KittenTap,KittenTap,Buy,,,MaxKittenAmount,36,false,820
,,,,,,,,,,,Voucher4,10,kitten_02_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse5,47,0,360,HorseHouse,sc/animals02.sc,shop_icon_horse01lipizzaner,150,8,4,100,Voucher2,30,horse01lipizzaner_idle01,horse01lipizzaner_hungry_idle01,5000,7000,horse01lipizzaner_run01,horse01lipizzaner_walk01,horse01lipizzaner_hungry_walk01,6000,12000,8000,15000,11,4,55,horse01lipizzaner_eating01,4000,8000,horse01lipizzaner_sleeping01,3000,9000,TID_HORSE5,TID_HORSE_DESCRIPTION,,HorseTap,HorseTap,Buy,,,MaxHorseAmount,42,true,1201
,,,,,,,,,,,Voucher3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Voucher4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny3,38,0,360,BunnyHouse,sc/animals.sc,shop_icon_bunny03a,80,8,4,30,Voucher3,15,bunny_01_black_idle01,bunny_01_black_hungry01,5500,5500,bunny_01_black_running01,bunny_01_black_walk01,bunny_01_black_hungry_walk01,2000,3000,2000,3000,6,4,25,bunny_01_black_eating01,8400,8400,bunny_01_black_sleeping01,2000,3000,TID_BLACKBUNNY,TID_BUNNY_DESCRIPTION,,BunnyTap,BunnyTap,Buy,,,MaxBunnyAmount,25,false,1401
,,,,,,,,,,,Voucher4,15,bunny_01_black_signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300
