"Language","CommunityButtonTID","CommunityButtonLink","CommunityButtonLinkAndroid","CommunityButtonFailbackLink","CommunityButtonIcon","MoreButtonTID","MoreButtonLink","MoreButtonHelpshiftID","MoreButtonIcon"
"DE","TID_FAQ_FORUMS_BUTTON","https://forum.supercell.com/forumdisplay.php/5-Hay-Day",,,"community_icon_forums","TID_ISSUE_TYPE_RETRIEVE_LOST_FARM","HUD:RecoverLostFarmHUD",,"icon_settings_forums"
,"TID_ABOUT_FACEBOOK","fb://page/?id=297050457046195","fb://facewebmodal/f?href=http://www.facebook.com/HayDayOfficial","https://www.facebook.com/297050457046195","logo_facebook","TID_ABOUT_TERMS_OF_SERVICE","http://supercell.com/en/terms-of-service",1777,"icon_settings_forums"
,"TID_ABOUT_INSTAGRAM","https://instagram.com/HayDay",,,"community_icon_instagram","TID_ABOUT_PRIVACY_POLICY","http://supercell.com/en/privacy-policy",1776,"icon_settings_forums"
,"TID_ABOUT_TWITTER","https://twitter.com/hayday",,,"community_icon_twitter","TID_ABOUT_PARENT_GUIDE","http://supercell.com/en/parents/",2229,"icon_settings_forums"
,"TID_SETTINGS_YOUTUBE","https://www.youtube.com/HayDay",,,"community_icon_youtube","TID_ABOUT_CREDITS","HUD:CreditsHUD",,"icon_settings_forums"
,"TID_SETTINGS_WIKI","http://de.hayday.wikia.com",,,"community_icon_wikia",,,,
,,,,,,,,,
"FR","TID_FAQ_FORUMS_BUTTON","https://forum.supercell.com/forumdisplay.php/5-Hay-Day",,,"community_icon_forums","TID_ISSUE_TYPE_RETRIEVE_LOST_FARM","HUD:RecoverLostFarmHUD",,"icon_settings_forums"
,"TID_ABOUT_FACEBOOK","fb://page/?id=297050457046195","fb://facewebmodal/f?href=http://www.facebook.com/HayDayOfficial","https://www.facebook.com/297050457046195","logo_facebook","TID_ABOUT_TERMS_OF_SERVICE","http://supercell.com/en/terms-of-service",1777,"icon_settings_forums"
,"TID_ABOUT_INSTAGRAM","https://instagram.com/HayDay",,,"community_icon_instagram","TID_ABOUT_PRIVACY_POLICY","http://supercell.com/en/privacy-policy",1776,"icon_settings_forums"
,"TID_ABOUT_TWITTER","https://twitter.com/hayday",,,"community_icon_twitter","TID_ABOUT_PARENT_GUIDE","http://supercell.com/en/parents/",2229,"icon_settings_forums"
,"TID_SETTINGS_YOUTUBE","https://www.youtube.com/HayDay",,,"community_icon_youtube","TID_ABOUT_CREDITS","HUD:CreditsHUD",,"icon_settings_forums"
,"TID_SETTINGS_WIKI","http://fr.hayday.wikia.com",,,"community_icon_wikia",,,,
,,,,,,,,,
"TH","TID_ABOUT_FACEBOOK","fb://page/?id=1060421504061912","fb://facewebmodal/f?href=http://www.facebook.com/HayDayThailandOfficial","https://www.facebook.com/1060421504061912","logo_facebook","TID_ISSUE_TYPE_RETRIEVE_LOST_FARM","HUD:RecoverLostFarmHUD",,"icon_settings_forums"
,"TID_ABOUT_INSTAGRAM","https://instagram.com/HayDay",,,"community_icon_instagram","TID_ABOUT_TERMS_OF_SERVICE","http://supercell.com/en/terms-of-service",1777,"icon_settings_forums"
,"TID_SETTINGS_YOUTUBE","https://www.youtube.com/HayDay",,,"community_icon_youtube","TID_ABOUT_PRIVACY_POLICY","http://supercell.com/en/privacy-policy",1776,"icon_settings_forums"
,,,,,,"TID_ABOUT_PARENT_GUIDE","http://supercell.com/en/parents/",2229,"icon_settings_forums"
,,,,,,"TID_ABOUT_CREDITS","HUD:CreditsHUD",,"icon_settings_forums"
,,,,,,,,,
"Default","TID_FAQ_FORUMS_BUTTON","https://forum.supercell.com/forumdisplay.php/5-Hay-Day",,,"community_icon_forums","TID_ISSUE_TYPE_RETRIEVE_LOST_FARM","HUD:RecoverLostFarmHUD",,"icon_settings_forums"
,"TID_ABOUT_FACEBOOK","fb://page/?id=297050457046195","fb://facewebmodal/f?href=http://www.facebook.com/HayDayOfficial","https://www.facebook.com/297050457046195","logo_facebook","TID_ABOUT_TERMS_OF_SERVICE","http://supercell.com/en/terms-of-service",1777,"icon_settings_forums"
,"TID_ABOUT_INSTAGRAM","https://instagram.com/HayDay",,,"community_icon_instagram","TID_ABOUT_PRIVACY_POLICY","http://supercell.com/en/privacy-policy",1776,"icon_settings_forums"
,"TID_ABOUT_TWITTER","https://twitter.com/hayday",,,"community_icon_twitter","TID_ABOUT_PARENT_GUIDE","http://supercell.com/en/parents/",2229,"icon_settings_forums"
,"TID_SETTINGS_YOUTUBE","https://www.youtube.com/HayDay",,,"community_icon_youtube","TID_ABOUT_CREDITS","HUD:CreditsHUD",,"icon_settings_forums"
,"TID_SETTINGS_WIKI","http://hayday.wikia.com",,,"community_icon_wikia",,,,
