Name,FileName,ExportName,ExportNameOld,AssetPrefix,TID,DescriptionTID,FavouriteBait,FavouriteBait2,HabitatExportName,HabitatOldExportName,PhotoAngle,BaseProbability,MainColour,SubColour,Shape,AnimationExportNamePrefix,Special,WeightMin,WeightMax,StruggleSpeedMin,StruggleSpeedMax,RodPullStrengthPercentage,SwimAgainstPercentage,CircleRadiusCatch,CircleCatchDurationMS,CatchRewardDiamonds,CatchRewardXP,EventFish
Fish_20,sc/scrapbook.sc,fish_slim_photo_new_asp,fish_slim_photo_old_asp,fish_slim_20,TID_FISH_20,TID_FISH_20_DESCRIPTION,BaitPurple,BaitGold,rocky_area1_new,rocky_area1_old,-9,10,Purple,Gold,Slim,fish_slim_,,1,3,40,50,40,30,75,7500,1,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_25,sc/scrapbook.sc,fish_normal_photo_new_speckled_dace,fish_normal_photo_old_speckled_dace,fish_normal_25,TID_FISH_25,TID_FISH_25_DESCRIPTION,BaitGold,BaitGold,deep_area2_new,deep_area2_old,-3,6,Gold,Gold,Normal,fish_normal_,Boat,2,4,10,60,20,30,50,10000,1,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_2,sc/scrapbook.sc,fish_slim_photo_new_huchen,fish_slim_photo_old_huchen,fish_slim_02,TID_FISH_2,TID_FISH_2_DESCRIPTION,BaitRed,BaitRed,rocky_area2_new,rocky_area2_old,-5,30,Red,Red,Slim,fish_slim_,,1,3,40,50,40,30,100,5000,1,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_52,sc/scrapbook.sc,fish_normal_photo_new_shadow_bass,fish_normal_photo_old_shadow_bass,fish_normal_52,TID_FISH_52,TID_FISH_52_DESCRIPTION,BaitGreen,BaitPurple,shallow_area2_new,shallow_area2_old,5,20,Green,Purple,Normal,fish_normal_,,2,4,20,30,40,30,100,5000,1,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_56,sc/scrapbook.sc,fish_slim_photo_new_northern_pike,fish_slim_photo_old_northern_pike,fish_slim_56,TID_FISH_56,TID_FISH_56_DESCRIPTION,BaitGreen,BaitGold,rocky_area1_new,rocky_area1_old,-4,18,Green,Gold,Slim,fish_slim_,,1,3,40,50,40,30,100,5000,1,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_38,sc/scrapbook.sc,fish_slim_photo_new_rainbow_smelt,fish_slim_photo_old_rainbow_smelt,fish_slim_38,TID_FISH_38,TID_FISH_38_DESCRIPTION,BaitBlue,BaitBlue,reed_area2_new,reed_area2_old,1,18,Blue,Blue,Slim,fish_slim_,Waterfall,1,3,50,60,70,30,50,10000,1,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_27,sc/scrapbook.sc,fish_fat_photo_new_spotted_sunfish,fish_fat_photo_old_spotted_sunfish,fish_fat_27,TID_FISH_27,TID_FISH_27_DESCRIPTION,BaitPurple,BaitGreen,reed_area2_new,reed_area2_old,-7,16,Purple,Green,Fat,fish_fat_,,3,5,20,30,10,35,75,7500,1,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_43,sc/scrapbook.sc,fish_normal_photo_new_sauger,fish_normal_photo_old_sauger,fish_normal_43,TID_FISH_43,TID_FISH_43_DESCRIPTION,BaitPurple,BaitBlue,shallow_area2_new,shallow_area2_old,7,14,Purple,Blue,Normal,fish_normal_,,2,4,20,30,40,30,75,7500,1,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_45,sc/scrapbook.sc,fish_fat_photo_new_arctic_charr,fish_fat_photo_old_arctic_charr,fish_fat_45,TID_FISH_45,TID_FISH_45_DESCRIPTION,BaitPurple,BaitGold,reed_area2_new,reed_area2_old,6,10,Purple,Gold,Fat,fish_fat_,,3,5,20,30,10,35,75,7500,1,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_47,sc/scrapbook.sc,fish_fat_photo_new_rudd,fish_fat_photo_old_rudd,fish_fat_47,TID_FISH_47,TID_FISH_47_DESCRIPTION,BaitGold,BaitGreen,reed_area1_new,reed_area1_old,-7,12,Gold,Green,Fat,fish_fat_,,3,5,20,30,10,35,50,10000,1,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_48,sc/scrapbook.sc,fish_fat_photo_new_yellow_bass,fish_fat_photo_old_yellow_bass,fish_fat_48,TID_FISH_48,TID_FISH_48_DESCRIPTION,BaitGold,BaitBlue,reed_area1_new,reed_area1_old,-3,10,Gold,Blue,Fat,fish_fat_,,3,5,20,30,10,35,50,10000,1,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_55,sc/scrapbook.sc,fish_normal_photo_new_greater_redhorse,fish_normal_photo_old_greater_redhorse,fish_normal_55,TID_FISH_55,TID_FISH_55_DESCRIPTION,BaitGold,BaitPurple,shallow_area1_new,shallow_area1_old,3,8,Gold,Purple,Normal,fish_normal_,,2,4,20,30,40,30,50,10000,1,18,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_50,sc/scrapbook.sc,fish_slim_photo_new_golden_trout,fish_slim_photo_old_golden_trout,fish_slim_50,TID_FISH_50,TID_FISH_50_DESCRIPTION,BaitGold,BaitGold,reed_area2_new,reed_area2_old,-7,6,Gold,Gold,Slim,fish_slim_,Waterfall,1,3,50,60,70,30,50,10000,1,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_57,sc/scrapbook.sc,fish_fat_photo_new_largemouth_bass,fish_fat_photo_old_largemouth_bass,fish_fat_57,TID_FISH_57,TID_FISH_57_DESCRIPTION,BaitGreen,BaitGreen,reed_area2_new,reed_area2_old,-5,24,Green,Green,Fat,fish_fat_,,3,5,20,30,10,35,100,5000,1,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_31,sc/scrapbook.sc,fish_normal_photo_new_brook_trout,fish_normal_photo_old_brook_trout,fish_normal_31,TID_FISH_31,TID_FISH_31_DESCRIPTION,BaitGreen,BaitBlue,rocky_area2_new,rocky_area2_old,7,22,Green,Blue,Normal,fish_normal_,Stream,2,4,10,60,20,30,50,10000,1,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_59,sc/scrapbook.sc,fish_slim_photo_new_grass_carp,fish_slim_photo_old_grass_carp,fish_slim_59,TID_FISH_59,TID_FISH_59_DESCRIPTION,BaitGreen,BaitPurple,reed_area1_new,reed_area1_old,3,20,Green,Purple,Slim,fish_slim_,Flowers,1,3,50,60,70,30,50,10000,1,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_60,sc/scrapbook.sc,fish_fat_photo_new_green_sunfish,fish_fat_photo_old_green_sunfish,fish_fat_60,TID_FISH_60,TID_FISH_60_DESCRIPTION,BaitGreen,BaitGold,reed_area2_new,reed_area2_old,3,18,Green,Gold,Fat,fish_fat_,,3,5,20,30,10,35,100,5000,1,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_62,sc/scrapbook.sc,fish_slim_photo_new_northern_studfish,fish_slim_photo_old_northern_studfish,fish_slim_62,TID_FISH_62,TID_FISH_62_DESCRIPTION,BaitBlue,BaitGreen,rocky_area1_new,rocky_area1_old,4,20,Blue,Green,Slim,fish_slim_,,1,3,40,50,40,30,75,7500,1,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_63,sc/scrapbook.sc,fish_fat_photo_new_striped_bass,fish_fat_photo_old_striped_bass,fish_fat_63,TID_FISH_63,TID_FISH_63_DESCRIPTION,BaitBlue,BaitBlue,reed_area1_new,reed_area1_old,6,18,Blue,Blue,Fat,fish_fat_,,3,5,20,30,10,35,75,7500,1,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_66,sc/scrapbook.sc,fish_fat_photo_new_longear_sunfish,fish_fat_photo_old_longear_sunfish,fish_fat_66,TID_FISH_66,TID_FISH_66_DESCRIPTION,BaitPurple,BaitPurple,reed_area2_new,reed_area2_old,6,12,Purple,Purple,Fat,fish_fat_,,3,5,20,30,10,35,75,7500,1,16,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_100,sc/scrapbook.sc,fish_normal_event_photo_new_zander,fish_normal_event_photo_old_zander,fish_normal_100,TID_FISH_100,TID_FISH_100_DESCRIPTION,BaitGreen,BaitGold,shallow_area2_new_event,shallow_area2_old_event,-5,18,Green,Gold,Normal,fish_normal_bigger_,,10,13,25,35,5,45,60,12000,1,14,true
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_101,sc/scrapbook.sc,fish_fat_event_photo_new_giant_barb,fish_fat_event_photo_old_giant_barb,fish_fat_101,TID_FISH_101,TID_FISH_101_DESCRIPTION,BaitPurple,BaitBlue,reed_area2_new_event,reed_area2_old_event,4,14,Purple,Blue,Fat,fish_fat_bigger_,,11,14,25,35,5,45,60,12000,1,14,true
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_102,sc/scrapbook.sc,fish_slim_event_photo_new_lake_sturgeon,fish_slim_event_photo_old_lake_sturgeon,fish_slim_102,TID_FISH_102,TID_FISH_102_DESCRIPTION,BaitBlue,BaitPurple,rocky_area1_new_event,rocky_area1_old_event,-3,16,Blue,Purple,Slim,fish_slim_bigger_,,9,12,25,35,5,45,60,12000,1,14,true
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_103,sc/scrapbook.sc,fish_fat_event_photo_new_carp,fish_fat_event_photo_old_carp,fish_fat_103,TID_FISH_103,TID_FISH_103_DESCRIPTION,BaitGold,BaitGreen,reed_area1_new_event,reed_area1_old_event,2,12,Gold,Green,Fat,fish_fat_bigger_,,11,14,25,35,5,45,60,12000,1,14,true
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_104,sc/scrapbook.sc,fish_normal_event_photo_new_nile_perch,fish_normal_event_photo_old_nile_perch,fish_normal_104,TID_FISH_104,TID_FISH_104_DESCRIPTION,BaitPurple,BaitBlue,shallow_area2_new_event,shallow_area2_old_event,4,14,Purple,Blue,Normal,fish_normal_bigger_,,10,13,25,35,5,45,60,12000,1,14,true
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_105,sc/scrapbook.sc,fish_slim_event_photo_new_red_tail_catfish,fish_slim_event_photo_old_red_tail_catfish,fish_slim_105,TID_FISH_105,TID_FISH_105_DESCRIPTION,BaitGreen,BaitRed,swamp_area1_new_event,swamp_area1_old_event,6,26,Green,Red,Slim,fish_slim_bigger_,Swamp,9,12,25,35,5,45,60,12000,1,14,true
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_70,sc/scrapbook.sc,fish_slim_photo_new_white_catfish,fish_slim_photo_old_white_catfish,fish_slim_70,TID_FISH_70,TID_FISH_70_DESCRIPTION,BaitBlue,BaitBlue,swamp_area1_new,swamp_area1_old,6,18,Blue,Blue,Slim,fish_slim_,Swamp,1,3,50,60,70,30,50,10000,1,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_71,sc/scrapbook.sc,fish_slim_photo_new_black_bullhead,fish_slim_photo_old_black_bullhead,fish_slim_71,TID_FISH_71,TID_FISH_71_DESCRIPTION,BaitGold,BaitGreen,swamp_area1_new,swamp_area1_old,-5,12,Gold,Green,Slim,fish_slim_,Swamp,1,3,50,60,70,30,50,10000,1,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_72,sc/scrapbook.sc,fish_fat_photo_new_goldfish,fish_fat_photo_old_goldfish,fish_fat_72,TID_FISH_72,TID_FISH_72_DESCRIPTION,BaitGold,BaitGold,deep_area3_new,deep_area3_old,4,6,Gold,Gold,Fat,fish_fat_,Searock,3,5,25,35,5,45,50,10000,1,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_73,sc/scrapbook.sc,fish_fat_photo_new_sockeye_salmon,fish_fat_photo_old_sockeye_salmon,fish_fat_73,TID_FISH_73,TID_FISH_73_DESCRIPTION,BaitRed,BaitRed,reed_area1_new,reed_area1_old,-3,30,Red,Red,Fat,fish_fat_,,3,5,20,30,10,35,100,5000,1,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_74,sc/scrapbook.sc,fish_slim_photo_new_lake_whitefish,fish_slim_photo_old_lake_whitefish,fish_slim_74,TID_FISH_74,TID_FISH_74_DESCRIPTION,BaitBlue,BaitGreen,swamp_area1_new,swamp_area1_old,-5,20,Blue,Green,Slim,fish_slim_,Rockfield,1,3,50,60,70,30,50,10000,1,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_75,sc/scrapbook.sc,fish_normal_photo_new_quillback,fish_normal_photo_old_quillback,fish_normal_75,TID_FISH_75,TID_FISH_75_DESCRIPTION,BaitBlue,BaitPurple,deep_area3_new,deep_area3_old,4,16,Blue,Purple,Normal,fish_normal_,Mosquito,2,4,10,60,20,30,50,10000,1,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
Fish_76,sc/scrapbook.sc,fish_normal_photo_new_perch,fish_normal_photo_old_perch,fish_normal_76,TID_FISH_76,TID_FISH_76_DESCRIPTION,BaitGreen,BaitBlue,reed_area1_new,reed_area1_old,-3,22,Green,Blue,Normal,fish_normal_,Mosquito,2,4,10,60,20,30,50,10000,1,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
