Name,IntValue,StringValue,BooleanValue
FruitTreeFBURL,,http://game.haydaygame.com:8080/facebook?fruit_tree_high=<HIGH>&low=<LOW>,
FruitTreeFBURL_ANDROID,,http://gamea.haydaygame.com:8080/facebook?fruit_tree_high=<HIGH>&low=<LOW>,
FriendBarRefreshTimeSeconds,300,,
FacebookLoginDiamondReward,5,,
AvatarInfoWaitSeconds,20,,
UpdateURL,,,
MaintenanceURL,,,
BoyName,,TID_TOM,
RoadsideShopStandAdvertisementLifeMinutes,180,,
UniqueFarmFacebookURL,,http://game.haydaygame.com:8080/facebook?farmhigh=<HIGH>&low=<LOW>,
UniqueFarmFacebookURL_ANDROID,,http://gamea.haydaygame.com:8080/facebook?farmhigh=<HIGH>&low=<LOW>,
FacebookConnectWaitTime,20,,
FacebookConnectWaitTime_ANDROID,90,,
FacebookLikeCacheMinutes,5,,
DraggableButtonImprovedDragAccuracyEnabled,1,,
DebugMysteryBoxName,,Box13,
ShopScrollMS,1000,,
MaxAmbientAnimals,50,,
BACKGROUND_EXPORT_NAME_DECO_LAYER_01,,deco_layer_01,
BACKGROUND_EXPORT_NAME_BG_EDGE_EAST,,bg_edge_east,
BACKGROUND_EXPORT_NAME_BG_EDGE_NORTH,,bg_edge_north,
BACKGROUND_EXPORT_NAME_BG_EDGE_SOUTH,,bg_edge_south,
BACKGROUND_EXPORT_NAME_BG_EDGE_WEST,,bg_edge_west,
FBConnectPopup,2,,
BackgroundColor,,FF698E1C,
CloudsExportName,,cloud_formation,
AdColonyVideoZone,,vz183e4ebd9cb84e298f20ae,
AdColonyDebugVideoZone,,vz22a8eb884d74461da4d8d7,
AdColonyVideoZone_ANDROID,,vz89813cc064484a8dbf,
AdColonyDebugVideoZone_ANDROID,,vzebff7b516a1f4b10b9,
NewFeedbackFormat,,,TRUE
FriendMetaQueryIntervalSeconds,30,,
SnowfallEnabled,,,FALSE
SnowfallFlakesHigh,400,,
SnowfallFlakesLow,200,,
ApproxPCRate,31,,
PurchaseLimitUSD,150,,
PurchaseLimitTimeMinutes,15,,
OfferDelaySeconds,5,,
PurchaseConfirmationDiamondLimit,0,,
LeaderboardTimeoutSeconds,30,,
CoinPurchaseType,0,,
MinLevelForPushNotification,5,,
GiftTimeSeconds,60,,
GiftFadeTimeSeconds,5,,
NewspaperAdLocation,,Newspaper,
CatalogueAdLocation,,package-catalog,
TwoStarFishCumulativeProbabilityLimit,60,,
ThreeStarFishCumulativeProbabilityLimit,95,,
MaxSurplusProductionGoods,50,,
LongHoldDurationMS,1000,,
RoadsideShopStandNewSaleIncreasePriceClampMax,500,,
MaxFollowerPages,10,,
FollowerPageSize,50,,
GlobalEventRefreshSeconds,10,,
JPShopItemFontSize,15,,
JPShopItemFontSizeMobile,12,,
MaxParallelProfilePictureDownloads,0,,
FacebookOpenGraphObjectURL,,http://game.haydaygame.com:8080/opengraph/object?globalId=<GLOBALID>,
FacebookOpenGraphObjectURL_ANDROID,,http://gamea.haydaygame.com:8080/opengraph/object?globalId=<GLOBALID>,
FacebookAchievementObjectURL,,http://game.haydaygame.com:8080/opengraph/achievement?achievementType=<GLOBALID>,
FacebookAchievementObjectURL_ANDROID,,http://gamea.haydaygame.com:8080/opengraph/achievement?achievementType=<GLOBALID>,
DeviceLinkCodeLength,12,,
DeviceLinkCodeValidSeconds,300,,
UseDeviceLink,,,TRUE
DeviceLinkHighestXpLevelAllowingOverride,0,,
DeviceLinkHighestPurchasesRealMoneyAllowingOverride,0,,
DeviceLinkRequirePlatformBinding,,,FALSE
LOW_RES_DEVICES,,iPod1,
,,iPod2,
,,iPod3,
,,iPod4,
,,iPad1,
,,iPhone1,
,,iPhone2,
,,iPad2,
,,iPhone3,
,,iPhone4,
,,iPod5,
LOW_RES_DEVICES_ANDROID,,st25i,
,,GT-N7000,
,,GT-i8190N,
,,U8950,
,,SM-T211,
,,i9300,
,,i8190,
,,i9305,
,,i9301,
,,i8200,
,,g3812b,
,,I535,
,,I747,
,,L710,
,,T999,
,,T210,
,,P3210,
,,SC-06D,
,,SC-03E,
,,I939,
,,E210S,
,,E210L,
,,E210K,
,,I9303,
,,G730A,
,,G730W8,
,,M440S,
,,R530U,
,,S968C,
,,SGH-N064,
,,SGH-N035,
,,SCH-J021,
,,SCH-R530,
,,SCH-S960L,
,,I9308,
MEDIUM_RES_DEVICES,,,
MEDIUM_MEMORY_LIMIT_ANDROID,800,,
HIGH_MEMORY_LIMIT_ANDROID,900,,
ConfirmButtonPressDurationMillis,200,,
ConfirmButtonFadeoutDurationMillis,1000,,
ConfirmButtonPressToShortHintLimitMillis,50,,
ConfirmButtonPressToLongHintLimitMillis,2000,,
AndroidGoogleLoginPopupExpLevel,9,,
AndroidGoogleLoginPopupExpLevelInterval,2,,
AndroidGoogleLoginPopupPurchaseInterval,1,,
IAPFailRetryIntervalSeconds,120,,
IAPFailRetryCount,1,,
BufferServerCommands,,,TRUE
MaxNeighborhoodNameLength,25,,
MinNeighborhoodNameLength,3,,
MaxNeighborhoodDescriptionLength,70,,
CreateNeighborhoodCoinPrice,500,,
ShopSortAndAddItemsDelayMS,100,,
ShopSortAndAddItemsDelayMSLowRes,500,,
MaxGCPopup,20,,
LoginTimeoutSeconds,120,,
RoadsideShopStandDiamondPriceIncrease,2,,
ChooseYourFarmSupportURL,,https://supercell.helpshift.com/a/hay-day/?s=my-account&f=choosing-the-correct-farm,
SaveYourFarmSupportURL,,https://supercell.helpshift.com/a/hay-day/?s=lost-account&f=why-should-i-save-my-farm,
MaxRoadsideShopStandCount,500,,
ChooseYourFarmHelpshiftID,,987,
SaveYourFarmHelpshiftID,,982,
HowToUpdateIOSSupportURL,,https://supercell.helpshift.com/a/hay-day/?s=troubleshooting-device-settings&f=end-of-support-for-devices-with-ios-5-or-6,
FirstSupportedIOSVersion,,7,
DerbyHelpshiftID,,56,
DerbyHelpshiftURL,,https://supercell.helpshift.com/a/hay-day/?s=neighbourhoods&f=derby-tutorial,
DerbyTaskTimeLeftPercentNotification,20,,
DerbyMinutesLeftNotification,2880,,
DerbySaveStateToLogic,,,TRUE
GCLoadAsync,,,TRUE
GCLoadPhotoAsync,,,TRUE
GCLoadPhoto,,,FALSE
SCCacheWriteEnabled,,,FALSE
SCCacheWriteFreeSpaceLimit,300,,
SCCacheWriteFreeSpaceLimit_ANDROID,400,,
SCCacheLoadEnabled,,,TRUE
SCCacheEnabledForUser,,,TRUE
TermsOfServiceHelpshiftID,,1777,
PrivacyPolicyHelpshiftID,,1776,
TermsOfServiceHelpshiftURL,,https://supercell.helpshift.com/a/hay-day/?p=web&s=forums-facebook-other-useful-links&f=terms-of-service,
PrivacyPolicyHelpshiftURL,,https://supercell.helpshift.com/a/hay-day/?p=web&s=forums-facebook-other-useful-links&f=privacy-policy,
DerbyOptOutNotificationIntervalMinutes,360,,
DerbyOptOutNotificationCount,2,,
RED_CAMPAIGN_ENABLED,,,FALSE
RED_CAMPAIGN_ENABLED_ANDROID,,,FALSE
DERBY_SHOW_LEAGUE_DURING_PAUSE,,,TRUE
FREE_DIAMOND_SPEED_UP_BEFORE_LEVEL,3,,
DERBY_SHOW_RACE_UI_DURING_PAUSE,,,TRUE
CameraBetweenRoadsideShopAndMailbox,,,TRUE
ShowDerbyFinishedText,,,TRUE
NeighborhoodTrophyUI,,,
ShowEventFishTooltip,,,TRUE
RemoveDerbyNotificationWhenOptedOut,,,TRUE
SiloUpgradeTutorial,,,TRUE
RedNewsIconURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/inbox_messages/icons/red_campaign_logo2.png,
NewLoadingSpinners,,,TRUE
ShowNewNewspaperAvailable,,,TRUE
DerbySpectatorMode,,,TRUE
UpdateDerbyCloseButtonEveryFrame,,,TRUE
FieldsInTwoLayers,,,TRUE
KeepScreenOnDuringIntro,,,TRUE
ChampionLeagueHelpshiftFaqID,,2287,
UpgradeMaterialsInToolOffers,,,TRUE
DerbyScoreDecimals,,,TRUE
NeighborhoodSearchRecommendationFixes,,,TRUE
UpdateDerbyBannerInBuildingsImmediately,,,TRUE
ShopScrollAreaExtraWidth,300,,
ConfirmTypePopupTextVerticalCenter,,,
TrophyUINewFix,,,TRUE
VungleAndroidNewFix,,,TRUE
TUTORIAL_SHOW_FB_LOGIN_UNTIL_LVL,1,,
TUTORIAL_SHOW_FB_LOGIN_UNTIL_LVL_AMAZON,1,,
ProductionBuildingUIDontBlockTouches,,,TRUE
PepperEnabled,,,TRUE
LayoutSlotUnlockLevels,25,,
,25,,
,25,,
,25,,
,25,,
LayoutSlotDiamondPrices,0,,
,0,,
,20,,
,40,,
,80,,
MaxLayoutNameLength,25,,
EditModeSinglePlacement,,,FALSE
BoatFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_boatdoc_950x520.png,
DuckSalonFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_ducksalon_950x520.png,
EditModeFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_editmode_950x520.png,
EventsFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_events_950x520.png,
ExpansionsFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_expansions_950x520.png,
FishingFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_fishing_950x520.png,
LobsterPoolFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_lobsterpool_950x520.png,
MineFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_mine_950x520.png,
NeighborhoodFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_neighborhood_950x520.png,
NetMakerFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_netmaker_950x520.png,
RoadsideShopFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_rss_950x520.png,
TownFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_town_950x520.png,
TradingFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_nhrequests_950x520.png,
HelpersFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_helpers_950x520.png,
SpecialExpansionsFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_expansions_new_950x520.png,
BoostersFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_boosters_950x520.png,
RequestItemMaxAmountCrops,10,,
RequestItemMaxAmountProducts,5,,
RequestItemMaxAmountTools,3,,
RequestCooldownMinutes,480,,
DonationCooldownMinutes,1440,,
ExtraRequestDiamondPrice,5,,
FreeRequestAmount,1,,
RequestMaxAmount,2,,
DonationMaxAmount,20,,
RequestBoardRefreshDelaySeconds,5,,
BuyDiamondsHUDThemeLeftExportName,,,
BuyDiamondsHUDThemeRightExportName,,,
FinishDeferredTransactionInHours,24,,
HelperUpdateIntervalSeconds,60,,
MaxHelperDrops,10,,
CCheckEnabled,,,TRUE
GoogleAutomaticLogoutSupportURL,,https://supercell.helpshift.com/a/hay-day/?p=web&s=my-account&f=why-have-i-been-automatically-logged-out-google-play,
GoogleAutomaticLogoutHelpshiftID,,3993,
MaxFriends,150,,
MaxFriendRequests,50,,
FBLoadPhoto,,,TRUE
FriendRequestRefreshTimeSeconds,300,,
FriendBlockIntervalSeconds,2592000,,
DaysWithoutSpendingLimit,3600,,
BoosterActivationDiamondPrices,0,,
,2,,
,4,,
,6,,
,12,,
,20,,
,30,,
,45,,
,60,,
,80,,
,100,,
,150,,
,200,,
,250,,
,300,,
,350,,
,400,,
,450,,
,500,,
BoosterKeepDiamondPrices,2,,
,4,,
,6,,
,12,,
,20,,
,30,,
,45,,
,60,,
,80,,
,100,,
,150,,
,200,,
,250,,
,300,,
,350,,
,400,,
,450,,
,500,,
FreeBoosterStorageSlots,3,,
FreeActiveBoosterSlots,1,,
MaxPendingBoosters,3,,
NeighborhoodInfoFooterItems,2,,
SanctuaryGateExpansions,14,,
,15,,
,16,,
PassengerChanceWantViewUnownedAnimal,3,,
SanctuaryCollectionAreaMaxDrops,10,,
DerbyMinTaskPointsToShowRareUI,320,,
SanctuaryFeatureImageURL,,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_sanctuary_950x520.png,
