"Name","FileName","ExportName","TimeMin","TimeSec","TileWidth","TileHeight","Piece","PieceTileX","PieceTileY","PieceMirrored","ShopIconExportName","Animal","Capacity","Price","CollectIconExportName","TID","MaxHabitatsColumnName","BuySound","RandomSounds","TapSound","ShopDescriptionTID"
"PigHabitat","sc/buildings_new.sc","pasture_pig",,,4,4,"Fence_Pig01_Back",,,,"shop_icon_pigpen","Pig",5,150,"tool_collect_bacon","TID_PIG_HABITAT","MaxPigHabitats","Buy","RandomPigs","MenuBleep","TID_PIG_HABITAT_SHOP_DESCRIPTION"
,,,,,,,"Fence_Pig01_Back",,1,,,,,,,,,,,,
,,,,,,,"Fence_Pig01_Back",,2,,,,,,,,,,,,
,,,,,,,"Fence_Pig01_Back",,3,,,,,,,,,,,,
,,,,,,,"Fence_Pig01_Back",,,"true",,,,,,,,,,,
,,,,,,,"Fence_Pig01_Back",1,,"true",,,,,,,,,,,
,,,,,,,"Pig_Trough_01",2,,"true",,,,,,,,,,,
,,,,,,,"Fence_Pig01_Back",3,,"true",,,,,,,,,,,
,,,,,,,"Fence_Pig01_Front",4,,,,,,,,,,,,,
,,,,,,,"Fence_Pig01_Front",4,1,,,,,,,,,,,,
,,,,,,,"Fence_Pig01_Front",4,2,,,,,,,,,,,,
,,,,,,,"Fence_Pig01_Front",4,3,,,,,,,,,,,,
,,,,,,,"Fence_Pig01_Front",,4,"true",,,,,,,,,,,
,,,,,,,"Fence_Pig01_Front",1,4,"true",,,,,,,,,,,
,,,,,,,"Fence_Pig01_Front",2,4,"true",,,,,,,,,,,
,,,,,,,"Fence_Pig01_Front",3,4,"true",,,,,,,,,,,
"SheepHabitat","sc/buildings_new.sc","pasture_sheep",,,4,4,"Fence_Sheep01_Back",,,,"shop_icon_sheeppasture","Sheep",5,300,"tool_collect_wool","TID_SHEEP_HABITAT","MaxSheepHabitats","Buy","RandomSheep","MenuBleep","TID_SHEEP_HABITAT_SHOP_DESCRIPTION"
,,,,,,,"Fence_Sheep01_Back",,1,,,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Back",,2,,,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Back",,3,,,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Back",,,"true",,,,,,,,,,,
,,,,,,,"Sheep_Trough_01",1,,"true",,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Back",2,,"true",,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Back",3,,"true",,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Front",4,,,,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Front",4,1,,,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Front",4,2,,,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Front",4,3,,,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Front",,4,"true",,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Front",1,4,"true",,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Front",2,4,"true",,,,,,,,,,,
,,,,,,,"Fence_Sheep01_Front",3,4,"true",,,,,,,,,,,
"GoatHabitat","sc/buildings_new.sc","pasture_goat",,,3,3,"Fence_Goat01",,,,"shop_icon_goatyard","Goat",4,1000,"tool_collect_milk","TID_GOAT_HABITAT","MaxGoatHabitats","Buy","RandomGoats","MenuBleep","TID_GOAT_HABITAT_SHOP_DESCRIPTION"
,,,,,,,"Fence_Goat01",,1,,,,,,,,,,,,
,,,,,,,"Fence_Goat01",,2,,,,,,,,,,,,
,,,,,,,"Fence_Goat01",,,"true",,,,,,,,,,,
,,,,,,,"Fence_Goat01",1,,"true",,,,,,,,,,,
,,,,,,,"Fence_Goat01",2,,"true",,,,,,,,,,,
,,,,,,,"Fence_Goat01",3,,,,,,,,,,,,,
,,,,,,,"Fence_Goat01",3,1,,,,,,,,,,,,
,,,,,,,"Fence_Goat01",3,2,,,,,,,,,,,,
,,,,,,,"Fence_Goat01",,3,"true",,,,,,,,,,,
,,,,,,,"Fence_Goat01",1,3,"true",,,,,,,,,,,
,,,,,,,"Fence_Goat01",2,3,"true",,,,,,,,,,,
