Name,FileName,ExportName,TileWidth,TileHeight,Capacity,TimeMin,TimeSec,ShopIconExportName,EffectExportName,CollectionTool1,CollectionTool2,CollectionTool3,TapSound,CollectSound
,,lure_box_lvl4,,,380,,,,,,,,,
,,lure_box_lvl4,,,385,,,,,,,,,
,,lure_box_lvl4,,,390,,,,,,,,,
,,lure_box_lvl4,,,395,,,,,,,,,
,,lure_box_lvl4,,,400,,,,,,,,,
,,lure_box_lvl4,,,405,,,,,,,,,
,,lure_box_lvl4,,,410,,,,,,,,,
,,lure_box_lvl4,,,415,,,,,,,,,
,,lure_box_lvl4,,,420,,,,,,,,,
,,lure_box_lvl4,,,425,,,,,,,,,
,,lure_box_lvl4,,,430,,,,,,,,,
,,lure_box_lvl4,,,435,,,,,,,,,
,,lure_box_lvl4,,,440,,,,,,,,,
,,lure_box_lvl4,,,445,,,,,,,,,
,,lure_box_lvl4,,,450,,,,,,,,,
,,lure_box_lvl4,,,455,,,,,,,,,
,,lure_box_lvl4,,,460,,,,,,,,,
,,lure_box_lvl4,,,465,,,,,,,,,
,,lure_box_lvl4,,,470,,,,,,,,,
,,lure_box_lvl4,,,475,,,,,,,,,
,,lure_box_lvl4,,,480,,,,,,,,,
,,lure_box_lvl4,,,485,,,,,,,,,
,,lure_box_lvl4,,,490,,,,,,,,,
,,lure_box_lvl4,,,495,,,,,,,,,
,,lure_box_lvl4,,,500,,,,,,,,,
,,lure_box_lvl4,,,505,,,,,,,,,
,,lure_box_lvl4,,,510,,,,,,,,,
,,lure_box_lvl4,,,515,,,,,,,,,
,,lure_box_lvl4,,,520,,,,,,,,,
,,lure_box_lvl4,,,525,,,,,,,,,
,,lure_box_lvl4,,,530,,,,,,,,,
,,lure_box_lvl4,,,535,,,,,,,,,
,,lure_box_lvl4,,,540,,,,,,,,,
,,lure_box_lvl4,,,545,,,,,,,,,
,,lure_box_lvl4,,,550,,,,,,,,,
,,lure_box_lvl4,,,555,,,,,,,,,
,,lure_box_lvl4,,,560,,,,,,,,,
,,lure_box_lvl4,,,565,,,,,,,,,
,,lure_box_lvl4,,,570,,,,,,,,,
,,lure_box_lvl4,,,575,,,,,,,,,
,,lure_box_lvl4,,,580,,,,,,,,,
,,lure_box_lvl4,,,585,,,,,,,,,
,,lure_box_lvl4,,,590,,,,,,,,,
,,lure_box_lvl4,,,595,,,,,,,,,
,,lure_box_lvl4,,,600,,,,,,,,,
,,lure_box_lvl4,,,605,,,,,,,,,
,,lure_box_lvl4,,,610,,,,,,,,,
,,lure_box_lvl4,,,615,,,,,,,,,
,,lure_box_lvl4,,,620,,,,,,,,,
,,lure_box_lvl4,,,625,,,,,,,,,
,,lure_box_lvl4,,,630,,,,,,,,,
,,lure_box_lvl4,,,635,,,,,,,,,
,,lure_box_lvl4,,,640,,,,,,,,,
,,lure_box_lvl4,,,645,,,,,,,,,
,,lure_box_lvl4,,,650,,,,,,,,,
,,lure_box_lvl4,,,655,,,,,,,,,
,,lure_box_lvl4,,,660,,,,,,,,,
,,lure_box_lvl4,,,665,,,,,,,,,
,,lure_box_lvl4,,,670,,,,,,,,,
,,lure_box_lvl4,,,675,,,,,,,,,
,,lure_box_lvl4,,,680,,,,,,,,,
,,lure_box_lvl4,,,685,,,,,,,,,
,,lure_box_lvl4,,,690,,,,,,,,,
,,lure_box_lvl4,,,695,,,,,,,,,
,,lure_box_lvl4,,,700,,,,,,,,,
,,lure_box_lvl4,,,705,,,,,,,,,
,,lure_box_lvl4,,,710,,,,,,,,,
,,lure_box_lvl4,,,715,,,,,,,,,
,,lure_box_lvl4,,,720,,,,,,,,,
,,lure_box_lvl4,,,725,,,,,,,,,
,,lure_box_lvl4,,,730,,,,,,,,,
,,lure_box_lvl4,,,735,,,,,,,,,
,,lure_box_lvl4,,,740,,,,,,,,,
,,lure_box_lvl4,,,745,,,,,,,,,
,,lure_box_lvl4,,,750,,,,,,,,,
,,lure_box_lvl4,,,755,,,,,,,,,
,,lure_box_lvl4,,,760,,,,,,,,,
,,lure_box_lvl4,,,765,,,,,,,,,
,,lure_box_lvl4,,,770,,,,,,,,,
,,lure_box_lvl4,,,775,,,,,,,,,
,,lure_box_lvl4,,,780,,,,,,,,,
,,lure_box_lvl4,,,785,,,,,,,,,
,,lure_box_lvl4,,,790,,,,,,,,,
,,lure_box_lvl4,,,795,,,,,,,,,
,,lure_box_lvl4,,,800,,,,,,,,,
,,lure_box_lvl4,,,805,,,,,,,,,
,,lure_box_lvl4,,,810,,,,,,,,,
,,lure_box_lvl4,,,815,,,,,,,,,
,,lure_box_lvl4,,,820,,,,,,,,,
,,lure_box_lvl4,,,825,,,,,,,,,
,,lure_box_lvl4,,,830,,,,,,,,,
,,lure_box_lvl4,,,835,,,,,,,,,
,,lure_box_lvl4,,,840,,,,,,,,,
,,lure_box_lvl4,,,845,,,,,,,,,
,,lure_box_lvl4,,,850,,,,,,,,,
,,lure_box_lvl4,,,855,,,,,,,,,
,,lure_box_lvl4,,,860,,,,,,,,,
,,lure_box_lvl4,,,865,,,,,,,,,
,,lure_box_lvl4,,,870,,,,,,,,,
,,lure_box_lvl4,,,875,,,,,,,,,
,,lure_box_lvl4,,,880,,,,,,,,,
,,lure_box_lvl4,,,885,,,,,,,,,
,,lure_box_lvl4,,,890,,,,,,,,,
,,lure_box_lvl4,,,895,,,,,,,,,
,,lure_box_lvl4,,,900,,,,,,,,,
,,lure_box_lvl4,,,905,,,,,,,,,
,,lure_box_lvl4,,,910,,,,,,,,,
,,lure_box_lvl4,,,915,,,,,,,,,
,,lure_box_lvl4,,,920,,,,,,,,,
,,lure_box_lvl4,,,925,,,,,,,,,
,,lure_box_lvl4,,,930,,,,,,,,,
,,lure_box_lvl4,,,935,,,,,,,,,
,,lure_box_lvl4,,,940,,,,,,,,,
,,lure_box_lvl4,,,945,,,,,,,,,
,,lure_box_lvl4,,,950,,,,,,,,,
,,lure_box_lvl4,,,955,,,,,,,,,
,,lure_box_lvl4,,,960,,,,,,,,,
,,lure_box_lvl4,,,965,,,,,,,,,
,,lure_box_lvl4,,,970,,,,,,,,,
,,lure_box_lvl4,,,975,,,,,,,,,
,,lure_box_lvl4,,,980,,,,,,,,,
,,lure_box_lvl4,,,985,,,,,,,,,
,,lure_box_lvl4,,,990,,,,,,,,,
,,lure_box_lvl4,,,995,,,,,,,,,
,,lure_box_lvl4,,,1000,,,,,,,,,
