Name,FileName,ExportName,Goods,ServiceTimeMin,ServiceTimeSec,InstantCompleteService,ReputationPerService,ShopIconExportName,ShopIconFileName,EffectExportName,UnlockLevel,TileWidth,TileHeight,Price,ExpToBuild,TimeMin,TimeSec,InstantComplete,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,BuySound,RandomSounds,CollectionTool1,CollectionTool1Amount,CollectionTool2,CollectionTool2Amount,CollectionTool3,CollectionTool3Amount,ReputationLevelRequired,ServiceSlots,CoinBonus,ExpAndRepBonus,TimeBonus,CoinBonusLevelRequirement,ExpAndRepBonusLevelRequirement,TimeBonusLevelRequirement,VisitorDoorTileX,VisitorDoorTileY,ReputationUnlockLevel,VisitorRequestProbabilityBuildingUnlocked,VisitorRequestProbabilityBuildingConstructed
,,store_lvl3,Raspberry,,,,,,,,,,,,,,,,,,,,,,,Bolt,17,Duct Tape,17,Stone Block,17,18,,,,,,,,,,,,
,,store_lvl3,Cherry,,,,,,,,,,,,,,,,,,,,,,,Bolt,18,Duct Tape,18,Stone Block,18,19,,,,,,,,,,,,
,,store_lvl3,Chili,,,,,,,,,,,,,,,,,,,,,,,Bolt,19,Duct Tape,19,Stone Block,19,20,,,,,,,,,,,,
,,store_lvl3,Fish Meat,,,,,,,,,,,,,,,,,,,,,,,Bolt,20,Duct Tape,20,Stone Block,20,21,,,,,,,,,,,,
,,store_lvl3,Tomato,,,,,,,,,,,,,,,,,,,,,,,Bolt,21,Duct Tape,21,Stone Block,21,22,,,,,,,,,,,,
,,store_lvl3,Goat Milk,,,,,,,,,,,,,,,,,,,,,,,Bolt,22,Duct Tape,22,Stone Block,22,23,,,,,,,,,,,,
,,store_lvl3,Goat Cheese,,,,,,,,,,,,,,,,,,,,,,,Bolt,23,Duct Tape,23,Stone Block,23,24,,,,,,,,,,,,
,,store_lvl3,Strawberry,,,,,,,,,,,,,,,,,,,,,,,Bolt,24,Duct Tape,24,Stone Block,24,25,,,,,,,,,,,,
,,store_lvl3,Potato,,,,,,,,,,,,,,,,,,,,,,,Bolt,25,Duct Tape,25,Stone Block,25,26,,,,,,,,,,,,
,,store_lvl3,Apple Jam,,,,,,,,,,,,,,,,,,,,,,,Bolt,26,Duct Tape,26,Stone Block,26,27,,,,,,,,,,,,
,,store_lvl3,Raspberry Jam,,,,,,,,,,,,,,,,,,,,,,,Bolt,27,Duct Tape,27,Stone Block,27,28,,,,,,,,,,,,
,,store_lvl3,Cacao,,,,,,,,,,,,,,,,,,,,,,,Bolt,28,Duct Tape,28,Stone Block,28,29,,,,,,,,,,,,
,,store_lvl3,Blackberry Jam,,,,,,,,,,,,,,,,,,,,,,,Bolt,29,Duct Tape,29,Stone Block,29,30,,,,,,,,,,,,
,,store_lvl3,Cherry Jam,,,,,,,,,,,,,,,,,,,,,,,Bolt,30,Duct Tape,30,Stone Block,30,31,,,,,,,,,,,,
,,store_lvl3,Strawberry Jam,,,,,,,,,,,,,,,,,,,,,,,Bolt,31,Duct Tape,31,Stone Block,31,32,,,,,,,,,,,,
,,store_lvl3,SoySauce,,,,,,,,,,,,,,,,,,,,,,,Bolt,32,Duct Tape,32,Stone Block,32,33,,,,,,,,,,,,
,,store_lvl3,Rice,,,,,,,,,,,,,,,,,,,,,,,Bolt,33,Duct Tape,33,Stone Block,33,34,,,,,,,,,,,,
,,store_lvl3,Lettuce,,,,,,,,,,,,,,,,,,,,,,,Bolt,34,Duct Tape,34,Stone Block,34,35,,,,,,,,,,,,
,,store_lvl3,Olive,,,,,,,,,,,,,,,,,,,,,,,Bolt,35,Duct Tape,35,Stone Block,35,36,,,,,,,,,,,,
,,store_lvl3,OliveOil,,,,,,,,,,,,,,,,,,,,,,,Bolt,36,Duct Tape,36,Stone Block,36,37,,,,,,,,,,,,
,,store_lvl3,Mayonaise,,,,,,,,,,,,,,,,,,,,,,,Bolt,37,Duct Tape,37,Stone Block,37,38,,,,,,,,,,,,
,,store_lvl3,Lemon Curd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Lemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Raw Pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Rice Noodles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tomato Sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Onion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Marmelade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Peach Jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Orange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Salsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Grape Jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Grape Juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Banana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Movietheater,sc/train_buildings.sc,movie_lvl1,Popcorn,180,0,6,11,shop_icon_movietheater_lvl1,sc/train_icons.sc,repairsmoke_02,0,3,3,4500,12,330,0,37,TID_TRAIN_MOVIETHEATER,TID_TRAIN_MOVIETHEATER_DESC,ServiceBuildingTap,ServiceBuildingTap,Collect,Buy,,Nail,1,Wood Panel,1,Hammer,1,2,1,0,0,0,2,3,4,2,2,2,30,100
,,movie_lvl2,Cookie,,,,,,,,,,,,,,,,,,,,,,,Nail,2,Wood Panel,2,Hammer,2,3,2,5,5,5,,,,,,,,
,,movie_lvl2,Butter Popcorn,,,,,,,,,,,,,,,,,,,,,,,Nail,3,Wood Panel,3,Hammer,3,4,3,10,10,10,,,,,,,,
,,movie_lvl3,Hamburger,,,,,,,,,,,,,,,,,,,,,,,Nail,4,Wood Panel,4,Hammer,4,5,4,15,15,15,,,,,,,,
,,movie_lvl3,Chili Popcorn,,,,,,,,,,,,,,,,,,,,,,,Nail,5,Wood Panel,5,Hammer,5,6,5,20,20,20,,,,,,,,
,,movie_lvl3,Fishburger,,,,,,,,,,,,,,,,,,,,,,,Nail,6,Wood Panel,6,Hammer,6,7,6,25,25,25,,,,,,,,
,,movie_lvl3,Vanilla Ice Cream,,,,,,,,,,,,,,,,,,,,,,,Nail,7,Wood Panel,7,Hammer,7,8,,30,30,30,,,,,,,,
,,movie_lvl3,Apple Juice,,,,,,,,,,,,,,,,,,,,,,,Nail,8,Wood Panel,8,Hammer,8,9,,35,35,35,,,,,,,,
,,movie_lvl3,Pizza,,,,,,,,,,,,,,,,,,,,,,,Nail,9,Wood Panel,9,Hammer,9,10,,40,40,40,,,,,,,,
,,movie_lvl3,Cherry Popsicle,,,,,,,,,,,,,,,,,,,,,,,Nail,10,Wood Panel,10,Hammer,10,11,,45,45,,,,,,,,,
,,movie_lvl3,Strawberry Ice Cream,,,,,,,,,,,,,,,,,,,,,,,Nail,11,Wood Panel,11,Hammer,11,12,,50,50,,,,,,,,,
,,movie_lvl3,Berry Juice,,,,,,,,,,,,,,,,,,,,,,,Nail,12,Wood Panel,12,Hammer,12,13,,55,55,,,,,,,,,
,,movie_lvl3,Spicy Pizza,,,,,,,,,,,,,,,,,,,,,,,Nail,13,Wood Panel,13,Hammer,13,14,,60,60,,,,,,,,,
,,movie_lvl3,Chocolate Ice Cream,,,,,,,,,,,,,,,,,,,,,,,Nail,14,Wood Panel,14,Hammer,14,15,,,,,,,,,,,,
,,movie_lvl3,Fish and Chips,,,,,,,,,,,,,,,,,,,,,,,Nail,15,Wood Panel,15,Hammer,15,16,,,,,,,,,,,,
,,movie_lvl3,Chocolate Popcorn,,,,,,,,,,,,,,,,,,,,,,,Nail,16,Wood Panel,16,Hammer,16,17,,,,,,,,,,,,
,,movie_lvl3,Frutti di Mare Pizza,,,,,,,,,,,,,,,,,,,,,,,Nail,17,Wood Panel,17,Hammer,17,18,,,,,,,,,,,,
,,movie_lvl3,Hot Chocolate,,,,,,,,,,,,,,,,,,,,,,,Nail,18,Wood Panel,18,Hammer,18,19,,,,,,,,,,,,
,,movie_lvl3,Caramel Apple,,,,,,,,,,,,,,,,,,,,,,,Nail,19,Wood Panel,19,Hammer,19,20,,,,,,,,,,,,
,,movie_lvl3,Toffee,,,,,,,,,,,,,,,,,,,,,,,Nail,20,Wood Panel,20,Hammer,20,21,,,,,,,,,,,,
,,movie_lvl3,Chocolate,,,,,,,,,,,,,,,,,,,,,,,Nail,21,Wood Panel,21,Hammer,21,22,,,,,,,,,,,,
,,movie_lvl3,Lollipop,,,,,,,,,,,,,,,,,,,,,,,Nail,22,Wood Panel,22,Hammer,22,23,,,,,,,,,,,,
,,movie_lvl3,Jelly Beans,,,,,,,,,,,,,,,,,,,,,,,Nail,23,Wood Panel,23,Hammer,23,24,,,,,,,,,,,,
,,movie_lvl3,GreenSmoothie,,,,,,,,,,,,,,,,,,,,,,,Nail,24,Wood Panel,24,Hammer,24,25,,,,,,,,,,,,
,,movie_lvl3,BerrySmoothie,,,,,,,,,,,,,,,,,,,,,,,Nail,25,Wood Panel,25,Hammer,25,26,,,,,,,,,,,,
,,movie_lvl3,YogurtSmoothie,,,,,,,,,,,,,,,,,,,,,,,Nail,26,Wood Panel,26,Hammer,26,27,,,,,,,,,,,,
,,movie_lvl3,Honey Popcorn,,,,,,,,,,,,,,,,,,,,,,,Nail,27,Wood Panel,27,Hammer,27,28,,,,,,,,,,,,
,,movie_lvl3,Hot Dog,,,,,,,,,,,,,,,,,,,,,,,Nail,28,Wood Panel,28,Hammer,28,29,,,,,,,,,,,,
,,movie_lvl3,Corn Dog,,,,,,,,,,,,,,,,,,,,,,,Nail,29,Wood Panel,29,Hammer,29,30,,,,,,,,,,,,
,,movie_lvl3,Onion Dog,,,,,,,,,,,,,,,,,,,,,,,Nail,30,Wood Panel,30,Hammer,30,31,,,,,,,,,,,,
,,movie_lvl3,Orange Sorbet,,,,,,,,,,,,,,,,,,,,,,,Nail,31,Wood Panel,31,Hammer,31,32,,,,,,,,,,,,
,,movie_lvl3,Peach Ice Cream,,,,,,,,,,,,,,,,,,,,,,,Nail,32,Wood Panel,32,Hammer,32,33,,,,,,,,,,,,
,,movie_lvl3,MixedSmoothie,,,,,,,,,,,,,,,,,,,,,,,Nail,33,Wood Panel,33,Hammer,33,34,,,,,,,,,,,,
,,movie_lvl3,Taco,,,,,,,,,,,,,,,,,,,,,,,Nail,34,Wood Panel,34,Hammer,34,35,,,,,,,,,,,,
,,movie_lvl3,Nachos,,,,,,,,,,,,,,,,,,,,,,,Nail,35,Wood Panel,35,Hammer,35,36,,,,,,,,,,,,
,,movie_lvl3,BananaSplit,,,,,,,,,,,,,,,,,,,,,,,Nail,36,Wood Panel,36,Hammer,36,37,,,,,,,,,,,,
,,movie_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Nail,37,Wood Panel,37,Hammer,37,38,,,,,,,,,,,,
,,movie_lvl3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diner,sc/train_buildings.sc,diner_lvl1,Carrot Pie,150,0,6,9,shop_icon_diner_lvl1,sc/train_icons.sc,repairsmoke_02,0,3,3,19000,24,1440,0,73,TID_TRAIN_DINER,TID_TRAIN_DINER_DESC,ServiceBuildingTap,ServiceBuildingTap,Collect,Buy,,Plank,1,Screw,1,Paint Bucket,1,2,1,0,0,0,2,3,4,3,2,3,30,100
,,diner_lvl2,Pumpkin Pie,,,,,,,,,,,,,,,,,,,,,,,Plank,2,Screw,2,Paint Bucket,2,3,2,5,5,5,,,,,,,,
,,diner_lvl2,Bacon Pie,,,,,,,,,,,,,,,,,,,,,,,Plank,3,Screw,3,Paint Bucket,3,4,3,10,10,10,,,,,,,,
,,diner_lvl3,Hamburger,,,,,,,,,,,,,,,,,,,,,,,Plank,4,Screw,4,Paint Bucket,4,5,4,15,15,15,,,,,,,,
,,diner_lvl3,Carrot Cake,,,,,,,,,,,,,,,,,,,,,,,Plank,5,Screw,5,Paint Bucket,5,6,5,20,20,20,,,,,,,,
,,diner_lvl3,Birthday Cake,,,,,,,,,,,,,,,,,,,,,,,Plank,6,Screw,6,Paint Bucket,6,7,6,25,25,25,,,,,,,,
,,diner_lvl3,Berry Cake,,,,,,,,,,,,,,,,,,,,,,,Plank,7,Screw,7,Paint Bucket,7,8,,30,30,30,,,,,,,,
,,diner_lvl3,Cheese Cake,,,,,,,,,,,,,,,,,,,,,,,Plank,8,Screw,8,Paint Bucket,8,9,,35,35,35,,,,,,,,
,,diner_lvl3,Fishburger,,,,,,,,,,,,,,,,,,,,,,,Plank,9,Screw,9,Paint Bucket,9,10,,40,40,40,,,,,,,,
,,diner_lvl3,Apple Pie,,,,,,,,,,,,,,,,,,,,,,,Plank,10,Screw,10,Paint Bucket,10,11,,45,45,,,,,,,,,
,,diner_lvl3,Fish Pie,,,,,,,,,,,,,,,,,,,,,,,Plank,11,Screw,11,Paint Bucket,11,12,,50,50,,,,,,,,,
,,diner_lvl3,Roasted Tomatoes,,,,,,,,,,,,,,,,,,,,,,,Plank,12,Screw,12,Paint Bucket,12,13,,55,55,,,,,,,,,
,,diner_lvl3,Pizza,,,,,,,,,,,,,,,,,,,,,,,Plank,13,Screw,13,Paint Bucket,13,14,,60,60,,,,,,,,,
,,diner_lvl3,Feta Pie,,,,,,,,,,,,,,,,,,,,,,,Plank,14,Screw,14,Paint Bucket,14,15,,,,,,,,,,,,
,,diner_lvl3,Strawberry Cake,,,,,,,,,,,,,,,,,,,,,,,Plank,15,Screw,15,Paint Bucket,15,16,,,,,,,,,,,,
,,diner_lvl3,Baked Potato,,,,,,,,,,,,,,,,,,,,,,,Plank,16,Screw,16,Paint Bucket,16,17,,,,,,,,,,,,
,,diner_lvl3,Chocolate Cake,,,,,,,,,,,,,,,,,,,,,,,Plank,17,Screw,17,Paint Bucket,17,18,,,,,,,,,,,,
,,diner_lvl3,Spicy Pizza,,,,,,,,,,,,,,,,,,,,,,,Plank,18,Screw,18,Paint Bucket,18,19,,,,,,,,,,,,
,,diner_lvl3,Potato Feta Cake,,,,,,,,,,,,,,,,,,,,,,,Plank,19,Screw,19,Paint Bucket,19,20,,,,,,,,,,,,
,,diner_lvl3,Potato Bread,,,,,,,,,,,,,,,,,,,,,,,Plank,20,Screw,20,Paint Bucket,20,21,,,,,,,,,,,,
,,diner_lvl3,Shepherds Pie,,,,,,,,,,,,,,,,,,,,,,,Plank,21,Screw,21,Paint Bucket,21,22,,,,,,,,,,,,
,,diner_lvl3,Frutti di Mare Pizza,,,,,,,,,,,,,,,,,,,,,,,Plank,22,Screw,22,Paint Bucket,22,23,,,,,,,,,,,,
,,diner_lvl3,Lobster Soup,,,,,,,,,,,,,,,,,,,,,,,Plank,23,Screw,23,Paint Bucket,23,24,,,,,,,,,,,,
,,diner_lvl3,Tomato Soup,,,,,,,,,,,,,,,,,,,,,,,Plank,24,Screw,24,Paint Bucket,24,25,,,,,,,,,,,,
,,diner_lvl3,Fish Soup,,,,,,,,,,,,,,,,,,,,,,,Plank,25,Screw,25,Paint Bucket,25,26,,,,,,,,,,,,
,,diner_lvl3,VeggieBagel,,,,,,,,,,,,,,,,,,,,,,,Plank,26,Screw,26,Paint Bucket,26,27,,,,,,,,,,,,
,,diner_lvl3,BLTToast,,,,,,,,,,,,,,,,,,,,,,,Plank,27,Screw,27,Paint Bucket,27,28,,,,,,,,,,,,
,,diner_lvl3,EggSandwich,,,,,,,,,,,,,,,,,,,,,,,Plank,28,Screw,28,Paint Bucket,28,29,,,,,,,,,,,,
,,diner_lvl3,Lemon Pie,,,,,,,,,,,,,,,,,,,,,,,Plank,29,Screw,29,Paint Bucket,29,30,,,,,,,,,,,,
,,diner_lvl3,Lemon Cake,,,,,,,,,,,,,,,,,,,,,,,Plank,30,Screw,30,Paint Bucket,30,31,,,,,,,,,,,,
,,diner_lvl3,Honey Apple Cake,,,,,,,,,,,,,,,,,,,,,,,Plank,31,Screw,31,Paint Bucket,31,32,,,,,,,,,,,,
,,diner_lvl3,Pumpkin Soup,,,,,,,,,,,,,,,,,,,,,,,Plank,32,Screw,32,Paint Bucket,32,33,,,,,,,,,,,,
,,diner_lvl3,Noodle Soup,,,,,,,,,,,,,,,,,,,,,,,Plank,33,Screw,33,Paint Bucket,33,34,,,,,,,,,,,,
,,diner_lvl3,Lasagna,,,,,,,,,,,,,,,,,,,,,,,Plank,34,Screw,34,Paint Bucket,34,35,,,,,,,,,,,,
,,diner_lvl3,Gnocchi,,,,,,,,,,,,,,,,,,,,,,,Plank,35,Screw,35,Paint Bucket,35,36,,,,,,,,,,,,
,,diner_lvl3,Grilled Onion,,,,,,,,,,,,,,,,,,,,,,,Plank,36,Screw,36,Paint Bucket,36,37,,,,,,,,,,,,
,,diner_lvl3,Orange Juice,,,,,,,,,,,,,,,,,,,,,,,Plank,37,Screw,37,Paint Bucket,37,38,,,,,,,,,,,,
,,diner_lvl3,Peach Tart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Onion Soup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Fish Taco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Quesadilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Taco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Nachos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BananaBread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BananaLatte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PotatoSoup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BananaPancakes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bed and Breakfast,sc/train_buildings.sc,bb_lvl1,Egg,480,0,10,26,shop_icon_bb_lvl1,sc/train_icons.sc,repairsmoke_02,0,3,3,31000,27,1440,0,73,TID_TRAIN_BEDANDBREAKFAST,TID_TRAIN_BEDANDBREAKFAST_DESC,ServiceBuildingTap,ServiceBuildingTap,Collect,Buy,,Hand Drill,1,Brick,1,Paint Bucket,1,2,1,0,0,0,2,3,4,3,1,5,30,100
,,bb_lvl2,Pancakes,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,2,Brick,2,Paint Bucket,2,3,2,5,5,5,,,,,,,,
,,bb_lvl2,Bacon,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,3,Brick,3,Paint Bucket,3,4,3,10,10,10,,,,,,,,
,,bb_lvl3,Cookie,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,4,Brick,4,Paint Bucket,4,5,4,15,15,15,,,,,,,,
,,bb_lvl3,Bacon and Eggs,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,5,Brick,5,Paint Bucket,5,6,5,20,20,20,,,,,,,,
,,bb_lvl3,Syrup,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,6,Brick,6,Paint Bucket,6,7,6,25,25,25,,,,,,,,
,,bb_lvl3,Raspberry Muffin,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,7,Brick,7,Paint Bucket,7,8,,30,30,30,,,,,,,,
,,bb_lvl3,Blackberry Muffin,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,8,Brick,8,Paint Bucket,8,9,,35,35,35,,,,,,,,
,,bb_lvl3,Tomato,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,9,Brick,9,Paint Bucket,9,10,,40,40,40,,,,,,,,
,,bb_lvl3,Apple Juice,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,10,Brick,10,Paint Bucket,10,11,,45,45,,,,,,,,,
,,bb_lvl3,Tomato Juice,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,11,Brick,11,Paint Bucket,11,12,,50,50,,,,,,,,,
,,bb_lvl3,Casserole,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,12,Brick,12,Paint Bucket,12,13,,55,55,,,,,,,,,
,,bb_lvl3,Espreso,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,13,Brick,13,Paint Bucket,13,14,,60,60,,,,,,,,,
,,bb_lvl3,Coffee,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,14,Brick,14,Paint Bucket,14,15,,,,,,,,,,,,
,,bb_lvl3,Latte,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,15,Brick,15,Paint Bucket,15,16,,,,,,,,,,,,
,,bb_lvl3,Mocha,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,16,Brick,16,Paint Bucket,16,17,,,,,,,,,,,,
,,bb_lvl3,Raspberry Mocha,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,17,Brick,17,Paint Bucket,17,18,,,,,,,,,,,,
,,bb_lvl3,Hot Chocolate,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,18,Brick,18,Paint Bucket,18,19,,,,,,,,,,,,
,,bb_lvl3,Honey Toast,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,19,Brick,19,Paint Bucket,19,20,,,,,,,,,,,,
,,bb_lvl3,Pillow,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,20,Brick,20,Paint Bucket,20,21,,,,,,,,,,,,
,,bb_lvl3,Blanket,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,21,Brick,21,Paint Bucket,21,22,,,,,,,,,,,,
,,bb_lvl3,Peach,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,22,Brick,22,Paint Bucket,22,23,,,,,,,,,,,,
,,bb_lvl3,Milk Tea,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,23,Brick,23,Paint Bucket,23,24,,,,,,,,,,,,
,,bb_lvl3,Lemon Tea,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,24,Brick,24,Paint Bucket,24,25,,,,,,,,,,,,
,,bb_lvl3,Orange Juice,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,25,Brick,25,Paint Bucket,25,26,,,,,,,,,,,,
,,bb_lvl3,Orange,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,26,Brick,26,Paint Bucket,26,27,,,,,,,,,,,,
,,bb_lvl3,BananaBread,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,27,Brick,27,Paint Bucket,27,28,,,,,,,,,,,,
,,bb_lvl3,Fruitcake,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,28,Brick,28,Paint Bucket,28,29,,,,,,,,,,,,
,,bb_lvl3,Grape Juice,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,29,Brick,29,Paint Bucket,29,30,,,,,,,,,,,,
,,bb_lvl3,BananaPancakes,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,30,Brick,30,Paint Bucket,30,31,,,,,,,,,,,,
,,bb_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,31,Brick,31,Paint Bucket,31,32,,,,,,,,,,,,
,,bb_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,32,Brick,32,Paint Bucket,32,33,,,,,,,,,,,,
,,bb_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,33,Brick,33,Paint Bucket,33,34,,,,,,,,,,,,
,,bb_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,34,Brick,34,Paint Bucket,34,35,,,,,,,,,,,,
,,bb_lvl3,,,,,,,,,,,,,,,,,,,,,,,,Hand Drill,35,Brick,35,Paint Bucket,35,36,,,,,,,,,,,,
