Name,Mode,TID,TID2,RequiredTutorial,AnimationExportName,AnimationTitleTID,ConfirmButtonTID,FileName,HumanExportName,DelayMS,AutoCompleteOtherTutorial,ReplayTutorial,Target,ShopTarget,Action,StartAction,EndAction,RequiredCount,CameraPanning,MinExpLevel10,MaxExpLevel10,MinRepLevel,Priority,PeopleOrder,ArrowXOffset,ArrowYOffset,GoodReward,NetReward,PositionX,PositionY,Disabled,TargetData
Step33: Complete First Order,home,TID_TUTORIAL_29,TID_TUTORIAL_29a,,,,,sc/humans.sc,scarecrow,,,,OrderTable,,CompleteOrder,,,,,40,,,39,,40,-50,,,,,,
Step34: Collect the coins,home,TID_TUTORIAL_30,TID_TUTORIAL_48a,,,,,sc/humans.sc,scarecrow,,,,Car,,ClaimOrder,,,,,40,,,40,,-20,-50,,,,,,
Step35: Complete Second Order,home,TID_TUTORIAL_47,TID_TUTORIAL_30a,,,,,sc/humans.sc,scarecrow_card,,,,OrderTable,,CompleteOrder,,,,,40,,,41,,40,-50,,,,,,
Step36: Keep up the good work!,home,TID_TUTORIAL_31,TID_TUTORIAL_31a,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,40,49,,42,,,,,,,,,
Step37: Ai visiting 1,home,,TID_TUTORIAL_GUEST3,,,,,sc/humans.sc,scarecrow,,,,People,,SelectTargetSameDataType,,SelectTargetObject,,,50,,,43,C,,-120,,,,,,
Step38: Ai visiting 2,home,TID_TUTORIAL_48,,,,,,sc/humans.sc,popup_greg,,,,,,,,,,,50,,,44,,,,,,,,,
Step39: Ai visiting 3,home,TID_TUTORIAL_49,TID_TUTORIAL_GUEST4,,,,,sc/humans.sc,scarecrow,,,,FriendBarButton,,OpenFriendBar,,,,,50,,,45,,,,,,,,,
Step40: Ai visiting 4,home,,TID_TUTORIAL_GUEST5,,,,,sc/humans.sc,scarecrow,,,,AIButton,,VisitAI,,,,,50,,,46,,,,,,,,,
Step41: Ai visiting 6,ai,TID_TUTORIAL_50,,,,,,sc/humans.sc,popup_greg,,,,,,,,,,,50,,,47,,,,,,,,,
Step42: Ai visiting 7,ai,,TID_TUTORIAL_GUEST6,,,,,sc/humans.sc,popup_greg,,,,RoadsideShop,,OpenRoadsideShop,,,,,50,,,48,,-10000,-10000,,,,,,
Step43: Ai visiting 8,ai,TID_TUTORIAL_51,,,,,,sc/humans.sc,popup_greg,,,,HomeButton,,ReturnHome,,,,,50,,,49,,,,,,,,,
Step44: Ai visiting 9,home,TID_TUTORIAL_52,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,50,,,50,,,,,,,,,
Step45: Buy Cow Habitat,home,TID_TUTORIAL_36,TID_TUTORIAL_36a,,,,,sc/humans.sc,scarecrow,,,,CowHabitat,,BuyObject,,,1,,60,,,51,,,,,,,,,
Step46: Buy a cow,home,,TID_TUTORIAL_37a,,,,,sc/humans.sc,scarecrow,,,,CowHabitat,,BuyAnimals,,,1,,60,,,52,,,,,,,,,
Step47: Feed a cow,home,,TID_TUTORIAL_38a,,,,,sc/humans.sc,scarecrow,,,,HungryCow,,FeedAnimals,SelectTargetObject,,1,,60,,,53,,,-40,,,,,,
Step48: Cow advice,home,TID_TUTORIAL_39,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,60,,,54,,,,,,,,,
Step49: Dairy,home,TID_TUTORIAL_40,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,60,,,55,,,,,,,,,
Step50: Roadside shop,home,TID_TUTORIAL_53,,,,,,sc/humans.sc,scarecrow,,,,RoadsideShop,,,,,,,70,,,56,,,,,,,,,
Step51: Roadside shop2,home,TID_TUTORIAL_54,TID_TUTORIAL_54a,,,,,sc/humans.sc,scarecrow,,,,RoadsideShop,,OpenRoadsideShop,,,,,70,,,57,,,,,,,,,
Step52: Mailbox,home,TID_TUTORIAL_55,TID_TUTORIAL_55a,,,,,sc/humans.sc,scarecrow,,,,MailBox,,OpenMailBox,,,,,70,,,58,,,-80,,,,,,
Step53: Indigo,home,TID_TUTORIAL_56,,,tutorial_swap_fan_page,TID_ANIMATION_6th crop,,sc/humans.sc,scarecrow,,,,,,,,,,,130,,,60,,,,,,,,,
Step25b: Rotating,home,TID_TUTORIAL_57,,,tutorial_edit_objects,TID_ANIMATION_EditObjects,,sc/humans.sc,scarecrow,,,,,,,,,,,65,,,59,,,,,,,,,
Step54: Vouchers and Pets 1,home,TID_TUTORIAL_58,,,,,TID_TUTORIAL_58a,sc/humans.sc,popup_pets,,,,,,,,,,,200,,,61,,,,,,,,,
Step55: Vouchers and Pets 1,home,TID_TUTORIAL_59,,,,,TID_TUTORIAL_59a,sc/humans.sc,popup_pets,,,,,,,,,,,200,,,62,,,,Voucher1,,,,,
Step56: First hungry pet,home,,TID_TUTORIAL_60,,,,,sc/humans.sc,scarecrow,,,,PetHouse,,FeedHungryPet,CloseShop,,,,,,,63,,,,,,,,,
Step56: Pet done eating,home,TID_TUTORIAL_61,,,,,,sc/humans.sc,scarecrow,,Step56: First hungry pet,,FedPet,,,,,,,,,,64,,,,,,,,,
Step57: Pet sleeping,home,,TID_TUTORIAL_62,,,,,sc/humans.sc,scarecrow,,Step56: Pet done eating,,SleepingPet,,CollectPet,,,,,,,,65,,,-20,,,,,,
Step58: Pet tapped,home,TID_TUTORIAL_63,,Step57: Pet sleeping,,,,sc/humans.sc,scarecrow,2000,Step57: Pet sleeping,,,,,,,,,,,,65,,,,,,,,,
Step59: Pizza,home,TID_TUTORIAL_64,,Step125: Helper crops,tutorial_swap_fan_page_2,TID_ANIMATION_Pizzas,,sc/humans.sc,scarecrow,10000,,,,,,,,,,330,,,136,,,,,,,,,
Step60: Docks unlocked,home,TID_TUTORIAL_65,,,,,,sc/humans.sc,scarecrow,,,,Docks,,TouchTarget,,,,,170,,,67,,,,,,,,,
Step61: Expnasion unlocked,home,TID_TUTORIAL_66,,,,,,sc/humans.sc,scarecrow,,,,Expansions,,OpenExpansionsHud,,,,,220,,,68,,,,,,,,,
Step62: Mine unlocked,home,TID_TUTORIAL_67,,,,,,sc/humans.sc,scarecrow,,,,Mines,,TouchTarget,,,,,240,,,69,,,,,,,,,
Step63: Boat,home,TID_TUTORIAL_68,,,,,,sc/humans.sc,scarecrow,,,,Boat,,OpenBoat,,,,,170,,,70,,,,,,,,,
Step64: Leaderboard,home,,TID_TUTORIAL_69,Step63: Boat,,,,sc/humans.sc,scarecrow,,,,Leaderboard,,OpenLeaderboard,,,,,170,,,71,,,,,,,,,
Step65: Postman intro,home,TID_TUTORIAL_70,,,,,,sc/humans.sc,scarecrow,,,,Postman,,,,,,,150,,,1,,,,,,20,32,,
Step66: Follow postman,home,,,,,,,sc/humans.sc,,,,,Postman,,LettersDelivered,,,,,150,,,2,,,-120,,,20,32,,
Step67: Select gift mailbox,home,,TID_TUTORIAL_71,,,,,sc/humans.sc,,,,,GiftMailbox,,CollectLetters,,,,,150,,,3,,15,,,,20,32,,
Step68: Letters explained,home,TID_TUTORIAL_72,,,,,,sc/humans.sc,scarecrow,,,,GiftMailbox,,,,,,,150,,,4,,,,,,20,32,,
Step69: Letters explained2,home,,,,tutorial_how_to_get_gift_cards,TID_ANIMATION_SendLetter,,sc/humans.sc,scarecrow,,,,GiftMailbox,,,,,,,150,,,5,,,,,,20,32,,
Step70: Letters explained3,home,TID_TUTORIAL_73,,,,,,sc/humans.sc,scarecrow,,,,GiftMailbox,,,,,,,150,,,6,,,,,,20,32,,
Step71: Letters explained4,home,TID_TUTORIAL_74,,,,,,sc/humans.sc,scarecrow,,,,GiftMailbox,,,,,,,150,,,7,,,,,,20,32,,
Step72: Fishing boat unlocked,home,TID_TUTORIAL_FISHING_1,,,,,,sc/humans.sc,scarecrow,,,,FishingBoat,,TouchTarget,,,,,270,,,72,,,,,,,,,
Step73: Fishing boat fixed,home,TID_TUTORIAL_FISHING_2,,,,,,sc/humans.sc,scarecrow,,,,FishingBoat,,GoFishing,,,,,270,,,73,,,,,,,,,
Step74: Fishing welcome,fishing,TID_TUTORIAL_FISHING_3,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,,FishingBoat,,,,,,,270,,,74,,,,,,20,-6,,
Step75: Fishing 101,fishing,,TID_TUTORIAL_FISHING_4,,tutorial_how_to_fish,TID_TUTORIAL_FISHING_4,,sc/fishing_humans.sc,pop_up_fisherman,,,,FishingSpot,,,,,,,270,,,75,,,,,,9,4,,
Step76: Fishing practice,fishing,,TID_TUTORIAL_FISHING_5,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,FishingSpot,,TryFish,,,,,270,,,76,,,,,,9,4,,
Step77: Fishing fail,fishing,,TID_TUTORIAL_FISHING_6,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,FishingSpot,,CatchFish,,,,,270,,,77,,,,,,15,4,,
Step78: Fishing hut,fishing,,TID_TUTORIAL_FISHING_7,,,,,sc/fishing_humans.sc,pop_up_fisherman,5000,,Step75: Fishing 101,FishingHut,,OpenFishCollection,,,,,270,,,78,,30,-90,,,9,4,,
Step79: Fishing lure maker,fishing,,TID_TUTORIAL_FISHING_8,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,BaitMaker,,TouchTarget,,,,,270,,,79,,,,,,13,2,,
Step80: Fishing baits,fishing,TID_TUTORIAL_FISHING_9,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,BaitMaker,,,,,,,270,,,80,,,,,,15,4,,
Step52b: Double tap AB test,home,TID_TUTORIAL_DOUBLE_TAP,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,70,,,60,,,,,,,,true,
Step81: Fishing net maker unlocked,fishing,TID_TUTORIAL_FISHING_10,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,Step81b: Net maker unlocked,Step75: Fishing 101,,,,,,,,300,,,87,,,,,,,,,
Step82: Fishing repair net maker,fishing,,TID_TUTORIAL_FISHING_11,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,NetMakerBroken,,TouchTarget,,,,,300,,,88,,,-70,,,18,-2,,
Step83: Fishing nets,fishing,TID_TUTORIAL_FISHING_12,,Step82: Fishing repair net maker,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,NetMaker,,TouchTarget,,,,,300,,,89,,,,,,18,-2,,
Step84: Fishing mystery net,fishing,TID_TUTORIAL_FISHING_13,,Step83: Fishing nets,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,NetMaker,,,,,,,300,,,90,,,,,MysteryNet,18,-2,,
Step85: Fishing lobster pool unlocked,fishing,TID_TUTORIAL_FISHING_14,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,Step85b: Lobster pool unlocked,Step75: Fishing 101,,,,,,,,440,,,91,,,,,,,,,
Step86: Fishing repair lobster pool,fishing,,TID_TUTORIAL_FISHING_15,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,LobsterPoolBroken,,TouchTarget,,,,,440,,,92,,,-70,,,18,-2,,
Step87: Fishing lobster info,fishing,TID_TUTORIAL_FISHING_16,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,LobsterPool,,,,,,,440,,,93,,,,,,18,-2,,
Step88: Fishing lobster harvested,fishing,,TID_TUTORIAL_FISHING_17,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,LobsterPool,,TouchTarget,,,,,440,,,94,,,-70,,,18,-2,,
Step81b: Net maker unlocked,home,TID_TUTORIAL_75,,,,,,sc/humans.sc,scarecrow,,,,FishingBoat,,GoFishing,,,,,300,,,85,,,,,,,,,
Step85b: Lobster pool unlocked,home,TID_TUTORIAL_76,,,,,,sc/humans.sc,scarecrow,,,,FishingBoat,,GoFishing,,,,,440,,,89,,,,,,,,,
LobsterFishing101_DO_NOT_RENAME,fishing,,,,tutorial_lobsters,TID_LOBSTER_TUTORIAL_TITLE,,sc/fishing_humans.sc,pop_up_fisherman,,,,LobsterPool,,,,,,,440,,,95,,,,,,18,-2,,
Step52c: Double tap AB test,home,TID_TUTORIAL_HOLDING_DOWN,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,70,,,60,,,,,,,,true,
Step89: Neighborhood building repair,home,TID_TUTORIAL_NEIGHBORHOOD_REPAIR,,,,,,sc/humans.sc,scarecrow,,,,NeighborhoodBuildingBroken,,TouchTarget,,,,,180,,,81,,,,,,,,,
Step90: Neighborhood create or join,home,TID_TUTORIAL_NEIGHBORHOOD_CREATEJOIN,TID_TUTORIAL_NEIGHBORHOOD_CREATEJOIN_BUBBLE,Step89: Neighborhood building repair,,,,sc/humans.sc,scarecrow,,,,NeighborhoodBuilding,,TouchTarget,,,,,180,,,82,,,,,,,,,
Step91: Welcome to chat,home,TID_TUTORIAL_NEIGHBORHOOD_CHAT,,Step90: Neighborhood create or join,,,,sc/humans.sc,scarecrow,,,,ChatOpenButton,,OpenChat,,,,,180,,,83,,,,,,,,,
Step92: Neighborhood invite,friend,TID_TUTORIAL_NEIGHBORHOOD_INVITE,,Step91b: Please visit friend and invite,,,,sc/humans.sc,scarecrow,,,,,,,,,,,180,,,84,,,,,,13,38,,
Step52d: Double tap AB decision,home,TID_TUTORIAL_DIAMOND_CONFIMATION_CHANGE,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,10,,,60,,,,,,,,,
Step91b: Please visit friend and invite,home,,TID_TUTORIAL_NEIGHBORHOOD_CHAT_BUBBLE,Step91: Welcome to chat,,,,sc/humans.sc,scarecrow,,,,Scarecrow,,TouchTarget,,,,,180,,,85,,,,,,13,38,,
,,,,,,,,,,,,,,,VisitFriend,,,,,,,,,,,,,,,,,
Step92b: Glowing invite button,friend,,,Step92: Neighborhood invite,,,,sc/humans.sc,scarecrow,,,,InviteButton,,DoInvite,,,,,180,,,86,,,,,,,,,
Step93: Drasine unlocked,home,TID_TUTORIAL_93_DRASINE_UNLOCKED,TID_TUTORIAL_93A_DRASINE_UNLOCKED,,,,,sc/humans.sc,scarecrow,,,,Drasine,,TouchTarget,,,,,340,,,96,,,,,,14,42,,
Step94: Drasine fixed,home,TID_TUTORIAL_94_DRASINE_FIXED,,,,,,sc/humans.sc,scarecrow,,,,Drasine,,GoTrain,,,,,340,,,97,,,,,,14,42,,
Step95: Train area welcome,train,TID_TUTORIAL_95_TRAIN_AREA_WELCOME,,,,,,sc/humans.sc,scarecrow,,,,,,,,,,,340,,,98,,,,,,16,18,,
Step96: Paint train station,train,,TID_TUTORIAL_96A_PAINT_TRAIN_STATION,,,,,sc/humans.sc,scarecrow,,,,TrainStation,,FixBuilding,,,,,340,,,99,,,,,,16,18,,
Step97: Tap first visitor,train,,TID_TUTORIAL_97A_TAP_FIRST_VISITOR,Step96: Paint train station,,,,sc/humans.sc,scarecrow,,,,Passenger,,TouchTarget,,,,,340,,,100,,,-100,,,16,18,,
Step98: Place Grocery Store,train,,TID_TUTORIAL_98A_PLACE_GROCERY,Step97: Tap first visitor,,,,sc/humans.sc,scarecrow,1500,,,Grocery,,BuyObject,,,,,340,,,101,,,,,,16,18,,
Step99: Grocery Store built,train,TID_TUTORIAL_99_GROCERY_STORE_BUILT,,Step98: Place Grocery Store,,,,sc/humans.sc,scarecrow,,,,Grocery,,,,,,,340,,,102,,,,,,13,16,,
Step100: Send to Grocery,train,,TID_TUTORIAL_100A_SEND_TO_GROCERY,Step99: Grocery Store built,,,,sc/humans.sc,scarecrow,,Step99: Grocery Store built,,Passenger,,SendGrocery,,,,,340,,,103,,,-100,,,13,16,,
Step101: Service video,train,,TID_TUTORIAL_101A_SERVICE_VISITOR,Step100: Send to Grocery,tutorial_service_building,TID_TUTORIAL_SERVICE_BUILDING_TITLE,,sc/humans.sc,scarecrow,1500,,,PassengerInSlot,,ServicePassenger,,,,,340,,,104,,,,,,13,16,,
Step102: Speed up service,train,,TID_TUTORIAL_102A_SPEED_UP_SERVICE,Step101: Service video,,,,sc/humans.sc,scarecrow,,,,PassengerInSlot,,SpeedUpService,,UnselectCurrent,,,340,,,105,,,,,,13,16,,
Step103: Collect reward,train,,TID_TUTORIAL_103A_COLLECT_REWARD,Step102: Speed up service,,,,sc/humans.sc,scarecrow,,Step102: Speed up service,,PassengerWithReward,,CollectPassengerReward,,,,,340,,,106,,,-100,,,13,16,,
Step104: Upgrade service building,train,,TID_TUTORIAL_104A_UPGRADE_SERVICE_BUILDING,Step103: Collect reward,,,,sc/humans.sc,scarecrow,,,,Grocery,,UpgradeServiceBuildingSlots,,,,,340,,,107,,,,,,13,16,,
Step105: Repair town hall,train,,TID_TUTORIAL_105A_REPAIR_TOWN_HALL,Step104: Upgrade service building,,,,sc/humans.sc,scarecrow,1500,,,TownHall,,FixBuilding,,,,,340,,2,108,,,,,,18,10,,
Step106: Town Hall listing,train,,TID_TUTORIAL_106A_SEND_TO_GROCERY_VIA_TOWN_HALL,Step105: Repair town hall,,,,sc/humans.sc,scarecrow,,,,TownHall,,TapTownHallListing,,,,,340,,,109,,,,,,18,10,,
Step107: Train tutorial completed,train,TID_TUTORIAL_107_TRAIN_TUTORIAL_COMPLETED,,Step106: Town Hall listing,,,,sc/humans.sc,scarecrow,3000,,,ShopButton,,OpenShop,,,,,340,,,110,,,,,,18,10,,
Step108: Repair personal train,train,TID_TUTORIAL_108_REPAIR_PERSONAL_TRAIN,,Step107: Train tutorial completed,,,,sc/humans.sc,scarecrow,,,,PersonalTrain,,RepairTarget,,,,,340,,4,111,,50,-100,,,27,15,,
Step109: Visit neighborhood friend,train,,TID_TUTORIAL_109A_VISIT_NEIGHBORHOOD_FRIEND,Step108: Repair personal train,,,,sc/humans.sc,scarecrow,,,,PersonalTrain,,OpenPersonalTrainHUD,,,,,340,,,112,,,-70,,,34,16,,
Step110: Bees unlocked,home,TID_TUTORIAL_110_BEES_UNLOCKED,,,,,,sc/humans.sc,scarecrow,1000,,,,,,,,,,390,,,113,,,,,,,,,
Step111: Buy beehive tree,home,TID_TUTORIAL_111a_BUY_BEEHIVETREE,TID_TUTORIAL_111a_BUY_BEEHIVETREE,Step110: Bees unlocked,,,,sc/humans.sc,scarecrow,,,,,BeeHiveTree,OpenShop,CloseShop,,,,390,,,114,,,,,,,,,
Step112: Buy bee,home,,TID_TUTORIAL_112a_BUY_BEE,Step111: Buy beehive tree,,,,sc/humans.sc,scarecrow,,,,BeeHiveTree,Bee,OpenShop,CloseShop,,,,390,,,115,,,,,,,,,
Step113: Buy nectar bush,home,,TID_TUTORIAL_113a_BUY_NECTARBUSH,Step112: Buy bee,,,,sc/humans.sc,scarecrow,,,,Bee,NectarBush,OpenShop,CloseShop,,,,390,,,116,,,,,,,,,
Step113b: Wait for bees,home,,TID_TUTORIAL_113a2_WAIT_FOR_BEES,Step113: Buy nectar bush,,,,sc/humans.sc,scarecrow,,,,NectarBush,,TouchTarget,CloseShop,,,,390,,,117,,,-60,,,,,,
Step114: Bee tutorial end,home,TID_TUTORIAL_114_BEE_TUTORIAL_END,,Step113b: Wait for bees,,,,sc/humans.sc,scarecrow,2000,,,,HoneyExtractor,OpenShop,CloseShop,,,,390,,,118,,,,,,,,,
Step52e: Double tap info,home,TID_TUTORIAL_DOUBLE_TAP_INFO,,,,,,sc/humans.sc,scarecrow,3000,,,,,,,,,,70,,,60,,,,,,,,,
Step115: Duck Salon unlocked,fishing,TID_DUCKS_TUTORIAL_TEXT,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,,DuckSalon,,TouchTarget,,,,,500,,,119,,,-90,,,19,4,,
Step116: Video tutorial,home,TID_TUTORIAL_NEIGHBORHOOD_DERBY,,Step91: Welcome to chat,tutorial_derby,TID_DERBY_TUTORIAL_TITLE,,sc/humans.sc,scarecrow,,,,Derby,,DerbyCanTakeTask,,,,,180,,,120,,,,,,14,42,,
Step117: Tap Derby stand,home,TID_TUTORIAL_NEIGHBORHOOD_DERBY2,TID_TUTORIAL_NEIGHBORHOOD_DERBY_TAP,Step116: Video tutorial,,,,sc/humans.sc,scarecrow,,,,Derby,,DerbyTapStand,,,,,180,,,121,,,,,,14,42,,
Step118: Derby rewards video,home,TID_TUTORIAL_NEIGHBORHOOD_DERBY3,,Step117: Tap Derby stand,tutorial_derby_rewards,TID_DERBY_TUTORIAL2_TITLE,,sc/humans.sc,scarecrow,,,,Derby,,DerbyCloseHUD2,,,,,180,,,125,,,,,,,,,
Step119: Derby rewards outro,home,TID_TUTORIAL_NEIGHBORHOOD_DERBY4,TID_TUTORIAL_NEIGHBORHOOD_DERBY_TAP2,Step118: Derby rewards video,,,,sc/humans.sc,scarecrow,,,,Derby,,TouchTarget,,,,,180,,,126,,,,,,14,42,,
Step117b: Derby leagues 1,home,TID_TUTORIAL_NEIGHBORHOOD_DERBY5,,Step117: Tap Derby stand,,,,sc/humans.sc,scarecrow,,,,Derby,,DerbyCanTakeTask,,,,,180,,,122,,,,,,,,,
Step117c: Derby leagues 2,home,TID_TUTORIAL_NEIGHBORHOOD_DERBY6,,Step117b: Derby leagues 1,,,,sc/humans.sc,scarecrow,,,,Derby,,,,,,,180,,,123,,,,,,,,,
