Level,ExpToNextLevel,ExportName,GoodReward,GoodAmount,LoadingHintTIDs,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSmelters,MaxBeeHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,LevelThresholds,ThresholdRewardSet,FeatureTID,FeaturePNGURL
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,220,levelup_01,Cow Food,5,TID_HINT_GENERAL_HELP,12,48,30,30,,,,,,,,,,,,,,,1,1,,,,1,,,1,4,3,3,5,3,68,17,12,24,656,13,4,7,200,300,3,3,720,1080,240,1000,,,0,,,
,,,,,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,370,levelup_01,Sugarcane,3,TID_HINT_GENERAL_HELP,15,60,30,30,,,,,,,,,,,,,,,1,1,,,,1,,,1,4,4,3,5,4,67,21,13,26,680,14,4,7,200,300,3,3,720,1080,240,1000,,,0,,TID_FEATURE_RSS_NEWSPAPER,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_rss_610x252.png
,,,FreeDiamonds,1,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,490,levelup_01,Saw,1,TID_HINT_GENERAL_HELP,15,60,30,30,,,,,,,,,,,,,,,1,1,,,,1,,,1,4,5,3,5,5,66,23,14,29,709,15,4,7,200,300,3,3,720,1080,240,1000,,,0,,,
,,,FreeDiamonds,1,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,790,levelup_01,Carrot,3,TID_HINT_GENERAL_HELP,18,72,30,30,,,,,,,,,,,,,,,1,1,,,,1,,,1,4,6,3,5,6,65,26,17,31,742,17,4,7,200,300,3,3,720,1080,240,1000,,,0,,TID_FEATURE_CALENDAR_EVENTS,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_events_610x252.png
,,,,,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_ADVANCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_CONNECT_TO_SAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,960,levelup_01,Pig Food,3,TID_HINT_GENERAL_HELP,18,72,30,30,,,,,,,,,,,,,,,1,1,,1,,1,,,1,4,7,3,5,7,64,29,17,34,781,18,4,7,200,300,3,3,720,1080,240,1000,5,3,0,,,
,,,FreeDiamonds,1,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_ADVANCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_CONNECT_TO_SAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1180,levelup_01,Demolition Charge,1,TID_HINT_GENERAL_HELP,21,84,30,30,,,,,,,,,,,,,,,1,1,,1,,1,,,1,5,8,3,5,7,63,31,18,36,825,19,4,7,200,300,3,3,720,1080,240,1000,5,3,0,,,
,,,Dynamite,1,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_ADVANCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_CONNECT_TO_SAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FAQ_MULTIPLE_DEVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1550,levelup_01,Axe,1,TID_HINT_GENERAL_HELP,21,84,30,30,,,,,,,,,,,,,,,2,1,,1,,2,,,1,5,9,3,5,7,62,34,20,38,874,21,4,7,200,300,3,3,720,1080,240,1000,5,3,0,,,
,,,FreeDiamonds,1,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_ADVANCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_CONNECT_TO_SAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FAQ_MULTIPLE_DEVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_LEVELSTAR_NEXT_LEVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1790,levelup_01,Indigo,3,TID_HINT_GENERAL_HELP,24,96,30,30,,,,,,,,,,,,,,,2,1,,1,,2,,,1,5,10,3,5,7,61,36,22,41,928,22,4,7,200,300,3,3,720,1080,240,1000,5,3,0,,,
,,,,,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_ADVANCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_CONNECT_TO_SAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FAQ_MULTIPLE_DEVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_LEVELSTAR_NEXT_LEVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE_FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FAN_SWITCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_EVENTS_TEASER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_EVENTS_GLOBAL_GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2270,levelup_01,Saw,2,TID_HINT_GENERAL_HELP,24,96,30,30,,,,,,,,,,,,,,,2,1,,1,,2,,,1,5,11,3,5,7,60,39,22,43,988,23,4,7,200,300,3,3,720,1080,240,1000,5,3,0,,TID_FEATURE_TOM,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_tom_610x252.png
,,,FreeDiamonds,1,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_ADVANCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_CONNECT_TO_SAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FAQ_MULTIPLE_DEVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_LEVELSTAR_NEXT_LEVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE_FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FAN_SWITCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_EVENTS_TEASER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_EVENTS_GLOBAL_GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2880,levelup_01,Pumpkin,3,TID_HINT_GENERAL_HELP,27,108,30,30,,,,,,,,,,,,,,,2,2,,1,,2,,,1,5,12,3,5,7,59,42,24,46,1054,25,4,7,200,300,3,3,720,1080,240,1000,5,3,1,RewardSetML1,,
,,,,,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_ADVANCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_CONNECT_TO_SAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FAQ_MULTIPLE_DEVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_LEVELSTAR_NEXT_LEVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE_FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FAN_SWITCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_EVENTS_TEASER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_EVENTS_GLOBAL_GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MIDLEVEL_THRESHOLDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3270,levelup_01,Sheep Food,3,TID_HINT_GENERAL_HELP,27,108,30,30,,,,,,,,,,,,,,,2,2,1,1,,2,,,1,6,13,3,5,7,58,44,25,49,1125,26,4,7,200,300,3,3,720,1080,240,1000,5,3,1,RewardSetML1,,
,,,,,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_ADVANCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_CONNECT_TO_SAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FAQ_MULTIPLE_DEVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_LEVELSTAR_NEXT_LEVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE_FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FAN_SWITCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_EVENTS_TEASER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_EVENTS_GLOBAL_GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MIDLEVEL_THRESHOLDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4120,levelup_01,Saw,1,TID_HINT_GENERAL_HELP,30,120,30,30,,,,,,,,,,,,,,,2,2,1,1,,2,,,1,6,14,3,5,7,57,47,26,50,1203,27,4,7,200,300,3,3,720,1080,240,1000,5,3,1,RewardSetML2,TID_FEATURE_BOAT,http://852b6fa176b2e626e941-397f396d2319df5bbc087e0cf9df642b.r83.cf2.rackcdn.com/static/unlock_images/unlock_boatdoc_610x252.png
,,,,1,TID_HINT_ROTATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_HELPSHIFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_TREES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_SETTINGS_ADVANCED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_CONNECT_TO_SAVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FAQ_MULTIPLE_DEVICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_LEVELSTAR_NEXT_LEVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_STATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FACEBOOK_LIKE_FARMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_FAN_SWITCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_EVENTS_TEASER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_EVENTS_GLOBAL_GOAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_MIDLEVEL_THRESHOLDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TID_HINT_BOAT_SEND_AWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
