"Name","FileNames","MinVolume","MaxVolume","MinPitch","MaxPitch","IsMusic","MaxRepeatFrequency"
"kevin hurt","sfx/kevin_hurt_01.wav",45,45,98,102,,
,"sfx/kevin_hurt_02.wav",45,45,98,102,,
,"sfx/kevin_hurt_03.wav",45,45,98,102,,
"aliss hurt","sfx/aliss_hurt_01.wav",45,45,98,102,,
,"sfx/aliss_hurt_02.wav",45,45,98,102,,
,"sfx/aliss_hurt_03.wav",45,45,98,102,,
"zed hurt","sfx/zed_hurt_01.wav",45,45,98,102,,
,"sfx/zed_hurt_02.wav",45,45,98,102,,
,"sfx/zed_hurt_03.wav",45,45,98,102,,
"hugo hurt","sfx/hugo_hurt_01.wav",45,45,98,102,,
,"sfx/hugo_hurt_01.wav",45,45,98,102,,
,"sfx/hugo_hurt_01.wav",45,45,98,102,,
"fireman hurt","sfx/fireman_hurt_01.wav",45,45,98,102,,
,"sfx/fireman_hurt_02.wav",45,45,98,102,,
,"sfx/fireman_hurt_03.wav",45,45,98,102,,
"coin appear","sfx/coin_appear_02v2.wav",60,60,100,100,,
"suitcase","sfx/suitcase_appear_03.wav",60,60,100,100,,
"ghost shoot","sfx/ghost_shoot_02.wav",45,45,95,105,,
"get yellow special","sfx/get_powerup_02.wav",55,55,100,100,,1
"use yellow special","sfx/heal_01v2.wav",55,55,100,100,,1
"get blue special","sfx/get_powerup_02.wav",55,55,100,100,,1
"use blue special","sfx/freeze_01.wav",50,50,100,100,,1
"get purple special","sfx/get_powerup_02.wav",55,55,100,100,,1
"use purple special","sfx/use_special_bomb_01v2.wav",70,70,100,100,,1
"get green special","sfx/get_powerup_02.wav",55,55,100,100,,1
"use green special","sfx/get_special_rainbow_02.wav",55,55,100,100,,1
"get red special","sfx/get_powerup_02.wav",55,55,100,100,,1
"use red special","sfx/use_special_multiplier_02.wav",60,60,100,100,,1
"energy drink","sfx/timer_05v5.wav",1,1,80,80,,
"coffee","sfx/timer_05v5.wav",1,1,80,80,,
"cupcake","sfx/timer_05v5.wav",1,1,80,80,,
"ghostappear","sfx/ghost_appear_02.wav",20,30,90,110,,5
"Beam 1","sfx/beam_01_loop_v5.wav",20,20,100,100,,
,"sfx/beam_01_loop_v5.wav",10,10,102,102,,
,"sfx/beam_01_loop_v5.wav",10,10,98,98,,
,"sfx/beam_01_loop_v5.wav",10,10,104,104,,
,"sfx/beam_01_loop_v5.wav",10,10,96,96,,
"Beam 2","sfx/beam_02_loop_v5.wav",20,20,100,100,,
,"sfx/beam_02_loop_v5.wav",10,10,102,102,,
,"sfx/beam_02_loop_v5.wav",10,10,98,98,,
,"sfx/beam_02_loop_v5.wav",10,10,104,104,,
,"sfx/beam_02_loop_v5.wav",10,10,96,96,,
"Beam 3","sfx/beam_03_loop_v5.wav",20,20,100,100,,
,"sfx/beam_03_loop_v5.wav",10,10,102,102,,
,"sfx/beam_03_loop_v5.wav",10,10,98,98,,
,"sfx/beam_03_loop_v5.wav",10,10,104,104,,
,"sfx/beam_03_loop_v5.wav",10,10,96,96,,
"Beam 4","sfx/beam_04_loop_v5.wav",20,20,100,100,,
,"sfx/beam_04_loop_v5.wav",10,10,102,102,,
,"sfx/beam_04_loop_v5.wav",10,10,98,98,,
,"sfx/beam_04_loop_v5.wav",10,10,104,104,,
,"sfx/beam_04_loop_v5.wav",10,10,96,96,,
"Beam 5","sfx/beam_05_loop_v5.wav",20,20,100,100,,
,"sfx/beam_05_loop_v5.wav",10,10,102,102,,
,"sfx/beam_05_loop_v5.wav",10,10,98,98,,
,"sfx/beam_05_loop_v5.wav",10,10,104,104,,
,"sfx/beam_05_loop_v5.wav",10,10,96,96,,
"Low health loop","sfx/low_health_loop_01.wav",60,60,90,90,,
"Beam 1 fire","sfx/beam_1_fire_01.wav",40,40,96,104,,3
"Beam 2 fire","sfx/beam_2_fire_01.wav",40,40,96,104,,3
"Beam 3 fire","sfx/beam_3_fire_01.wav",40,40,96,104,,3
"Beam 4 fire","sfx/beam_4_fire_01.wav",40,40,96,104,,3
"Beam 5 fire","sfx/beam_5_fire_01.wav",40,40,96,104,,3
"Get energy","sfx/get_energy_01v2.wav",40,40,100,100,,
,"sfx/get_energy_01v2.wav",40,40,106,106,,
,"sfx/get_energy_01v2.wav",40,40,112,112,,
,"sfx/get_energy_01v2.wav",40,40,119,119,,
,"sfx/get_energy_01v2.wav",40,40,126,126,,
,"sfx/get_energy_01v2.wav",40,40,133,133,,
,"sfx/get_energy_01v2.wav",40,40,141,141,,
,"sfx/get_energy_01v2.wav",40,40,150,150,,
,"sfx/get_energy_01v2.wav",40,40,159,159,,
,"sfx/get_energy_01v2.wav",40,40,168,150,,
,"sfx/get_energy_01v2.wav",40,40,178,178,,
,"sfx/get_energy_01v2.wav",40,40,189,189,,
,"sfx/get_energy_01v2.wav",40,40,200,200,,
"Counter","sfx/counter_01.wav",30,30,100,100,,
,"sfx/counter_01.wav",30,30,106,106,,
,"sfx/counter_01.wav",30,30,112,112,,
,"sfx/counter_01.wav",30,30,119,119,,
,"sfx/counter_01.wav",30,30,126,126,,
,"sfx/counter_01.wav",30,30,133,133,,
,"sfx/counter_01.wav",30,30,141,141,,
,"sfx/counter_01.wav",30,30,150,150,,
,"sfx/counter_01.wav",30,30,159,159,,
,"sfx/counter_01.wav",30,30,168,150,,
,"sfx/counter_01.wav",30,30,178,178,,
,"sfx/counter_01.wav",30,30,189,189,,
,"sfx/counter_01.wav",30,30,200,200,,
,"sfx/counter_01.wav",30,30,212,212,,
,"sfx/counter_01.wav",30,30,224,224,,
"Blocks fall","sfx/blocks_fall_01.wav",10,15,95,105,,
"Blocks land","sfx/blocks_land_01.wav",15,20,96,104,,
"Beam hit ghost","sfx/hit_ghost_01v7.wav",60,60,100,100,,
,"sfx/hit_ghost_01v7.wav",60,60,106,106,,
,"sfx/hit_ghost_01v7.wav",60,60,112,112,,
,"sfx/hit_ghost_01v7.wav",60,60,119,119,,
,"sfx/hit_ghost_01v7.wav",60,60,126,126,,
,"sfx/hit_ghost_01v7.wav",60,60,133,133,,
,"sfx/hit_ghost_01v7.wav",60,60,141,141,,
,"sfx/hit_ghost_01v7.wav",60,60,150,150,,
,"sfx/hit_ghost_01v7.wav",60,60,159,159,,
,"sfx/hit_ghost_01v7.wav",60,60,168,150,,
,"sfx/hit_ghost_01v7.wav",60,60,178,178,,
,"sfx/hit_ghost_01v7.wav",60,60,189,189,,
,"sfx/hit_ghost_01v7.wav",60,60,200,200,,
"CoinAppear","sfx/coin_appear_03.wav",100,100,100,100,,
"DiamondsBought","sfx/blocks_land_01.wav",15,20,96,104,,
"TutorialDialog","sfx/box_disappear_08.wav",90,90,100,100,,
"Prof speech 1","sfx/prof_speech_01.wav",50,50,100,100,,
"Security lady speech 1","sfx/security_lady_01.wav",50,50,100,100,,
"Prof speech 2","sfx/prof_speech_02.wav",50,50,100,100,,
"Security lady speech 2","sfx/security_lady_02.wav",50,50,100,100,,
"Prof speech 3","sfx/prof_speech_04.wav",50,50,100,100,,
"Security lady speech 1","sfx/security_lady_01.wav",50,50,100,100,,
"Girl speech 1","sfx/girl_speech_01.wav",50,50,100,100,,
"Girl speech 2","sfx/girl_speech_02.wav",50,50,100,100,,
"Girl speech 3","sfx/girl_speech_03.wav",50,50,100,100,,
"Prof speech 4","sfx/prof_speech_06.wav",50,50,100,100,,
"Security lady speech 3","sfx/security_lady_03.wav",50,50,100,100,,
"Security lady speech 5","sfx/security_lady_05.wav",50,50,100,100,,
"Prof speech 5","sfx/prof_speech_07.wav",50,50,100,100,,
"Prof speech 6","sfx/prof_speech_08.wav",50,50,100,100,,
"Jock 2","sfx/jock_02.wav",50,50,100,100,,
"Jock 3","sfx/jock_03.wav",50,50,100,100,,
"Dog 1","sfx/dog_01.wav",50,50,100,100,,
"Dog 2","sfx/dog_02.wav",50,50,100,100,,
"Dog 3","sfx/dog_03.wav",50,50,100,100,,
"Dog 4","sfx/dog_04.wav",50,50,100,100,,
"Ghost cage","sfx/ghost_cage_04.wav",40,40,100,100,,
,"sfx/ghost_cage_04.wav",40,40,104,104,,
,"sfx/ghost_cage_04.wav",40,40,108,108,,
,"sfx/ghost_cage_04.wav",40,40,112,112,,
,"sfx/ghost_cage_04.wav",40,40,116,116,,
,"sfx/ghost_cage_04.wav",40,40,120,120,,
,"sfx/ghost_cage_04.wav",40,40,124,124,,
,"sfx/ghost_cage_04.wav",40,40,128,128,,
,"sfx/ghost_cage_04.wav",40,40,132,132,,
,"sfx/ghost_cage_04.wav",40,40,136,136,,
,"sfx/ghost_cage_04.wav",40,40,140,140,,
,"sfx/ghost_cage_04.wav",40,40,144,144,,
,"sfx/ghost_cage_04.wav",40,40,148,148,,
"Ghost star 1","sfx/ghost_star_02.wav",40,40,100,100,,4
"Ghost star 2","sfx/ghost_star_02.wav",40,40,112,112,,4
"Ghost star 3","sfx/ghost_star_02.wav",40,40,126,126,,4
"Ghost spawn","sfx/ghost_spawn_01.wav",30,30,93,107,,
"Ghost split","sfx/ghost_split_01.wav",40,40,95,105,,
"Barrel Explosion","sfx/barrel_explosion_02.wav",60,60,95,105,,5
"Map star 1","sfx/map_star_01.wav",30,30,100,100,,5
"Map star 2","sfx/map_star_02.wav",30,30,100,100,,5
"Map star 3","sfx/map_star_03.wav",30,30,100,100,,5
"Map new level","sfx/newlevel_01.wav",40,40,100,199,,3
"Score fly out","sfx/score_fly_out_01.wav",40,40,96,104,,3
"Score hit","sfx/score_hit_03.wav",30,30,100,100,,5
"Bomb explosion","sfx/bomb_explo_01.wav",60,60,97,103,,5
