Name,TID,AppearEffect,SWF,ExportNameAppear,ExportNameIdle,ExportNameMove,ExportNamePrepareAttack,ExportNameAttack,AttackDelayMS,ExportNameSpecial,ExportNamePrepareSpecial,ExportNameReceiveDamage,ExportNameDie,ExportNameDisappear,ExportNamePreSpawn,ExportNameSpawn,CageExportName,DieEffect,AttackType,SpecialMove,Health,Shield,Width,Reach,BlockBeam,Obstacle,TurnScript,HitScript,DieScript,ReachScript,AlignToBottom,Energy,TurnsToLive,Score,MaxSpawnCount,SpawnDelayMS,FaceExportNames,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,
Splitter_(Large),TID_MONSTER_2,Match,sc/monsters.sc,ghost_splitter_lrg_appear,ghost_splitter_lrg_idle,ghost_splitter_lrg_move,ghost_splitter_lrg_preAttack,ghost_splitter_lrg_attack,550,ghost_splitter_lrg_attack,ghost_splitter_lrg_idle,ghost_splitter_lrg_damage,ghost_splitter_lrg_die,,,,CageLarge,GhostSplit,BasicMeleeAttack1,,30,,1,1,,,DOWN,,SPAWN LEFT Splitter_(Mid) RIGHT Splitter_(Mid),ATTACK1,TRUE,,,60,,1500,,
Splitter_(Mid),TID_MONSTER_2,Match,sc/monsters.sc,ghost_splitter_mid_appear,ghost_splitter_mid_idle,ghost_splitter_mid_move,ghost_splitter_mid_preAttack,ghost_splitter_mid_attack,550,ghost_splitter_mid_attack,ghost_splitter_mid_idle,ghost_splitter_mid_damage,ghost_splitter_mid_die,,ghost_splitter_mid_preSpawn,ghost_splitter_mid_spawn,CageMedium,GhostSplit,BasicMeleeAttack2,,25,,1,1,,,DOWN,,SPAWN LEFT Splitter_(Small) RIGHT Splitter_(Small),ATTACK1,TRUE,,,30,,1500,,
Splitter_(Small),TID_MONSTER_2,Match,sc/monsters.sc,ghost_splitter_sml_appear,ghost_splitter_sml_idle,ghost_splitter_sml_move,ghost_splitter_sml_preAttack,ghost_splitter_sml_attack,550,ghost_splitter_sml_attack,ghost_splitter_sml_idle,ghost_splitter_sml_damage,ghost_splitter_sml_die,,ghost_splitter_sml_preSpawn,ghost_splitter_sml_spawn,CageSmall,GhostDieGreen,BasicMeleeAttack2,,15,,1,1,,,DOWN,,,ATTACK1,TRUE,,,20,,,,
Hypno,TID_HYPNO,Match,sc/monsters.sc,ghost_hypno_appear,ghost_hypno_idle,ghost_hypno_move,ghost_hypno_preAttack,ghost_hypno_attack,550,ghost_hypno_attack,ghost_hypno_preAttack,ghost_hypno_damage,ghost_hypno_die,,,,CageMedium,GhostDiePurple,,Hypnotize,55,,1,,,,WAIT,,,,TRUE,,,75,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK2,,,,,,,,,,,
Spawner_Adult_(Static),TID_MONSTER_2,Match,sc/monsters.sc,ghost_spawner_appear,ghost_spawner_idle,ghost_spawner_idle,ghost_spawner_idle,ghost_spawner_idle,,ghost_spawner_special,ghost_spawner_preSpecial,ghost_spawner_damage,ghost_spawner_die,,,,CageLarge,GhostDie,,,60,,1,1,,,SPAWN DOWN Spawner_Child RIGHT Spawner_Child LEFT Spawner_Child,,,,TRUE,,,60,12,500,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spawner_Child,TID_MONSTER_2,Match,sc/monsters.sc,spawner_child_spawn,spawner_child_idle,spawner_child_move,spawner_child_preAttack,spawner_child_attack,550,spawner_child_idle,spawner_child_idle,spawner_child_damage,spawner_child_die,,spawner_child_spawn,spawner_child_idle,CageSmall,GhostDie,BasicMeleeAttack1,,15,,1,1,,,DOWN,,,ATTACK1,TRUE,,,0,,,,
Healer,TID_MONSTER_2,Match,sc/monsters.sc,ghost_healer_appear,ghost_healer_idle,ghost_healer_move,ghost_healer_preAttack,ghost_healer_attack,550,ghost_healer_special,ghost_healer_preSpecial,ghost_healer_damage,ghost_healer_die,,,,CageMedium,GhostDiePink,BasicMeleeAttack2,Heal,20,,1,1,,,ATTACK2;DOWN,,,ATTACK1,TRUE,,,50,,,,
Wall,TID_MONSTER_2,Match,sc/monsters.sc,ghost_wall_high_idle,ghost_wall_high_idle,ghost_wall_high_idle,ghost_wall_high_idle,ghost_wall_high_die,550,ghost_wall_high_idle,ghost_wall_high_idle,ghost_wall_high_idle,ghost_wall_high_die,,,,CageWall,GhostDie,,,150,,1,,TRUE,TRUE,WAIT,,,,TRUE,,,0,,,,
Bomb,TID_MONSTER_2,Match,sc/monsters.sc,ghost_bomb_boy_appear,ghost_bomb_boy_idle,ghost_bomb_boy_move,ghost_bomb_boy_idle,ghost_bomb_boy_die,900,ghost_bomb_boy_idle,ghost_bomb_boy_idle,ghost_bomb_boy_damage,ghost_bomb_boy_die,,,,CageMedium,GhostDie,ExplosionBomb,,25,,1,1,,,DOWN;DOWN,,ATTACK1,DIE,TRUE,,,30,,,,
Bomb_(HealTutorial),TID_MONSTER_2,Match,sc/monsters.sc,ghost_bomb_boy_appear,ghost_bomb_boy_idle,ghost_bomb_boy_move,ghost_bomb_boy_idle,ghost_bomb_boy_die,900,ghost_bomb_boy_idle,ghost_bomb_boy_idle,ghost_bomb_boy_damage,ghost_bomb_boy_die,,,,CageMedium,GhostDie,ExplosionBomb,,25,,1,1,,,DOWN;DOWN,,ATTACK1,DIE,TRUE,,,30,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,
Barrel,TID_MONSTER_2,Match,sc/monsters.sc,ghost_barrel_appear,ghost_barrel_idle,ghost_barrel_idle,,,350,,,,ghost_barrel_die,,,,CageMedium,GhostDie,Explosion1,,1,,1,,,TRUE,WAIT,,ATTACK1,,TRUE,,,0,,,,
Spawner_Adult_(Moving),TID_MONSTER_2,Match,sc/monsters.sc,ghost_spawner_move_appear,ghost_spawner_move_idle,ghost_spawner_move_move,ghost_spawner_move_preSpecial,ghost_spawner_move_special,550,ghost_spawner_move_special,ghost_spawner_move_preSpecial,ghost_spawner_move_damage,ghost_spawner_move_die,,spawner_move_rabbit_spawn,spawner_move_rabbit_idle,CageLarge,GhostDie,,,30,,1,1,,,SPAWN DOWN Spawner_Child_Rabbit,,,,TRUE,,,70,10,1150,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAWN DOWN Spawner_Child_Rabbit,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT;LEFT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAWN DOWN Spawner_Child_Rabbit,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT,,,,,,,,,,,
Pinkhead_Child_(RightLeft),TID_MONSTER_2,Match,sc/monsters.sc,ghost_range_move_junior_appear,ghost_range_move_junior_idle,ghost_range_move_junior_move,ghost_range_move_junior_preAttack,ghost_range_move_junior_attack,550,,,ghost_range_move_junior_damage,ghost_range_move_junior_die,,,,CageMedium,GhostDiePink,RangedAttackPinkJnr,,15,,1,10,,,DOWN,,,RIGHT;DOWN,TRUE,,,20,,,range_move_junior_face_idle,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,range_move_junior_face_idle_1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOWN;LEFT,,,,,,,range_move_junior_face_idle_2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT;UP,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP;RIGHT,,,,,,,,
Pinkhead_Child_(LeftRight),TID_MONSTER_2,Match,sc/monsters.sc,ghost_range_move_junior_appear,ghost_range_move_junior_idle,ghost_range_move_junior_move,ghost_range_move_junior_preAttack,ghost_range_move_junior_attack,550,,,ghost_range_move_junior_damage,ghost_range_move_junior_die,,,,CageMedium,GhostDiePink,RangedAttackPinkJnr,,15,,1,10,,,DOWN,,,LEFT;DOWN,TRUE,,,20,,,range_move_junior_face_idle,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,range_move_junior_face_idle_1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOWN;RIGHT,,,,,,,range_move_junior_face_idle_2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT;UP,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP;LEFT,,,,,,,,
Firehead_Child,TID_MONSTER_2,Match,sc/monsters.sc,ghost_range_junior_appear,ghost_range_junior_idle,ghost_range_junior_move,ghost_range_junior_preAttack,ghost_range_junior_attack,550,,,ghost_range_junior_damage,ghost_range_junior_die,,,,CageMedium,GhostDieOrange,RangedAttackOrangeJnr,,15,,1,10,,,DOWN,,,WAIT,TRUE,,,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,,
Spawner_Child_Rabbit,TID_MONSTER_2,Match,sc/monsters.sc,spawner_move_rabbit_spawn,spawner_move_rabbit_idle,spawner_move_rabbit_move,spawner_move_rabbit_preAttack,spawner_move_rabbit_attack,550,spawner_move_rabbit_idle,spawner_move_rabbit_idle,spawner_move_rabbit_damage,spawner_move_rabbit_die,,spawner_move_rabbit_spawn,spawner_move_rabbit_idle,CageSmall,GhostDiePurple,BasicMeleeAttack2,,20,,1,1,,,DOWN;DOWN;DOWN,,,ATTACK1,TRUE,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EnergyDrop,TID_MONSTER_2,Match,sc/ui.sc,EnergyDropAppear,EnergyDropIdle,EnergyDropIdle,EnergyDropIdle,EnergyDropIdle,0,EnergyDropIdle,EnergyDropIdle,EnergyDropIdle,EnergyDropCollect,EnergyDropDisappear,,EnergyDropAppear,CageWall,GotEnergy,,,1,,1,1,,TRUE,WAIT,,,,TRUE,1,200,0,,,,
Firehead_Child_Tutorial,TID_MONSTER_2,Match,sc/monsters.sc,ghost_range_junior_appear,ghost_range_junior_idle,ghost_range_junior_move,ghost_range_junior_preAttack,ghost_range_junior_attack,550,,,ghost_range_junior_damage,ghost_range_junior_die,,,,CageMedium,GhostDieOrange,RangedAttackOrangeJnr,,15,,1,10,,,DOWN,,,ATTACK1,TRUE,,,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAIT,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PREPARE,,,,,,,,
Hypno_firstAppearance,TID_HYPNO,Match,sc/monsters.sc,ghost_hypno_appear,ghost_hypno_idle,ghost_hypno_move,ghost_hypno_preAttack,ghost_hypno_attack,550,ghost_hypno_attack,ghost_hypno_preAttack,ghost_hypno_damage,ghost_hypno_die,,,,CageMedium,GhostDiePurple,,Hypnotize,60,,1,,,,ATTACK2,,,,TRUE,,,75,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,WAIT,,,,,,,,,,,
Spawner_Adult_(Moving)_1,TID_MONSTER_2,Match,sc/monsters.sc,ghost_spawner_move_basic_appear,ghost_spawner_move_basic_idle,ghost_spawner_move_basic_move,ghost_spawner_move_basic_preSpecial,ghost_spawner_move_basic_special,550,ghost_spawner_move_basic_special,ghost_spawner_move_basic_preSpecial,ghost_spawner_move_basic_damage,ghost_spawner_move_basic_die,,ghost_basic_spawn,ghost_basic_idle,CageLarge,GhostDie,,,60,,1,1,,,SPAWN DOWN Basic_Adult_from_HAT,,,,TRUE,,,70,10,100,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAWN DOWN Basic_Adult_from_HAT,,,,,,,,,,,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,RIGHT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAWN DOWN Basic_Adult_from_HAT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAWN DOWN Basic_Adult_from_HAT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,
Spawner_Adult_(Moving)_2,TID_MONSTER_2,Match,sc/monsters.sc,ghost_spawner_move_bomb_appear,ghost_spawner_move_bomb_idle,ghost_spawner_move_bomb_move,ghost_spawner_move_bomb_preSpecial,ghost_spawner_move_bomb_special,550,ghost_spawner_move_bomb_special,ghost_spawner_move_bomb_preSpecial,ghost_spawner_move_bomb_damage,ghost_spawner_move_bomb_die,,ghost_bomb_boy_spawn,ghost_bomb_boy_idle,CageLarge,GhostDie,,,60,,1,1,,,SPAWN DOWN Bomb,,,,TRUE,,,70,10,100,,350
,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAWN DOWN Bomb,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT,,,,,,,,,,,
Spawner_Adult_(Moving)_3,TID_MONSTER_2,Match,sc/monsters.sc,ghost_spawner_move_range_appear,ghost_spawner_move_range_idle,ghost_spawner_move_range_move,ghost_spawner_move_range_preSpecial,ghost_spawner_move_range_special,550,ghost_spawner_move_range_special,ghost_spawner_move_range_preSpecial,ghost_spawner_move_range_damage,ghost_spawner_move_range_die,,ghost_range_spawn,ghost_range_idle,CageLarge,GhostDie,,,60,,1,1,,,SPAWN DOWN FireHead_Adult_from_HAT,,,,TRUE,,,70,10,100,,350
,,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,SPAWN DOWN FireHead_Adult_from_HAT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,RIGHT,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,LEFT,,,,,,,,,,,
Wall_Light,TID_MONSTER_2,Match,sc/monsters.sc,ghost_fence_idle,ghost_fence_idle,ghost_fence_idle,ghost_fence_idle,ghost_fence_die,550,ghost_fence_idle,ghost_fence_idle,ghost_fence_idle,ghost_fence_die,,,,CageWall,GhostDie,,,60,,1,,TRUE,TRUE,WAIT,,,,TRUE,,,0,,,,
FireHead_Adult_from_HAT,TID_MONSTER_2,Match,sc/monsters.sc,ghost_range_appear,ghost_range_idle,ghost_range_move,ghost_range_preAttack,ghost_range_attack,550,ghost_range_idle,ghost_range_idle,ghost_range_damage,ghost_range_die,,,,CageMedium,GhostDieOrange,RangedAttackOrange,,45,,1,10,,,DOWN,,,PREPARE,TRUE,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATTACK1,,,,,,,,
Basic_Adult_from_HAT,TID_MONSTER_1,Match,sc/monsters.sc,ghost_basic_appear,ghost_basic_idle,ghost_basic_move,ghost_basic_preAttack,ghost_basic_attack,200,ghost_basic_attack,ghost_basic_idle,ghost_basic_damage,ghost_basic_die,,,,CageMedium,GhostDie,BasicMeleeAttack2,,45,,1,1,,,DOWN,,,ATTACK1,TRUE,,,0,,,,
