Name,ParticleCount,EmissionTime,MinLife,MaxLife,MinAngle,MaxAngle,MinSpeed,MaxSpeed,StartZ,Gravity,Inertia,StartScale,EndScale,MinRotate,MaxRotate,FadeOutTime,StartRadius,DepthEffect,TargetMagnet,ParticleSWF,ParticleExportName,OrientToMovement,OrientToParent,BounceFromGround,AdditiveBlend
HypnoDust,35,2483,400,1000,0,360,100,400,40,-1200,1000,100,10,0,0,50,25,,,sc/effects.sc,GhostHypnoDust,,,,TRUE
LifePrt,1,100,1200,1600,0,360,1000,2000,,,700,100,35,0,0,750,10,,2500,sc/ui.sc,LifeIcon,,,,
StarFlyToHud,1,2483,1000,1000,0,360,100,400,40,-1200,800,100,10,0,0,50,25,,2500,sc/ui.sc,GhostStar,,,,
SoftPuff,35,,500,1000,0,360,400,700,,,1000,60,20,0,45,2000,20,,,sc/effects.sc,DustParticle,,,,TRUE
,,,,,,,,,,,,,,,,,,,,,SnowFlake03,,,,
SpawnGlow,20,,400,800,0,360,2000,3000,,,1400,150,100,,,700,100,,5000,sc/effects.sc,BlueSpark,,,,TRUE
Sparks1,40,100,400,600,-120,-60,500,900,,800,400,200,100,0,90,500,40,,,sc/effects.sc,Spark1,,,TRUE,TRUE
,,,,,,,,,,,,,,,,,,,,,Spark2,,,,
,,,,,,,,,,,,,,,,,,,,,Spark3,,,,
SpawnPrt,10,30,200,800,180,360,400,2000,,,2700,40,8,-180,180,500,10,,,sc/effects.sc,SpawnParticle,,,,
EnergySparkle,1,10,1000,1800,0,360,200,500,100,-100,800,80,35,90,360,1000,25,,2500,sc/effects.sc,GhostDieGoo,,,,
LevelEndParticles,200,2000,1000,1500,-180,360,500,1000,40,2000,500,80,80,-0,0,700,700,,,sc/effects.sc,ConfP1,,,,
,,,,,,,,,,,,,,,,,,,,,ConfP2,,,,
,,,,,,,,,,,,,,,,,,,,,ConfP3,,,,
,,,,,,,,,,,,,,,,,,,,,ConfP4,,,,
,,,,,,,,,,,,,,,,,,,,,ConfR1,,,,
,,,,,,,,,,,,,,,,,,,,,ConfR2,,,,
,,,,,,,,,,,,,,,,,,,,,ConfR3,,,,
,,,,,,,,,,,,,,,,,,,,,ConfR4,,,,
,,,,,,,,,,,,,,,,,,,,,ConfY1,,,,
,,,,,,,,,,,,,,,,,,,,,ConfY2,,,,
,,,,,,,,,,,,,,,,,,,,,ConfY3,,,,
,,,,,,,,,,,,,,,,,,,,,ConfY4,,,,
,,,,,,,,,,,,,,,,,,,,,ConfG1,,,,
,,,,,,,,,,,,,,,,,,,,,ConfG2,,,,
,,,,,,,,,,,,,,,,,,,,,ConfG3,,,,
,,,,,,,,,,,,,,,,,,,,,ConfG4,,,,
,,,,,,,,,,,,,,,,,,,,,ConfB1,,,,
,,,,,,,,,,,,,,,,,,,,,ConfB2,,,,
,,,,,,,,,,,,,,,,,,,,,ConfB3,,,,
,,,,,,,,,,,,,,,,,,,,,ConfB4,,,,
Energy,50,10,200,700,0,360,200,400,100,-1300,100,120,50,0,0,120,70,,,sc/effects.sc,EnergyDropParticle1,,,,
,,,,,,,,,,,,,,,,,,,,,EnergyDropParticle2,,,,
BeamSparks,50,20,50,700,-50,-140,50,400,,-200,800,100,15,0,0,50,60,,,sc/effects.sc,BeamSpark1,,,,
,,,,,,,,,,,,,,,,,,,,,BeamSpark2,,,,
PinkGoo,20,20,200,1000,-40,-140,50,2000,0,900,1200,20,70,0,0,500,100,,,sc/effects.sc,PinkGoo,,,TRUE,
GreenGoo,20,20,200,1000,-40,-140,50,2000,0,900,1200,20,70,0,0,500,50,,,sc/effects.sc,GreenGoo,,,TRUE,
OrangeGoo,20,20,200,1000,-40,-140,50,2000,0,900,1200,20,70,0,0,500,50,,,sc/effects.sc,OrangeGoo,,,TRUE,
PurpleGoo,20,20,200,1000,-40,-140,50,2000,0,900,1200,20,70,0,0,500,50,,,sc/effects.sc,PurpleGoo,,,TRUE,
BlueGoo,20,20,200,1000,-40,-140,50,2000,0,900,1200,20,70,0,0,500,50,,,sc/effects.sc,BlueGoo,,,TRUE,
BarrelPieces,9,100,800,1000,-40,-140,50,2000,0,1600,200,100,40,10,10,400,60,,,sc/effects.sc,BarrelPiece1,,,TRUE,
,,,,,,,,,,,,,,,,,,,,,BarrelPiece2,,,,
,,,,,,,,,,,,,,,,,,,,,BarrelPiece3,,,,
