"Name",0,1,2,3,4,5,6
,3,1,3,4,4,1,1
,2,1,2,3,3,4,1
,4,4,3,2,2,4,1
,2,1,2,3,4,1,1
"Level6",4,1,3,2,3,2,1
,1,4,4,3,1,3,1
,4,3,3,2,1,2,1
,4,2,2,3,4,4,1
,1,4,3,2,1,2,1
"Level7",3,5,3,5,3,3,5
,4,3,4,5,4,2,3
,3,5,3,4,3,4,2
,4,2,5,5,4,5,5
,4,5,5,4,2,4,3
"Tutorial1",2,2,4,2,4,5,3
,5,4,3,2,3,2,3
,4,3,5,3,5,5,4
,5,2,2,3,2,4,3
,5,4,3,5,3,5,5
"L1Wave2",4,2,5,2,4,5,3
,5,3,4,5,3,2,5
,4,5,5,4,5,5,3
,5,2,5,3,2,5,2
,4,5,2,5,5,4,5
"RedSkill",2,1,4,5,5,3,4
,4,1,3,2,4,2,5
,1,2,1,1,5,4,3
,4,1,2,5,1,2,1
,5,3,5,4,4,3,5
"GreenSkill",2,5,4,5,2,3,4
,4,1,3,2,4,2,5
,3,2,5,3,2,4,3
,4,1,4,1,2,5,1
,2,3,5,4,4,3,5
"BlueSkill",2,5,3,5,2,1,4
,4,3,4,3,3,2,5
,3,2,3,1,2,4,3
,4,1,4,5,2,5,1
,2,3,5,4,4,3,5
"Tutorial5_Mask",0,0,1,0,0,0,0
,0,1,1,1,1,0,0
,0,0,1,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
"Tutorial5_Mask2",0,0,1,1,1,0,0
,0,0,1,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
"YellowSkill",2,5,4,5,2,1,4
,4,4,1,4,3,2,5
,3,2,4,1,2,4,3
,4,1,2,5,2,5,1
,2,3,5,4,4,3,5
"Tutorial6_Mask",0,0,1,0,0,0,0
,1,1,1,1,0,0,0
,0,0,1,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
"Tutorial6_Mask2",0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,1,0
,0,0,0,1,1,1,0
"PurpleSkill",5,2,4,2,5,3,4
,4,1,3,5,4,5,2
,3,1,2,3,5,4,3
,4,5,4,1,5,2,1
,5,3,2,4,4,3,5
"Tutorial7_Mask",0,0,0,0,1,0,0
,0,0,0,1,1,1,0
,0,0,0,0,1,0,0
,0,0,0,0,1,0,0
,0,0,0,0,0,0,0
"Tutorial7_Mask2",0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
,0,1,0,0,0,0,0
,1,1,1,0,0,0,0
"Tutorial8_Mask",0,0,0,0,0,0,0
,0,0,1,0,0,0,0
,1,1,1,1,1,1,0
,0,0,0,0,0,0,0
,0,0,0,0,0,0,0
"L2Wave2",5,2,3,5,2,3,5
,5,4,5,2,5,5,2
,3,2,2,3,2,4,4
,5,4,5,3,4,5,5
,2,5,4,5,2,5,4
"L4Wave1",2,4,5,3,2,3,5
,4,5,2,5,3,5,2
,5,2,3,2,4,2,5
,5,3,2,3,5,3,2
,2,5,3,4,3,4,3
"L5Wave1",4,3,4,4,2,3,5
,3,4,3,2,4,5,4
,5,4,4,3,4,2,5
,4,5,2,5,3,5,3
,5,4,5,2,5,3,2
"L5Wave2",3,4,3,3,2,3,5
,4,3,4,4,3,5,3
,5,3,3,4,3,2,5
,3,5,2,5,4,5,4
,5,3,5,2,5,4,2
"L6Wave2",4,5,2,2,4,2,3
,5,4,5,3,4,3,4
,4,5,4,3,3,4,3
,4,5,4,4,3,2,4
,5,4,5,3,4,3,2
"L40Wave1",2,1,2,1,1,5,1
,1,2,1,5,2,3,2
,2,4,3,3,4,2,3
,1,5,2,5,5,3,5
,1,1,3,1,2,3,4
"L8Wave1",4,3,5,3,2,4,3
,3,4,4,5,4,3,2
,4,5,4,3,2,5,3
,3,2,3,5,4,5,4
,3,3,4,3,3,4,3
