"Name","NumberValue","BooleanValue","TextValue","NumberArray","StringArray","Comment"
"SEND_EVENTS_TO_FLURRY",,"TRUE",,,,
"SEND_EVENTS_TO_ADCOLONY",,"FALSE",,,,
"SEND_EVENTS_TO_INMOBI",,"TRUE",,,,
"SPEED_UP_CONFIRMATION_ENABLED",,"TRUE",,,,
"BUFFER_SERVER_COMMANDS",,"TRUE",,,,
"HIDE_ISO_ENGINE_IN_SHOP",,"TRUE",,,,
"GAME_CENTER_CHALLENGES_ENABLED",,"TRUE",,,,
"COMPLETE_CONSTRUCTIONS_ONLY_HOME",,"FALSE",,,,
"FEEDBACK_CATEGORIES",,,,,"Purchasing Issue",
,,,,,"Connection Issue",
,,,,,"Report Problem",
,,,,,"Feedback",
,,,,,,
"SEND_EVENTS_TO_MOBILE_APP_TRACKER",,"TRUE",,,,
"DEFAULT_TO_LOCAL_HIGHSCORES",,"FALSE",,,,
"SHOW_IAP_NOTIFICATION_POPUP",,"TRUE",,,,
"SEND_ONLY_INSTALL_EVENTS_TO_APP_TRACKER",,"TRUE",,,,
"SEND_ONLY_INSTALL_EVENTS_TO_OTHER_SDKS",,"TRUE",,,,
"ENABLE_LOCAL_RANKINGS",,"TRUE",,,,
"HIGH_SCORE_EMPTY_LINES",,,,10,,
,,,,50,,
,,,,100,,
,,,,150,,
,,,,200,,
"USE_NEW_LOADING_BAR_LOGIC",,,,,,
"USE_LABORATORY_UPGRADE_READY_NOTIFICATION",,"TRUE",,,,
"DEBUG_FONT_NAME",,,"t1",,,
"SPEED_UP_COST_DIVISOR",20,,,,,
"RESOURCE_BUYING_COST_DIVISOR_1",2,,,,,
"RESOURCE_BUYING_COST_DIVISOR_2",150,,,,,
"RESOURCE_BUYING_COIN_MULTIPLIER",50,,,,,
"BIG_RESOURCE_BUYING_COST_DIVISOR_1",4,,,,,
"BIG_RESOURCE_BUYING_COST_DIVISOR_2",19,,,,,
"MATCHES_REQUIRED_FOR_COMBO_SPLASH1",6,,,,,
"MATCHES_REQUIRED_FOR_COMBO_SPLASH2",8,,,,,
"MATCHES_REQUIRED_FOR_COMBO_SPLASH3",9,,,,,
"MATCHES_REQUIRED_FOR_COMBO_SPLASH4",10,,,,,
"MATCHES_REQUIRED_FOR_COMBO_SPLASH5",12,,,,,
"COMBO_SPLASH1_MULTIPLIER",2,,,,,
"COMBO_SPLASH2_MULTIPLIER",3,,,,,
"COMBO_SPLASH3_MULTIPLIER",4,,,,,
"COMBO_SPLASH4_MULTIPLIER",5,,,,,
"COMBO_SPLASH5_MULTIPLIER",6,,,,,
"VERTICAL_PENETRATION_TILES",5,,,,,
"VERTICAL_PENETRATION_WEAKEN_PERCENTAGE",50,,,,,
"ELECTROSHOCK_WEAKEN_PERCENTAGE",50,,,,,
"SPAWN_INTERVAL_MILLIS",100,,,,,
"COMBO_MULTIPLIER_PERCENTAGE",110,,,,,
"FIRST_LEVEL_WITH_RED_BOOSTS",30,,,,,
"FIRST_LEVEL_WITH_GREEN_BOOSTS",25,,,,,
"FIRST_LEVEL_WITH_BLUE_BOOSTS",35,,,,,
"FIRST_LEVEL_WITH_YELLOW_BOOSTS",40,,,,,
"FIRST_LEVEL_WITH_PURPLE_BOOSTS",45,,,,,
"CONNECT_FACEBOOK_HINT_TIME",10,,,,,
"SCORE_KILL_BONUS_DIVIDER",2,,,,,
"SCORE_TURN_BONUS_MULTPLIER",10,,,,,
"SCORE_DAMAGE_BONUS_DIVIDER",2,,,,,
"BLOCK_FLY_TIMER_MS",500,,,,,
"PRIVACY_POLICY_URL",,,"http://www.supercell.net/privacy-policy",,,
"TERMS_OF_SERVICE_URL",,,"http://www.supercell.net/terms-of-service",,,
"KEEPALIVE_INTERVAL_SECONDS",5,,,,,
"DISCONNECT_IF_KEEPALIVE_IS_BEHIND",,"TRUE",,,,
"KEEPALIVE_TIMEOUT",30,,,,,
"KEEPALIVE_SHOW_WARNING_AFTER_SECONDS",10,,,,,
