"Name","TID","BackgroundSWF","ExportName","Puzzle","MusicPlaylist","HeroCount","PreferredHeroes","StarThresholds","Seed","FixedSeed","FreeHeroSwaps","EnergyCost","EnergyReward","GatePassRequired","RedHeroEnergy","GreenHeroEnergy","BlueHeroEnergy","YellowHeroEnergy","PurpleHeroEnergy","DisableGreenBlock","DisableRedBlock","MoveTimerMS","SkipFirstTurn"
"Level54","TID_LEVEL_SCHOOL","sc/levels.sc","level_firestation_01",,"Playlist1",,,100,17294,,1,1,,,,,,,,,,,
,,,,,,,,2600,,,,,,,,,,,,,,,
,,,,,,,,2700,,,,,,,,,,,,,,,
"Level55","TID_LEVEL_SCHOOL","sc/levels.sc","level_firestation_01",,"Playlist1",,,100,14287,,1,1,,,,,,,,,,,
,,,,,,,,5800,,,,,,,,,,,,,,,
,,,,,,,,6100,,,,,,,,,,,,,,,
"Level56","TID_LEVEL_SCHOOL","sc/levels.sc","level_firestation_01",,"Playlist1",,,100,14278,,1,1,,,,,,,,,,,
,,,,,,,,7000,,,,,,,,,,,,,,,
,,,,,,,,7300,,,,,,,,,,,,,,,
"Level57","TID_LEVEL_SCHOOL","sc/levels.sc","level_firestation_01",,"Playlist1",,,100,15722,,1,1,,,,,,,,,,,
,,,,,,,,19650,,,,,,,,,,,,,,,
,,,,,,,,20500,,,,,,,,,,,,,,,
"Level58","TID_LEVEL_SCHOOL","sc/levels.sc","level_firestation_01",,"Playlist1",,,100,148724,,1,1,,,,,,,,,,,
,,,,,,,,19580,,,,,,,,,,,,,,,
,,,,,,,,20000,,,,,,,,,,,,,,,
"Level59","TID_LEVEL_SCHOOL","sc/levels.sc","level_city_outdoor_01",,"Playlist1",,,100,29752,,1,1,,,,,,,,,,,
,,,,,,,,15000,,,,,,,,,,,,,,,
,,,,,,,,15600,,,,,,,,,,,,,,,
"Level60","TID_LEVEL_SCHOOL","sc/levels.sc","level_city_outdoor_01",,"Playlist1",,,100,27648,,1,1,,,,,,,,,,,
,,,,,,,,2000,,,,,,,,,,,,,,,
,,,,,,,,2400,,,,,,,,,,,,,,,
"Level61","TID_LEVEL_SCHOOL","sc/levels.sc","level_office_01",,"Playlist1",,,100,29852,,1,1,,,,,,,,,,,
,,,,,,,,18000,,,,,,,,,,,,,,,
,,,,,,,,18500,,,,,,,,,,,,,,,
"Level62","TID_LEVEL_SCHOOL","sc/levels.sc","level_office_01",,"Playlist1",,,100,24684,,1,1,,,,,,,,,,,
,,,,,,,,11800,,,,,,,,,,,,,,,
,,,,,,,,12000,,,,,,,,,,,,,,,
"Level63","TID_LEVEL_SCHOOL","sc/levels.sc","level_office_01",,"Playlist1",,,100,27684,,1,1,,,,,,,,,,,
,,,,,,,,29000,,,,,,,,,,,,,,,
,,,,,,,,30000,,,,,,,,,,,,,,,
"Level64","TID_LEVEL_SCHOOL","sc/levels.sc","level_office_01",,"Playlist1",,,100,29742,,1,1,,,,,,,,,,,
,,,,,,,,8600,,,,,,,,,,,,,,,
,,,,,,,,8900,,,,,,,,,,,,,,,
"Level65","TID_LEVEL_SCHOOL","sc/levels.sc","level_office_01",,"Playlist1",,,100,29852,,1,1,,,,,,,,,,,
,,,,,,,,10000,,,,,,,,,,,,,,,
,,,,,,,,12000,,,,,,,,,,,,,,,
"Level66","TID_LEVEL_SCHOOL","sc/levels.sc","level_office_01",,"Playlist1",,,100,25742,,1,1,,"Gate4",,,,,,,,,
,,,,,,,,9500,,,,,,,,,,,,,,,
,,,,,,,,10000,,,,,,,,,,,,,,,
"Level67","TID_LEVEL_SCHOOL","sc/levels.sc","level_city_outdoor_01",,"Playlist1",,,100,2394,,1,1,,,,,,,,,,,
,,,,,,,,11000,,,,,,,,,,,,,,,
,,,,,,,,11400,,,,,,,,,,,,,,,
"Level68","TID_LEVEL_SCHOOL","sc/levels.sc","level_movie_theater_01",,"Playlist1",,,100,28742,,1,1,,,,,,,,,,,
,,,,,,,,20000,,,,,,,,,,,,,,,
,,,,,,,,24000,,,,,,,,,,,,,,,
"Level69","TID_LEVEL_SCHOOL","sc/levels.sc","level_movie_theater_01",,"Playlist1",,,100,35985,,1,1,,,,,,,,,,,
,,,,,,,,16500,,,,,,,,,,,,,,,
,,,,,,,,18000,,,,,,,,,,,,,,,
"Level70","TID_LEVEL_SCHOOL","sc/levels.sc","level_movie_theater_01",,"Playlist1",,,100,398,,1,1,,,,,,,,,,,
,,,,,,,,16500,,,,,,,,,,,,,,,
,,,,,,,,17000,,,,,,,,,,,,,,,
"Level71","TID_LEVEL_SCHOOL","sc/levels.sc","level_movie_theater_01",,"Playlist1",,,100,3685,,1,1,,,,,,,,,,,
,,,,,,,,14000,,,,,,,,,,,,,,,
,,,,,,,,15200,,,,,,,,,,,,,,,
"Level72","TID_LEVEL_SCHOOL","sc/levels.sc","level_movie_theater_01",,"Playlist1",,,100,5175,,1,1,,,,,,,,,,,
,,,,,,,,11500,,,,,,,,,,,,,,,
,,,,,,,,12000,,,,,,,,,,,,,,,
"Level73","TID_LEVEL_SCHOOL","sc/levels.sc","level_city_indoor_01",,"Playlist1",,,100,3132,,1,1,,,,,,,,,,,
,,,,,,,,11700,,,,,,,,,,,,,,,
,,,,,,,,12500,,,,,,,,,,,,,,,
"Level74","TID_LEVEL_SCHOOL","sc/levels.sc","level_general_indoor_01",,"Playlist1",,,100,3212,,1,1,,,,,,,,,,,
,,,,,,,,6500,,,,,,,,,,,,,,,
,,,,,,,,7500,,,,,,,,,,,,,,,
"Level75","TID_LEVEL_SCHOOL","sc/levels.sc","level_city_outdoor_01",,"Playlist1",,,100,3112,,1,1,,,,,,,,,,,
,,,,,,,,34500,,,,,,,,,,,,,,,
,,,,,,,,35000,,,,,,,,,,,,,,,
"Level76","TID_LEVEL_SCHOOL","sc/levels.sc","level_arcade_01",,"Playlist1",,,100,24387,,1,1,,,,,,,,,,,
,,,,,,,,11300,,,,,,,,,,,,,,,
,,,,,,,,12200,,,,,,,,,,,,,,,
"Level77","TID_LEVEL_SCHOOL","sc/levels.sc","level_arcade_01",,"Playlist1",,,100,34762,,1,1,,,,,,,,,,,
,,,,,,,,22000,,,,,,,,,,,,,,,
,,,,,,,,23500,,,,,,,,,,,,,,,
"Level78","TID_LEVEL_SCHOOL","sc/levels.sc","level_arcade_01",,"Playlist1",,,100,4444,,1,1,,,,,,,,,,,
,,,,,,,,28000,,,,,,,,,,,,,,,
,,,,,,,,26000,,,,,,,,,,,,,,,
"Level79","TID_LEVEL_SCHOOL","sc/levels.sc","level_arcade_01",,"Playlist1",,,100,3,,1,1,,,,,,,,,,,
,,,,,,,,13500,,,,,,,,,,,,,,,
,,,,,,,,14000,,,,,,,,,,,,,,,
"Level80","TID_LEVEL_SCHOOL","sc/levels.sc","level_arcade_01",,"Playlist1",,,100,4464,,1,1,,,,,,,,,,,
,,,,,,,,14500,,,,,,,,,,,,,,,
,,,,,,,,15800,,,,,,,,,,,,,,,
