Name,SWF,ExportName,ParticleEmitter,EmitterProbability,EmitterDelayMs,EmitterOffsetX,EmitterOffsetY,CameraShake,AttachToParent,Looping,IsoLayer,Targeted,MaxCount,RemoveWhenSourceDies,Sound,EnableOnlyWhenInView,DisableFromLowGFX
Take Damage A,,,yellow_star_explode_A,,,,,,TRUE,,top,,1,,Enemy Hit Tonal,,
,,,Impact_02,,,,,,,,top,,20,,,,
,,,blue_star_explode_B,,,,,,TRUE,,top,,1,,,,
,,,blue_star_explode_sml,,,,,,,,,,,,,,
Player Die Effect,,,confetti_purple_sml_A,,,,,,,,top,,50,,,,
,,,confetti_purple_sml_B,,,,,,,,,,,,,,
,,,confetti_purple_sml_C,,,,,,,,,,,,,,
,,,pop_die,,,,,,,,,,,,,,
Generic Die Effect,,,pop_die,,,,,,,,top,,50,,Enemy Last Hit,,
Die Effect Small,,,die_small,,,,,,,,top,,50,,,,
Die Effect Bang,,,die,,,,,,,,top,,50,,Generic Hit,,
Generic Attack,,,impact_01,,,,,,,,objects,,20,,,,
Roll,,,,,,,,,,,top,,20,,Roll,,
Indicator Collision,,,basic_hit2,,,,,,,,top,,20,,,,
,,,basic_hit3,,,,,,,,top,,,,,,
,,,basic_hit2,,,,,,,,,,,,,,
,,,basic_hit3,,,,,,,,,,,,,,
,,,basic_hit2,,,,,,,,,,,,,,
,,,basic_hit3,,,,,,,,,,,,,,
Gem Beetle Attack,,,,,,,,,,,objects,,,,Gem Beetle Attack,,
Spider Attack,,,,,,,,,,,objects,,,,Spider Attack,,
Flower Attack,,,,,,,,,,,objects,,,,Flower Attack,,
Boulder Attack,,,,,,,,,,,objects,,,,Boulder Attack,,
Bee Attack,,,,,,,,,,,objects,,,,Bee Attack,,
Mole Take Damage,,,,,,,,,,,objects,,,,Mole Take Damage,,
Pyramid Take Damage,,,,,,,,,,,objects,,,,Pyramid Take Damage,,
GemBeetle Take Damage,,,,,,,,,,,objects,,,,GemBeetle Take Damage,,
Spider Take Damage,,,,,,,,,,,objects,,,,Spider Take Damage,,
Cloud Take Damage,,,,,,,,,,,objects,,,,Cloud Take Damage,,
Bat Attack,,,,,,,,,,,objects,,,,Bat Attack,,
Bat Take Damage,,,,,,,,,,,objects,,,,Bat Take Damage,,
Hit Sides,,,,,,,,,,,objects,,,,Hit Sides,,
Hit Other Player,,,,,,,,,,,objects,,,,Hit Other Player,,
Cactus Hit,,,,,,,,,,,objects,,,,Hit Cactus,,
Character Becomes Active,,,,,,,,,,,objects,,,,Player Highlight,,
Move,,,SmokeTrail,,,,,,,,ground,,20,,,,
Move blue,,,SmokeTrail_blue,,,,,,,,ground,,20,,,,
,,,SmokeTrail_blue_long,,,,,,,,,,,,,,
Move purple,,,SmokeTrail_purple,,,,,,,,ground,,20,,,,
,,,flickEffect_starDust_long,,,,,,,,,,,,,,
Generic Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,wizball shoot,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
Advboy Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,adventureboy shoot,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
Wizard Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,wizball shoot,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
Pirate Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,pirate shoot,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
Barrel Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,barrel shoot,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
Mummy Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,mummy shoot,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
SpaceGirl Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,spacegirl shoot,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
Genie Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,geenie shoot,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
Yeti Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,yeti shoot,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
Princess Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,princess shoot,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
Fairy Leech,,,,,,,,,,,,,,,fairy leech,,
Fairy Ring Spawn,,,,,,,,,,,,,,,fairy ring,,
Fairy Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,fairy shoot,,
,,,flickEffect_smoke_purple,,,,,,,,,,,,,,
,,,flickEffect_starDust_explode,,,,,,,,,,,,,,
Princess Take Damage,,,take_damage,,,,,,,,top,,50,,princess hurt,,
,,,basic_hit1,,,,,,,,top,,20,,,,
,,,impact_01,,,,,,,,top,,20,,,,
Prince Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,prince shoot,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
Yeti Take Damage,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,yeti hurt,,
,,,flickEffect_smoke_blue,,,,,,,,,,,,,,
Genie Flick,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,prince shoot,,
,,,flickEffect_smoke_blue,,,,,,,,,,,,,,
Prince Take Damage,,,take_damage,,,,,,,,top,,50,,prince hurt,,
,,,basic_hit1,,,,,,,,top,,20,,,,
,,,impact_01,,,,,,,,top,,20,,,,
Wizard Flick,,,impact_01,,,,,,,,ground,,20,,wizball shoot,,
Wizard Take Damage,,,take_damage,,,,,,,,top,,50,,wizball hurt,,
,,,basic_hit1,,,,,,,,top,,20,,,,
,,,impact_01,,,,,,,,top,,20,,,,
Pop Zlonk,,,pop_zlonk_01,,,,,,,,top,,1,,Enemy Last Hit,,
,,,red_star_explode_A,,,,,,,,top,,1,,,,
,,,Impact_02,,,,,,,,top,,20,,,,
,,,red_star_explode_sml,,,,,,,,,,,,,,
Pop Pow,,,pop_pow_01,,,,,,,,top,,1,,Enemy Last Hit,,
,,,green_star_explode_A,,,,,,,,top,,1,,,,
,,,Impact_02,,,,,,,,top,,20,,,,
,,,green_star_explode_sml,,,,,,,,,,,,,,
Pop Zap,,,pop_zap_01,,,,,,,,top,,1,,Enemy Last Hit,,
,,,blue_star_explode_A,,,,,,,,top,,1,,,,
,,,Impact_02,,,,,,,,top,,20,,,,
,,,blue_star_explode_sml,,,,,,,,,,,,,,
Pop Bang,,,pop_bang_01,,,,,,,,top,,1,,Enemy Last Hit,,
,,,yellow_star_explode_A,,,,,,,,top,,1,,,,
,,,Impact_02,,,,,,,,top,,20,,,,
,,,yellow_star_explode_sml,,,,,,,,,,,,,,
Pop Smash,,,pop_smash_01,,,,,,,,top,,1,,Enemy Last Hit,,
,,,yellow_star_explode_A,,,,,,,,top,,1,,,,
,,,Impact_02,,,,,,,,top,,20,,,,
,,,yellow_star_explode_sml,,,,,,,,,,,,,,
Blue Star,,,blue_star_explode_A,,,,,,,,top,,1,,Generic Hit,,
Yellow Star,,,yellow_star_explode_A,,,,,,,,top,,1,,Generic Hit,,
Test,,,test,,,,,,,,top,,1,,,,
Level Start Jingle,,,,,,,,,,,objects,,,,Level start,,
Combo Effect,,,combo_explode_red_01,,,,,,,,top,,20,,,,
,,,Impact_02,,,,0,,,,top,,20,,,,
Life combo x3,,,,,,,,,,,top,,4,,Life combo x3,,
Life combo x4,,,,,,,,,,,top,,4,,Life combo x4,,
Life combo x5,,,,,,,,,,,top,,4,,Life combo x5,,
Life combo x6,,,,,,,,,,,top,,4,,Life combo x6,,
Life combo x7,,,,,,,,,,,top,,4,,Life combo x7,,
Life combo x8,,,,,,,,,,,top,,4,,Life combo x8,,
Life combo x9,,,,,,,,,,,top,,4,,Life combo x9,,
Life combo x10,,,,,,,,,,,top,,4,,Life combo x10,,
Life combo x11,,,,,,,,,,,top,,4,,Life combo x11,,
Life combo x12,,,,,,,,,,,top,,4,,Life combo x12,,
Life combo x13,,,,,,,,,,,top,,4,,Life combo x13,,
Life combo x14,,,,,,,,,,,top,,4,,Life combo x14,,
Life combo x15,,,,,,,,,,,top,,4,,Life combo x15,,
Life combo x16,,,,,,,,,,,top,,4,,Life combo x16,,
Life combo x17,,,,,,,,,,,top,,4,,Life combo x17,,
Life combo x18,,,,,,,,,,,top,,4,,Life combo x18,,
Life combo x19,,,,,,,,,,,top,,4,,Life combo x19,,
Life combo x20,,,,,,,,,,,top,,4,,Life combo x20,,
Life combo x21,,,,,,,,,,,top,,4,,Life combo x21,,
Tree Hit,,,,,,,,,,,top,,4,,Hit Tree,,
Bee Hive Hit,,,yellow_star_explode_A,,,,,,TRUE,,top,,1,,Bee Hive,,
,,,Impact_02,,,,,,,,top,,20,,,,
,,,blue_star_explode_B,,,,,,TRUE,,top,,1,,,,
,,,blue_star_explode_sml,,,,,,,,,,,,,,
Hit Stone Wall,,,impact_01,,,,,,,,top,,20,,Hit Stone Wall,,
Die Stone Wall,,,die,,,,,,,,top,,50,,Die Stone Wall,,
Hit skull,,,,,,,,,,,objects,,,,Hit skull,,
Hit tree trunk,,,,,,,,,,,objects,,,,Hit tree trunk,,
Tree Attack,,,tree_smoke_shadow,,,,,50,,,ground,,10,,Tree land,,
,,,tree_smoke,,,,,,,,,,,,,,
Skull Attack,,,tree_smoke_shadow,,,,,50,,,ground,,10,,Skull Attack,,
,,,tree_smoke,,,,,,,,,,,,,,
Tree Attack 2,,,impact_attack1,,,,,,,,ground,,10,,,,
,,,impact_attack2,,,,,,,,,,,,,,
,,,impact_attack,,,,,,,,,,,,,,
,,,impact_grass,,,,,,,,,,,,,,
,,,impact_grass1,,,,,,,,,,,,,,
Boss Mush Impact,,,impact_attack1,,,,,,,,ground,,10,,Mushboss impact,,
,,,impact_attack2,,,,,,,,,,,,,,
,,,impact_attack,,,,,,,,,,,,,,
,,,impact_grass,,,,,,,,,,,,,,
,,,impact_grass1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,impact_stoneBounce2,,,,,,,,,,,,,,
,,,impact_stoneBounce,,,,,,,,,,,,,,
Boss Mushroom Attack,,,mushroom_attack_shadow,,,,,100,,,ground,,10,,Mushroom attack,,
,,,mushroom_attack_smoke,,,,,,,,,,,,,,
Spider Attack 2,,,impact_01,,,,,,,,objects,,20,,Spider attack 2,,
Boss Killed Kill Enemy,,,SmokeTrail,,0,,,,,,objects,,50,,wizball shoot,,
,,,SmokeTrail,,,,,,,,,,50,,,,
,,,SmokeTrail,,,,,,,,,,50,,,,
,,,SmokeTrail,,,,,,,,,,50,,,,
Jump Tree,,,,,,,,,,,ground,,10,,Jump Tree,,
Mushroom Slow Spawn,,,flickEffect_smoke_shadow,,,,,,,,objects,,10,,Mushroom grow,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
Mushroom Boss Jump,,,,,,,,,,,objects,,,,Mushroom angry,,
Ghost Take Damage,,,,,,,,,,,objects,,,,,,
Baby Spider Take Damage,,,,,,,,,,,objects,,,,,,
Baby Spider Attack,,,,,,,,,,,objects,,,,Baby spider attack,,
Baby Spider Move,,,,,,,,,,,objects,,,,Baby spider move,,
Flower Take Damage,,,,,,,,,,,objects,,,,,,
Bee Take Damage,,,,,,,,,,,objects,,,,Bee Hit,,
Apple Take Damage,,,,,,,,,,,objects,,,,,,
Ghost Attack,,,fx_ghost_attack,,,,,,,,top,,3,,Ghost attack,,
Ghost Move,,,,,,,,,,,top,,3,,Ghost move,,
Mushroom Hit,,,mushroom_bounce_ring1,,,,,,,,ground,,,,Mushroom hit,,
,,,mushroom_bounce_ring2,,,,,,,,,,,,,,
Mushroom Hit2,,,mushroom_bounce_text,,,,,,,,top,,,,,,
Book Hit,,,yellow_star_explode_A,,,,,,TRUE,,top,,1,,Book hit,,
,,,Impact_02,,,,,,,,top,,20,,,,
,,,blue_star_explode_B,,,,,,TRUE,,top,,1,,,,
,,,blue_star_explode_sml,,,,,,,,,,,,,,
King Bee Hit,,,,,,,,,,,,,,,King Bee Hit,,
King Bee Attack,,,,,,,,,,,objects,,,,King Bee Spawn,,
Apple Attack,,,,,,,,,,,objects,,,,Apple attack,,
Get Extra Diamond,,,yellow_star_explode_A,,,,,,,,objects,,,,Get Extra Diamond,,
,,,blue_star_explode_sml,,,,,,,,,,,,,,
,,,combo_explode_red_01,,,,,,,,,,,,,,
Get Extra Energy,,,yellow_star_explode_A,,,,,,,,objects,,,,Get Extra Energy,,
,,,blue_star_explode_sml,,,,,,,,,,,,,,
Get Extra Coin,,,yellow_star_explode_A,,,,,,,,objects,,,,Big Coin,,
,,,blue_star_explode_sml,,,,,,,,,,,,,,
Generic Enemy Appear,,,appear_D,,,,,,,,ground,,,,,,
,,,appear_C,,,,,,,,,,,,,,
,,,appear_D,,,,,,,,,,,,,,
,,,appear_E,,,,,,,,,,,,,,
Princess Special Impact,,,impact_attack1,,,,,,,,ground,,50,,Mushboss impact,,
,,,impact_attack2,,,,,,,,,,,,,,
,,,impact_attack,,,,,,,,,,,,,,
,,,impact_grass,,,,,,,,,,,,,,
,,,impact_grass1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,impact_stoneBounce2,,,,,,,,,,,,,,
,,,impact_stoneBounce,,,,,,,,,,,,,,
Princess Special Attack,,,mushroom_attack_shadow,,,,,,,,top,,50,,Mushroom attack,,
,,,mushroom_attack_smoke,,,,,,,,,,,,,,
,,,flickEffect_smoke_shadow,,,,,,,,,,,,,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
,,,flickEffect_smoke_shadow,,,,,,,,,,,,,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
Reveal chest hedge,,,impact_grass,,,,,,,,top,,,,Hit tree trunk,,
,,,impact_grass1,,,,,,,,,,,,,,
,,,impact_grass1,,,,,,,,,,,,,,
,,,reveal_chest_hedge,,,,,,,,,,,,,,
Hit Chest,,,tree_smoke_shadow,,,,,,,,ground,,,,Hit tree trunk,,
,,,tree_smoke,,,,,,,,,,,,,,
Chest destroyed,,,tree_smoke_shadow,,,,,,,,top,,,,Hit tree trunk,,
,,,tree_smoke,,,,,,,,,,,,,,
Collect coin,,,collect_coin,,,,,,,,top,,,,Collect Coin,,
Player Heart Picked Barrel,,,health_barrel,,,,,,,,top,,,,Collect Coin,,
Player Heart Picked,,,health_minus,,,,,,TRUE,,top,,,,Collect Coin,,
Coin appear,,,,,,,,,,,top,,,,Collect Coin,,
Hearth appear,,,,,,,,,,,top,,,,Collect Coin,,
Collect hearth,,,,,,,,,,,top,,,,Collect Coin,,
Prince hit enemy,,,,,,,,,,,top,,,,Prince hit enemy,,
Princess hit enemy,,,,,,,,,,,top,,,,,,
Wizard hit enemy,,,,,,,,,,,top,,,,,,
Advboy hit enemy,,,,,,,,,,,top,,,,,,
Mummy hit enemy,,,,,,,,,,,top,,,,,,
Yeti hit enemy,,,,,,,,,,,top,,,,,,
Genie hit enemy,,,,,,,,,,,top,,,,,,
Special Attack,,,specialAttack_D,,,,,,,,ground,,,,,,
,,,specialAttack_C,,,,,,,,,,,,,,
,,,specialAttack_E,,,,,,,,,,,,,,
,,,specialAttack_D,,,,,,,,,,,,,,
,,,specialAttack_E,,,,,,,,,,,,,,
,,,specialAttack_strikes,,,,,,,,,,,,,,
Wizard Fireball Hit,,,fireball_explosion_smoke_shadow,,,,,100,,,top,,,,Mushboss impact,,
,,,fireball_specialAttack_strikes,,,,,,,,,,,,,,
,,,impact_attack1,,,,,,,,,,,,,,
,,,impact_attack2,,,,,,,,,,,,,,
,,,impact_attack,,,,,,,,,,,,,,
,,,fireball_impact_stone,,,,,,,,,,,,,,
,,,fireball_impact_stone1,,,,,,,,,,,,,,
,,,fireball_impact_stoneBounce,,,,,,,,,,,,,,
,,,fireball_impact_stoneBounce2,,,,,,,,,,,,,,
,,,fireball_explosion_smoke1,,,,,,,,,,,,,,
,,,fireball_ground_dark,,100,,,,,,,,,,,,
,,,Impact_02,,,,,,,,,,,,,,
,,,fireball_stone_explosion,,,,,,,,,,,,,,
Prince Special Move,,,flickEffect_starDust_long,,,,,,,,objects,,,,,,
Common End Special,,,SmokeTrail,,,,,,,,top,,,,Player Highlight,,
,,,yellow_star_explode_A,,,,,,,,,,,,,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
,,,SmokeTrail,,,,,,,,,,,,,,
,,,SmokeTrail,,,,,,,,,,,,,,
,,,SmokeTrail,,,,,,,,,,,,,,
,,,SmokeTrail,,,,,,,,,,,,,,
,,,SmokeTrail,,,,,,,,,,,,,,
Wizard Aim Effect,,,fireball_aim_smoke_shadow,,,,,,,,base,,,,,,
,,,fireball_aim_smoke,,,,,,,,,,,,,,
Wizard Special Flick,,,flickEffect_smoke_shadow,,,,,,,,base,,,,wizball special,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
,,,basic_hit1,,,,,,,,,,,,,,
,,,impact_01,,,,,,,,,,,,,,
Pirate Special Flick,,,flickEffect_smoke_shadow,,,,,,,,base,,,,pirate special,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
,,,basic_hit1,,,,,,,,,,,,,,
,,,impact_01,,,,,,,,,,,,,,
Yeti Aim Effect,,,yeti_special_aim,,,,,,,,base,,,,,,
Yeti Special Flick,,,yeti_special_flick,,,,,,,,top,,,,yeti throw,,
,,,basic_hit1,,,,,,,,,,,,,,
,,,impact_01,,,,,,,,,,,,,,
,,,yeti_special,,,,,,,,,,,,,,
Yeti Special Move,,,SmokeTrail_purple,,,,,,,,ground,,20,,,,
,,,flickEffect_starDust_long,,,,,,,,,,,,,,
Yeti Special Hit,,,princess_specialAttack_strikes,,,,,30,,,top,,,,,,
,,,princess_specialAttack_sparks,,,,,,,,,,,,,,
Princess Aim Effect,,,fireball_aim_smoke_shadow,,,,,,,,base,,,,,,
,,,fireball_aim_smoke,,,,,,,,,,,,,,
Princess Special Flick,,,flickEffect_smoke_shadow,,,,,,,,base,,,,princess special,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
,,,basic_hit1,,,,,,,,,,,,,,
,,,impact_01,,,,,,,,,,,,,,
Princess Special Move,,,princess_axe_lines,,,,,,,,ground,,20,,,,
,,,flickEffect_starDust_long,,,,,,,,,,,,,,
Princess Special Hit,,,princess_specialAttack_strikes,,,,,30,,,top,,,,,,
,,,princess_specialAttack_sparks,,,,,,,,,,,,,,
Genie Aim Effect,,,fireball_aim_smoke_shadow,,500,,,,,,base,,,,,,
,,,genie_aim_smoke,,500,,,,,,,,,,,,
Genie Special Flick,,,flickEffect_smoke_shadow,,,,,,,,base,,,,,,
,,,SmokeTrail_blue_long,,,,,,,,,,,,,,
,,,basic_hit1,,,,,,,,,,,,,,
,,,impact_01,,,,,,,,,,,,,,
Genie Special Move,,,SmokeTrail_blue,,,,,,,,ground,,20,,,,
,,,SmokeTrail_blue_long,,,,,,,,,,,,,,
Genie Special Hit,,,SmokeTrail_blue,,,,,30,,,top,,,,,,
,,,SmokeTrail_blue_long,,,,,,,,,,,,,,
PvP Score Changed,,,combo_explode_red_01,,,,,,,,top,,20,,,,
,,,Impact_02,,,,0,,,,top,,20,,,,
Advboy Aim Effect,,,fireball_aim_smoke_shadow,,,,,,,,base,,,,,,
,,,fireball_aim_smoke,,,,,,,,,,,,,,
Advboy Special Move,,,SmokeTrail,,,,,,,,ground,,20,,,,
,,,flickEffect_starDust_long,,,,,,,,,,,,,,
,,,aboy_speed,,,,,,,,,,,,,,
AdvBoy Special Flick,,,flickEffect_smoke_shadow,,,,,,,,ground,,,,adventureboy special,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
,,,basic_hit1,,,,,,,,,,,,,,
,,,impact_01,,,,,,,,,,,,,,
,,,flickEffect_starDust_long,,,,,,,,,,,,,,
,,,impact_01,,,,,,,,,,,,,,
,,,speed_stone_explosion,,,,,,,,,,,,,,
,,,speed_stone_explosion,,,,,,,,,,,,,,
,,,speed_stone_explosion,,,,,,,,,,,,,,
SpaceGirl Aim Effect,,,fireball_aim_smoke_shadow,,,,,,,,base,,,,,,
,,,fireball_aim_smoke,,,,,,,,,,,,,,
Mummy Aim Effect,,,fireball_aim_smoke_shadow,,,,,,,,base,,,,,,
,,,fireball_aim_smoke,,,,,,,,,,,,,,
Genie Aim Effect,,,fireball_aim_smoke_shadow,,,,,,,,base,,,,,,
,,,fireball_aim_smoke,,,,,,,,,,,,,,
Mummy Laser,,,laser_bar,,,,,,,,top,,,,,,
,,,laser_parts,,,,,,,,,,20,,,,
Mummy Special Flick,,,,,,,,,,,top,,,,mummy special,,
Mummy Special Move,,,,,,,,,,,top,,,,,,
Cloud Attack,,,lightning_strike,,,,,,,,ground,,,,Cloud Attack,,
Menu Level Unlock New,,,,,,,,,,,ground,,,,Menu Level Unlock New,,
Menu Level Progress,,,,,,,,,,,ground,,,,Menu Level Progress,,
Menu Coin Collect,,,,,,,,,,,ground,,,,Menu Coin Collect,,
Menu XP Collect,,,,,,,,,,,ground,,,,Menu XP Collect,,
Mole Disappear,,,,,,,,,,,ground,,,,Mole Disappear,,
Mole Attack,,,tree_smoke_shadow,,,,,50,,,ground,,10,,Mole Attack,,
,,,tree_smoke,,,,,,,,,,,,,,
Mole Attack 2,,,mole_impact_stoneA,,,,,,,,ground,,10,,,,
,,,mole_impact_stoneB,,,,,,,,,,,,,,
,,,mole_impact_stoneC,,,,,,,,,,,,,,
,,,impact_attack2,,,,,,,,,,,,,,
,,,impact_attack,,,,,,,,,,,,,,
Pyramid Attack,,,tree_smoke_shadow,,,,,50,,,ground,,10,,Pyramid Attack,,
,,,tree_smoke,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Pyramid Attack 2,,,impact_attack1,,,,,50,,,ground,,10,,,,
,,,impact_square_B,,,,,,,,,,,,,,
,,,impact_square_A,,,,,,,,,,,,,,
,,,impact_square_C,,,,,,,,,,,,,,
,,,princess_specialAttack_strikes,,,,,,,,,,,,,,
Jump Pyramid,,,,,,,,,,,top,,,,Jump Pyramid,,
Menu XP Level UP,,,,,,,,,,,top,,1,,Menu XP Level UP,,
Snake Take Damage,,,,,,,,,,,top,,,,Snake Take Damage,,
Snake Attack,,,,,,,,,,,top,,,,Snake Attack,,
Special Ready,,,,,,,,,,,top,,,,Special Ready,,
Jump Snake,,,,,,,,,,,,,,,Jump Snake,,
Steal HP,,,health_minus,,,,,,TRUE,,top,,,,,,
Fairy Ring HP,,,health_plus,,400,,-5000,,TRUE,,top,,,,fairy leech,,
Passive Give HP,,,health_plus,,,,-5000,,TRUE,,top,,,,,,
Fairy Special Move,,,SmokeTrail,,,,,,,,ground,,20,,,,
,,,flickEffect_starDust_long,,,,,,,,,,,,,,
,,,aboy_speed,,,,,,,,,,,,,,
Fairy Special Flick,,,flickEffect_smoke_shadow,,,,,,,,ground,,,,fairy special,,
,,,flickEffect_smoke,,,,,,,,,,,,,,
,,,basic_hit1,,,,,,,,,,,,,,
,,,impact_01,,,,,,,,,,,,,,
,,,flickEffect_starDust_long,,,,,,,,,,,,,,
,,,impact_01,,,,,,,,,,,,,,
,,,speed_stone_explosion,,,,,,,,,,,,,,
,,,speed_stone_explosion,,,,,,,,,,,,,,
,,,speed_stone_explosion,,,,,,,,,,,,,,
Tnt Special Hit,,,princess_specialAttack_strikes,,,,,30,TRUE,,top,,,,,,
,,,tnt_special_hit_A,,,,,,,,,,,,,,
,,,tnt_special_hit_B,,,,,,,,,,,,,,
Fairy Sparkle Dust,,,fairy_sparkleDustA,,,,,,,,top,,,,,,
,,,fairy_sparkleDustB,,,,,,,,,,,,,,
Fairy Special Projectile Hit,,,fairy_ringHit,,,,,,,,top,,,,,,
Yeti Snowball Hit,,,fx_snowSplatA,,,,,,,,ground,,,,,,
Fairy hit enemy,,,,,,,,,,,ground,,,,,,
Fairy Take Damage,,,,,,,,,,,ground,,,,fairy hurt,,
Fairy Die Effect,,,,,,,,,,,ground,,,,,,
Win Effect,,,confetti_purple,,,,,,,,top,,,,Confetti,,true
,,,confetti_purpleB,,,,,,,,,,,,,,
,,,confetti_purpleC,,,,,,,,,,,,,,
,,,confetti_yellow,,,,,,,,,,,,,,
,,,confetti_yellowB,,,,,,,,,,,,,,
,,,confetti_blue,,,,,,,,,,,,,,
,,,confetti_blueB,,,,,,,,,,,,,,
,,,confetti_green,,,,,,,,,,,,,,
,,,confetti_greenB,,,,,,,,,,,,,,
,,,confetti_white,,,,,,,,,,,,,,
,,,confetti_whiteB,,,,,,,,,,,,,,
Lose Effect,,,confetti_lose_purple,,,,-65000,,,,top,,,,,,true
,,,confetti_lose_white,,,,,,,,,,,,,,
Draw Effect,,,confetti_lose_purple,,,,-65000,,,,top,,,,,,true
,,,confetti_lose_white,,,,,,,,,,,,,,
Chest Open Effect,,,chest_open_A,,1500,,,,,,top,,,,Chest,,
,,,chest_open_B,,,,,,,,,,,,,,
Lazer Hit,,,princess_specialAttack_strikes,,,,,20,,,top,,,,Hit Cactus,,
,,,Impact_02,,,,,,,,,,,,,,
,,,take_damage,,,,,,,,,,,,,,
Barrel special Flick,,,,,,,,,,,,,,,Barrel special fire,,
SpaceGirl Special Flick,,,explode_blue_01,,,,,,,,top,,20,,spacegirl special,,
,,,Impact_02,,,,,,,,top,,20,,,,
Open Chest Effect,,,Impact_02,,,,,,,,top,,,,Tap Chest,,
,,,impact_01,,,,,,,,,,,,,,
,,,combo_explode_red_01,,,,,,,,,,,,,,
,,,yellow_star_explode_A,,,,,,,,,,,,,,
