Name,TID,IconSWF,IconExportName,IconUiExportName,World,RequiredXpLevel,RequiredQuest,QuestType,LevelFile,GoalMoveCount,MinEnemies,MinObstacles,Energy,GoldRewardOverride,XpRewardOverride,AIBehaviour,AIInaccuracy,Hidden,MinGoldDrop,MaxGoldDrop,League,SortOrder
,,,,,Forest,,,,level/forest_boss.json,,,,,,,,,,,,,
Desert,TID_QUEST_DESERT,sc/map.sc,island_btn_desertA,island_ui_master,Desert,7,ForestBeeBoss,Basic,level/desert_1_1.json,75,,,3,,,,,,2,10,,100
,,,,,Desert,,,,level/desert_1_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_1_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_1_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_1_5.json,,,,,,,,,,,,,
Desert2,TID_QUEST_DESERT2,sc/map.sc,island_btn_desertC,island_ui_master,Desert,8,Desert,Basic,level/desert_2_1.json,70,,,3,,,,,,5,10,,100
,,,,,Desert,,,,level/desert_2_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_2_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_2_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_2_5.json,,,,,,,,,,,,,
DesertPirate,TID_QUEST_DESERT_PIRATE,sc/map.sc,island_btn_pirate,island_ui_master,Desert,9,Desert2,Unlock,level/desert_pirate.json,0,,,0,,,SmartTargeting,,,0,0,,100
Desert3,TID_QUEST_DESERT3,sc/map.sc,island_btn_desertC,island_ui_master,Desert,10,DesertPirate,Basic,level/desert_3_1.json,60,,,3,,,,,,5,10,,100
,,,,,Desert,,,,level/desert_3_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_3_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_3_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_3_5.json,,,,,,,,,,,,,
Desert4,TID_QUEST_DESERT4,sc/map.sc,island_btn_desertD,island_ui_master,Desert,10,Desert3,Basic,level/desert_4_1.json,60,,,3,,,,,,5,10,,100
,,,,,Desert,,,,level/desert_4_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_4_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_4_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_4_5.json,,,,,,,,,,,,,
DesertBoss,TID_QUEST_DESERT5,sc/map.sc,island_btn_desert_boss,island_ui_master,Desert,11,Desert4,Basic,level/desert_5_1.json,60,,,4,,,,,,5,10,,100
,,,,,Desert,,,,level/desert_5_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_5_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_5_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert_boss.json,,,,,,,,,,,,,
DesertMummy,TID_QUEST_DESERT_MUMMY,sc/map.sc,island_btn_mummy,island_ui_master,Desert,11,DesertBoss,Unlock,level/desert_mummy.json,0,,,0,,,Dummy2,,,0,0,,100
PvPTutorial,TID_QUEST_PVP_TUTORIAL,sc/map.sc,island_btn_multi,,Forest,4,,PvP,level/pvp_tutorial.json,,0,1,0,,,,,TRUE,0,0,,100
PvPTier1,TID_QUEST_PVP,sc/map.sc,island_btn_multi,,Forest,4,,PvP,level/pvp_tier1.json,,1,3,4,,,,,TRUE,0,0,,100
PvPTier2,TID_QUEST_PVP,sc/map.sc,island_btn_multi,,Forest,4,,PvP,level/pvp_tier2.json,,2,3,4,,,,,,0,0,,100
PvPTier3,TID_QUEST_PVP,sc/map.sc,island_btn_multi,,Desert,4,,PvP,level/pvp_tier3_1.json,,2,3,4,,,,,,0,0,,100
,,,,,Forest,,,,level/pvp_tier3_2.json,,2,3,,,,,,,,,,
PvPTier4,TID_QUEST_PVP,sc/map.sc,island_btn_multi,,Desert,4,,PvP,level/pvp_tier4_1.json,,3,3,4,,,,,,0,0,,100
,,,,,Forest,,,,level/pvp_tier4_2.json,,2,3,,,,,,,,,,
PvPTier5,TID_QUEST_PVP,sc/map.sc,island_btn_multi,,Forest,4,,PvP,level/pvp_tier5_1.json,,3,3,4,,,,,,0,0,,100
,,,,,Desert,,,,level/pvp_tier5_2.json,,2,3,,,,,,,,,,
PvPTier6,TID_QUEST_PVP,sc/map.sc,island_btn_multi,,Desert,4,,PvP,level/pvp_tier6_1.json,,3,4,4,,,,,,0,0,,100
,,,,,Spooky,,,,level/pvp_tier6_2.json,,3,2,,,,,,,,,,
PvPTier7,TID_QUEST_PVP,sc/map.sc,island_btn_multi,,Forest,4,,PvP,level/pvp_tier7_1.json,,3,4,4,,,,,,0,0,,100
,,,,,Spooky,,,,level/pvp_tier7_2.json,,2,4,,,,,,,,,,
PvPTier8,TID_QUEST_PVP,sc/map.sc,island_btn_multi,,Desert,4,,PvP,level/pvp_tier8_1.json,,3,4,4,,,,,,0,0,,100
,,,,,Forest,,,,level/pvp_tier8_2.json,,3,4,,,,,,,,,,
PvPTier9,TID_QUEST_PVP,sc/map.sc,island_btn_multi,,Forest,4,,PvP,level/pvp_tier9_1.json,,3,4,4,,,,,,0,0,,100
,,,,,Spooky,,,,level/pvp_tier9_2.json,,3,2,,,,,,,,,,
PvPTier10,TID_QUEST_PVP,sc/map.sc,island_btn_multi,,Forest,4,,PvP,level/pvp_tier10_1.json,,3,4,4,,,,,,0,0,,100
,,,,,Desert,,,,level/pvp_tier10_2.json,,3,4,,,,,,,,,,
PvPTier11,TID_QUEST_PVP,sc/map.sc,island_btn_multi,,Spooky,4,,PvP,level/pvp_tier11_1.json,,3,4,4,,,,,,0,0,,100
,,,,,Desert,,,,level/pvp_tier11_2.json,,3,4,,,,,,,,,,
PvPTier12,TID_QUEST_PVP,sc/map.sc,island_btn_multi,,Forest,4,,PvP,level/pvp_tier12_1.json,,3,4,4,,,,,,0,0,,100
,,,,,Spooky,,,,level/pvp_tier12_2.json,,3,2,,,,,,,0,0,,100
,,,,,Desert,,,,level/pvp_tier12_3.json,,3,4,,,,,,,,,,
Spooky1,TID_QUEST_SPOOKY,sc/map.sc,island_btn_spookyA,island_ui_master,Spooky,11,DesertMummy,Basic,level/spooky_1_1.json,45,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky_1_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_1_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_1_4.json,,,,,,,,,,,,,
Spooky2,TID_QUEST_SPOOKY2,sc/map.sc,island_btn_spookyB,island_ui_master,Spooky,12,Spooky1,Basic,level/spooky_2_1.json,40,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky_2_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_2_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_2_4.json,,,,,,,,,,,,,
Spooky3,TID_QUEST_SPOOKY3,sc/map.sc,island_btn_spookyD,island_ui_master,Spooky,12,Spooky2,Basic,level/spooky_3_1.json,60,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky_3_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_3_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_3_4.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_3_5.json,,,,,,,,,,,,,
Spooky4,TID_QUEST_SPOOKY4,sc/map.sc,island_btn_spookyC,island_ui_master,Spooky,13,Spooky3,Basic,level/spooky_4_1.json,55,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky_4_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_4_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_4_4.json,,,,,,,,,,,,,
Spooky4b,TID_QUEST_SPOOKY4B,sc/map.sc,island_btn_spookyA,island_ui_master,Spooky,13,Spooky4,Basic,level/spooky_4B_1.json,50,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky_4B_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_4B_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_4B_4.json,,,,,,,,,,,,,
Spooky5,TID_QUEST_SPOOKY5,sc/map.sc,island_btn_spookyD,island_ui_master,Spooky,14,Spooky4b,Basic,level/spooky_5_1.json,45,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky_5_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_5_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_5_4.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_5_5.json,,,,,,,,,,,,,
Spooky6,TID_QUEST_SPOOKY6,sc/map.sc,island_btn_spookyA,island_ui_master,Spooky,14,Spooky5,Basic,level/spooky_6_1.json,45,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky_6_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_6_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_6_4.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_6_5.json,,,,,,,,,,,,,
Spooky7,TID_QUEST_SPOOKY7,sc/map.sc,island_btn_spookyB,island_ui_master,Spooky,15,Spooky6,Basic,level/spooky_7_1.json,60,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky_7_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_7_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_7_4.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_7_5.json,,,,,,,,,,,,,
Spooky7b,TID_QUEST_SPOOKY7B,sc/map.sc,island_btn_spookyC,island_ui_master,Spooky,15,Spooky7,Basic,level/spooky_7B_1.json,55,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky_7B_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_7B_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_7B_4.json,,,,,,,,,,,,,
SpookyBoss,TID_QUEST_SPOOKY8,sc/map.sc,island_btn_spooky_boss,island_ui_master,Spooky,16,Hero_Island_fairy,Basic,level/spooky_8_1.json,65,,,5,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky_8_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_8_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky_boss.json,,,,,,,,,,,,,
Forest2_1,TID_QUEST_FOREST2_1,sc/map.sc,island_btn_forestA,island_ui_master,Forest,16,SpookyBoss,Basic,level/forest2_1_1.json,60,,,4,,,,,,5,10,,100
,,,,,Forest,,,,level/forest2_1_2.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_1_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_1_4.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_1_5.json,,,,,,,,,,,,,
Forest2_2,TID_QUEST_FOREST2_2,sc/map.sc,island_btn_forestD,island_ui_master,Forest,17,Forest2_1,Basic,level/forest2_2_1.json,65,,,4,,,,,,5,10,,100
,,,,,Forest,,,,level/forest2_2_2.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_2_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_2_4.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_2_5.json,,,,,,,,,,,,,
Forest2_3,TID_QUEST_FOREST2_3,sc/map.sc,island_btn_forestE,island_ui_master,Forest,17,Forest2_2,Basic,level/forest2_3_1.json,55,,,4,,,,,,5,10,,100
,,,,,Forest,,,,level/forest2_3_2.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_3_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_3_4.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_3_5.json,,,,,,,,,,,,,
Forest2_4,TID_QUEST_FOREST2_4,sc/map.sc,island_btn_forestD,island_ui_master,Forest,18,Hero_Island_tnt,Basic,level/forest2_4_1.json,65,,,4,,,,,,5,10,,100
,,,,,Forest,,,,level/forest2_4_2.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_4_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_4_4.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_4_5.json,,,,,,,,,,,,,
Forest2_5,TID_QUEST_FOREST2_5,sc/map.sc,island_btn_forestE,island_ui_master,Forest,18,Forest2_4,Basic,level/forest2_5_1.json,45,,,4,,,,,,5,10,,100
,,,,,Forest,,,,level/forest2_5_2.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_5_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_5_4.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_5_5.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_5_6.json,,,,,,,,,,,,,
Forest2_6,TID_QUEST_FOREST2_6,sc/map.sc,island_btn_forestD,island_ui_master,Forest,19,Forest2_5,Basic,level/forest2_6_1.json,60,,,4,,,,,,5,10,,100
,,,,,Forest,,,,level/forest2_6_2.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_6_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_6_4.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_6_5.json,,,,,,,,,,,,,
Forest2_7,TID_QUEST_FOREST2_7,sc/map.sc,island_btn_forestE,island_ui_master,Forest,19,Forest2_6,Basic,level/forest2_7_1.json,60,,,4,,,,,,5,10,,100
,,,,,Forest,,,,level/forest2_7_2.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_7_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_7_4.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_7_5.json,,,,,,,,,,,,,
Forest2_8,TID_QUEST_FOREST2_8,sc/map.sc,island_btn_forestA,island_ui_master,Forest,20,Forest2_7,Basic,level/forest2_8_1.json,70,,,4,,,,,,5,10,,100
,,,,,Forest,,,,level/forest2_8_2.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_8_3.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_8_4.json,,,,,,,,,,,,,
,,,,,Forest,,,,level/forest2_8_5.json,,,,,,,,,,,,,
Desert2_1,TID_QUEST_DESERT2_1,sc/map.sc,island_btn_desertA,island_ui_master,Desert,20,Forest2_8,Basic,level/desert2_1_1.json,65,,,4,,,,,,5,10,,100
,,,,,Desert,,,,level/desert2_1_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_1_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_1_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_1_5.json,,,,,,,,,,,,,
Desert2_2,TID_QUEST_DESERT2_2,sc/map.sc,island_btn_desertC,island_ui_master,Desert,21,Hero_Island_spaceGirl,Basic,level/desert2_2_1.json,40,,,4,,,,,,5,10,,100
,,,,,Desert,,,,level/desert2_2_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_2_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_2_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_2_5.json,,,,,,,,,,,,,
Desert2_3,TID_QUEST_DESERT2_3,sc/map.sc,island_btn_desertF,island_ui_master,Desert,21,Desert2_2,Basic,level/desert2_3_1.json,60,,,4,,,,,,5,10,,100
,,,,,Desert,,,,level/desert2_3_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_3_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_3_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_3_5.json,,,,,,,,,,,,,
Desert2_4,TID_QUEST_DESERT2_4,sc/map.sc,island_btn_desertD,island_ui_master,Desert,22,Desert2_3,Basic,level/desert2_4_1.json,80,,,4,,,,,,5,10,,100
,,,,,Desert,,,,level/desert2_4_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_4_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_4_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_4_5.json,,,,,,,,,,,,,
Desert2_5,TID_QUEST_DESERT2_5,sc/map.sc,island_btn_desertB,island_ui_master,Desert,22,Desert2_4,Basic,level/desert2_5_1.json,80,,,4,,,,,,5,10,,100
,,,,,Desert,,,,level/desert2_5_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_5_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_5_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_5_5.json,,,,,,,,,,,,,
Desert2_6,TID_QUEST_DESERT2_6,sc/map.sc,island_btn_desertA,island_ui_master,Desert,23,Desert2_5,Basic,level/desert2_6_1.json,80,,,4,,,,,,5,10,,100
,,,,,Desert,,,,level/desert2_6_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_6_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_6_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_6_5.json,,,,,,,,,,,,,
Desert2_7,TID_QUEST_DESERT2_7,sc/map.sc,island_btn_desertF,island_ui_master,Desert,23,Desert2_6,Basic,level/desert2_7_1.json,80,,,4,,,,,,5,10,,100
,,,,,Desert,,,,level/desert2_7_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_7_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_7_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_7_5.json,,,,,,,,,,,,,
Desert2_8,TID_QUEST_DESERT2_8,sc/map.sc,island_btn_desertE,island_ui_master,Desert,24,Desert2_7,Basic,level/desert2_8_1.json,80,,,4,,,,,,5,10,,90
,,,,,Desert,,,,level/desert2_8_2.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_8_3.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_8_4.json,,,,,,,,,,,,,
,,,,,Desert,,,,level/desert2_8_5.json,,,,,,,,,,,,,
Spooky2_1,TID_QUEST_SPOOKY2_1,sc/map.sc,island_btn_spookyA,island_ui_master,Spooky,24,Hero_Island_genie,Basic,level/spooky2_1_1.json,60,,,4,,,,,,5,10,,110
,,,,,Spooky,,,,level/spooky2_1_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_1_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_1_4.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_1_5.json,,,,,,,,,,,,,
Spooky2_2,TID_QUEST_SPOOKY2_2,sc/map.sc,island_btn_spookyB,island_ui_master,Spooky,25,Spooky2_1,Basic,level/spooky2_2_1.json,70,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky2_2_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_2_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_2_4.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_2_5.json,,,,,,,,,,,,,
Spooky2_3,TID_QUEST_SPOOKY2_3,sc/map.sc,island_btn_spookyD,island_ui_master,Spooky,25,Spooky2_2,Basic,level/spooky2_3_1.json,65,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky2_3_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_3_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_3_4.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_3_5.json,,,,,,,,,,,,,
Spooky2_4,TID_QUEST_SPOOKY2_4,sc/map.sc,island_btn_spookyC,island_ui_master,Spooky,26,Spooky2_3,Basic,level/spooky2_4_1.json,65,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky2_4_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_4_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_4_4.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_4_5.json,,,,,,,,,,,,,
Spooky2_5,TID_QUEST_SPOOKY2_5,sc/map.sc,island_btn_spookyD,island_ui_master,Spooky,27,Hero_Island_yeti,Basic,level/spooky2_5_1.json,65,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky2_5_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_5_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_5_4.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_5_5.json,,,,,,,,,,,,,
Spooky2_6,TID_QUEST_SPOOKY2_6,sc/map.sc,island_btn_spookyA,island_ui_master,Spooky,28,Spooky2_5,Basic,level/spooky2_6_1.json,65,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky2_6_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_6_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_6_4.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_6_5.json,,,,,,,,,,,,,
Spooky2_7,TID_QUEST_SPOOKY2_7,sc/map.sc,island_btn_spookyC,island_ui_master,Spooky,29,Spooky2_6,Basic,level/spooky2_7_1.json,65,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky2_7_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_7_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_7_4.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_7_5.json,,,,,,,,,,,,,
Spooky2_8,TID_QUEST_SPOOKY2_8,sc/map.sc,island_btn_spooky_boss,island_ui_master,Spooky,30,Spooky2_7,Basic,level/spooky2_8_1.json,65,,,4,,,,,,5,10,,100
,,,,,Spooky,,,,level/spooky2_8_2.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_8_3.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_8_4.json,,,,,,,,,,,,,
,,,,,Spooky,,,,level/spooky2_8_5.json,,,,,,,,,,,,,
Hero_Island_fairy,TID_QUEST_FAIRY_HOME,sc/map.sc,island_btn_fairy,island_ui_master,Spooky,15,Spooky7b,Basic,level/spooky2_fairy_home.json,30,,,4,,,,,,5,10,,100
Hero_Island_genie,TID_QUEST_GENIE_HOME,sc/map.sc,island_btn_genie,island_ui_master,Desert,24,Desert2_8,Basic,level/desert2_genie_home.json,30,,,4,,,,,,5,10,,100
Hero_Island_spaceGirl,TID_QUEST_SPACEGIRL_HOME,sc/map.sc,island_btn_spaceGirl,island_ui_master,Desert,21,Desert2_1,Basic,level/desert2_spaceg_home.json,30,,,4,,,,,,5,10,,25
Hero_Island_yeti,TID_QUEST_YETI_HOME,sc/map.sc,island_btn_yeti,island_ui_master,Spooky,27,Spooky2_4,Basic,level/spooky2_yeti_home.json,30,,,4,,,,,,5,10,,25
Hero_Island_tnt,TID_QUEST_TNT_HOME,sc/map.sc,island_btn_tnt,island_ui_master,Desert,18,Forest2_3,Basic,level/desert2_tnt_home.json,30,,,4,,,,,,5,10,,25
Event1PVP1,TID_EVENT_PVP_1,sc/map.sc,island_special_KingBee,,ForestEvent1,,,PvP,level/pvp_event1_1.json,,1,4,4,,,,,,0,0,,100
Event1PVP2,TID_EVENT_PVP_1,sc/map.sc,island_special_KingBee,,ForestEvent1,,,PvP,level/pvp_event1_2.json,,2,5,4,,,,,,,,,
Event1PVP3,TID_EVENT_PVP_1,sc/map.sc,island_special_KingBee,,ForestEvent1,,,PvP,level/pvp_event1_3.json,,3,6,4,,,,,,,,,
Event2PVP1,TID_EVENT_PVP_2,sc/map.sc,island_special_Spooky,,SpookyEvent1,,,PvP,level/pvp_event2_1.json,,1,4,4,,,,,,,,,
Event2PVP2,TID_EVENT_PVP_2,sc/map.sc,island_special_Spooky,,SpookyEvent1,,,PvP,level/pvp_event2_2.json,,2,5,4,,,,,,,,,
Event2PVP3,TID_EVENT_PVP_2,sc/map.sc,island_special_Spooky,,SpookyEvent1,,,PvP,level/pvp_event2_3.json,,3,6,4,,,,,,,,,
