Name,Type,Level,SimilarityValue,CanBeInNewTeam,TID,InfoTID,Action,ActionCount,DiamondReward,CompletedTID,Hero,NPC,Obstacle,SortIndex,Enabled
destroy_heroes_with_mummy0,5,0,2,,TID_TEAM_GOAL_KILL_HEROES_WITH_MUMMY,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_MUMMY,destroy_with,200,1,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_MUMMY_COMPLETE,Mummy,,,10,
destroy_heroes_with_mummy1,5,1,2,,TID_TEAM_GOAL_KILL_HEROES_WITH_MUMMY,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_MUMMY,destroy_with,400,3,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_MUMMY_COMPLETE,Mummy,,,10,
destroy_heroes_with_mummy2,5,2,2,,TID_TEAM_GOAL_KILL_HEROES_WITH_MUMMY,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_MUMMY,destroy_with,800,6,TID_TEAM_GOAL_INFO_KILL_HEROES_WITH_MUMMY_COMPLETE,Mummy,,,10,
destroy_multi_heroes_single_sling0,6,0,3,TRUE,TID_TEAM_GOAL_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_SLING,TID_TEAM_GOAL_INFO_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_SLING,multi_hero,75,1,TID_TEAM_GOAL_INFO_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_SLING_COMPLETE,,,,20,
destroy_multi_heroes_single_sling1,6,1,3,TRUE,TID_TEAM_GOAL_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_SLING,TID_TEAM_GOAL_INFO_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_SLING,multi_hero,150,2,TID_TEAM_GOAL_INFO_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_SLING_COMPLETE,,,,20,
destroy_multi_heroes_single_sling2,6,2,3,TRUE,TID_TEAM_GOAL_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_SLING,TID_TEAM_GOAL_INFO_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_SLING,multi_hero,300,4,TID_TEAM_GOAL_INFO_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_SLING_COMPLETE,,,,20,
destroy_advboy0,7,0,3,TRUE,TID_TEAM_GOAL_CLEAR_ADVENTURE_BOYS,TID_TEAM_GOAL_INFO_CLEAR_ADVENTURE_BOYS,destroy,150,1,TID_TEAM_GOAL_INFO_CLEAR_ADVENTURE_BOYS_COMPLETE,AdvBoy,,,3,
destroy_advboy1,7,1,3,TRUE,TID_TEAM_GOAL_CLEAR_ADVENTURE_BOYS,TID_TEAM_GOAL_INFO_CLEAR_ADVENTURE_BOYS,destroy,300,2,TID_TEAM_GOAL_INFO_CLEAR_ADVENTURE_BOYS_COMPLETE,AdvBoy,,,3,
destroy_advboy2,7,2,3,TRUE,TID_TEAM_GOAL_CLEAR_ADVENTURE_BOYS,TID_TEAM_GOAL_INFO_CLEAR_ADVENTURE_BOYS,destroy,500,4,TID_TEAM_GOAL_INFO_CLEAR_ADVENTURE_BOYS_COMPLETE,AdvBoy,,,3,
destroy_wizard0,8,0,3,TRUE,TID_TEAM_GOAL_CLEAR_WIZARD,TID_TEAM_GOAL_INFO_CLEAR_WIZARD,destroy,150,1,TID_TEAM_GOAL_INFO_CLEAR_WIZARD_COMPLETE,Wizard,,,4,
destroy_wizard1,8,1,3,TRUE,TID_TEAM_GOAL_CLEAR_WIZARD,TID_TEAM_GOAL_INFO_CLEAR_WIZARD,destroy,300,2,TID_TEAM_GOAL_INFO_CLEAR_WIZARD_COMPLETE,Wizard,,,4,
destroy_wizard2,8,2,3,TRUE,TID_TEAM_GOAL_CLEAR_WIZARD,TID_TEAM_GOAL_INFO_CLEAR_WIZARD,destroy,500,4,TID_TEAM_GOAL_INFO_CLEAR_WIZARD_COMPLETE,Wizard,,,4,
destroy_princess0,9,0,3,,TID_TEAM_GOAL_CLEAR_PRINCESS,TID_TEAM_GOAL_INFO_CLEAR_PRINCESS,destroy,150,1,TID_TEAM_GOAL_INFO_CLEAR_PRINCESS_COMPLETE,Princess,,,6,
destroy_princess1,9,1,3,,TID_TEAM_GOAL_CLEAR_PRINCESS,TID_TEAM_GOAL_INFO_CLEAR_PRINCESS,destroy,300,2,TID_TEAM_GOAL_INFO_CLEAR_PRINCESS_COMPLETE,Princess,,,6,
destroy_princess2,9,2,3,,TID_TEAM_GOAL_CLEAR_PRINCESS,TID_TEAM_GOAL_INFO_CLEAR_PRINCESS,destroy,500,4,TID_TEAM_GOAL_INFO_CLEAR_PRINCESS_COMPLETE,Princess,,,6,
destroy_mummy0,10,0,3,,TID_TEAM_GOAL_CLEAR_MUMMY,TID_TEAM_GOAL_INFO_CLEAR_MUMMY,destroy,75,1,TID_TEAM_GOAL_INFO_CLEAR_MUMMY_COMPLETE,Mummy,,,1,
destroy_mummy1,10,1,3,,TID_TEAM_GOAL_CLEAR_MUMMY,TID_TEAM_GOAL_INFO_CLEAR_MUMMY,destroy,150,2,TID_TEAM_GOAL_INFO_CLEAR_MUMMY_COMPLETE,Mummy,,,1,
destroy_mummy2,10,2,3,,TID_TEAM_GOAL_CLEAR_MUMMY,TID_TEAM_GOAL_INFO_CLEAR_MUMMY,destroy,275,4,TID_TEAM_GOAL_INFO_CLEAR_MUMMY_COMPLETE,Mummy,,,1,
destroy_multi_heroes_single_fireball0,11,0,4,,TID_TEAM_GOAL_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_FIREBALL,TID_TEAM_GOAL_INFO_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_FIREBALL,multi_hero_fireball,30,1,TID_TEAM_GOAL_INFO_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_FIREBALL_COMPLETE,,,,9,
destroy_multi_heroes_single_fireball1,11,1,4,,TID_TEAM_GOAL_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_FIREBALL,TID_TEAM_GOAL_INFO_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_FIREBALL,multi_hero_fireball,60,2,TID_TEAM_GOAL_INFO_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_FIREBALL_COMPLETE,,,,9,
destroy_multi_heroes_single_fireball2,11,2,4,,TID_TEAM_GOAL_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_FIREBALL,TID_TEAM_GOAL_INFO_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_FIREBALL,multi_hero_fireball,150,4,TID_TEAM_GOAL_INFO_CLEAR_MULTIPLE_HEROES_WITH_SINGLE_FIREBALL_COMPLETE,,,,9,
destroy_cannons0,12,0,5,,TID_TEAM_GOAL_DESTROY_CANNON,TID_TEAM_GOAL_INFO_DESTROY_CANNON,destroy_cannons,75,1,TID_TEAM_GOAL_INFO_DESTROY_CANNON_COMPLETE,,,Pirate Turret,20,
destroy_cannons1,12,1,5,,TID_TEAM_GOAL_DESTROY_CANNON,TID_TEAM_GOAL_INFO_DESTROY_CANNON,destroy_cannons,150,2,TID_TEAM_GOAL_INFO_DESTROY_CANNON_COMPLETE,,,Pirate Turret,20,
destroy_cannons2,12,2,5,,TID_TEAM_GOAL_DESTROY_CANNON,TID_TEAM_GOAL_INFO_DESTROY_CANNON,destroy_cannons,350,4,TID_TEAM_GOAL_INFO_DESTROY_CANNON_COMPLETE,,,Pirate Turret,20,
bounce_mushroom0,13,0,6,,TID_TEAM_GOAL_BOUNCE_TO_MUSHROOM,TID_TEAM_GOAL_INFO_BOUNCE_TO_MUSHROOM,touch,3500,1,TID_TEAM_GOAL_INFO_BOUNCE_TO_MUSHROOM_COMPLETE,,,Mushroom,8,
bounce_mushroom1,13,1,6,,TID_TEAM_GOAL_BOUNCE_TO_MUSHROOM,TID_TEAM_GOAL_INFO_BOUNCE_TO_MUSHROOM,touch,7500,2,TID_TEAM_GOAL_INFO_BOUNCE_TO_MUSHROOM_COMPLETE,,,Mushroom,8,
bounce_mushroom2,13,2,6,,TID_TEAM_GOAL_BOUNCE_TO_MUSHROOM,TID_TEAM_GOAL_INFO_BOUNCE_TO_MUSHROOM,touch,15000,4,TID_TEAM_GOAL_INFO_BOUNCE_TO_MUSHROOM_COMPLETE,,,Mushroom,8,
clear_bees0,14,0,7,TRUE,TID_TEAM_GOAL_CLEAR_BEES,TID_TEAM_GOAL_INFO_CLEAR_BEES,destroy,4000,1,TID_TEAM_GOAL_INFO_CLEAR_BEES_COMPLETE,,Bee,,100,
clear_bees1,14,1,7,TRUE,TID_TEAM_GOAL_CLEAR_BEES,TID_TEAM_GOAL_INFO_CLEAR_BEES,destroy,8000,2,TID_TEAM_GOAL_INFO_CLEAR_BEES_COMPLETE,,Bee,,100,
clear_bees2,14,2,7,TRUE,TID_TEAM_GOAL_CLEAR_BEES,TID_TEAM_GOAL_INFO_CLEAR_BEES,destroy,16000,4,TID_TEAM_GOAL_INFO_CLEAR_BEES_COMPLETE,,Bee,,100,
clear_pyramid0,15,0,7,,TID_TEAM_GOAL_CLEAR_PYRAMIDS,TID_TEAM_GOAL_INFO_CLEAR_PYRAMIDS,destroy,400,1,TID_TEAM_GOAL_INFO_CLEAR_PYRAMIDS_COMPLETE,,Pyramid,,100,
clear_pyramid1,15,1,7,,TID_TEAM_GOAL_CLEAR_PYRAMIDS,TID_TEAM_GOAL_INFO_CLEAR_PYRAMIDS,destroy,800,2,TID_TEAM_GOAL_INFO_CLEAR_PYRAMIDS_COMPLETE,,Pyramid,,100,
clear_pyramid2,15,2,7,,TID_TEAM_GOAL_CLEAR_PYRAMIDS,TID_TEAM_GOAL_INFO_CLEAR_PYRAMIDS,destroy,1600,4,TID_TEAM_GOAL_INFO_CLEAR_PYRAMIDS_COMPLETE,,Pyramid,,100,
clear_bats0,16,0,7,TRUE,TID_TEAM_GOAL_CLEAR_BATS,TID_TEAM_GOAL_INFO_CLEAR_BATS,destroy,800,1,TID_TEAM_GOAL_INFO_CLEAR_BATS_COMPLETE,,Bat,,100,
clear_bats1,16,1,7,TRUE,TID_TEAM_GOAL_CLEAR_BATS,TID_TEAM_GOAL_INFO_CLEAR_BATS,destroy,1600,2,TID_TEAM_GOAL_INFO_CLEAR_BATS_COMPLETE,,Bat,,100,
clear_bats2,16,2,7,TRUE,TID_TEAM_GOAL_CLEAR_BATS,TID_TEAM_GOAL_INFO_CLEAR_BATS,destroy,3200,4,TID_TEAM_GOAL_INFO_CLEAR_BATS_COMPLETE,,Bat,,100,
