Name,TID,InfoTID,SWF,ExportName,ShadowSWF,ShadowExportName,World,ThreatValue,BountyMin,BountyMax,Scale,Hitpoints,Damage,Radius,Width,Height,HidesOnSpecialAttack,NoCollisionWhenDies,FirstAttackOnTurn,AttackTurnSeq,AttackStateStartedEffect,AppearEffect,TakeDamageEffect,TakeDamageEffect2,DieEffect,ShadowHeight,VelocityModifierOnCollision,ColorMulR,ColorMulG,ColorMulB,ColorAddR,ColorAddG,ColorAddB,SpawnEnemyWhenDie1,SpawnEnemyWhenDie2,AttacksChosenInSequence,AttackOddsA,AttackEffect,AttackEffect2,AttackTypeA,AttackDelayA,ProjectileA,SpawnedCharacterWhenAttackA,AttackRadiusA,AttackOddsB,AttackEffectB,AttackEffect2B,AttackTypeB,AttackDelayB,ProjectileB,SpawnedCharacterWhenAttackB,AttackRadiusB,DamageB,DeathAreaDamage,DeathDelayTimer,DeathAreaDamageEffect,DeathAreaDamageRadius
MoveAreaDamage,TID_TODO,TID_TODO,sc/characters.sc,chr_MOVE_PLACEHOLDER,,,,,0,0,80,100,32,24,,,,,2,1,,Generic Enemy Appear,Take Damage A,,Generic Die Effect,0,,,,,,,,,,,,Pop Bang,Spider Attack,move_and_damage_nearby,,,,75,,,,,,,,,,,,,
Ghost A,TID_GHOSTA,TID_CHARACTER_INFO_GHOSTA,sc/characters.sc,chr_ghostA_lvl1,,,Spooky,35,10,10,80,200,97,24,,,,,1,1,Ghost Move,Generic Enemy Appear,Take Damage A,Ghost Take Damage,Generic Die Effect,0,,,,,,,,,,,,Generic Attack,Ghost Attack,move_and_damage_nearby,,,,100,,,,,,,,,,,,,
,,,sc/characters.sc,chr_ghostA_lvl2,,,,50,10,10,80,400,162,24,,,,,1,1,Ghost Move,Generic Enemy Appear,Take Damage A,Ghost Take Damage,Generic Die Effect,0,,,,,,,,,,,,Generic Attack,Ghost Attack,move_and_damage_nearby,,,,100,,,,,,,,,,,,,
Tree Trunk,TID_TREETR,TID_CHARACTER_INFO_TREETR,sc/characters.sc,chr_treeTrunk_master,,,Forest,20,10,10,80,80,36,28,,,,,1,2,Jump Tree,Generic Enemy Appear,Take Damage A,Hit tree trunk,Generic Die Effect,,,,,,,,,,,,,Tree Attack,Tree Attack 2,area_damage,650,,,225,,,,,,,,,,,,,
,,,sc/characters.sc,chr_treeTrunk_02_master,,,,30,15,15,80,225,65,28,,,,,1,2,Jump Tree,Generic Enemy Appear,Take Damage A,Hit tree trunk,Generic Die Effect,,,,,,,,,,,,,Tree Attack,Tree Attack 2,area_damage,650,,,250,,,,,,,,,,,,,
Skull,TID_SKULL,TID_CHARACTER_INFO_SKULL,sc/characters.sc,chr_skull_lvl1,,,Desert,100,5,5,80,120,65,28,,,,,3,2,,Generic Enemy Appear,Take Damage A,Hit skull,Generic Die Effect,,,,,,,,,,,,,Skull Attack,,shoot_1,,skull_fireball_01,,,,,,,,,,,,,,,
,,,sc/characters.sc,chr_skull_lvl2,,,,200,5,8,80,200,123,28,,,,,3,2,,Generic Enemy Appear,Take Damage A,Hit skull,Generic Die Effect,,,,,,,,,,,,,Skull Attack,,shoot_1,,skull_fireball_01,,,,,,,,,,,,,,,
Apple,TID_APPLE,TID_CHARACTER_INFO_APPLE,sc/characters.sc,chr_apple_lvl1,,,Spooky,100,5,5,80,350,97,25,,,,,3,2,,Generic Enemy Appear,Take Damage A,Apple Take Damage,Generic Die Effect,15,,,,,,,,,,,,Generic Attack,Apple Attack,move_topdown,,,,,,,,,,,,,,,,,
,,,sc/characters.sc,chr_apple_lvl2,,,,200,5,5,80,700,194,25,,,,,3,2,,Generic Enemy Appear,Take Damage A,Apple Take Damage,Generic Die Effect,15,,,,,,,,,,,,Generic Attack,Apple Attack,move_topdown,,,,,,,,,,,,,,,,,
Baby Spider,TID_BABY_SPIDER,TID_CHARACTER_INFO_BABY_SPIDER,sc/characters.sc,chr_babySpider_lvl1,,,Spooky,5,0,0,80,1,52,12,,,,true,2,1,Baby Spider Move,Generic Enemy Appear,Take Damage A,Baby Spider Take Damage,Generic Die Effect,0,,,,,,,,,,,,Baby Spider Attack,,move_and_damage_nearby,,,,125,,,,,,,,,,,,,
,,,sc/characters.sc,chr_babySpider_lvl2,,,,15,0,0,80,1,104,12,,,,true,2,1,Baby Spider Move,Generic Enemy Appear,Take Damage A,Baby Spider Take Damage,Generic Die Effect,0,,,,,,,,Baby Spider,Baby Spider,,,Baby Spider Attack,,move_and_damage_nearby,,,,125,,,,,,,,,,,,,
Mole,TID_MOLE,TID_CHARACTER_INFO_MOLE,sc/characters.sc,chr_mole_lvl1,sc/characters.sc,chr_mole_shadow,Desert,35,5,10,80,125,58,28,,,true,,1,1,,Generic Enemy Appear,Take Damage A,Mole Take Damage,Generic Die Effect,20,,,,,,,,,,,,Mole Attack,Mole Attack 2,mole,,,,225,,,,,,,,,,,,,
,,,sc/characters.sc,chr_mole_lvl2,sc/characters.sc,chr_mole_shadow,,45,5,10,80,250,156,28,,,,,1,1,,Generic Enemy Appear,Take Damage A,Mole Take Damage,Generic Die Effect,20,,,,,,,,,,,,Mole Attack,Mole Attack 2,mole,,,,225,,,,,,,,,,,,,
Gem Beetle,TID_GEMBEETLE,TID_CHARACTER_INFO_GEMBEETLE,sc/characters.sc,chr_gemBeetle_lvl1,,,Desert,20,10,12,100,75,32,30,,,,,2,3,,Generic Enemy Appear,Take Damage A,GemBeetle Take Damage,Generic Die Effect,20,,,,,,,,Baby Spider,Baby Spider,,,Gem Beetle Attack,,Shoot_10,,gem_beetle_ball_01,,,,,,,,,,,,,,,
,,,sc/characters.sc,chr_gemBeetle_lvl2,,,,30,13,15,100,150,65,30,,,,,2,2,,Generic Enemy Appear,Take Damage A,GemBeetle Take Damage,Generic Die Effect,20,,,,,,,,Baby Spider,Bee,,,Gem Beetle Attack,,Shoot_12,,gem_beetle_ball_01,,,,,,,,,,,,,,,
Cloud,TID_CLOUD,TID_CHARACTER_INFO_CLOUD,sc/characters.sc,chr_cloud_lvl1,,,Desert,30,13,15,100,200,65,40,,,,,3,2,,Generic Enemy Appear,Take Damage A,Cloud Take Damage,Generic Die Effect,20,,,,,,,,,,,,Cloud Attack,,Laser_4,,,,,,,,,,,,,,,,,
,,,sc/characters.sc,chr_cloud_lvl2,,,,40,13,15,100,425,162,40,,,,,2,2,,Generic Enemy Appear,Take Damage A,Cloud Take Damage,Generic Die Effect,20,,,,,,,,,,,,Cloud Attack,,Laser_4,,,,,,,,,,,,,,,,,
Pyramid,TID_PYRAMID,TID_CHARACTER_INFO_PYRAMID,sc/characters.sc,chr_pyramid_lvl1,,,Desrt,15,17,23,100,225,45,,80,60,,,2,2,Jump Pyramid,Generic Enemy Appear,Take Damage A,Pyramid Take Damage,Generic Die Effect,20,,,,,,,,,,,,Pyramid Attack,Pyramid Attack 2,area_damage_square,650,,,200,,,,,,,,,,,,,
,,,sc/characters.sc,chr_pyramid_lvl2,,,,25,17,23,100,500,91,,80,60,,,2,2,Jump Pyramid,Generic Enemy Appear,Take Damage A,Pyramid Take Damage,Generic Die Effect,20,,,,,,,,,,,,Pyramid Attack,Pyramid Attack 2,area_damage_square,650,,,200,,,,,,,,,,,,,
Snake,TID_SNAKE,TID_CHARACTER_INFO_SNAKE,sc/characters.sc,chr_snake_lvl1,,,Desert,40,13,17,100,150,65,30,,,,,2,2,Jump Snake,Generic Enemy Appear,Take Damage A,Snake Take Damage,Generic Die Effect,0,,,,,,,,,,,,Generic Attack,Snake Attack,move_shoot_12,,flower_projectile,,,,,,,,,,,,,,,
,,,sc/characters.sc,chr_snake_lvl2,,,,50,17,20,100,300,117,30,,,,,2,2,Jump Snake,Generic Enemy Appear,Take Damage A,Snake Take Damage,Generic Die Effect,0,,,,,,,,,,,,Generic Attack,Snake Attack,move_shoot_12,,flower_projectile,,,,,,,,,,,,,,,
SpiderSpooky,TID_SPIDER_SPOOKY,TID_CHARACTER_INFO_SPIDER,sc/characters.sc,chr_spider_spooky_lvl1,,,Spooky,20,1,1,80,100,32,24,,,,,3,2,,Generic Enemy Appear,Take Damage A,Spider Take Damage,Generic Die Effect,20,,,,,,,,,,,,Spider Attack 2,Spider Attack,shoot_8,,spider_ball_01,,,,,,,,,,,,,,,
,,,sc/characters.sc,chr_spider_spooky_lvl2,,,,40,5,5,80,160,52,24,,,,,,,,Generic Enemy Appear,,,,20,,,,,,,,,,,,,,,,spider_ball_02,,,,,,,,,,,,,,,
Sneaky Bush Horiz,TID_SNEAKBUSH,TID_CHARACTER_INFO_SNEAKBUSH,sc/characters.sc,chr_sneakyBush_lvl1,,,Forest,15,3,5,100,70,0,35,,,,,1,1,Move Bush,Generic Enemy Appear,Take Damage A,Bush Take Damage,Bush Die,0,110,,,,,,,,,,,,,move_sneaky_bush_hori,,,,,,,,,,,,,,,,,
Sneaky Bush Verti,TID_SNEAKBUSH,TID_CHARACTER_INFO_SNEAKBUSH,sc/characters.sc,chr_sneakyBush_lvl1,,,Forest,15,3,5,100,70,0,35,,,,,1,1,Move Bush,Generic Enemy Appear,Take Damage A,Bush Take Damage,Bush Die,0,110,,,,,,,,,,,,,move_sneaky_bush_vert,,,,,,,,,,,,,,,,,
Moving Mush Horiz,TID_MOVINGMUSH,TID_CHARACTER_INFO_MOVINGMUSH,sc/characters.sc,moving_mush_lvl1,,,Spooky,15,3,5,100,70,0,35,,,,,1,1,Move Bush,Generic Enemy Appear,Take Damage A,Bush Take Damage,Generic Die Effect,0,125,,,,,,,,,,,,,move_mush_hori,,,,,,,,,,,,,,,,,
Moving Mush Verti,TID_MOVINGMUSH,TID_CHARACTER_INFO_MOVINGMUSH,sc/characters.sc,moving_mush_lvl1,,,Spooky,15,3,5,100,70,0,35,,,,,1,1,Move Bush,Generic Enemy Appear,Take Damage A,Bush Take Damage,Generic Die Effect,0,125,,,,,,,,,,,,,move_mush_vert,,,,,,,,,,,,,,,,,
Lazer Owl,TID_LAZEROWL,TID_CHARACTER_INFO_LAZEROWL,sc/characters.sc,owl_master_lvl1,,,Spooky,100,20,30,100,550,75,40,,,,,1,1,,Generic Enemy Appear,Take Damage A,Lazer Owl Take Damage,Generic Die Effect,0,,,,,,,,,,AB,,Owl Lazer,,targeted_laser,100,,,,,Lazer Owl Fly,,move_random,,,,,,,,,
Sneaky Bucket Horiz,TID_SNEAKBUCKET,TID_CHARACTER_INFO_SNEAKBUCKET,sc/characters.sc,chr_sneakyBucket_lvl1,,,Ice,15,3,5,100,70,0,35,,,,,1,1,Move Ice Bucket,Generic Enemy Appear,Take Damage A,Bush Take Damage,Bush Die,0,110,,,,,,,,,,,,,move_sneaky_bush_hori,,,,,,,,,,,,,,,,,
Sneaky Bucket Verti,TID_SNEAKBUCKET,TID_CHARACTER_INFO_SNEAKBUCKET,sc/characters.sc,chr_sneakyBucket_lvl1,,,Ice,15,3,5,100,70,0,35,,,,,1,1,Move Ice Bucket,Generic Enemy Appear,Take Damage A,Bush Take Damage,Bush Die,0,110,,,,,,,,,,,,,move_sneaky_bush_vert,,,,,,,,,,,,,,,,,
SnowManStack A,TID_SNOWMAN1,TID_CHARACTER_INFO_SNOWMAN1,sc/characters.sc,chr_snowBallStack01_master,,,Ice,20,10,10,100,80,36,35,,,,,1,2,Snowman Jump,Generic Enemy Appear,Take Damage A,Hit tree trunk,Snowman Death 1,0,,,,,,,,SnowManStack B,,,,Snowman Attack,Snowman Attack 1,move_and_area_damage_nearby,,,,225,,,,,,,,,,,,,
SnowManStack B,TID_SNOWMAN2,TID_CHARACTER_INFO_SNOWMAN2,sc/characters.sc,chr_snowBallStack02_master,,,Ice,20,10,10,100,60,36,35,,,,,1,2,Snowman Jump,Generic Enemy Appear,Take Damage A,Hit tree trunk,Snowman Death 2,0,,,,,,,,SnowManStack C,,,,Snowman Attack,Snowman Attack 2,move_and_area_damage_nearby,,,,180,,,,,,,,,,,,,
SnowManStack C,TID_SNOWMAN3,TID_CHARACTER_INFO_SNOWMAN3,sc/characters.sc,chr_snowBallStack03_master,,,Ice,20,10,10,100,40,36,35,,,,,1,1,Snowman Jump,Generic Enemy Appear,Take Damage A,Hit tree trunk,Generic Die Effect,0,,,,,,,,,,,,Snowman Attack,Snowman Attack 3,move_and_area_damage_nearby,,,,135,,,,,,,,,,,,,
