Name,Level,TID,InfoTID,Action,ActionCount,ExpReward,DiamondReward,CompletedTID,ShowOnlyInBattle,Hero,ShowOnlyInHomescreen,SortIndex,Hidden
com.supercell.life.bouncecombo1,1,TID_ACHIEVEMENT_TITLE_BOUNCECOMBO,TID_ACHIEVEMENT_INFO_BOUNCECOMBO,bouncecombo,25,100,5,TID_ACHIEVEMENT_COMPLETED_BOUNCECOMBO,True,,,9,
com.supercell.life.bouncecombo2,2,TID_ACHIEVEMENT_TITLE_BOUNCECOMBO,TID_ACHIEVEMENT_INFO_BOUNCECOMBO,bouncecombo,30,150,10,TID_ACHIEVEMENT_COMPLETED_BOUNCECOMBO,True,,,9,
com.supercell.life.healer0,0,TID_ACHIEVEMENT_TITLE_HEALER,TID_ACHIEVEMENT_INFO_HEALER,healer,5000,50,1,TID_ACHIEVEMENT_COMPLETED_HEALER,,,True,20,
com.supercell.life.healer1,1,TID_ACHIEVEMENT_TITLE_HEALER,TID_ACHIEVEMENT_INFO_HEALER,healer,50000,200,3,TID_ACHIEVEMENT_COMPLETED_HEALER,,,True,20,
com.supercell.life.healer2,2,TID_ACHIEVEMENT_TITLE_HEALER,TID_ACHIEVEMENT_INFO_HEALER,healer,500000,800,5,TID_ACHIEVEMENT_COMPLETED_HEALER,,,True,20,
com.supercell.life.xplevel0,0,TID_ACHIEVEMENT_TITLE_XPLEVEL,TID_ACHIEVEMENT_INFO_XPLEVEL,xplevel,7,50,5,TID_ACHIEVEMENT_COMPLETED_XPLEVEL,,,,8,
com.supercell.life.xplevel1,1,TID_ACHIEVEMENT_TITLE_XPLEVEL,TID_ACHIEVEMENT_INFO_XPLEVEL,xplevel,15,100,20,TID_ACHIEVEMENT_COMPLETED_XPLEVEL,,,,8,
com.supercell.life.xplevel2,2,TID_ACHIEVEMENT_TITLE_XPLEVEL,TID_ACHIEVEMENT_INFO_XPLEVEL,xplevel,25,200,50,TID_ACHIEVEMENT_COMPLETED_XPLEVEL,,,,8,
com.supercell.life.heropvpmatch0_0,0,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch0,20,50,3,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,AdvBoy,,100,
com.supercell.life.heropvpmatch0_1,1,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch0,200,200,5,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,AdvBoy,,100,
com.supercell.life.heropvpmatch0_2,2,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch0,2000,400,10,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,AdvBoy,,100,
com.supercell.life.heropvpmatch1_0,0,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch1,20,50,3,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Wizard,,100,
com.supercell.life.heropvpmatch1_1,1,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch1,200,200,5,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Wizard,,100,
com.supercell.life.heropvpmatch1_2,2,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch1,2000,400,10,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Wizard,,100,
com.supercell.life.heropvpmatch2_0,0,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch2,20,50,3,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Mummy,,100,
com.supercell.life.heropvpmatch2_1,1,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch2,200,200,5,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Mummy,,100,
com.supercell.life.heropvpmatch2_2,2,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch2,2000,400,10,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Mummy,,100,
com.supercell.life.heropvpmatch3_0,0,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch3,20,50,3,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Pirate,,100,
com.supercell.life.heropvpmatch3_1,1,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch3,200,200,5,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Pirate,,100,
com.supercell.life.heropvpmatch3_2,2,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch3,2000,400,10,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Pirate,,100,
com.supercell.life.heropvpmatch4_0,0,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch4,20,50,3,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,SpaceGirl,,100,
com.supercell.life.heropvpmatch4_1,1,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch4,200,200,5,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,SpaceGirl,,100,
com.supercell.life.heropvpmatch4_2,2,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch4,2000,400,10,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,SpaceGirl,,100,
com.supercell.life.heropvpmatch5_0,0,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch5,20,50,3,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Princess,,100,
com.supercell.life.heropvpmatch5_1,1,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch5,200,200,5,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Princess,,100,
com.supercell.life.heropvpmatch5_2,2,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch5,2000,400,10,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Princess,,100,
com.supercell.life.heropvpmatch6_0,0,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch6,20,50,3,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Barrel,,100,
com.supercell.life.heropvpmatch6_1,1,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch6,200,200,5,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Barrel,,100,
com.supercell.life.heropvpmatch6_2,2,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch6,2000,400,10,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Barrel,,100,
com.supercell.life.heropvpmatch7_0,0,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch7,20,50,3,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Fairy,,100,
com.supercell.life.heropvpmatch7_1,1,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch7,200,200,5,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Fairy,,100,
com.supercell.life.heropvpmatch7_2,2,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch7,2000,400,10,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Fairy,,100,
com.supercell.life.heropvpmatch8_0,0,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch8,20,50,3,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Genie,,100,
com.supercell.life.heropvpmatch8_1,1,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch8,200,200,5,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Genie,,100,
com.supercell.life.heropvpmatch8_2,2,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch8,2000,400,10,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Genie,,100,
com.supercell.life.heropvpmatch9_0,0,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch9,20,50,3,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Yeti,,100,
com.supercell.life.heropvpmatch9_1,1,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch9,200,200,5,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Yeti,,100,
com.supercell.life.heropvpmatch9_2,2,TID_ACHIEVEMENT_TITLE_HEROPVPMATCH,TID_ACHIEVEMENT_INFO_HEROPVPMATCH,heropvpmatch9,2000,400,10,TID_ACHIEVEMENT_COMPLETED_HEROPVPMATCH,,Yeti,,100,
com.supercell.life.crowns_0,0,TID_ACHIEVEMENT_TITLE_CROWNS,TID_ACHIEVEMENT_INFO_CROWNS,crowns,5,100,5,TID_ACHIEVEMENT_COMPLETED_CROWNS,,,,8,
com.supercell.life.crowns_1,1,TID_ACHIEVEMENT_TITLE_CROWNS,TID_ACHIEVEMENT_INFO_CROWNS,crowns,15,200,10,TID_ACHIEVEMENT_COMPLETED_CROWNS,,,,8,
com.supercell.life.crowns_2,2,TID_ACHIEVEMENT_TITLE_CROWNS,TID_ACHIEVEMENT_INFO_CROWNS,crowns,25,500,15,TID_ACHIEVEMENT_COMPLETED_CROWNS,,,,8,
com.supercell.life.ship_0,0,TID_ACHIEVEMENT_TITLE_SHIP,TID_ACHIEVEMENT_INFO_SHIP,ship,20,200,5,TID_ACHIEVEMENT_COMPLETED_SHIP,,,,10,
com.supercell.life.ship_1,1,TID_ACHIEVEMENT_TITLE_SHIP,TID_ACHIEVEMENT_INFO_SHIP,ship,100,500,10,TID_ACHIEVEMENT_COMPLETED_SHIP,,,,10,
com.supercell.life.ship_2,2,TID_ACHIEVEMENT_TITLE_SHIP,TID_ACHIEVEMENT_INFO_SHIP,ship,500,1000,20,TID_ACHIEVEMENT_COMPLETED_SHIP,,,,10,
com.supercell.life.3herosling_0,0,TID_ACHIEVEMENT_TITLE_3HEROSLING,TID_ACHIEVEMENT_INFO_3HEROSLING,3herosling,2,200,5,TID_ACHIEVEMENT_COMPLETED_3HEROSLING,,,,4,
com.supercell.life.3herosling_1,1,TID_ACHIEVEMENT_TITLE_3HEROSLING,TID_ACHIEVEMENT_INFO_3HEROSLING,3herosling,10,1000,10,TID_ACHIEVEMENT_COMPLETED_3HEROSLING,,,,4,
com.supercell.life.3herosling_2,2,TID_ACHIEVEMENT_TITLE_3HEROSLING,TID_ACHIEVEMENT_INFO_3HEROSLING,3herosling,100,2000,15,TID_ACHIEVEMENT_COMPLETED_3HEROSLING,,,,4,
com.supercell.life.perfectpvp_0,0,TID_ACHIEVEMENT_TITLE_PERFECTPVP,TID_ACHIEVEMENT_INFO_PERFECTPVP,perfectpvp,20,300,3,TID_ACHIEVEMENT_COMPLETED_PERFECTPVP,,,,5,
com.supercell.life.perfectpvp_1,1,TID_ACHIEVEMENT_TITLE_PERFECTPVP,TID_ACHIEVEMENT_INFO_PERFECTPVP,perfectpvp,100,1000,5,TID_ACHIEVEMENT_COMPLETED_PERFECTPVP,,,,5,
com.supercell.life.perfectpvp_2,2,TID_ACHIEVEMENT_TITLE_PERFECTPVP,TID_ACHIEVEMENT_INFO_PERFECTPVP,perfectpvp,500,2000,10,TID_ACHIEVEMENT_COMPLETED_PERFECTPVP,,,,5,
