Name,TID,InfoTID,HiddenFromGame,SWF,ExportName,ClipReplaceOld,ClipReplaceNew,SpecialIconSWF,Scale,SpecialIconExportName,SpecialAttackAimClip,SpecialAttackName,SpecialAttackDescription,PassiveAbilityName,PassiveAbilityDescription,PassiveAbilityIconSWF,PassiveAbilityIconExportName,IconSWF,IconExportName,IconSelectSWF,IconSelectExportName,SortingOrder,RelativeStartingRank,UpgradeTimeSeconds,RequiredXpLevel,RequiredQuest,ShowOnQuest,Damage,SpecialAttackDamage,Hitpoints,Resource,Cost,PushEnemyHeroMod,SpecialAttackActiveLimit,Speed,Radius,SpecialAttack,SpecialAttackPushback,SpecialAttackProjectile,SpecialAttackSpawnObstacle,SpecialAttackProjectileCount,SpecialAttackKnockback,SpecialAttackSpeedBoostDuration,AttackEffect,AttackEffect2,FlickEffect,MoveEffect,SpecialAttackDragEffect,SpecialFlickEffect,SpecialHitEffect,SpecialHitEffectObstacle,SpecialHitEffectEdge,SpecialMoveEffect,EndSpecialEffect,DrawBackSpecialLoop,SpecialRollLoop,TakeDamageEffect,DieEffect,RollSound,ShadowHeight,BecomesActiveEffect,World,BaseExportName,PassiveAbility,PassiveAbilityOpensRank,TipPortraitSWF,TipPortraitExportName,TiredTimer
,,,,,chr_advBoy_lvl08,,,,74,,,,,,,,,,,,,,,86400,15,,,59,73,610,,"0,36000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_advBoy_lvl09,,,,74,,,,,,,,,,,,,,,129600,18,,,65,78,670,,"0,65000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_advBoy_lvl09,weapon,advBoy_weapon_05,,74,,,,,,,,,,,,,,,172800,21,,,71,84,740,,"0,135000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_advBoy_lvl10,,,,74,,,,,,,,,,,,,,,216000,24,,,78,90,820,,"0,225000,0,0,4,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_advBoy_lvl10,weapon,advBoy_weapon_06,,74,,,,,,,,,,,,,,,259200,27,,,86,97,900,,"0,375000,0,0,0,6,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_advBoy_lvl11,weapon,advBoy_weapon_07,,72,,,,,,,,,,,,,,,345600,30,,,95,105,990,,"0,600000,0,0,0,0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wizard,TID_WIZARD,TID_CHARACTER_INFO_WIZARD,false,sc/characters.sc,chr_wizard_lvl01,weapon,wiz_weapon_01,sc/ui.sc,80,icon_power_fireball,vignette_wizard_special,TID_SPECIAL_WIZARD,TID_SPECIAL_WIZARD_DESC,TID_ABILITY_WIZARD,TID_ABILITY_WIZARD_DESC,sc/ui.sc,icon_ability_shield,sc/characters.sc,chr_wizard_icon,sc/ui.sc,icon_selectChracter_wizard,1,0,15,1,ForestWizard,,38,80,120,Gold,"0,100,0,0,0,0,0",125,10,1125,30,shoot,0,wizard_fireball_01,,1,7,,Generic Hit,Wizard hit enemy,Wizard Flick,Move,Wizard Aim Effect,Wizard Special Flick,,,,,Common End Special,Wizball fire loop,Roll Loop,Wizard Take Damage,Player Die Effect,Roll Loop,30,Character Becomes Active,Forest,chrBase_spookyA,shield,6,sc/ui.sc,tip_chr_wiz,60
,,,,,chr_wizard_lvl02,weapon,wiz_weapon_02,,80,,,,,,,,,,,,,,,30,2,,,42,88,130,,"0,150,0,0,0,0,0",,,,,,,wizard_fireball_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl03,,,,80,,,,,,,,,,,,,,,60,3,,,46,97,150,,"0,500,0,0,0,0,0",,,,,,,wizard_fireball_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl03,weapon,wiz_weapon_03,,80,,,,,,,,,,,,,,,1800,3,,,51,106,160,,"0,800,0,0,0,0,0",,,,,,,wizard_fireball_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl04,,,,80,,,,,,,,,,,,,,,7200,5,,,56,117,180,,"0,1200,0,0,0,0,0",,,,,,,wizard_fireball_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl05,,,,78,,,,,,,,,,,,,,,14400,7,,,61,129,190,,"0,2400,0,0,0,0,0",,,,,,,wizard_fireball_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl05,weapon,wiz_weapon_04,,78,,,,,,,,,,,,,,,28800,9,,,67,142,210,,"0,7500,0,0,0,0,0",,,,,,,wizard_fireball_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl06,,,,78,,,,,,,,,,,,,,,43200,11,,,74,156,230,,"0,12250,0,0,0,0,0",,,,,,,wizard_fireball_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl06,weapon,wiz_weapon_05,,78,,,,,,,,,,,,,,,64800,13,,,81,171,260,,"0,24000,0,0,0,0,0",,,,,,,wizard_fireball_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl07,,,,78,,,,,,,,,,,,,,,86400,15,,,90,189,280,,"0,42750,0,0,0,0,0",,,,,,,wizard_fireball_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl07,weapon,wiz_weapon_06,,78,,,,,,,,,,,,,,,129600,18,,,99,207,310,,"0,75000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl08,,,,78,,,,,,,,,,,,,,,172800,21,,,108,228,340,,"0,135000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl08,weapon,wiz_weapon_07,,78,,,,,,,,,,,,,,,259200,24,,,119,251,380,,"0,250000,0,0,0,4,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl08,weapon,wiz_weapon_07b,,78,,,,,,,,,,,,,,,345600,27,,,131,276,410,,"0,325000,0,5,4,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_wizard_lvl09,weapon,wiz_weapon_08,,78,,,,,,,,,,,,,,,432000,30,,,144,304,460,,"0,650000,0,0,3,6,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princess,TID_PRINCESS,TID_CHARACTER_INFO_PRINCESS,false,sc/characters.sc,chr_princess_lvl01,weapon,princess_weapon_01,sc/ui.sc,76,icon_power_axe,vignette_princess_special,TID_SPECIAL_PRINCESS,TID_SPECIAL_PRINCESS_DESC,TID_ABILITY_PRINCESS,TID_ABILITY_PRINCESS_DESC,sc/ui.sc,icon_ability_nerf,sc/characters.sc,chr_princess_icon,sc/ui.sc,icon_selectChracter_princess,2,2,60,1,ForestPrincess,,34,15,240,Gold,"0,150,0,0,0,0,0",125,12,1125,30,sword,0,,,,,2000,Generic Hit,Princess hit enemy,Princess Flick,Move,Princess Aim Effect,Princess Special Flick,Princess Special Hit,,,Princess Special Move,Common End Special,,Roll Loop,Princess Take Damage,Player Die Effect,Roll Loop,0,Character Becomes Active,Desert,chrBase_forestA,princess,7,,,60
,,,,,chr_princess_lvl02,weapon,princess_weapon_02,,76,,,,,,,,,,,,,,,1800,3,,,38,16,260,,"0,800,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_princess_lvl03,,,,76,,,,,,,,,,,,,,,7200,5,,,42,17,290,,"0,1500,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_princess_lvl03_2,weapon,princess_weapon_03,,76,,,,,,,,,,,,,,,14400,7,,,46,18,320,,"0,3000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_princess_lvl04,,,,76,,,,,,,,,,,,,,,28800,9,,,51,19,350,,"0,6000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_princess_lvl04_2,weapon,princess_weapon_04,,76,,,,,,,,,,,,,,,43200,11,,,57,20,390,,"0,9000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_princess_lvl05,,,,76,,,,,,,,,,,,,,,64800,13,,,63,21,430,,"0,21000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_princess_lvl06,,,,76,,,,,,,,,,,,,,,86400,15,,,70,22,470,,"0,38500,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_princess_lvl06_2,weapon,princess_weapon_05,,76,,,,,,,,,,,,,,,172800,18,,,78,23,510,,"0,72000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_princess_lvl07,,,,76,,,,,,,,,,,,,,,259200,21,,,86,24,570,,"0,130000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_princess_lvl08,,,,76,,,,,,,,,,,,,,,345600,24,,,93,26,620,,"0,230000,0,0,3,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_princess_lvl08_2,weapon,princess_weapon_06,,76,,,,,,,,,,,,,,,432000,27,,,100,28,680,,"0,350000,0,0,0,9,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_princess_lvl09,weapon,princess_weapon_07,,76,,,,,,,,,,,,,,,518400,30,,,110,30,750,,"0,650000,0,6,0,4,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirate,TID_PIRATE,TID_CHARACTER_INFO_PIRATE,false,sc/characters.sc,chr_pirate_lvl01,weapon,pirate_weapon_01,sc/ui.sc,100,icon_power_cannon,vignette_pirate_special,TID_SPECIAL_PIRATE,TID_SPECIAL_PIRATE_DESC,TID_ABILITY_PIRATE,TID_ABILITY_PIRATE_DESC,sc/ui.sc,icon_ability_combo_plus,sc/characters.sc,chr_wizard_icon,sc/ui.sc,icon_selectChracter_pirate,3,3,1800,1,DesertPirate,,37,72,280,Gold,"0,1000,0,0,0,0,0",125,11,1125,30,spawnturret,0,cannon_ball_01,Pirate Turret,1,12,,Generic Hit,Wizard hit enemy,Pirate Flick,Move,Wizard Aim Effect,Pirate Special Flick,,,,,Common End Special,Pirate fire loop,Roll Loop,Pirate Take Damage,Player Die Effect,Roll Loop,25,Character Becomes Active,Forest,chrBase_spookyA,bonus_combo_counter,7,sc/ui.sc,tip_chr_pirate,60
,,,,,chr_pirate_lvl02,,,,,,,,,,,,,,,,,,,7200,5,,,41,79,310,,"0,2000,0,0,0,0,0",,,,,,,,Pirate Turret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_pirate_lvl03,weapon,pirate_weapon_02,,,,,,,,,,,,,,,,,14400,7,,,45,87,340,,"0,3500,0,0,0,0,0",,,,,,,,Pirate Turret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_pirate_lvl04,,,,,,,,,,,,,,,,,,,28800,9,,,50,96,370,,"0,7000,0,0,0,0,0",,,,,,,,Pirate Turret,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_pirate_lvl05,weapon,pirate_weapon_03,,,,,,,,,,,,,,,,,43200,11,,,55,105,410,,"0,10000,0,0,0,0,0",,,,,,,,Pirate Turret2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_pirate_lvl06,,,,,,,,,,,,,,,,,,,64800,13,,,60,116,450,,"0,17000,0,0,0,0,0",,,,,,,,Pirate Turret2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_pirate_lvl07,,,,,,,,,,,,,,,,,,,86400,15,,,66,127,500,,"0,40500,0,0,0,0,0",,,,,,,,Pirate Turret2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_pirate_lvl08,weapon,pirate_weapon_04,,,,,,,,,,,,,,,,,172800,18,,,73,140,550,,"0,77000,0,0,0,0,0",,,,,,,,Pirate Turret2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_pirate_lvl09,,,,,,,,,,,,,,,,,,,259200,21,,,80,154,600,,"0,140000,0,0,0,0,0",,,,,,,,Pirate Turret2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_pirate_lvl10,weapon,pirate_weapon_05,,,,,,,,,,,,,,,,,345600,24,,,88,169,660,,"0,247500,0,0,0,0,4",,,,,,,,Pirate Turret3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_pirate_lvl11,,,,,,,,,,,,,,,,,,,432000,27,,,97,186,730,,"0,425000,0,0,0,0,8",,,,,,,,Pirate Turret3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_pirate_lvl12,weapon,pirate_weapon_06,,,,,,,,,,,,,,,,,518400,30,,,106,205,800,,"0,650000,0,3,3,3,1",,,,,,,,Pirate Turret3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mummy,TID_MUMMY,TID_CHARACTER_INFO_MUMMY,false,sc/characters.sc,chr_mummy_lvl01,weapon,mummy_weapon_01,sc/ui.sc,80,icon_power_light_rays,vignette_mummy_special,TID_SPECIAL_MUMMY,TID_SPECIAL_MUMMY_DESC,TID_ABILITY_MUMMY,TID_ABILITY_MUMMY_DESC,sc/ui.sc,icon_ability_combo_minus,sc/characters.sc,chr_princess_icon,sc/ui.sc,icon_selectChracter_mummy,4,5,14400,1,DesertMummy,,31,105,540,Gold,"0,4000,0,0,0,0,0",125,14,1125,30,mummy,0,,,,,2000,Generic Hit,Mummy hit enemy,Mummy Flick,Move,Mummy Aim Effect,Mummy Special Flick,,,,Mummy Special Move,Common End Special,,Roll Loop,Mummy Take Damage,Player Die Effect,Roll Loop,25,Character Becomes Active,Desert,chrBase_forestA,turncounterdecrease,6,,,60
,,,,,chr_mummy_lvl02,,,,80,,,,,,,,,,,,,,,28800,9,,,34,115,590,,"0,8000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_mummy_lvl03,,,,80,,,,,,,,,,,,,,,43200,11,,,37,127,650,,"0,12000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_mummy_lvl03,weapon,mummy_weapon_02,,80,,,,,,,,,,,,,,,86400,13,,,41,139,720,,"0,20000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_mummy_lvl04,,,,80,,,,,,,,,,,,,,,172800,15,,,45,153,790,,"0,32000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_mummy_lvl05,,,,78,,,,,,,,,,,,,,,259200,18,,,49,169,870,,"0,51000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_mummy_lvl06,,,,78,,,,,,,,,,,,,,,345600,21,,,54,185,960,,"0,123000,0,0,0,2,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_mummy_lvl06,weapon,mummy_weapon_03,,78,,,,,,,,,,,,,,,432000,24,,,60,204,1050,,"0,227500,0,3,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_mummy_lvl07,,,,76,,,,,,,,,,,,,,,518400,27,,,66,224,1160,,"0,400000,0,4,2,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_mummy_lvl08,weapon,mummy_weapon_04,,74,,,,,,,,,,,,,,,604800,30,,,72,247,1270,,"0,700000,0,7,0,4,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairy,TID_FAIRY,TID_CHARACTER_INFO_FAIRY,false,sc/characters.sc,chr_fairy_lvl01,weapon,fairy_weapon01,sc/ui.sc,78,icon_power_heal,vignette_fairy_special,TID_SPECIAL_FAIRY,TID_SPECIAL_FAIRY_DESC,TID_ABILITY_FAIRY,TID_ABILITY_FAIRY_DESC,sc/ui.sc,icon_ability_give_health,sc/characters.sc,chr_princess_icon,sc/ui.sc,icon_selectChracter_fairy,5,7,43200,15,,Hero_Island_fairy,40,60,550,Gold,"0,15000,0,0,0,0,0",125,12,1125,30,steal_hp_ring,0,fairy_ball_01,,1,3,1500,Generic Hit,Fairy hit enemy,Fairy Flick,Move purple,,Fairy Special Flick,,,,Fairy Special Move,,fairy drawback,Roll Loop,Fairy Take Damage,Player Die Effect,Roll Loop,25,Character Becomes Active,Forest,chrBase_forestA,healfriendly,6,,,60
,,,,,chr_fairy_lvl02,,,,,,,,,,,,,,,,,,,86400,15,,,44,66,610,,"0,25000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_fairy_lvl03,,,,,,,,,,,,,,,,,,,172800,15,,,48,73,670,,"0,40000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_fairy_lvl04,,,,,,,,,,,,,,,,,,,259200,18,,,53,80,730,,"0,64000,0,0,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_fairy_lvl04,weapon,fairy_weapon02,,,,,,,,,,,,,,,,,345600,21,,,59,88,810,,"0,102000,0,2,0,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_fairy_lvl05,,,,,,,,,,,,,,,,,,,432000,24,,,64,97,890,,"0,160000,0,0,2,3,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_fairy_lvl05,weapon,fairy_weapon03,,,,,,,,,,,,,,,,,518400,27,,,71,106,970,,"0,325000,0,5,5,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_fairy_lvl06,weapon,fairy_weapon04,,,,,,,,,,,,,,,,,604800,30,,,78,117,1070,,"0,750000,0,0,10,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrel,TID_BARREL,TID_CHARACTER_INFO_TNT,false,sc/characters.sc,chr_tnt_lvl01,,,sc/ui.sc,98,icon_power_boom,vignette_dr_tnt_special,TID_SPECIAL_BARREL,TID_SPECIAL_BARREL_DESC,TID_ABILITY_BARREL,TID_ABILITY_BARREL_DESC,sc/ui.sc,icon_ability_boom_spawn,sc/characters.sc,chr_wizard_icon,sc/ui.sc,icon_selectChracter_tnt,6,8,86400,18,,Hero_Island_tnt,70,160,405,Gold,"0,30000,0,0,0,0,0",125,6,1500,30,spawnexplosive,10,,Tnt Obstacle,,,,Generic Hit,Prince hit enemy,Barrel Flick,Move,,Barrel special Flick,Tnt Special Hit,,,,,Barrel special draw,Roll Loop,Barrell Take Damage,Player Die Effect,Roll Loop,25,Character Becomes Active,Forest,chrBase_desertA,spawnexplosive,5,,,60
,,,,,chr_tnt_lvl02,,,,98,,,,,,,,,,,,,,,172800,18,,,77,175,442,,"0,48000,0,0,0,0,0",,,,,,,,Tnt Obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_tnt_lvl02b,,,,98,,,,,,,,,,,,,,,259200,18,,,85,190,490,,"0,77000,0,0,0,0,0",,,,,,,,Tnt Obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_tnt_lvl03,,,,98,,,,,,,,,,,,,,,345600,21,,,94,210,535,,"0,120000,0,0,4,0,0",,,,,,,,Tnt Obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_tnt_lvl03b,,,,98,,,,,,,,,,,,,,,432000,24,,,104,230,590,,"0,200000,0,0,0,7,0",,,,,,,,Tnt Obstacle2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_tnt_lvl03c,,,,98,,,,,,,,,,,,,,,604800,27,,,115,250,650,,"0,310000,0,8,0,0,6",,,,,,,,Tnt Obstacle2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_tnt_lvl04,,,,92,,,,,,,,,,,,,,,864000,30,,,128,280,715,,"0,750000,0,0,10,7,0",,,,,,,,Tnt Obstacle2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpaceGirl,TID_SPACEG,TID_CHARACTER_INFO_SPACEG,false,sc/characters.sc,chr_spaceGirl_lvl01,,,sc/ui.sc,100,icon_power_lazer,vignette_lazer_girl_special,TID_SPECIAL_LAZER_GIRL,TID_SPECIAL_LAZER_GIRL_DESC,TID_ABILITY_LASER_GIRL,TID_ABILITY_LASER_GIRL_DESC,sc/ui.sc,icon_ability_give_shield,sc/characters.sc,chr_princess_icon,sc/ui.sc,icon_selectChracter_spaceGirl,7,9,172800,21,,Hero_Island_spaceGirl,70,295,560,Gold,"0,57000,0,0,0,0,0",125,13,1300,30,space_girl,0,space_girl_laser,,1,7,,Generic Hit,Mummy hit enemy,SpaceGirl Flick,Move,SpaceGirl Aim Effect,SpaceGirl Special Flick,,,,Mummy Special Move,Common End Special,,Roll Loop,SpaceGirl Take Damage,Player Die Effect,Roll Loop,25,Character Becomes Active,Desert,chrBase_forestA,space_girl_shield,4,,,60
,,,,,chr_spaceGirl_lvl02,,,,,,,,,,,,,,,,,,,259200,21,,,77,324,620,,"0,90000,0,0,0,0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_spaceGirl_lvl03,,,,,,,,,,,,,,,,,,,345600,21,,,85,355,680,,"0,145000,0,0,2,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_spaceGirl_lvl04,,,,,,,,,,,,,,,,,,,432000,24,,,93,390,750,,"0,230000,0,0,0,3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_spaceGirl_lvl05,,,,,,,,,,,,,,,,,,,604800,27,,,103,425,820,,"0,400000,0,0,4,4,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,chr_spaceGirl_lvl06,,,,,,,,,,,,,,,,,,,864000,30,,,115,465,900,,"0,800000,0,4,0,4,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genie,TID_GENIE,TID_CHARACTER_INFO_GENIE,false,sc/characters.sc,chr_genie_lvl01,,,sc/ui.sc,86,icon_power_hat_split,vignette_genie_special,TID_SPECIAL_GENIE,TID_SPECIAL_GENIE_DESC,TID_ABILITY_GENIE,TID_ABILITY_GENIE_DESC,sc/ui.sc,icon_ability_hat_spawn,sc/characters.sc,chr_genie_icon,sc/ui.sc,icon_selectChracter_genie,8,10,259200,24,,Hero_Island_genie,65,65,970,Gold,"0,130000,0,0,0,0,0",125,10,1125,30,split,0,,,,,,Generic Hit,Genie hit enemy,Genie Flick,Move blue,Genie Aim Effect,,Genie Special Hit,,,Genie Special Move,Common End Special,,Roll Loop,Genie Take Damage,Player Die Effect,Roll Loop,25,Character Becomes Active,Desert,chrBase_desertA,respawn,4,,,60
