Name,Scale,SWF,ExportName,World,Disabled,ThreatValue,ShadowSWF,ShadowExportName,ShadowAlpha,ShadowHeight,DamageOnTouch,VelocityModifierOnCollision,IsLevelEdge,Hitpoints,Shape,Radius,InvDir,Width,Height,LifeInTurns,SpecialAttackCanRemove,HitEffect,DieEffect,SpawnCollectableOnHit,SpawnEnemyOnHit,SpawnEnemyOnHitRank,SpawnObstacleWhenDie,NoCollisionWhenDies,Passthrough,SlowdownDuringPassthrough,PassEffect,SpawnEffect,AreaDmgFx1,AreaDmgFx2,PreObjectLayer
Mushroom Slow,100,sc/characters.sc,mushBoss_target,Spooky,,20,,,,12,0,95,,,CIRCLE,25,,,,,,,,,,,,,true,10,Move,Mushroom Slow Spawn,,,
DISABLED_Chest,100,sc/common.sc,ob_chest_master,,TRUE,,,,,35,0,95,,3,RECT,,,65,65,,,Hit Chest,Pop Bang,HP_Small,,,,,,,,,,,
,,,ob_chest_master,,,,,,,,,,,,,,,,,,,,,Gold1,,,,,,,,,,,
,,,ob_chest_master,,,,,,,,,,,,,,,,,,,,,HP_Small,,,,,,,,,,,
DISABLED_Chest Hidden HedgeA,100,sc/characters.sc,ob_hedgeA_01,,TRUE,,,,,40,,95,,1,RECT,,,65,65,,,Reveal chest hedge,Book Hit,,,,Chest,,,,,,,,
Derest Round A,100,sc/env_desert.sc,ob_round_master,Desert,,10,,,,20,,95,,,CIRCLE,30,,,,,,Tree Hit,Book Hit,,,,,,,,,,,,
Derest Round B,100,sc/env_desert.sc,ob_round2_master,Desert,,10,,,,20,,95,,,CIRCLE,30,,,,,,Tree Hit,Book Hit,,,,,,,,,,,,
Desert Wall,100,sc/env_desert.sc,ob_stoneWall_master,Desert,,7,,,,30,,95,,,RECT,,,65,65,,,,Book Hit,,,,,,,,,,,,
Mole hole desert,100,sc/characters.sc,ob_moleHole_master,Desert,,10,sc/characters.sc,chr_bee_F_shad_01,,-10,0,,,,CIRCLE,25,,,,,,,Book Hit,,,,,,true,,,,,,
Tnt Obstacle,100,sc/characters.sc,tnt_obstacle,,,,,,,55,0,50,,,CIRCLE,30,,,,3,true,,Book Hit,,,,,,,,,Dynamite Spawn,Tnt Special Attack,Tnt Special Impact,
Ice Cube,100,sc/characters.sc,ob_ice_cube_01_master,Ice,,,,,,25,,95,,1,RECT,,,55,55,,true,Tree Hit,Ice Hit 1,,,,Ice Cube 2,,,,,,Princess Special Attack,Princess Special Impact,
Fairy Ring,100,sc/characters.sc,fx_fairy_ringIdle,,,,,,,,,,,,CIRCLE,5,,,,3,,,Book Hit,,,,,,,,,Fairy Ring Spawn,Fairy Leech,,
Pirate Turret,100,sc/characters.sc,pirate_cannon,,,,,,,25,0,50,,4,CIRCLE,36,,,,,true,Hit Stone Wall,Barrel Dust,,,,,,,,,,,,
Barrel,100,sc/common.sc,collect_barrel,,,,,,,25,0,110,,1,CIRCLE,36,,,,,true,Barrel bust,Barrel Dust,,,,,,,,,,,,
Beehive lvl2,100,sc/characters.sc,ob_beehive_lvl2,Forest,,40,,,,10,0,95,,4,CIRCLE,35,,,,,true,Bee Hive Hit,Book Hit,,Bee,2,,,,,,,,,
,,,ob_beehive_lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ob_beehive_lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magic Books_lvl2,100,sc/env_spooky.sc,ob_books_lvl2,Spooky,,50,,,,,0,95,,3,RECT,,,68,50,,,Book Hit,Pop Bang,,Baby Spider,2,,,,,,,,,
,,,ob_books_lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ob_books_lvl2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pirate Turret2,100,sc/characters.sc,pirate_cannon_02,,,,,,,25,0,50,,4,CIRCLE,36,,,,,true,Hit Stone Wall,Barrel Dust,,,,,,,,,,,,
Pirate Turret3,100,sc/characters.sc,pirate_cannon_03,,,,,,,25,0,50,,4,CIRCLE,36,,,,,true,Hit Stone Wall,Barrel Dust,,,,,,,,,,,,
Tnt Obstacle2,100,sc/characters.sc,tnt_obstacle2,,,,,,,55,0,50,,,CIRCLE,30,,,,3,true,,Book Hit,,,,,,,,,Dynamite Spawn,Tnt Special Attack,Tnt Special Impact,
IceCorner_topLeft,100,sc/env_ice.sc,ice_corner_topLeft,Ice,,,sc/characters.sc,chr_bee_F_shad_01,,,,95,true,,INV_QUARTER_CIRCLE,145,TL,,,,,,,,,,,,,,,,,,True
IceCorner_topRight,100,sc/env_ice.sc,ice_corner_topRight,Ice,,,sc/characters.sc,chr_bee_F_shad_01,,,,95,true,,INV_QUARTER_CIRCLE,145,TR,,,,,,,,,,,,,,,,,,True
IceCorner_bottomRight,100,sc/env_ice.sc,ice_corner_btmRight,Ice,,,sc/characters.sc,chr_bee_F_shad_01,,,,95,true,,INV_QUARTER_CIRCLE,145,BR,,,,,,,,,,,,,,,,,,True
IceCorner_bottomLeft,100,sc/env_ice.sc,ice_corner_btmLeft,Ice,,,sc/characters.sc,chr_bee_F_shad_01,,,,95,true,,INV_QUARTER_CIRCLE,145,BL,,,,,,,,,,,,,,,,,,True
Ice Cube Big,100,sc/characters.sc,ob_ice_cube_big_01_master,Ice,,,,,,40,,95,,1,RECT,,,145,145,,true,,Cube Big Hit 1,,,,Ice Cube Big 2,,,,,,Princess Special Attack,Princess Special Impact,
Ice Cube Big 2,100,sc/characters.sc,ob_ice_cube_big_02_master,Ice,,,,,,40,,95,,1,RECT,,,145,145,,true,,Cube Big Hit 2,,,,Ice Cube Big 3,,,,,,Princess Special Attack,Princess Special Impact,
Ice Cube Big 3,100,sc/characters.sc,ob_ice_cube_big_03_master,Ice,,,,,,40,,95,,1,RECT,,,145,145,,true,,Cube Big Hit 3,,,,Ice Cube,,,,,,Princess Special Attack,Princess Special Impact,
Ice Cube 2,100,sc/characters.sc,ob_ice_cube_02_master,Ice,,,,,,25,,95,,1,RECT,,,55,55,,true,,Ice Hit 1,,,,,,,,,,Princess Special Attack,Princess Special Impact,
Spell Cube,100,sc/characters.sc,ob_ice_blocker_01_master,,,,,,,15,,95,,1,RECT,,,55,55,,true,,Spell Cube Hit 1,,,,Spell Cube Cracked,,,,,,,,
Spell Cube Cracked,100,sc/characters.sc,ob_ice_blocker_02_master,,,,,,,15,,95,,1,RECT,,,55,55,,true,,Spell Cube Die 1,,,,,,,,,,,,
Spell Cube 2,100,sc/characters.sc,ob_ice_blocker_b01_master,,,,,,,15,,95,,1,RECT,,,55,55,,true,,Spell Cube Hit 1,,,,Spell Cube 2 Cracked,,,,,,,,
Spell Cube 2 Cracked,100,sc/characters.sc,ob_ice_blocker_b02_master,,,,,,,15,,95,,1,RECT,,,55,55,,true,,Spell Cube Die 1,,,,,,,,,,,,
