Name,NumberValue,BooleanValue,TextValue,NumberArray,StringArray
PVP_INACTIVE_TURN_TIME_SECONDS,15,,,,
PVP_MAX_TURN_TIME_SECONDS,15,,,,
PVP_FIRST_TURN_MAX_TURN_TIME_SECONDS,25,,,,
PVP_TURN_TIME_SERVER_EXTRA,5,,,,
PVP_TARGET_SCORE,80,,,,
PVP_MINIMUM_CHARACTER_COUNT,1,,,,
PVP_CHARACTER_OFFSET_FROM_EDGE,50,,,,
ADVENTURE_BOY_SPECIAL_AVAILABLE_ON_LEVEL,1,,,,
MAX_MESSAGE_LENGTH,128,,,,
REPLAY_LEVEL_MODIFIED_XP,80,,,,
REPLAY_LEVEL_MODIFIED_GOLD,80,,,,
REPLAY_COMMAND_WAIT_TIME_MS,1000,,,,
HERO_SPECIAL_REQUIRED_COMBO_BOUNCES_INCREASE,6,,,,
HERO_HITPOINT_MODIFIER_IN_SINGLE_PLAYER,50,,,,
PVP_LOSER_MODIFIED_XP,50,,,,
PVP_LOSER_MODIFIED_GOLD,50,,,,
SINGLE_PLAYER_LOSER_MODIFIED_XP,20,,,,
SINGLE_PLAYER_LOSER_MODIFIED_GOLD,20,,,,
HERO_GOOD_AGAINST_MODIFIED_DAMAGE,130,,,,
SPECIAL_MUMMY_RAY_COUNT,5,,,,
SPECIAL_ATTACK_SPLIT_ANGLE,25,,,,
ABILITY_BOUNTY_BONUS,150,,,,
ABILITY_LUCKY_STRIKE_ODDS,20,,,,
ABILITY_LUCKY_STRIKE_DAMAGE_MODIFIER,200,,,,
ABILITY_LUCKY_STRIKE_TURN,5,,,,
ALLIANCE_SCORE_CONTRIBUTION_PERCENTAGE,,,,50,
,,,,25,
,,,,10,
ALLIANCE_SCORE_LIMIT,,,,0,
,,,,200,
,,,,400,
,,,,600,
,,,,800,
,,,,1000,
,,,,1100,
,,,,1200,
,,,,1300,
,,,,1400,
,,,,1500,
,,,,1600,
,,,,1700,
,,,,1800,
,,,,1900,
,,,,2000,
SHIP_XP_VARIATION,10,,,,
SHIP_GOLD_VARIATION,15,,,,
SHIP_UPGRADE_REQUIRED_XP_LEVEL,,,,0,
,,,,0,
,,,,10,
,,,,16,
SHIP_UPGRADE_COST,,,,0,
,,,,500,
,,,,15000,
,,,,50000,
SHIP_UPGRADE_DURATION_HOURS,,,,0,
,,,,0,
,,,,12,
,,,,24,
SHIP_GRAPHICS,,,,,ship_lvl0
,,,,,ship_lvl01
,,,,,ship_lvl02
,,,,,ship_lvl03
SHIP_ICON_GRAPHICS,,,,,icon_ship_lvl01
,,,,,icon_ship_lvl01
,,,,,icon_ship_lvl02
,,,,,icon_ship_lvl03
ALLIANCE_CREATE_RESOURCE,,,Gold,,
ALLIANCE_CREATE_COST,10000,,,,
ALLIANCE_HERO_REQUEST_COOLDOWN_SECS,900,,,,
SHARE_REPLAY_COOLDOWN_SECS,900,,,,
CHALLENGE_COOLDOWN_SECS,5,,,,
MAX_ALLIANCE_FEEDBACK_MESSAGE_LENGTH,100,,,,
HERO_BORROW_DURATION_HOURS,24,,,,
SHIP_SAIL_DURATION_HOURS,7,,,,
TEAMS_UNLOCK_ON_XP_LEVEL,7,,,,
PVP_MAX_ENEMIES_TO_RESPAWN,15,,,,
HERO_BOUNTY_PVP,,,,6,
,,,,7,
,,,,8,
,,,,9,
,,,,10,
,,,,11,
,,,,12,
,,,,13,
,,,,14,
,,,,15,
,,,,16,
,,,,17,
,,,,18,
,,,,19,
,,,,20,
QUEST_REPLAY_COUNT_FOR_CHEST,5,,,,
QUEST_REPLAY_CHEST_AVAILABLE_ON_XP_LEVEL,5,,,,
QUEST_REPLAY_CHEST_MOVE_TO_NEW_ISLAND_AFTER_HOURS,24,,,,
QUEST_REPLAY_CHEST_RESPAWN_ON_LOGIN_AFTER_SECONDS,20,,,,
BIG_LIMIT,1000,,,,
SUPER_LIMIT,50000,,,,
GENIE_HAT_FORM_DAMAGE_MODIFIER,75,,,,
OBSTACLE_MAX_HIT_COUNT,3,,,,
BORROWED_HERO_MAX_LEVEL_ABOVE_UNLOCKED_LVL,2,,,,
ACHIEVEMENT_BORROW_HERO_MIN_TIME,6,,,,
MAP_CHEST_RESPAWN_TIME,1,,,,
VALID_PVP_MATCH_INTERACT_TURN_RATIO_MIN_PERCENTAGE,25,,,,
FACEBOOK_LOGIN_TIMEOUT,20,,,,
SPEED_UP_MODIFIER_GENERIC,100,,,,
SPEED_UP_MODIFIER_SHIP_CONSTRUCTION,100,,,,
SPEED_UP_MODIFIER_SPELL_CONSTRUCTION,250,,,,
SPEED_UP_MODIFIER_ITEM_AVAILABILITY,250,,,,
SPELL_CANCEL_PRODUCTION_MULTIPLIER,100,,,,
SHIP_SPEEDUP_GOLD_COST_MODIFIER,200,,,,
SPECIAL_ATTACK_SNOW_CONE_ANGLE_DELTA,26,,,,
ABILITY_GOLD_MIN,0,,,,
ABILITY_GOLD_MAX,3,,,,
ABILITY_RESPAWN_HP_RATIO,25,,,,
ABILITY_PRINCESS_ENCHANT_DMG_RATIO,66,,,,
ABILITY_HEAL_ON_TOUCH_PERCENTAGE,7,,,,
ABILITY_HEAL_ON_AREA_DAMAGE_PERCENTAGE,10,,,,
ABILITY_SPAWN_EXPLOSIVE_DAMAGE_AREA,150,,,,
SNOW_CONE_TOTAL_PROJECTILE_COUNT,15,,,,
AREA_DAMAGE_SPECIAL_ATTACK_RADIUS,150,,,,
PRINCESS_ATTACK_AREA_DAMAGE_SPECIAL_ATTACK_RADIUS,100,,,,
INITIAL_MAX_ENERGY,15,,,,
BARREL_ENEMY_CHANCE,25,,,,
BARREL_HEALTH_CHANCE,25,,,,
BARREL_EXTRA_COMBO_CHANCE,50,,,,
TEAM_GOAL_SEASON_DURATION_HOURS,96,,,,
MAX_BARRELS,2,,,,
FIRST_BARREL_SPAWN_CHANCE_STARTING_PLAYER,10,,,,
FIRST_BARREL_SPAWN_CHANCE_SECOND_PLAYER,15,,,,
SECOND_BARREL_SPAWN_CHANCE,35,,,,
THIRD_BARREL_SPAWN_CHANCE,5,,,,
FOURTH_BARREL_SPAWN_CHANCE,35,,,,
BARREL_COMBO_CHANCE1,20,,,,
BARREL_COMBO_CHANCE2,40,,,,
BARREL_COMBO_CHANCE3,20,,,,
BARREL_COMBO_CHANCE4,15,,,,
BARREL_COMBO_CHANCE5,4,,,,
BARREL_COMBO_CHANCE_MAX,1,,,,
ENABLE_BOOSTER_AFFECTS_ACHIEVEMENT_XP,,TRUE,,,
FILL_ENERGY_ON_XP_LEVEL_UP,,FALSE,,,
UNLOCK_HERO_BATTLE_ENEMY_HP_MOD,200,,,,
UNLOCK_HERO_BATTLE_ENEMY_DMG_MOD,200,,,,
MUMMY_ABILITY_AFFECTS_HERO_WHO_DEAL_DMG_TO_HIM,,FALSE,,,
MUMMY_ABILITY_AFFECTS_NPC_WHO_DEAL_DMG_TO_HIM,,TRUE,,,
BUSTER_COMBO_FILL_FIX,,TRUE,,,
CHALLENGE_ENERGY_COST,2,,,,
ENABLE_CHALLENGES,,TRUE,,,
MULTIPLAYER_CHEST_WIN_COUNT,5,,,,
MULTIPLAYER_CHEST_MODIFIER,750,,,,
MULTIPLAYER_CHEST_EVENT_WIN_COUNT,5,,,,
USE_EVENT_CHEST_PROGRESS,,TRUE,,,
TEAM_MAIL_SEND_COOLDOWN_TIME_SECONDS,3600,,,,
MAX_ALLIANCE_MAIL_LENGTH,256,,,,
MAX_ALLIANCE_MAIL_TITLE_LENGTH,20,,,,
USE_CANCEL_MATCHMAKE_DONE_MESSAGE,,TRUE,,,
USE_CANCEL_CHALLENGE_DONE_MESSAGE,,TRUE,,,
USE_SPELLS,,TRUE,,,
TEST_TEAM_GOAL_1,,,destroy_multi_heroes_single_fireball0,,
TEST_TEAM_GOAL_2,,,destroy_cannons0,,
TEST_TEAM_GOAL_3,,,bounce_mushroom0,,
SPELL_EARTHQUAKE_DO_DAMAGE_RELATIVE_TO_HIGHEST_HP_GUY,20,,,,
SPELLS_AVAILABLE_ON_EXP_LEVEL,16,,,,
SPELL_SLOTS_AT_START,2,,,,
SPELL_SLOT_REQUIRED_XP_LEVEL,,,,0,
,,,,12,
,,,,15,
SPELL_SLOT_COST,,,,500,
,,,,15000,
,,,,50000,
ORB_PRORABILITY_PERCENTAGE_PVP_WIN,27,,,,
ORB_PRORABILITY_PERCENTAGE_PVP_LOSE,13,,,,
ORB_PROBABILITY_INCREASE_PER_NO_REWARDED_WIN,5,,,,
ORB_PROBABILITY_INCREASE_PER_NO_REWARDED_LOSS,5,,,,
ORB_PROBABILITY_LEAGUE_MODIFIERS,,,,70,
,,,,72,
,,,,74,
,,,,76,
,,,,78,
,,,,80,
,,,,83,
,,,,86,
,,,,89,
,,,,92,
,,,,95,
,,,,98,
,,,,100,
ORB_PROBABILITY_MODIFIER_EVENT_LOSE,50,,,,
ENABLE_EVENTS,,TRUE,,,
USE_ITEMS,,TRUE,,,
ALLOW_ITEM_EQUIP_ON_XP_LEVEL,4,,,,
SUPER_SIZE_PUSH_ENEMY_MODIFIER,500,,,,
SUPER_SIZE_MOVE_SPEED_BOOST_TIME,500,,,,
SHIP_GOLD_PER_HERO_LVL,,,,400,
,,,,600,
,,,,800,
,,,,1000,
,,,,1200,
,,,,1400,
,,,,1600,
,,,,1800,
,,,,2000,
,,,,2200,
,,,,2400,
,,,,2600,
,,,,2800,
,,,,3000,
,,,,3200,
SHIP_XP_PER_HERO_LVL,,,,400,
,,,,500,
,,,,600,
,,,,700,
,,,,800,
,,,,900,
,,,,1000,
,,,,1100,
,,,,1200,
,,,,1300,
,,,,1400,
,,,,1500,
,,,,1600,
,,,,1700,
,,,,1800,
SHIP_HERO_COUNT_REWARD_FACTOR,,,,100,
,,,,50,
,,,,50,
ENABLE_SHIP_SEASICK,,TRUE,,,
SHIP_SEASICK_DURATION_HOURS,48,,,,
PATTERN_PVP,,,,0,
,,,,1,
,,,,2,
,,,,3,
,,,,1,
,,,,0,
,,,,2,
,,,,0,
,,,,0,
,,,,3,
,,,,2,
,,,,1,
,,,,2,
,,,,0,
,,,,2,
,,,,2,
,,,,1,
,,,,1,
,,,,0,
,,,,3,
,,,,1,
,,,,0,
,,,,2,
,,,,0,
,,,,2,
,,,,1,
,,,,3,
,,,,1,
PATTERN_PVP_2,,,,0,
,,,,1,
,,,,2,
,,,,3,
,,,,1,
,,,,2,
,,,,0,
,,,,3,
,,,,3,
,,,,1,
,,,,2,
,,,,0,
,,,,1,
,,,,3,
,,,,0,
,,,,2,
,,,,3,
,,,,2,
,,,,1,
,,,,0,
,,,,3,
,,,,2,
,,,,2,
,,,,1,
,,,,3,
,,,,0,
,,,,1,
,,,,3,
,,,,0,
,,,,2,
,,,,3,
,,,,1,
,,,,2,
,,,,0,
,,,,2,
,,,,3,
USE_BUY_BUTTON_FOR_REBUY_SPELLS,,TRUE,,,
