Name,ParticleSwf,ParticleExportName,ParticleCount,EmissionTime,MinLife,MaxLife,StartScale,EndScale,RandomStartScale,MinHorizAngle,MaxHorizAngle,MinVertAngle,MaxVertAngle,MinSpeed,MaxSpeed,StartZ,Gravity,Inertia,MinRotate,MaxRotate,DisableRotation,FadeOutTime,StartRadius,StartRadiusMax,ScaleTimeline,OrientToMovement,OrientToParent,OrientToImpact,BounceFromGround,StopAnimationAfterBounce,AdditiveBlend,UseMovingEmitter,EmitterMinHorizAngle,EmitterMaxHorizAngle,EmitterMinVertAngle,EmitterMaxVertAngle,EmitterMinSpeed,EmitterMaxSpeed,EmitterGravity,EmitterInertia,EmitterIndicatorSwf,EmitterIndicatorExportName
impact_attack,sc/characters.sc,fx_impactRing5,1,20,250,250,70,100,,0,0,0,0,,,0,0,0,0,0,TRUE,400,,,,,,,,,,,,,,,,,,,,
impact_attack1,sc/characters.sc,fx_impactRing5,1,1,200,200,0,40,,0,0,0,0,,,0,0,0,0,0,TRUE,100,,,,,TRUE,,,,,,,,,,,,,,,
impact_attack2,sc/characters.sc,fx_impactRingA,1,1,500,500,95,100,,0,0,0,0,,,0,0,0,0,0,TRUE,500,,,,,,,,,,,,,,,,,,,,
impact_grass,sc/characters.sc,fx_grassBlade,10,150,400,500,120,20,TRUE,0,360,0,0,100,150,10000,1500,5,-180,360,,0,3500,8000,,,TRUE,,TRUE,,,,,,,,,,,,,
impact_grass1,sc/characters.sc,fx_grassBlade,10,150,400,500,120,20,TRUE,0,360,0,0,100,150,10000,1500,5,-180,360,,0,3500,8000,,,TRUE,,TRUE,,,,,,,,,,,,,
impact_stone,sc/characters.sc,fx_stone,6,100,1000,1000,60,40,TRUE,0,0,90,90,1500,1500,0,5000,,0,180,,0,15000,20000,,,,,TRUE,,,,,,,,,,,,,
impact_stone1,sc/characters.sc,fx_stone,8,100,1000,1000,30,30,TRUE,0,0,90,90,1500,1500,0,5000,,-180,0,,0,15000,20000,,,,,TRUE,,,,,,,,,,,,,
impact_stoneBounce,sc/characters.sc,fx_stoneBounce,8,100,1000,2600,60,60,TRUE,0,0,90,90,0,0,0,0,,0,0,,0,16000,17000,TRUE,,,,TRUE,,,,,,,,,,,,,
impact_stoneBounce2,sc/characters.sc,fx_stoneBounce,10,100,1000,2600,30,25,TRUE,0,0,90,90,0,0,0,0,,0,0,,0,15000,17000,TRUE,,,,TRUE,,,,,,,,,,,,,
mushroom_attack_smoke,sc/characters.sc,smokeTrail_01,100,200,1000,3500,90,10,TRUE,0,360,0,0,85,100,5000,,250,,,,250,10000,11000,,,TRUE,,,,,,,,,,,,,,,
,,smokeTrail_02,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,smokeTrail_03,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
mushroom_attack_shadow,sc/characters.sc,smokeTrail_01_dark,50,50,1400,1400,140,15,TRUE,0,360,0,0,85,100,-4000,0,250,,,,1400,10000,11000,,,TRUE,,,,,,,,,,,,,,,
tree_smoke,sc/characters.sc,smokeTrail_01,40,100,800,1400,90,10,TRUE,0,360,0,0,85,100,1000,-100,250,,,,200,2500,2700,,,TRUE,,,,,,,,,,,,,,,
,,smokeTrail_02,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,smokeTrail_03,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
tree_smoke_shadow,sc/characters.sc,smokeTrail_01_dark,25,100,1200,1200,140,15,TRUE,0,360,0,0,85,90,0,0,250,,,,1600,2400,2550,,,TRUE,,,,,,,,,,,,,,,
mushroom_bounce_ring1,sc/characters.sc,fx_impactRing5,2,50,160,170,20,50,,0,0,0,0,,,0,0,0,0,0,TRUE,500,,,,,TRUE,,,,,,,,,,,,,,,
mushroom_bounce_ring2,sc/characters.sc,fx_impactRing5,1,1,140,150,0,40,,0,0,0,0,,,0,0,0,0,0,TRUE,300,,,,,TRUE,,,,,,,,,,,,,,,
mushroom_bounce_text,sc/characters.sc,fx_pop_pow_01,1,0,400,400,40,80,TRUE,0,180,0,0,,,0,0,0,-30,30,TRUE,80,200,300,TRUE,,,,,,,,,,,,,,,,,
appearEffect_smoke,sc/characters.sc,smokeTrail_01,40,100,500,1000,90,10,TRUE,0,360,0,0,35,75,5000,0,250,,,,200,2000,2200,,,TRUE,,,,,,,,,,,,,,,
,,smokeTrail_02,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,smokeTrail_03,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
appearEffect_smoke_shadow,sc/characters.sc,smokeTrail_01_dark,25,100,1000,1000,90,15,TRUE,0,360,0,0,35,75,-4000,0,250,,,,1400,2000,2200,,,TRUE,,,,,,,,,,,,,,,
collect_coin,sc/common.sc,Coin_collect_spin,1,90,650,900,60,100,TRUE,0,360,89,90,2500,15000,5000,0,10,-90,90,,200,,,,,,,,,,,,,,,,,,,,
reveal_chest_hedge,sc/common.sc,Leaf__0,80,120,500,900,85,20,TRUE,0,360,85,90,1000,4500,200,500,25,-90,90,,200,,50000,,,,,,,,,,,,,,,,,,
,,Leaf__1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leaf__2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leaf__3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leaf__4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leaf__5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leaf__6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leaf__7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Leaf__8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SmokeTrail,sc/characters.sc,smokeTrail_01,3,45,450,650,100,0,TRUE,0,180,0,0,1,4,10,0,10,,,,150,1500,1500,TRUE,TRUE,,,,,,,,,,,,,,,,
,,smokeTrail_02,3,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,smokeTrail_03,3,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
flickEffect_smoke,sc/characters.sc,smokeTrail_01,40,100,800,1400,90,10,TRUE,0,360,0,0,85,100,5000,0,250,,,,200,2000,2200,,,TRUE,,,,,,,,,,,,,,,
,,smokeTrail_02,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,smokeTrail_03,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
flickEffect_smoke_shadow,sc/characters.sc,smokeTrail_01_dark,25,100,1200,1200,140,15,TRUE,0,360,0,0,85,100,-4000,0,250,,,,1400,2000,2200,,,TRUE,,,,,,,,,,,,,,,
SmokeTrail_blue,sc/characters.sc,smokeTrail_01_blue,6,45,450,650,110,15,TRUE,0,180,0,0,1,4,10,0,10,,,,650,1500,2500,TRUE,TRUE,,,,,,,,,,,,,,,,
,,smokeTrail_02_blue,3,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SmokeTrail_blue_long,sc/characters.sc,smokeTrail_01_blue,1,120,1500,2000,70,25,TRUE,0,180,0,0,1,4,10,-250,10,,,,2500,1500,2500,TRUE,TRUE,,,,,,,,,,,,,,,,
flickEffect_smoke_blue,sc/characters.sc,smokeTrail_01_blue,40,100,800,1400,90,10,TRUE,0,360,0,0,85,100,5000,0,250,,,,350,2000,2200,,,TRUE,,,,,,,,,,,,,,,
,,smokeTrail_02_blue,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
SmokeTrail_purple,sc/characters.sc,smokeTrail_01_purple,3,45,450,650,100,0,TRUE,0,180,0,0,1,4,10,0,10,,,,150,1500,1500,TRUE,TRUE,,,,,,,,,,,,,,,,
,,smokeTrail_02_purple,3,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
flickEffect_smoke_purple,sc/characters.sc,smokeTrail_01_purple,40,100,800,1400,90,10,TRUE,0,360,0,0,85,100,5000,0,250,,,,200,2000,2200,,,TRUE,,,,,,,,,,,,,,,
,,smokeTrail_02_purple,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
flickEffect_starDust_explode,sc/characters.sc,fx_pop_starRed_01,50,50,200,500,120,20,TRUE,0,360,,,150,300,3000,100,50,0,360,,500,300,1000,,,,true,,,TRUE,,,,,,,,,,,
,,fx_pop_starYellow_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flickEffect_starDust_long,sc/characters.sc,fx_pop_starYellow_01,3,300,1500,2500,80,10,TRUE,0,360,80,90,50,200,,,10,,,,10000,0,20000,TRUE,TRUE,,,TRUE,,TRUE,,,,,,,,,,,
,,fx_pop_starRed_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fx_pop_starYellow_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,fx_pop_starYellow_01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
specialAttack_A,sc/characters.sc,fx_pop_starBlue_01,10,500,200,800,10,30,TRUE,0,180,0,0,1,5,10,-1500,10,0,80,,700,3200,3200,TRUE,,,,,,TRUE,,,,,,,,,,,
specialAttack_B,sc/characters.sc,fx_pop_starBlue_01,1,500,200,800,40,70,TRUE,0,180,0,0,1,5,10,-800,10,0,80,,700,3200,3200,TRUE,,,,,,TRUE,,,,,,,,,,,
specialAttack_C,sc/characters.sc,fx_glowFlickerA,5,100,200,800,30,40,TRUE,0,360,0,0,1,20,10,0,0,0,80,,1800,1500,2000,TRUE,,,,,,TRUE,,,,,,,,,,,
specialAttack_strikes,sc/characters.sc,sfx_vertStrike,1,1,600,700,25,35,,0,360,0,0,0,0,10,0,10,0,360,TRUE,2000,0,0,TRUE,,,,,,TRUE,,,,,,,,,,,
specialAttack_D,sc/characters.sc,fx_starBlue_centerAnim,1,2,400,600,15,25,,0,360,0,0,0,0,0,0,0,0,360,TRUE,500,0,1000,TRUE,,,,,,TRUE,,,,,,,,,,,
specialAttack_E,sc/characters.sc,fx_starBlue_centerAnim,1,0,500,600,45,55,,0,360,0,0,0,0,0,0,0,0,360,TRUE,500,0,1000,TRUE,,,,,,TRUE,,,,,,,,,,,
fireball_ground_dark,sc/characters.sc,smokeTrail_01_redFire2,15,200,2000,4500,1,250,TRUE,0,360,85,90,20,3000,,-50,100,,,,5000,5000,20000,TRUE,,,,,,,,,,,,,,,,,
fireball_explosion_smoke1,sc/characters.sc,smokeTrail_01_redFire,50,150,500,2000,300,50,TRUE,0,360,0,20,20,50,4000,-100,100,,,,2500,4000,5000,TRUE,TRUE,,,,,,,,,,,,,,,,
,,smokeTrail_01_redFire2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,smokeTrail_01_redFire2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fireball_explosion_smoke_shadow,sc/characters.sc,smokeTrail_01_dark,40,50,500,2000,350,100,TRUE,0,360,0,20,20,50,-4000,100,100,,,,3000,4000,5000,TRUE,TRUE,,,,,,,,,,,,,,,,
fireball_impact_stone,sc/characters.sc,fx_stone,2,100,600,1000,60,20,TRUE,0,0,90,90,1500,1500,0,5000,,0,180,,200,10000,12000,,,,,TRUE,,,,,,,,,,,,,
fireball_impact_stone1,sc/characters.sc,fx_stone,3,100,500,1000,30,20,TRUE,0,0,90,90,1500,1500,0,5000,,-180,0,,200,10001,12001,,,,,TRUE,,,,,,,,,,,,,
fireball_impact_stoneBounce,sc/characters.sc,fx_stone,4,100,400,2600,60,20,TRUE,0,0,90,90,0,0,0,0,,0,0,,200,10002,12002,TRUE,,,,TRUE,,,,,,,,,,,,,
fireball_impact_stoneBounce2,sc/characters.sc,fx_stone,2,100,600,2600,30,10,TRUE,0,0,90,90,0,0,0,0,,0,0,,200,10003,12003,TRUE,,,,TRUE,,,,,,,,,,,,,
fireball_stone_explosion,sc/characters.sc,fx_stone,40,50,200,900,60,15,TRUE,0,360,88,90,4000,4000,0,4500,20,0,360,,600,2000,2000,TRUE,,,true,TRUE,,,,,,,,,,,,,
,,smokeTrail_01_redFire,,,1000,1800,100,35,TRUE,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,
fireball_specialAttack_strikes,sc/characters.sc,sfx_vertStrike_reverce,8,120,500,600,110,50,TRUE,0,360,0,90,5,5,10,0,10,0,360,TRUE,2000,0,0,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,
skull_fireball_trail_emitter,sc/characters.sc,fire_fx_anim_reverce,2,300,450,900,200,30,TRUE,0,360,,,0,50,,-50,10,,,,1000,500,1200,TRUE,TRUE,,,,,,,,,,,,,,,,
fireball_trail_emitter,sc/characters.sc,fire_fx_anim_reverce,2,100,450,900,200,30,TRUE,0,360,,,0,50,,-50,10,,,,1000,500,1200,TRUE,TRUE,,,,,,,,,,,,,,,,
fireball_aim_smoke,sc/characters.sc,smokeTrail_01,5,100,800,1400,90,10,TRUE,0,360,0,0,85,100,1000,0,250,,,,200,2000,2200,,,TRUE,,,,,,,,,,,,,,,
,,smokeTrail_02,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,smokeTrail_03,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
fireball_aim_smoke_shadow,sc/characters.sc,smokeTrail_01_dark,3,100,1200,1200,140,15,TRUE,0,360,0,0,85,100,-1000,0,250,,,,1400,2000,2200,,,TRUE,,,,,,,,,,,,,,,
princess_specialAttack_strikes,sc/characters.sc,sfx_vertStrike_reverce,5,120,150,250,80,30,TRUE,0,360,0,90,5,5,10,0,10,0,360,TRUE,2000,0,0,TRUE,TRUE,,,,,TRUE,,,,,,,,,,,
princess_specialAttack_sparks,sc/characters.sc,smokeTrail_01_redFire,6,50,350,800,40,15,TRUE,0,360,88,90,8000,15000,-12000,1500,20,0,360,,1000,10000,12000,TRUE,,,,,,TRUE,,,,,,,,,,,
genie_aim_smoke,sc/characters.sc,smokeTrail_01_blue,14,100,800,1400,120,20,TRUE,0,90,0,0,85,100,1000,0,250,,,,200,500,2200,,,TRUE,,,,,,,,,,,,,,,
,,smokeTrail_02_blue,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
aboy_speed,sc/characters.sc,fx_aboy_speed_02,3,3,350,500,70,15,,0,0,0,0,0,0,0,0,0,0,0,,10,0,0,,,,TRUE,,,,,,,,,,,,,,
speed_stone_explosion,sc/characters.sc,fx_stone,5,200,800,2000,50,10,TRUE,0,25,200,90,12000,2000,0,1500,150,0,360,,600,2000,2000,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,
laser_bar,sc/characters.sc,fx_mummy_light,1,1,1000,1000,100,100,,0,0,0,0,0,0,0,0,0,0,0,,200,0,0,TRUE,,,TRUE,,,,,,,,,,,,,,
laser_parts,sc/characters.sc,fx_flow_part,10,50,300,800,5,20,TRUE,0,360,0,0,5000,5000,0,0,200,,,,2000,2000,2000,TRUE,,,,,,,,,,,,,,,,,
lightning_strike,sc/characters.sc,fx_lightningStrike,1,1,600,600,100,100,,0,0,0,0,0,0,0,0,0,0,0,,200,0,0,TRUE,,,TRUE,,,,,,,,,,,,,,
impact_square_A,sc/characters.sc,fx_impactSquareA,1,1,500,500,95,110,,0,0,0,0,,,0,0,0,0,0,TRUE,500,,,,,,,,,,,,,,,,,,,,
impact_square_B,sc/characters.sc,fx_impactSquareA,1,1,200,200,20,100,,0,0,0,0,,,0,0,0,0,0,TRUE,100,,,,,TRUE,,,,,,,,,,,,,,,
impact_square_C,sc/characters.sc,fx_impactSquareA,1,1,200,200,50,100,,0,0,0,0,,,0,0,0,0,0,TRUE,100,,,,,TRUE,,,,,,,,,,,,,,,
mole_impact_stoneA,sc/characters.sc,fx_stoneBounce_red,2,100,1000,1000,60,40,TRUE,0,360,90,90,8000,20000,0,4000,48,0,0,,0,1500,4000,,,,,TRUE,,,,,,,,,,,,,
mole_impact_stoneB,sc/characters.sc,fx_stoneBounce_red,15,100,1000,1000,10,30,TRUE,0,360,90,90,1000,1000,0,5000,0,0,0,,0,15000,15000,,,,,TRUE,,,,,,,,,,,,,
mole_impact_stoneC,sc/characters.sc,fx_stoneBounce_red,2,100,1000,1000,20,30,TRUE,0,360,90,90,8000,20000,0,4000,48,0,0,,0,1500,3000,,,,,TRUE,,,,,,,,,,,,,
appear_A,sc/characters.sc,fx_pop_starBlue_01,10,500,200,800,10,30,TRUE,0,180,0,0,1,5,10,-1500,10,0,80,,700,3200,3200,TRUE,,,,,,TRUE,,,,,,,,,,,
appear_B,sc/characters.sc,fx_pop_starYellow_01,1,500,200,800,40,70,TRUE,0,180,0,0,1,5,10,-800,10,0,80,,700,3200,3200,TRUE,,,,,,TRUE,,,,,,,,,,,
appear_C,sc/characters.sc,fx_glowFlickerA,5,100,200,400,20,40,TRUE,0,360,0,0,1,20,10,0,0,0,80,,1800,1500,2000,TRUE,,,,,,TRUE,,,,,,,,,,,
appear_D,sc/characters.sc,fx_starBlue_centerAnim,1,2,200,400,15,25,,0,360,0,0,0,0,0,0,0,0,360,TRUE,500,0,1000,TRUE,,,,,,TRUE,,,,,,,,,,,
appear_E,sc/characters.sc,fx_starBlue_centerAnim,1,0,200,400,45,55,,0,360,0,0,0,0,0,0,0,0,360,TRUE,500,0,1000,TRUE,,,,,,TRUE,,,,,,,,,,,
