Name,TID,NameTID,InfoTID,NotificationTID,LaunchDate,EndDate,Enabled,IntervalDays,Type,DurationSeconds,OffsetAfterLaunch,ChestOrbReward,ExtraChestGoldReward,ExtraChestXPReward,ExtraGoldReward,ExtraXPReward,EventQuestData,EventQuestLeagueMin,OrbRewardChances,StartSound,ItemSWF,ItemExportName,IconSWF,IconExportName,StartEffect
,,,,,,,,,,,,,,,,,Event1PVP3,8,,,,,,,
Event Spooky 3,TID_EVENT_PVP_2,TID_EVENT_PVP_2_NAME,TID_EVENT_PVP_2_INFO,TID_EVENT_PVP_2_NOTIFICATION,2015-6-06,2030-1-1,TRUE,21,PVP,21600,0,,500,200,0,0,Event2PVP1,0,25,Smash event,sc/ui.sc,news_item,sc/map.sc,special_icon_mBoss,
,,,,,,,,,,,,,,,,,Event2PVP2,4,10,,,,,,
,,,,,,,,,,,,,,,,,Event2PVP3,8,,,,,,,
Event Bee 3,TID_EVENT_PVP_1,TID_EVENT_PVP_1_NAME,TID_EVENT_PVP_1_INFO,TID_EVENT_PVP_1_NOTIFICATION,2015-6-06,2030-1-1,TRUE,21,PVP,21600,43200,,500,200,0,0,Event1PVP1,0,25,Smash event,sc/ui.sc,news_item,sc/map.sc,special_icon_kBee,
,,,,,,,,,,,,,,,,,Event1PVP2,4,10,,,,,,
,,,,,,,,,,,,,,,,,Event1PVP3,8,,,,,,,
Event Ice 3,TID_EVENT_PVP_3,TID_EVENT_PVP_3_NAME,TID_EVENT_PVP_3_INFO,TID_EVENT_PVP_3_NOTIFICATION,2015-6-10,2030-1-1,TRUE,21,PVP,21600,0,,1000,200,9,9,Event3PVP1,0,25,Smash event,sc/ui.sc,news_item,sc/map.sc,special_icon_iceBoss,
,,,,,,,,,,,,,,,,,,,10,,,,,,
Event Spooky 4,TID_EVENT_PVP_2,TID_EVENT_PVP_2_NAME,TID_EVENT_PVP_2_INFO,TID_EVENT_PVP_2_NOTIFICATION,2015-6-10,2030-1-1,TRUE,21,PVP,21600,43200,,500,200,0,0,Event2PVP1,0,10,Smash event,sc/ui.sc,news_item,sc/map.sc,special_icon_mBoss,
,,,,,,,,,,,,,,,,,Event2PVP2,4,25,,,,,,
,,,,,,,,,,,,,,,,,Event2PVP3,8,,,,,,,
Event Bee 4,TID_EVENT_PVP_1,TID_EVENT_PVP_1_NAME,TID_EVENT_PVP_1_INFO,TID_EVENT_PVP_1_NOTIFICATION,2015-6-13,2030-1-1,TRUE,21,PVP,21600,0,,500,200,0,0,Event1PVP1,0,10,Smash event,sc/ui.sc,news_item,sc/map.sc,special_icon_kBee,
,,,,,,,,,,,,,,,,,Event1PVP2,4,25,,,,,,
,,,,,,,,,,,,,,,,,Event1PVP3,8,,,,,,,
Event Ice 4,TID_EVENT_PVP_3,TID_EVENT_PVP_3_NAME,TID_EVENT_PVP_3_INFO,TID_EVENT_PVP_3_NOTIFICATION,2015-6-13,2030-1-1,TRUE,21,PVP,21600,43200,,1000,200,9,9,Event3PVP1,0,25,Smash event,sc/ui.sc,news_item,sc/map.sc,special_icon_iceBoss,
,,,,,,,,,,,,,,,,,,,10,,,,,,
