TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR
TID_WITHOUT_BOOSTER,Standard,,,,,,,,,,,
TID_WITH_BOOSTER,with BOOSTER,,,,,,,,,,,
TID_BOOSTER_GIVES_YOU,Earn more XP!,,,,,,,,,,,
TID_ASSIGN_CHARACTER,Add to team,,,,,,,,,,,
TID_UNASSIGN_CHARACTER,Remove from team,,,,,,,,,,,
TID_ENTER_COST,Energy required,,,,,,,,,,,
TID_ENTER_REWARD,Reward,,,,,,,,,,,
TID_ENTER_LEVEL_HINT,Hint: Drag to change hero order,,,,,,,,,,,
TID_NOT_ENOUGH_RESOURCE,Not enough <resource>!,,,,,,,,,,,
TID_ENERGY,Energy,,,,,,,,,,,
TID_BUTTON_OKAY,Ok,,,,,,,,,,,
TID_BUTTON_CANCEL,Cancel,,,,,,,,,,,
TID_BUTTON_CONFIRM,Confirm,,,,,,,,,,,
TID_BUTTON_NO_THANKS,"No, thanks",,,,,,,,,,,
TID_QUIT_BATTLE_POPUP_TITLE,Quit battle?,,,,,,,,,,,
TID_QUIT_BATTLE_POPUP_TEXT,You will lose your progress in this level.,,,,,,,,,,,
TID_QUIT_BATTLE_POPUP_TEXT_PVP,You will lose the match.,,,,,,,,,,,
TID_QUIT_BATTLE_POPUP_TEXT_PVP_NO_MOVES,You will lose the match and gain no rewards.,,,,,,,,,,,
TID_PVP_END_SCREEN_ZERO_REWARDS,No rewards granted because of too many idle moves.,,,,,,,,,,,
TID_GIVE_NAME_TITLE,My name is...,,,,,,,,,,,
TID_NAME_INSTRUCTIONS,Please pick a name you like - you can't change it later!,,,,,,,,,,,
TID_CHARACTER_RANK,Level,,,,,,,,,,,
TID_CHARACTER_RANK_NUMBER,Level <number>,,,,,,,,,,,
TID_UPGRADING_CHARACTER_TITLE,Upgrading to level,,,,,,,,,,,
TID_UPGRADE_CHARACTER_TITLE,Upgrade to level,,,,,,,,,,,
TID_UPGRADE_CHARACTER_TITLE_MAX_RANK,Maximum Level,,,,,,,,,,,
TID_HERO_ON_MAXIMUM_RANK,Hero is on <c3>MAX LEVEL</c>!,,,,,,,,,,,
TID_ITEM_ON_MAXIMUM_LEVEL,Item is on <c3>MAX LEVEL</c>!,,,,,,,,,,,
TID_UNLOCK_CHARACTER_TITLE,Add hero to team?,,,,,,,,,,,
TID_REQUEST_HERO,Request Hero,,,,,,,,,,,
TID_RELEASE_BORROWED,Release Borrowed Hero,,,,,,,,,,,
TID_HP_BAR,Hitpoints,,,,,,,,,,,
TID_ATTACK_BAR,Attack,,,,,,,,,,,
TID_CHARACTER_INFO_WIZARD,"Wiz Grump is the grumpiest wizard in all the land... obviously.\n\nGreat at smashing and flinging fireballs but don't take him to parties.
",,,,,,,,,,,
TID_CHARACTER_INFO_ADVBOY,"Ever since Adventure Boy was a baby, he dreamed of becoming a hero.\n\nArmed with his trusty sword and speedy little boots, Adventure Boy is on the biggest adventure of his little life... almost as big as his head.",,,,,,,,,,,
TID_CHARACTER_INFO_SPACEG,"Lazer Girl crash landed into Smash Land many moons ago, she then hyper-traveled backwards into future space while inverting time inside our minds. She now exists in the present... maybe?\n\nLikes big open spaces, speed and pressing buttons.",,,,,,,,,,,
TID_CHARACTER_INFO_PRINCESS,"Princess Pow.\n\nLikes: Fighting fiendish foes, armwrestling and axe grinding\n\nHates: Vegetables and Romantic comedies.",,,,,,,,,,,
TID_CHARACTER_INFO_MUMMY,"Lost in the desert for hundreds of years, Mini Mummé is back with vengence.\n\nHer quest is simple... defeat the Skull King and free her land.\n\nShe likes gold, loves milk and has the command of the sun. Allergic to cats.",,,,,,,,,,,
TID_CHARACTER_INFO_PIRATE,"Captain Smash always seems to lose his ship. Last seen, it was stuck in the desert.\n\nSpeaking of desert, he loves dessert. Carrot cake is his favorite.\n\nCollects treasure maps and gold teeth.",,,,,,,,,,,
TID_CHARACTER_INFO_TNT,"Yes, he is a wooden barrel with eyes... but don't let that fool you, Buster is jam packed with highly explosive TNT!\n\nUnpredictable and hyperactive, don't leave him in charge of the BBQ!",,,,,,,,,,,
TID_CHARACTER_INFO_FAIRY,Elo looks cute but she packs a punch!\n\nThis fun loving fairy was raised by mushrooms in a fairytale.\n\n Always mending broken hearts.,,,,,,,,,,,
TID_CHARACTER_INFO_GENIE,"Wow!, now that is a mustache. Zalla Zam is a three thousand year old genie and owns about the same amount of hats. Loves hats, always flinging them around and hiding in them.\n\nAdvice: Never, ever... ever ask for wishes. In fact, don't even think about them... stop it!",,,,,,,,,,,
TID_CHARACTER_INFO_YETI,"Big, bashful, huggable and lives in a cave made of ice cream.\n\nLumimi lives a simple life and loves sleeping. There is nothing he loves more, than snuggling up in his freezing ice cube bed and drifting off to the sounds of ice shards cracking.\n\n Professional snowball fighter.",,,,,,,,,,,
TID_REPLAY_REPLAY,Replay,,,,,,,,,,,
TID_SPEEDUP_UGRADE_FOR_MATCH_HEADER,Hero upgrade in progress,,,,,,,,,,,
TID_SPEEDUP_UGRADE_FOR_MATCH_TEXT,Do you want to speed up this upgrade and use your upgraded hero in the battle?,,,,,,,,,,,
TID_SPEEDUP_UGRADE_HEADER,Upgrade already in progress,,,,,,,,,,,
TID_SPEEDUP_UGRADE_TEXT,Complete current hero upgrade?,,,,,,,,,,,
TID_BUY_ENERGY_REFILL_HEADER,Refill Energy?,,,,,,,,,,,
TID_BUY_ENERGY_REFILL_TEXT,Fill energy using Diamonds?,,,,,,,,,,,
TID_BUY_MISSING_ENERGY_HEADER,Buy missing energy,,,,,,,,,,,
TID_BUY_MISSING_ENERGY_TEXT,Buy missing energy using Diamonds?,,,,,,,,,,,
TID_BUY_ENERGY_PACK_HEADER,Increase Max Energy?,,,,,,,,,,,
TID_BUY_ENERGY_PACK_TEXT,Increase your maximum energy to <num> and refill your energy?,,,,,,,,,,,
TID_BUY_REBUY_SPELLS_HEADER,Buy spells,,,,,,,,,,,
TID_BUY_REBUY_SPELLS_TEXT,Create same set of spells as last time?\n\nSpells:,,,,,,,,,,,
TID_BUY_BOOSTER_HEADER,Buy XP Booster,,,,,,,,,,,
TID_BUY_XP_BOOSTER_MULTIPLE_DAYS1,<c3>Double</c> your <c3>XP</c> earnings for <c3><time> days</c>,,,,,,,,,,,
TID_BUY_XP_BOOSTER_MULTIPLE_DAYS_UPGRADE1,<c3>Double</c> your <c3>XP</c> earnings for <c3><time> days</c>! This will upgrade your current XP Booster.,,,,,,,,,,,
TID_BUY_XP_BOOSTER_MULTIPLE_DAYS2,Earn <c3>2.5</c> times <c3>XP</c> for <c3><time> days</c>,,,,,,,,,,,
TID_BUY_XP_BOOSTER_MULTIPLE_DAYS_UPGRADE2,Earn <c3>2.5</c> times <c3>XP</c> for <c3><time> days</c>! This will upgrade your current XP Booster.,,,,,,,,,,,
TID_BUY_XP_BOOSTER_MULTIPLE_DAYS3,<c3>Triple</c> your <c3>XP</c> earnings for <c3><time> days</c>,,,,,,,,,,,
TID_BUY_XP_BOOSTER_MULTIPLE_DAYS_UPGRADE3,<c3>Triple</c> your <c3>XP</c> earnings for <c3><time> days</c>! This will upgrade your current XP Booster.,,,,,,,,,,,
TID_BUY_MISSING_RESOURCES_HEADER,Buy missing resources,,,,,,,,,,,
TID_BUY_MISSING_RESOURCES_TEXT,Buy missing resources using Diamonds?,,,,,,,,,,,
TID_DIAMONDS_BOUGHT_SUCCESSFULLY,<number> Diamonds received!,,,,,,,,,,,
TID_LEVEL_INFO_BATTLES,Battles <number>,,,,,,,,,,,
TID_LEVEL_INFO_BATTLES_SINGLE,One battle,,,,,,,,,,,
TID_LEVEL_INFO_NEW,New,,,,,,,,,,,
TID_SHOP_NEW,New,,,,,,,,,,,
TID_RESOURCE_BUY_CONFIRMATION,Resources received!,,,,,,,,,,,
TID_ERROR_POP_UP_SERVER_ERROR_VERSION_TITLE,Server Error,,,,,,,,,,,
TID_ERROR_POP_UP_SERVER_ERROR_VERSION_BUTTON,OK,,,,,,,,,,,
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE,Update available!,,,,,,,,,,,
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION,New version of game available.,,,,,,,,,,,
TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON,Update,,,,,,,,,,,
TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE,Anyone there?,,,,,,,,,,,
TID_ERROR_POP_UP_AUTO_DISCONNECTED,Click the button below to reload the game.,,,,,,,,,,,
TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON,Reload game,,,,,,,,,,,
TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE,Error!,,,,,,,,,,,
TID_ERROR_POP_UP_OUT_OF_SYNC,Client and server are out of sync!,,,,,,,,,,,
TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON,Reload game,,,,,,,,,,,
TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE,Maintenance break,,,,,,,,,,,
TID_ERROR_POP_UP_SERVER_MAINTENANCE,"Sorry, the servers are under maintenance. Please try again later.",,,,,,,,,,,
TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON,Try again,,,,,,,,,,,
TID_ERROR_POP_UP_BANNED_TITLE,You have been banned!,,,,,,,,,,,
TID_ERROR_POP_UP_BANNED,You have been banned temporarily,,,,,,,,,,,
TID_ERROR_POP_UP_BANNED_BUTTON,Okay,,,,,,,,,,,
TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE,Connection error,,,,,,,,,,,
TID_ERROR_POP_UP_CONNECTION_FAILED,Unable to connect with the server. Check your internet connection and try again.,,,,,,,,,,,
TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON,Try again,,,,,,,,,,,
TID_ERROR_POP_UP_CONNECTION_LOST_TITLE,Connection lost,,,,,,,,,,,
TID_ERROR_POP_UP_CONNECTION_LOST,You have lost connection with the server. Check your internet connection and try again.,,,,,,,,,,,
TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON,Try again,,,,,,,,,,,
TID_ERROR_POP_UP_LOGIN_FAILED_TITLE,Login failed,,,,,,,,,,,
TID_ERROR_POP_UP_LOGIN_FAILED,Please try again later.,,,,,,,,,,,
TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON,Try again,,,,,,,,,,,
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE,Connection lost,,,,,,,,,,,
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE,Another device is connecting to this account.,,,,,,,,,,,
TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON,Reload,,,,,,,,,,,
TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE,Purchase failed,,,,,,,,,,,
TID_ERROR_POP_UP_PURCHASE_FAILED,Billing server not responding. Please try again later.,,,,,,,,,,,
TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON,Ok,,,,,,,,,,,
TID_PURCHASE_LIMIT_TITLE,Confirm Purchase,,,,,,,,,,,
TID_PURCHASE_LIMIT_TEXT,"To avoid accidental purchases, you'll be able to buy again in <TIME>",,,,,,,,,,,
TID_CONFIRM_INSTRUCTIONS,Please type in \q<CONFIRM>\q and press the Confirm button to purchase <ITEM> for <PRICE>.,,,,,,,,,,,
TID_CONFIRM_WORD,CONFIRM,,,,,,,,,,,
TID_BATTLE_START_TEXT,Battle <number> / <number2>,,,,,,,,,,,
TID_REPLAY_BUTTON,Replay,,,,,,,,,,,
TID_MYSTERY,?,,,,,,,,,,,
TID_MOVES_USED,Moves,,,,,,,,,,,
TID_NEW_RECORD,New Record!,,,,,,,,,,,
TID_BATTLE_END_OLD_RECORD,Best <number>,,,,,,,,,,,
TID_BEST,Best,,,,,,,,,,,
TID_MUSHROOM_LAND,Mushroom Land,,,,,,,,,,,
TID_MYSTERY_FOREST,Mystery Forest,,,,,,,,,,,
TID_COWBOY_LAND,Bonus World,,,,,,,,,,,
TID_UNLOCKED_FROM,Unlocked from,,,,,,,,,,,
TID_QUEST_INFO_BEST_SCORE,Best <number>,,,,,,,,,,,
TID_QUESTIONMARKS,Level 1,,,,,,,,,,,
TID_STARS_REQUIRED,Stars required:,,,,,,,,,,,
TID_HUD_MOVE,move,,,,,,,,,,,
TID_HUD_MOVES,moves,,,,,,,,,,,
TID_AVAILABLE_FOR_HIRE,Available for <c4>HIRE!</c>,,,,,,,,,,,
TID_AVAILABLE,Available for HIRE!,,,,,,,,,,,
TID_HIRE,Hire,,,,,,,,,,,
TID_HERO_NOW,Hero now,,,,,,,,,,,
TID_ADDED_TO_YOUR_TEAM,Added to your team!,,,,,,,,,,,
TID_HERO_UPGRADED,Upgraded to Level,,,,,,,,,,,
TID_UNLOCK_SPECIAL_TITLE,Hero POWER unlocked!,,,,,,,,,,,
TID_UNLOCK_PASSIVE_TITLE,Hero ABILITY unlocked!,,,,,,,,,,,
TID_GAIN_BONUS_ENERGY,You found Energy!,,,,,,,,,,,
TID_GAIN_BONUS_DIAMOND,You found a Diamond!,,,,,,,,,,,
TID_COME_BACK_NOTIFICATION_SMALL,Let's get ready to... SMASH!,,,,,,,,,,,
TID_COME_BACK_NOTIFICATION_MEDIUM,Eeek!... spiders... so many spiders!,,,,,,,,,,,
TID_COME_BACK_NOTIFICATION_LARGE,Is it axe time already?,,,,,,,,,,,
TID_LOCAL_NOTIFICATION_YOU_HAVE_FULL_ENERGY,Your Energy has refilled! Time to Smash!,,,,,,,,,,,
TID_LOCAL_NOTIFICATION_MAP_CHESTS_AVAILABLE1,Are those treasure chests floating in the water!?,,,,,,,,,,,
TID_LOCAL_NOTIFICATION_MAP_CHESTS_AVAILABLE2,Free treasure floating in the water!,,,,,,,,,,,
TID_LOCAL_NOTIFICATION_MAP_CHESTS_AVAILABLE3,3 treasure chests floating in the water?!,,,,,,,,,,,
TID_LOCAL_NOTIFICATION_MAP_CHESTS_AVAILABLE4,Quick! Collect the treasure floating in the water!,,,,,,,,,,,
TID_LOCAL_NOTIFICATION_UPGRADE_FINISHED,Hero upgrade finished! <name> is now Level <num>,,,,,,,,,,,
TID_LOCAL_NOTIFICATION_UPGRADE_FINISHED_ABILITY,<name> upgraded to Level <num>. Hero ability unlocked!,,,,,,,,,,,
TID_LOCAL_NOTIFICATION_SHIP_RETURNED,Treasure Hunt has finished! Come claim your rewards!,,,,,,,,,,,
TID_LOCAL_NOTIFICATION_SHIP_UPGRADE_FINISHED,Ship Upgrade finished!,,,,,,,,,,,
TID_TIP,Tip:,,,,,,,,,,,
TID_TIP1_FLING,Drag from anywhere!,,,,,,,,,,,
TID_TIP_COMBO_CHARGE,Charge your hero's special ability with every bounce,,,,,,,,,,,
TID_TIP_3,3,,,,,,,,,,,
TID_TIP_2,2,,,,,,,,,,,
TID_TIP_1,1,,,,,,,,,,,
TID_SLING_YOUR_CHARACTER,Drag to fling your hero!,,,,,,,,,,,
TID_ATTACK_PVP,Attack the hero imposters!,,,,,,,,,,,
TID_HIT_COUNTER,Hits <num1>/<num2>,,,,,,,,,,,
TID_HIT_COUNTER_INACTIVE,<num1>/<num2>,,,,,,,,,,,
TID_BUTTON_BOOSTERS,Boosters,,,,,,,,,,,
TID_ITEM_SELECTION_TITLE,Select Boosters,,,,,,,,,,,
TID_ITEM_LEVEL,Level <num>,,,,,,,,,,,
TID_BUTTON_SELECT_ITEMS,Select,,,,,,,,,,,
TID_CHAR_SELECTION_TITLE,Switch hero,,,,,,,,,,,
TID_CHAR_SELECTION_HELP,Select <number> more,,,,,,,,,,,
TID_BUTTON_EDIT_TEAM,Edit,,,,,,,,,,,
TID_BUTTON_CHARACTERS,Team,,,,,,,,,,,
TID_BUTTON_ITEMS,Items,,,,,,,,,,,
TID_VERSUS_MP_END,VICTORY,,,,,,,,,,,
TID_VERSUS_WINNER,<name> wins,,,,,,,,,,,
TID_VERSUS_SCORE,SCORE,,,,,,,,,,,
TID_VERSUS_SCORE_NUMBER,<num1> - <c2><num2></c>,,,,,,,,,,,
TID_PLAYER_1,Player 1,,,,,,,,,,,
TID_PLAYER_2,Player 2,,,,,,,,,,,
TID_VERSUS_LABEL,VERSUS,,,,,,,,,,,
TID_VERSUS_ENEMIES_LEFT,enemies left,,,,,,,,,,,
TID_VERSUS_ENEMY_LEFT,enemy left,,,,,,,,,,,
TID_VS_BATTLE,VS BATTLE,,,,,,,,,,,
TID_VS_WIN_BY_KNOCKOUT,BY KNOCKOUT,,,,,,,,,,,
TID_EPIC_FAIL1,FAILED TO HIT ENEMY,,,,,,,,,,,
TID_EPIC_FAIL2,All enemies lose hitpoints,,,,,,,,,,,
TID_WAIT_FOR_ENEMY,Opponent is aiming. Please wait!,,,,,,,,,,,
TID_LIST_RARE_ITEMS,Rare Items,,,,,,,,,,,
TID_YOU_START,You Go First!,,,,,,,,,,,
TID_YOUR_TURN,Your Turn,,,,,,,,,,,
TID_REPLAY_TURN,<name>'s Turn,,,,,,,,,,,
TID_REPLAY_START,<name> Starts,,,,,,,,,,,
TID_OPPONENT_TURN,Enemy Starts,,,,,,,,,,,
TID_WAITING_FOR_ENEMY,Searching for an opponent...,,,,,,,,,,,
TID_CANCELING_SEARCH,Stopping search...,,,,,,,,,,,
TID_OUT_OF_TIME,OUT OF TIME,,,,,,,,,,,
TID_HURRY_UP,HURRY UP!,,,,,,,,,,,
TID_QUEST_FOREST,Smash Land,,,,,,,,,,,
TID_QUEST_FOREST2,Mystery Forest,,,,,,,,,,,
TID_QUEST_FOREST3,Quarter Acre Woods,,,,,,,,,,,
TID_QUEST_FOREST4,Riverbed Rally,,,,,,,,,,,
TID_QUEST_FOREST5,Undiscovered Woodlands,,,,,,,,,,,
TID_QUEST_FOREST_BEE_BOSS,King Bees Hive,,,,,,,,,,,
TID_QUEST_FOREST_WIZARD,Magic Hollow,,,,,,,,,,,
TID_QUEST_FOREST_PRINCESS,Axeville,,,,,,,,,,,
TID_QUEST_DESERT,Sandy Shores,,,,,,,,,,,
TID_QUEST_DESERT2,Sinking Sands,,,,,,,,,,,
TID_QUEST_DESERT3,Sandstone Dunes,,,,,,,,,,,
TID_QUEST_DESERT4,Lost Ruins,,,,,,,,,,,
TID_QUEST_DESERT5,Skull Rock,,,,,,,,,,,
TID_QUEST_DESERT_MUMMY,Mummy Valley,,,,,,,,,,,
TID_QUEST_DESERT_PIRATE,Pirate Cove,,,,,,,,,,,
TID_QUEST_SPOOKY,Bat Swamps,,,,,,,,,,,
TID_QUEST_SPOOKY2,Spider Marsh,,,,,,,,,,,
TID_QUEST_SPOOKY3,Desolate Bog,,,,,,,,,,,
TID_QUEST_SPOOKY4,Fungi Forest,,,,,,,,,,,
TID_QUEST_SPOOKY4B,Webbed Woods,,,,,,,,,,,
TID_QUEST_SPOOKY5,Owl's Nest,,,,,,,,,,,
TID_QUEST_SPOOKY6,Creaky Hollow,,,,,,,,,,,
TID_QUEST_SPOOKY7,Gloomy Valley,,,,,,,,,,,
TID_QUEST_SPOOKY7B,Peat Bog,,,,,,,,,,,
TID_QUEST_SPOOKY8,Mushroom Caverns,,,,,,,,,,,
TID_QUEST_FOREST2_1,Greenwood,,,,,,,,,,,
TID_QUEST_FOREST2_2,Dark Thicket,,,,,,,,,,,
TID_QUEST_FOREST2_3,Woodside Valley,,,,,,,,,,,
TID_QUEST_FOREST2_4,Trunk Woods,,,,,,,,,,,
TID_QUEST_FOREST2_5,Pine Barrens,,,,,,,,,,,
TID_QUEST_FOREST2_6,Blue Springs,,,,,,,,,,,
TID_QUEST_FOREST2_7,Backwoods Brawl,,,,,,,,,,,
TID_QUEST_FOREST2_8,Bee Kingdom,,,,,,,,,,,
TID_QUEST_DESERT2_1,Arid Sands,,,,,,,,,,,
TID_QUEST_DESERT2_2,Sandy Ridges,,,,,,,,,,,
TID_QUEST_DESERT2_3,Drifting Dunes,,,,,,,,,,,
TID_QUEST_DESERT2_4,Savage Lands,,,,,,,,,,,
TID_QUEST_DESERT2_5,Pyramid Desert,,,,,,,,,,,
TID_QUEST_DESERT2_6,Hidden Oasis,,,,,,,,,,,
TID_QUEST_DESERT2_7,Tumble Dunes,,,,,,,,,,,
TID_QUEST_DESERT2_8,Sand Pit,,,,,,,,,,,
TID_QUEST_SPOOKY2_1,Whispy Willows,,,,,,,,,,,
TID_QUEST_SPOOKY2_2,Mystery Swamp,,,,,,,,,,,
TID_QUEST_SPOOKY2_3,Spooky Land,,,,,,,,,,,
TID_QUEST_SPOOKY2_4,Smash Marsh,,,,,,,,,,,
TID_QUEST_SPOOKY2_5,Hoots Hollow,,,,,,,,,,,
TID_QUEST_SPOOKY2_6,Dark Woods,,,,,,,,,,,
TID_QUEST_SPOOKY2_7,Forgotten Valley,,,,,,,,,,,
TID_QUEST_SPOOKY2_8,Dank Damp,,,,,,,,,,,
TID_QUEST_ICE,Glassy Peak,,,,,,,,,,,
TID_QUEST_ICE2,Frosty Mountains,,,,,,,,,,,
TID_QUEST_MUSHROOM,Mushy Land,,,,,,,,,,,
TID_QUEST_PVP_AI,HAL 9000,,,,,,,,,,,
TID_QUEST_PVP,Multiplayer,,,,,,,,,,,
TID_TIME_D_H,<D>d <H>h,,,,,,,,,,,
TID_TIME_H_M,<H>h <M>m,,,,,,,,,,,
TID_TIME_H_M_S,<H>h <M>m <S>s,,,,,,,,,,,
TID_TIME_H,<H>h,,,,,,,,,,,
TID_TIME_M_S,<M>m <S>s,,,,,,,,,,,
TID_TIME_M,<M>m,,,,,,,,,,,
TID_TIME_S,<S>s,,,,,,,,,,,
TID_NEXT_ENERGY,Next Energy in:,,,,,,,,,,,
TID_ENERGY_NONE,None,,,,,,,,,,,
TID_XP_LEVEL,Level,,,,,,,,,,,
TID_XP_POINTS,<c3>XP</c> <number>,,,,,,,,,,,
TID_UNLOCKS_AT_LEVEL,Unlocks at\n<c3>XP Level <number></c>,,,,,,,,,,,
TID_UNLOCKS_AT_LEVEL_NO_LINEBREAK,Unlocks at <c3>XP Level <number></c>,,,,,,,,,,,
TID_UNLOCKS_AT_QUEST,Unlocks after <c3><name> </c>,,,,,,,,,,,
TID_UNLOCKS_AT_RANK,Unlocks at <c3>Lvl <number></c>,,,,,,,,,,,
TID_UNLOCKS_AT_RANK_PLAIN,Unlocks at Lvl <number>,,,,,,,,,,,
TID_MULTIPLAYER_UNLOCKS_AT_LEVEL,Unlocks at\n<c3>XP Level <number></c>,,,,,,,,,,,
TID_MAX_CHARACTER_RANK,Max Level,,,,,,,,,,,
TID_CHARACTER_UPGRADE_LOCKED,Next upgrade at\n<c3>XP Level <number></c>,,,,,,,,,,,
TID_CHARACTER_UPGRADE_LOCKED_QUEST,Complete <c3> <name> </c> first,,,,,,,,,,,
TID_GAIN_BONUS_COIN,You found Gold!,,,,,,,,,,,
TID_TIE,Tie,,,,,,,,,,,
TID_BONUS_GOLD_SINGLE,Gold <num>,,,,,,,,,,,
TID_TEAM_SIZE_TOO_SMALL,You need to unlock 3 characters to play Multiplayer!,,,,,,,,,,,
TID_QUEST_ITEM_PLAY,Play,,,,,,,,,,,
TID_WINNING_TEAM,Winning Team:,,,,,,,,,,,
TID_MULTIPLAYER_TITLE,Multiplayer,,,,,,,,,,,
TID_CHALLENGE,Challenge,,,,,,,,,,,
TID_WIN_BONUS,,,,,,,,,,,,
TID_REWARD_LOSE,You got:,,,,,,,,,,,
TID_YOU,You,,,,,,,,,,,
