Name,Sound,MinVolume,MaxVolume,MinPitch,MaxPitch,Priority,MaximumByType,Loop,PlayVariationsInSequence,PlayVariationsInSequenceManualReset,StartDelayMinMs,StartDelayMaxMs,PlayOnlyWhenInView,MaxVolumeScaleLimit,NoSoundScaleLimit,PadEmpyToEndMs
Princess dialog 1,sfx/princess_dialog_01.wav,60,60,98,102,1,1,,,,,,,,,
Princess dialog 2,sfx/princess_dialog_02.wav,60,60,98,102,1,1,,,,,,,,,
Princess dialog 3,sfx/princess_dialog_02.wav,60,60,98,102,1,1,,,,,,,,,
prince shoot,sfx/prince_fire_01v2.wav,50,50,98,102,1,1,,,,30,60,,,,
,sfx/prince_fire_03v2.wav,50,50,98,102,1,1,,,,30,60,,,,
,sfx/prince_fire_04v2.wav,50,50,98,102,1,1,,,,30,60,,,,
prince hurt,sfx/prince_hurt_01v2.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/prince_hurt_02v2.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/prince_hurt_03v2.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/prince_hurt_04v2.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/prince_hurt_05v2.wav,50,60,98,102,1,1,,,,30,60,,,,
adventureboy shoot,sfx/adventure_boy_fire_01.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_fire_01.wav,1,1,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_fire_02.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_fire_05.wav,1,1,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_fire_03.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_fire_03.wav,1,1,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_fire_05.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_fire_05.wav,1,1,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_fire_06.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_fire_07.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_fire_04.wav,50,60,98,102,1,1,,,,30,60,,,,
adventureboy hurt,sfx/adventure_boy_hurt_01.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_hurt_02.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_hurt_03.wav,50,60,98,102,1,1,,,,30,60,,,,
,sfx/adventure_boy_hurt_04.wav,50,60,98,102,1,1,,,,,,,,,
,sfx/adventure_boy_hurt_05.wav,50,60,98,102,1,1,,,,,,,,,
,sfx/adventure_boy_hurt_06.wav,50,60,98,102,1,1,,,,,,,,,
,sfx/adventure_boy_hurt_07.wav,50,60,98,102,1,1,,,,30,60,,,,
adventureboy helmet,sfx/adv_boy_helmet_close_02.wav,30,30,98,102,1,1,,,,,,,,,
adventureboy special,sfx/adventure_boy_special_05.wav,70,70,98,102,1,1,,,,,,,,,
mummy shoot,sfx/mummy_attack_01.wav,43,43,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/mummy_attack_02.wav,43,43,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/mummy_attack_03.wav,43,43,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/mummy_attack_04.wav,43,43,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/mummy_attack_05.wav,43,43,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/mummy_attack_06.wav,43,43,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/mummy_attack_07.wav,43,43,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
mummy hurt,sfx/mummy_hurt_01.wav,45,45,98,102,1,1,,,,,,,,,
,sfx/mummy_hurt_02.wav,45,45,98,102,1,1,,,,,,,,,
,sfx/mummy_hurt_03.wav,45,45,98,102,1,1,,,,,,,,,
,sfx/mummy_hurt_04.wav,45,45,98,102,1,1,,,,,,,,,
,sfx/mummy_hurt_05.wav,45,45,98,102,1,1,,,,,,,,,
,sfx/mummy_hurt_06.wav,45,45,98,102,1,1,,,,,,,,,
,sfx/mummy_hurt_07.wav,45,45,98,102,1,1,,,,,,,,,
mummy dialog 01,sfx/mummy_wlc_diag_01.wav,50,50,98,102,1,1,,,,,,,,,
mummy dialog 04,sfx/mummy_wlc_diag_02.wav,50,50,98,102,1,1,,,,,,,,,
mummy dialog 02,sfx/mummy_lose_diag_01.wav,50,50,98,102,1,1,,,,,,,,,
mummy dialog 03,sfx/mummy_win_diag_01.wav,50,50,98,102,1,1,,,,,,,,,
geenie shoot,sfx/genie_fire_01.wav,45,45,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/genie_fire_02.wav,50,50,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/genie_fire_03.wav,50,50,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/genie_fire_04.wav,50,50,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
geenie hurt,sfx/genie_hurt_01.wav,50,50,98,102,1,2,,,,,,,,,
,sfx/genie_hurt_02.wav,50,50,98,102,1,2,,,,,,,,,
,sfx/genie_hurt_03.wav,50,50,98,102,1,2,,,,,,,,,
,sfx/genie_hurt_04.wav,50,50,98,102,1,2,,,,,,,,,
yeti shoot,sfx/yeti_shoot_01.wav,60,60,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/yeti_shoot_02.wav,60,60,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/yeti_shoot_03.wav,60,60,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/yeti_shoot_04.wav,60,60,98,102,1,2,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
yeti hurt,sfx/yeti_hurt_01.wav,60,60,98,102,1,2,,,,,,,,,
,sfx/yeti_hurt_02.wav,60,60,98,102,1,2,,,,,,,,,
,sfx/yeti_hurt_03.wav,60,60,98,102,1,2,,,,,,,,,
,sfx/yeti_hurt_04.wav,60,60,98,102,1,2,,,,,,,,,
yeti throw,sfx/yeti_throw_03.wav,60,60,98,102,1,2,,,,,,,,,
fairy special,sfx/fairy_fire_02.wav,50,55,95,105,1,5,,,,,,,,,
fairy drawback,sfx/fairy_drawback_01.wav,40,40,100,100,1,2,,,,,,,,,
fairy ring,sfx/fairy_ring_loop_01.wav,50,50,100,100,1,1,,,,,,,,,
fairy leech,sfx/fairy_leech_01.wav,60,60,100,100,1,2,,,,,,,,,
fairy shoot,sfx/fairy_attack_01.wav,45,55,98,102,1,1,,,,30,60,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,30,60,,,,
,sfx/fairy_attack_02.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/fairy_attack_03.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/fairy_attack_04.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/fairy_attack_05.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/fairy_attack_06.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/fairy_attack_07.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/fairy_attack_08.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
fairy hurt,sfx/fairy_hurt_01.wav,45,55,98,102,1,1,,,,30,60,,,,
,sfx/fairy_hurt_02.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fairy_hurt_03.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fairy_hurt_04.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fairy_hurt_05.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fairy_hurt_06.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fairy_hurt_07.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fairy_hurt_08.wav,45,55,98,102,1,1,,,,,,,,,
,sfx/fairy_hurt_09.wav,45,55,98,102,1,1,,,,,,,,,
spacegirl special,sfx/mushboss_land_01.wav,70,70,95,105,1,5,,,,,,,,,
spacegirl shoot,sfx/princess_fire_02v2.wav,50,60,98,102,1,2,,,,30,60,,,,
,sfx/princess_fire_03v2.wav,50,60,98,102,1,2,,,,30,60,,,,
,sfx/princess_fire_04v2.wav,50,60,98,102,1,2,,,,30,60,,,,
spacegirl hurt,sfx/princess_hurt_01v2.wav,50,60,98,102,1,1,,,,30,60,,,,
pirate shoot,sfx/pirate_fire_01.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/pirate_fire_02.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/pirate_fire_03.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/pirate_fire_04.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/pirate_fire_05.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/pirate_fire_06.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/pirate_fire_07.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/pirate_fire_08.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/pirate_fire_09.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/pirate_fire_10.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
pirate special,sfx/pirate_cannon_fire_02.wav,70,70,95,105,1,5,,,,,,,,,
pirate hurt,sfx/pirate_hurt_01.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/pirate_hurt_02.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/pirate_hurt_03.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/pirate_hurt_04.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/pirate_hurt_05.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/pirate_hurt_06.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/pirate_hurt_07.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/pirate_hurt_08.wav,40,50,98,102,1,1,,,,30,60,,,,
,sfx/pirate_hurt_09.wav,40,50,98,102,1,1,,,,30,60,,,,
Pirate dialog 1,sfx/pirate_dialog_01.wav,50,50,98,102,1,1,,,,,,,,,
Pirate dialog 2,sfx/pirate_dialog_02.wav,50,50,98,102,1,1,,,,,,,,,
Pirate dialog 3,sfx/pirate_dialog_03.wav,50,50,98,102,1,1,,,,,,,,,
barrel shoot,sfx/barrel_fire_01.wav,50,50,98,102,1,1,,,,30,60,,,,
,sfx/fire_ball_08v2.wav,1,1,100,100,3,1,,,,,,,,,
,sfx/barrel_fire_02.wav,50,50,98,102,1,1,,,,30,60,,,,
barrel hurt,sfx/barrel_hurt_01.wav,50,50,98,102,1,1,,,,30,60,,,,
,sfx/barrel_hurt_02.wav,50,50,98,102,1,1,,,,30,60,,,,
Barrel special draw,sfx/barrel_drawback_04.wav,40,40,98,102,1,1,TRUE,,,,,,,,
Barrel special fire,sfx/barrel_special_04.wav,60,60,98,102,1,1,,,,,,,,,
Barrel dynamite,sfx/drop_dynamite_01.wav,60,60,98,102,1,1,,,,,,,,,
mummy special,sfx/mummy_special_02.wav,70,70,98,102,1,2,,,,,,,,,
Button Pressed Down,sfx/menu_click_02v2.wav,46,46,98,102,1,3,,,,,,,,,
Button Press Release,sfx/menu_click_03v2.wav,46,46,98,102,1,3,,,,,,,,,
Enemy Last Hit,sfx/enemy_last_hit_05.wav,50,50,100,100,1,1,,,,80,150,,,,
Level start,sfx/life_level_start_01.wav,40,30,100,100,1,1,,,,,,,,,
Hit Tree,sfx/tree_hit_01.wav,25,35,95,105,2,4,,,,,,,,,
Life combo x3,sfx/ball_combo_01.wav,25,25,100,100,1,30,,,,180,180,,,,
Life combo x4,sfx/ball_combo_02.wav,25,25,100,100,1,30,,,,200,200,,,,
Life combo x5,sfx/ball_combo_03.wav,25,25,100,100,1,30,,,,220,220,,,,
Life combo x6,sfx/ball_combo_04.wav,25,25,100,100,1,30,,,,240,240,,,,
Life combo x7,sfx/ball_combo_05.wav,25,25,100,100,1,30,,,,260,260,,,,
Life combo x8,sfx/ball_combo_06.wav,25,25,100,100,1,30,,,,280,280,,,,
Life combo x9,sfx/ball_combo_07.wav,25,25,100,100,1,30,,,,300,300,,,,
Life combo x10,sfx/ball_combo_08.wav,25,25,100,100,1,30,,,,320,320,,,,
Life combo x11,sfx/ball_combo_09.wav,25,25,100,100,1,30,,,,340,340,,,,
Life combo x12,sfx/ball_combo_10.wav,25,25,100,100,1,30,,,,360,360,,,,
Life combo x13,sfx/ball_combo_11.wav,25,25,100,100,1,30,,,,380,380,,,,
Life combo x14,sfx/ball_combo_12.wav,25,25,100,100,1,30,,,,400,400,,,,
Life combo x15,sfx/ball_combo_13.wav,25,25,100,100,1,30,,,,420,420,,,,
Life combo x16,sfx/ball_combo_14.wav,25,25,100,100,1,30,,,,440,440,,,,
Life combo x17,sfx/ball_combo_15v2.wav,25,25,100,100,1,30,,,,460,460,,,,
Life combo x18,sfx/ball_combo_15v2.wav,25,25,100,100,1,30,,,,480,480,,,,
Life combo x19,sfx/ball_combo_15v2.wav,25,25,100,100,1,30,,,,500,500,,,,
Life combo x20,sfx/ball_combo_15v2.wav,25,25,100,100,1,30,,,,520,520,,,,
Life combo x21,sfx/ball_combo_15v2.wav,25,25,100,100,1,30,,,,540,540,,,,
Boulder Attack,sfx/boulder_roll_06.wav,40,40,97,103,1,2,,,,,,,,,
Bee Attack,sfx/bee_attack_03.wav,30,30,96,104,1,1,,,,,,,,,
Bee Hive,sfx/bee_hive_02.wav,30,35,96,104,1,2,,,,,,,,,
Hit Stone Wall,sfx/hit_stone_wall_02.wav,35,40,96,104,1,2,,,,,,,,,
Die Stone Wall,sfx/die_stone_wall_01.wav,35,40,96,104,1,2,,,,,,,,,
Flower Attack,sfx/flower_attack_05.wav,40,45,96,104,1,2,,,,,,,,,
Hit tree trunk,sfx/stump_impact_02.wav,40,40,95,105,1,2,,,,,,,,,
Hit skull,sfx/hit_skull_02.wav,50,50,80,90,1,2,,,,,,,,,
Skull Attack,sfx/skull_fireball_04.wav,50,60,96,104,1,2,,,,,,,,,
Skullfirebounce,sfx/fireball_jump_01.wav,40,55,93,103,1,2,,,,,,,,,
Spider attack 2,sfx/stump_impact_02.wav,25,30,110,120,1,2,,,,,,,,,
StarAppear1,sfx/get_1_star_01v4_200ms.wav,50,50,100,100,1,10,,,,120,120,,,,
StarAppear2,sfx/get_2_star_02v4_200ms.wav,60,70,100,100,1,10,,,,130,130,,,,
StarAppear3,sfx/get_3_star_02v4_200ms.wav,70,70,100,100,1,10,,,,140,140,,,,
Get ministar 1,sfx/get_ministar_1_03.wav,30,30,100,100,1,2,,,,,,,,,
Get ministar 2,sfx/get_ministar_2_03.wav,30,30,100,100,1,2,,,,,,,,,
Get ministar 3,sfx/get_ministar_3_03.wav,30,30,100,100,1,2,,,,,,,,,
Jump Tree,sfx/tree_trunk_jump_01.wav,60,60,96,104,1,6,,,,,,,,,
Tree land,sfx/tree_trunk_land_01.wav,60,60,95,105,1,2,,,,,,,,,
Progress,sfx/progress_02.wav,50,50,100,100,1,2,,,,375,375,,,,
Mushroom grow,sfx/mushroom_grow_06.wav,70,70,95,105,1,1,,,,0,250,,,,
Mushroom angry,sfx/mushroom_angry_04v3.wav,70,70,96,104,1,1,,,,,,,,,
Mushroom attack,sfx/mushroom_angry_06.wav,70,70,96,104,1,1,,,,,,,,,
Mushroom hit,sfx/mushroom_hit_03.wav,40,40,90,110,1,3,,,,,,,,,
New char,sfx/life_new_char_04.wav,60,60,100,100,1,1,,,,,,,,,
Ghost move,sfx/ghost_move_04.wav,40,40,95,105,1,2,,,,0,250,,,,
Ghost attack,sfx/ghost_attack_03.wav,60,60,95,105,1,2,,,,0,250,,,,
Baby spider attack,sfx/baby_spider_attack_04.wav,50,50,95,105,1,3,,,,0,250,,,,
Baby spider move,sfx/baby_spider_move_01.wav,40,40,95,105,1,5,,,,0,250,,,,
Mushboss impact,sfx/mushboss_land_01.wav,70,70,95,105,1,5,,,,,,,,,
Book hit,sfx/hit_books_04.wav,50,50,95,105,1,3,,,,,,,,,
King Bee Hit,sfx/king_bee_hit_02.wav,40,40,95,105,1,2,,,,,,,,,
King Bee Spawn,sfx/king_bee_spawn_02.wav,60,60,98,102,1,2,,,,,,,,,
Purchase,sfx/life_purchase_01.wav,70,70,100,100,1,3,,,,,,,,,
New Char Shop,sfx/open_shop_with_new_char_02.wav,60,60,100,100,1,1,,,,,,,,,
Bee Hit,sfx/bee_hit_02.wav,50,50,93,107,1,1,,,,,,,,,
Apple attack,sfx/apple_attack_05.wav,50,50,98,102,1,1,,,,,,,,,
Unlock,sfx/unlock_06.wav,60,60,100,100,1,1,,,,,,,,,
Get Extra Energy,sfx/get_energy_02.wav,60,60,100,100,2,2,,,,100,100,,,,
Get Extra Coin,sfx/life_coin_01v2.wav,50,50,100,100,2,2,,,,,,,,,
Get Extra Diamond,sfx/find_diamond_01.wav,50,50,100,100,2,2,,,,,,,,,
New Record,sfx/new_record_01.wav,60,60,100,100,1,1,,,,,,,,,
Collect Coin,sfx/unlock_01.wav,60,60,100,100,1,1,,,,,,,,,
Prince hit enemy,sfx/hit_cactus_05.wav,1,1,92,108,2,1,,,,,,,,,
Prince special,sfx/prince_twirl_01.wav,50,50,98,102,1,1,,,,,,,,,
Wizball fire loop,sfx/wiz_flameball_01.wav,60,60,97,103,1,1,,,,,,,,,
Pirate fire loop,sfx/pirate_cannon_loop_02.wav,40,40,97,103,1,1,true,,,,,,,,
Menu Level Unlock New,sfx/life_lev_progress_01.wav,50,50,100,100,1,1,,,,,,,,,
Menu Level Progress,sfx/cloud_gone_01.wav,50,50,100,100,1,1,,,,,,,,,
Menu Coin Collect,sfx/life_coin_07.wav,40,40,100,100,1,1,,,,,,,,,
Menu Coin Collect Spawn,sfx/coins_fly_01v2.wav,40,40,100,100,1,1,,,,,,,,,
Menu XP Collect,sfx/xp_count_04.wav,25,25,100,100,1,1,true,,,,,,,,
Menu XP Collect Spawn,sfx/xp_spawn_03.wav,20,20,100,100,1,1,,,,,,,,,
Menu XP Level UP,sfx/xp_lev_up_01.wav,40,40,100,100,1,2,,,,,,,,,
Mole Take Damage,,,,,,,,,,,,,,,,
Mole Attack,sfx/mole_appear_01.wav,60,60,96,104,1,1,,,,,,,,,
Mole Disappear,sfx/mole_disappear_01v3.wav,60,60,96,104,1,1,,,,,,,,,
GemBeetle Take Damage,sfx/beetle_take_damage_02.wav,50,50,95,105,2,4,,,,,,,,,
Gem Beetle Attack,sfx/beetle_attack_02.wav,50,50,95,105,1,3,,,,,,,,,
Cloud Take Damage,sfx/hit_cloud_02.wav,50,60,93,107,2,3,,,,,,,,,
Cloud Attack,sfx/cloud_attack_01.wav,50,60,95,105,1,2,,,,,,,,,
Player Heal,sfx/get_ministar_1_03.wav,50,50,100,100,1,2,,,,0,250,,,,
Pyramid Take Damage,sfx/pyramid_damage_01.wav,50,60,93,107,2,3,,,,,,,,,
Pyramid Attack,sfx/pyramid_attack_01.wav,70,70,97,103,1,1,,,,,,,,,
Jump Pyramid,sfx/pyramid_jump_03.wav,50,50,95,105,1,1,,,,,,,,,
Snake Take Damage,sfx/hit_snake_01.wav,40,40,95,105,2,2,,,,,,,,,
Snake Attack,sfx/snake_attack_01.wav,50,50,96,104,2,1,,,,,,,,,
