"Name","Sound","Volume","MinPitch","MaxPitch","ParticleEmitter","CameraShake","AttachToParent","IsoLayer","Targeted","IgnoreTargetedScaling","StartOffset","UseFlashOffset","IsLaser","PlayDuringFastForward","StatusEffectTarget","StatusEffectTargetClass","StatusEffectType","UnitState","StatusEffectPriority","StatusEffectOverride","TriggerOnStatusRefresh","StatusEffectTriggerRateMs","StatusEffectChance","ColorEffectType","ColorEffectLengthMs","Color1Add","Color2Add","Color1Mul","Color2Mul","ColorEffectPhase","ColorEffectSpeed","ShakeEffectLengthMs","ShakeStrengthX","ShakeStrengthY","ShakeSpeedX","ShakeSpeedY"
,,,,,"Goo_drops_spray_huge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_radial_shine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smoke_dispersing_big_hq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"hq_crater",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Ring1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground_hq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_tile_red",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_bricks_dark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_bricks_dark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"tank_debree_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"tank_debree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"hq_flame",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"hq_flame_addative",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_big_empireHQ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_blink_hq",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"goo_splatter_huge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Goo_drops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FrozenDefenceShatter","sfx/ice_shatter_01.wav",80,98,102,"Hit Ring1",50,,"objects",,,500,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"SnowflakeBurst",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Light1",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"IceShatterParticles",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"IceShatterParticles_big",,,"objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_blink",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_medium_ice",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Doom Attack","sfx/building_destroyed_01.wav",70,85,95,"Hit Ring1",50,,"objects",,,500,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smoke3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Light1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Soot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"explosion_big_powercell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_blink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_bricks_dark2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"powercore_sparks_longer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"light_beam_powercell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"SmokePuffBig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_bricks_dark_small",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShockMine","sfx/building_destroyed_01.wav",70,85,95,"Hit Ring1",50,,"objects",,,500,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smoke3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Light1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"explosion_shockmine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_blink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_sparks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_bricks_dark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_bricks_dark",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smoke1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_medium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Light1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"shockmine_sparks_longer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CritterGlobeDestroyed","sfx/building_destroyed_01.wav",70,85,95,"Hit Ring1",50,,"objects",,,500,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smoke3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Light1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_blink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerCellDestroyed","sfx/building_destroyed_01.wav",70,85,95,"Hit Ring1",50,,"objects",,,500,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smoke3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Light1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_greenglass_powercell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"explosion_big_powercell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_blink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_tile_green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"powercore_sparks_longer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"light_beam_powercell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"SmokePuffBig",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PowerCoreDestroyed","sfx/building_destroyed_01.wav",70,85,95,"SmokePuffHuge",80,,"objects",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"explosion_big_powercore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_multiple_small_longer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smoke_dispersing_big",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground_powercore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_powercore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_blink_powercore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_spark1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_sparks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_greenglass_powercore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_greenglass_powercore_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"light_beam_powercore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"powercore_sparks_longer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Ring1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"powercore smoke",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Burning_Outpost_powercore",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Character burning",,,,,"Character burning",,"true","top",,,,,,,"Character",,"Fire",,,,,1000,,,,,,,,,,,,,,
,,,,,"Character burning",,"true","ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"statue store","sfx/statue_boost_01.wav",,,,"Attack_ground_flash_magic_longer",,"true","top",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"magical sparks floating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"hit_light_magic_longer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Warrior_sparks_longer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Ring1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"statue break","sfx/statue_break_01.wav",,,,"Hit Ring1",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"hit_light_magic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_bricks_dark_small",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_bricks_dark",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_bricks_dark_small",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_bricks_dark2",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"native_hit_flash",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Warrior Hit Ring",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Reef_debris_bricks_dark_small",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"warrior_blink",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Warrior_sparks",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Soot",,,"ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,"ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"statue boost","sfx/statue_boost_01.wav",,,,"Attack_ground_flash_magic_longer",,"true","top",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"magical sparks floating",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"hit_light_magic_longer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Warrior_sparks_longer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Ring1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Life Statue Boosted",,,,,"magical sparks floating",,,"ground",,,,,,"true",,,,,1,,,,,"Pulse",10000,"#000000","#004000","#FFFFFF","#FFFFFF",,50,,,,,
"Ice Statue Boosted",,,,,"magical sparks floating",,,"ground",,,,,,"true",,,,,1,,,,,"Pulse",10000,"#000000","#0000B0","#FFFFFF","#FFFFFF",,50,,,,,
"Fire Statue Boosted",,,,,"magical sparks floating",,,"ground",,,,,,"true",,,,,1,,,,,"Pulse",10000,"#000000","#600000","#FFFFFF","#FFFFFF",,50,,,,,
"Dark Statue Boosted",,,,,"magical sparks floating",,,"ground",,,,,,"true",,,,,1,,,,,"Pulse",10000,"#000000","#400030","#FFFFFF","#FFFFFF",,50,,,,,
"Damage Amplifier Boosted",,,,,,,,,,,,,,,,,,,1,,,,,"Pulse",10000,"#000000","#0000F0","#FFFFFF","#FFFFFF",,50,,,,,
"Flamethrower Attack","sfx/flame_thrower_01.wav",80,95,105,"FireEndSmoke",,"true","objects",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"FireSpread",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"FireWhite",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flamethrower Attack Solid",,,,,"FireSolid",,"true","ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flamethrower Attack2","sfx/flame_thrower_01.wav",80,95,105,"FireEndSmoke2",,"true","top",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"FireSpread2",,"true","top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"FireWhite2",,"true","top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flamethrower Attack3","sfx/flame_thrower_01.wav",80,95,105,"FireEndSmoke3_R",,"true","top",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"FireSpread3_R",,"true","top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"FireWhite3_R",,"true","top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flamethrower Attack Blue","sfx/flame_thrower_01.wav",80,95,105,"FireEndSmoke4",,"true","top",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"FireSpread4",,"true","top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"FireWhite4",,"true","top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flamethrower Attack Blue Solid",,,,,"FireSolid4",,"true","ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
"Native hammerhit","sfx/native_hammerhit_01.wav",40,92,110,,,"true","objects","true","true",600,,,,,,,,,,,,,,,,,,,,,,,,,
"Native Attack","sfx/native_attack_04.wav",40,95,102,"native_hit_flash",,"true","objects",,"true",600,"true",,,,,,,,,,,,,,,,,,,,,,,,
,"sfx/native_attack_01.wav",40,95,102,"Warrior Hit Ring",,,"objects","true","true",600,,,,,,,,,,,,,,,,,,,,,,,,,
,"sfx/native_attack_02.wav",40,95,102,"Reef_debris_wood_small",,,"objects",,,600,,,,,,,,,,,,,,,,,,,,,,,,,
,"sfx/native_attack_03.wav",40,95,102,"Reef_debris_bricks_dark_small",,,"objects",,,600,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"warrior_blink",,"true","objects","true",,600,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Warrior_sparks",,,"top",,,600,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokescreen_1","sfx/smoke_screen_01.wav",70,95,105,"Hit Ring1",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smokescreen_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"smokescreen_ring_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"smokescreen_area_1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokescreen_2","sfx/smoke_screen_01.wav",70,95,105,"Hit Ring1",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smokescreen_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"smokescreen_ring_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"smokescreen_area_2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokescreen_3","sfx/smoke_screen_01.wav",70,95,105,"Hit Ring1",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smokescreen_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"smokescreen_ring_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"smokescreen_area_3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokescreen_4","sfx/smoke_screen_01.wav",70,95,105,"Hit Ring1",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smokescreen_4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"smokescreen_ring_4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"smokescreen_area_4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokescreen_5","sfx/smoke_screen_01.wav",70,95,105,"Hit Ring1",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smokescreen_5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"smokescreen_ring_5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"smokescreen_area_5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokescreen_6","sfx/smoke_screen_01.wav",70,95,105,"Hit Ring1",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smokescreen_6",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"smokescreen_ring_6",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"smokescreen_area_6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokescreen_Shadow_1",,,,,"smokescreen_edge_1",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokescreen_Shadow_2",,,,,"smokescreen_edge_2",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokescreen_Shadow_3",,,,,"smokescreen_edge_3",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokescreen_Shadow_4",,,,,"smokescreen_edge_4",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokescreen_Shadow_5",,,,,"smokescreen_edge_5",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smokescreen_Shadow_6",,,,,"smokescreen_edge_6",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Artillery Hit","sfx/lightning_amb_01.wav",60,95,105,"bomb_crater_mortar",75,"true","ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Soot",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Ring1",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Particles5",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smoke3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Light1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Airstrike Hit","sfx/lightning_amb_01.wav",70,95,105,"bomb_crater_mortar",40,"true","ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"Soot",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Ring1",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Particles5",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_smoke3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Light1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Healer_area","sfx/healing_05.wav",40,95,105,"healer_emblem_ring",,,"ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Heal_sparks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heal area","sfx/healing_05.wav",40,95,105,"Explosion_flash",,,"ground",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"heal_emblem_ring",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Hit Ring1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_ground",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Explosion_afterglow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heal area top",,,,,"HealRedCrosses",,,"top",,,,,,"true",,,,,,,,,,,,,,,,,,,,,,
,,,,,"HealRedCrosses2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wind Leafs West",,,,,"WindLeavesW",,,"objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wind Leafs East",,,,,"WindLeavesE",,,"objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wind Leafs South",,,,,"WindLeavesS",,,"objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Remove Tree",,,,,"RemoveTree",,,"objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tree Pickup","sfx/tree8.wav",90,100,100,"PickupTree",,,"top",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Snowfall West",,,,,"SnowFallW",,,"objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"SnowPuffW",,,"objects",,,,,,,,,,,,,,,,,,,,,,,,,,,,
