"Name","Dependencies","Deprecated","BuildBuilding","BuildBuildingLevel","BuildBuildingCount","DefendNPC","AttackNPC","Delay","TrainTroops","TutorialText","TutorialStep","Darken","TutorialTextBox","SpeechBubble","AbilityName","CustomIconExportName","RightAlignTextBox","ButtonText","TutorialMusic","TutorialSound","TriggerAtTownHallLevel","TriggerAtNodeTypeFound","TriggerAtRegionIndexExplored","TriggerAtRegionIndexLiberated","TriggerAtNodeIndexLiberated","TriggerAtHeroUnlocked","TriggerAtResourceGained","InitialTutorial","TriggerAtEventSpawn","TriggerAtEventWin","MegabaseState"
,,,,,,,,300,,"TID_TUTORIAL_BOSS_BEATEN_5_B",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"sixth boss encounter","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_FOUND_6",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,93,-1,,,,,,,
"sixth boss defeated","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_BEATEN_6_A",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,,93,0,,,,,,
,,,,,,,,300,,"TID_TUTORIAL_BOSS_BEATEN_6_B",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"seventh boss encounter","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_FOUND_7",,"true","tutorial_enemy_gearheart","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,111,-1,,,,,,,
"seventh boss defeated","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_BEATEN_7_A",,"true","tutorial_enemy_gearheart","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,,111,0,,,,,,
,,,,,,,,300,,"TID_TUTORIAL_BOSS_BEATEN_7_B",,"true","tutorial_enemy_gearheart","bubble_no_button_right",,,"true",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"eighth boss encounter","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_FOUND_8",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,126,-1,,,,,,,
"eighth boss defeated","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_BEATEN_8_A",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,,126,0,,,,,,
,,,,,,,,300,,"TID_TUTORIAL_BOSS_BEATEN_8_B",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"ninth boss encounter","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_FOUND_9",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,137,-1,,,,,,,
"ninth boss defeated","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_BEATEN_9_A",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,,137,0,,,,,,
,,,,,,,,300,,"TID_TUTORIAL_BOSS_BEATEN_9_B",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"tenth boss encounter","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_FOUND_10",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,149,-1,,,,,,,
"tenth boss defeated","tutorial end",,,,,,,,,"TID_TUTORIAL_BOSS_BEATEN_10_A",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,,149,0,,,,,,
,,,,,,,,300,,"TID_TUTORIAL_BOSS_BEATEN_10_B",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"second npc base win","tutorial end",,,,,,,500,,"TID_TUTORIAL_SLAVES1",,"true","tutorial_enemy","bubble_no_button_right",,,"true",,"music/gob_attack.mp3","sfx/nasty_talk_01.wav",,,,0,2,,,,,,
,,,,,,,,,,"TID_TUTORIAL_SLAVES2",,"true","tutorial_native_girl","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,,,0,2,,,,,,
"third npc base win","tutorial end",,,,,,,500,,"TID_TUTORIAL_SLAVES3",,"true","tutorial_native_girl","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,,,0,3,,,,,,
,,,,,,,,,,"TID_TUTORIAL_SLAVES4",,"true","tutorial_native_girl","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,0,3,,,,,,
"fourth npc base win","tutorial end",,,,,,,500,,"TID_TUTORIAL_SLAVES5",,"true","tutorial_native_girl","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,,,2,0,,,,,,
,,,,,,,,,,"TID_TUTORIAL_SLAVES6",,"true","tutorial_native_girl","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,2,0,,,,,,
"fifth npc base win","tutorial end",,,,,,,500,,"TID_TUTORIAL_SLAVES7",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,,,3,0,,,,,,
,,,,,,,,,,"TID_TUTORIAL_SLAVES8",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,3,0,,,,,,
"sixth npc base win","tutorial end",,,,,,,500,,"TID_TUTORIAL_SLAVES9",,"true","tutorial_native_girl","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,,,4,0,,,,,,
,,,,,,,,,,"TID_TUTORIAL_SLAVES10",,"true","tutorial_native_girl","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,4,0,,,,,,
"seventh npc base win","tutorial end",,,,,,,500,,"TID_TUTORIAL_SLAVES11",,"true","tutorial_native_girl","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,,,4,1,,,,,,
,,,,,,,,,,"TID_TUTORIAL_SLAVES12",,"true","tutorial_native_girl","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,4,1,,,,,,
"first boss teaser","tutorial end",,,,,,,500,,"TID_TUTORIAL_BOSS_TEASER_1_A",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,,,14,0,,,,,,
,,,,,,,,,,"TID_TUTORIAL_BOSS_TEASER_1_B",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,,,,,,,,
"first event","tutorial end",,,,,,,,,"TID_TUTORIAL_EVENT_START_1",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/reef_evil_proff_talk_01.mp3","sfx/evil_doc_laugh_01.wav",,,,-1,,,,,"DR_T_0 <2>",,
"last step tutorial","tutorial end",,,,,,,500,,"TID_TUTORIAL_TUTORIAL_END_2",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_TUTORIAL_END_3",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,,,,,,,,
"first event win","tutorial end",,,,,,,,,"TID_TUTORIAL_EVENT_END_1",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/general_lost_01.mp3","sfx/nasty_talk_01.wav",,,,-1,,,,,,"DR_T_0",
,,,,,,,,,,"TID_TUTORIAL_EVENT_END_2",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,,"sfx/nasty_talk_01.wav",,,,,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_EVENT_END_3",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/league_up_02cheer.wav",,,,,,,,,,,
"Smoke unlock","tutorial end",,,,,,,,,"TID_TUTORIAL_INTRO_SMOKE_1",,"true","tutorial_friendly_male","bubble_ability_left","Smoke",,"false",,,"sfx/tutor_no_talk_woop_01.wav",14,,,-1,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_INTRO_SMOKE_2",,"true","tutorial_friendly_male","bubble_no_button_left","Smoke",,"false",,,"sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
"second event","tutorial end",,,,,,,,,"TID_TUTORIAL_EVENT2_START_1",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/reef_evil_proff_talk_01.mp3","sfx/evil_doc_laugh_01.wav",,,,-1,,,,,"DR_T_Volcano_0 <2>",,
"second event win","tutorial end",,,,,,,,,"TID_TUTORIAL_EVENT2_END_1",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/general_lost_01.mp3","sfx/nasty_talk_01.wav",,,,-1,,,,,,"DR_T_Volcano_0",
,,,,,,,,,,"TID_TUTORIAL_EVENT2_END_2",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,,"sfx/nasty_talk_01.wav",,,,,,,,,,,
,,,,,,,,,,"TID_TUTORIAL_EVENT2_END_3",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,,"sfx/league_up_02cheer.wav",,,,,,,,,,,
"first event stage 5","tutorial end",,,,,,,,,"TID_TUTORIAL_EVENT_STAGE5",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/reef_evil_proff_talk_01.mp3","sfx/evil_doc_laugh_01.wav",,,,-1,,,,,"DR_T_0 <5>",,
"first event stage 10","tutorial end",,,,,,,,,"TID_TUTORIAL_EVENT_STAGE10",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/reef_evil_proff_talk_01.mp3","sfx/evil_doc_laugh_01.wav",,,,-1,,,,,"DR_T_0 <10>",,
"first event stage 15","tutorial end",,,,,,,,,"TID_TUTORIAL_EVENT_STAGE15",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/reef_evil_proff_talk_01.mp3","sfx/evil_doc_laugh_01.wav",,,,-1,,,,,"DR_T_0 <15>",,
"first event stage 20","tutorial end",,,,,,,,,"TID_TUTORIAL_EVENT_STAGE20",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/reef_evil_proff_talk_01.mp3","sfx/evil_doc_laugh_01.wav",,,,-1,,,,,"DR_T_0 <20>",,
"second event stage 6","tutorial end",,,,,,,,,"TID_TUTORIAL_EVENT2_STAGE6",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/reef_evil_proff_talk_01.mp3","sfx/evil_doc_laugh_01.wav",,,,-1,,,,,"DR_T_Volcano_0 <6>",,
"second event stage 11","tutorial end",,,,,,,,,"TID_TUTORIAL_EVENT2_STAGE11",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/reef_evil_proff_talk_01.mp3","sfx/evil_doc_laugh_01.wav",,,,-1,,,,,"DR_T_Volcano_0 <11>",,
"second event stage 16","tutorial end",,,,,,,,,"TID_TUTORIAL_EVENT2_STAGE16",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/reef_evil_proff_talk_01.mp3","sfx/evil_doc_laugh_01.wav",,,,-1,,,,,"DR_T_Volcano_0 <16>",,
"second event stage 20","tutorial end",,,,,,,,,"TID_TUTORIAL_EVENT2_STAGE20",,"true","tutorial_enemy_DrM","bubble_no_button_right",,,"true",,"music/reef_evil_proff_talk_01.mp3","sfx/evil_doc_laugh_01.wav",,,,-1,,,,,"DR_T_Volcano_0 <20>",,
"medic troop unlocked","tutorial end",,,,,,,500,,"TID_TUTORIAL_INTRO_MEDIC",,"true","tutorial_troop_medic","bubble_no_button_left",,,"false",,,"sfx/tutor_no_talk_woop_01.wav",15,,,-1,,,,,,,
"sculptor built","tutorial end",,,,,,,300,,"TID_TUTORIAL_SCULPTOR_BUILT_1",,"true","tutorial_friendly_male","bubble_no_button_left",,,"false",,"music/fem_talk.mp3","sfx/tutor_no_talk_woop_01.wav",,,,-1,,,,,,,
