"Name","TID","LevelFile","BaseLevelFile","Loot","ExpLevel","MatchmakingSkill","DefenseValue","IsOutpost","OutpostRes","OutpostProduction","UnitType","UnitCount","CommonArtifactPiecesFromTownHall","RareArtifactPiecesFromTownHall","EpicArtifactPiecesFromTownHall","IsEvent","IsCoop","IsGearheartEvent","IsMercenaryCamp","LevelAuthorName"
"mainland_a_22","TID_MAINLAND_A_22","level/base/mainland_a_22.json","layout/mainland_a.level","0,4300,3900,250,110",15,330,396,"false",,,,,,,,,,,,
"mainland_a_23","TID_MAINLAND_A_23","level/base/mainland_a_23.json","layout/mainland_a.level","0,3400,3000,180,70",13,268,306,"false",,,,,,,,,,,,
"mainland_a_24","TID_MAINLAND_A_24","level/base/mainland_a_24.json","layout/mainland_a.level","0,2200,2000,110,40",10,209,228,"false",,,,,,,,,,,,
"mainland_a_25","TID_MAINLAND_A_25","level/base/mainland_a_25.json","layout/mainland_a.level","0,720,700,30,5",4,69,78,"false",,,,,,,,,,,,
"mainland_a_26","TID_MAINLAND_A_26","level/base/mainland_a_26.json","layout/mainland_a.level","0,4300,3900,250,110",15,289,335,"false",,,,,,,,,,,,
"mainland_a_27","TID_MAINLAND_A_27","level/base/mainland_a_27.json","layout/mainland_a.level","0,1900,1500,80,30",9,155,164,"false",,,,,,,,,,,,
"mainland_a_28","TID_MAINLAND_A_28","level/base/mainland_a_28.json","layout/mainland_a.level","0,1600,1200,60,20",8,145,152,"false",,,,,,,,,,,,
"mainland_a_29","TID_MAINLAND_A_29","level/base/mainland_a_29.json","layout/mainland_a.level","0,2200,2000,110,40",10,200,216,"false",,,,,,,,,,,,
"mainland_a_30","TID_MAINLAND_A_30","level/base/mainland_a_30.json","layout/mainland_a.level","0,5300,4800,320,140",17,368,455,"false",,,,,,,,,,,,
"mainland_a_31","TID_MAINLAND_A_31","level/base/mainland_a_31.json","layout/mainland_a.level","0,2200,2000,110,40",10,198,214,"false",,,,,,,,,,,,
"mainland_a_32","TID_MAINLAND_A_32","level/base/mainland_a_32.json","layout/mainland_a.level","0,2200,2000,110,40",10,217,237,"false",,,,,,,,,,,,
"mainland_b_00","TID_MAINLAND_B_00","level/base/mainland_b_00.json","layout/mainland_b.level","0,720,700,30,5",4,76,84,"false",,,,,,,,,,,,
"mainland_b_01","TID_MAINLAND_B_01","level/base/mainland_b_01.json","layout/mainland_b.level","0,1900,1500,80,30",9,152,160,"false",,,,,,,,,,,,
"mainland_b_02","TID_MAINLAND_B_02","level/base/mainland_b_02.json","layout/mainland_b.level","0,1100,900,40,10",6,98,104,"false",,,,,,,,,,,,
"mainland_b_03","TID_MAINLAND_B_03","level/base/mainland_b_03.json","layout/mainland_b.level","0,1100,900,40,10",6,87,94,"false",,,,,,,,,,,,
"mainland_b_04","TID_MAINLAND_B_04","level/base/mainland_b_04.json","layout/mainland_b.level","0,1300,1000,50,10",7,125,131,"false",,,,,,,,,,,,
"mainland_b_05","TID_MAINLAND_B_05","level/base/mainland_b_05.json","layout/mainland_b.level","0,1100,900,40,10",6,114,120,"false",,,,,,,,,,,,
"mainland_b_06","TID_MAINLAND_B_06","level/base/mainland_b_06.json","layout/mainland_b.level","0,2200,2000,110,40",10,218,239,"false",,,,,,,,,,,,
"mainland_b_07","TID_MAINLAND_B_07","level/base/mainland_b_07.json","layout/mainland_b.level","0,2200,2000,110,40",10,201,218,"false",,,,,,,,,,,,
"mainland_b_08","TID_MAINLAND_B_08","level/base/mainland_b_08.json","layout/mainland_b.level","0,2600,2200,120,50",11,220,242,"false",,,,,,,,,,,,
"mainland_b_09","TID_MAINLAND_B_09","level/base/mainland_b_09.json","layout/mainland_b.level","0,1900,1500,80,30",9,183,196,"false",,,,,,,,,,,,
"mainland_b_1","TID_MAINLAND_B_1","level/base/mainland_b_1.json","layout/mainland_b.level","0,4300,3900,250,110",15,326,390,"false",,,,,,,,,,,,
"mainland_b_2","TID_MAINLAND_B_2","level/base/mainland_b_2.json","layout/mainland_b.level","0,1600,1200,60,20",8,141,148,"false",,,,,,,,,,,,
"mainland_b_3","TID_MAINLAND_B_3","level/base/mainland_b_3.json","layout/mainland_b.level","0,1900,1500,80,30",9,166,176,"false",,,,,,,,,,,,
"mainland_b_4","TID_MAINLAND_B_4","level/base/mainland_b_4.json","layout/mainland_b.level","0,900,800,40,10",5,83,90,"false",,,,,,,,,,,,
"mainland_b_5","TID_MAINLAND_B_5","level/base/mainland_b_5.json","layout/mainland_b.level","0,1300,1000,50,10",7,139,146,"false",,,,,,,,,,,,
"mainland_b_6","TID_MAINLAND_B_6","level/base/mainland_b_6.json","layout/mainland_b.level","0,3400,3000,180,70",13,263,299,"false",,,,,,,,,,,,
"mainland_b_7","TID_MAINLAND_B_7","level/base/mainland_b_7.json","layout/mainland_b.level","0,2200,2000,110,40",10,216,236,"false",,,,,,,,,,,,
"mainland_b_8","TID_MAINLAND_B_8","level/base/mainland_b_8.json","layout/mainland_b.level","0,3800,3500,220,90",14,277,318,"false",,,,,,,,,,,,
"mainland_b_9","TID_MAINLAND_B_9","level/base/mainland_b_9.json","layout/mainland_b.level","0,1900,1500,80,30",9,177,189,"false",,,,,,,,,,,,
"mainland_b_10","TID_MAINLAND_B_10","level/base/mainland_b_10.json","layout/mainland_b.level","0,4300,3900,250,110",15,323,385,"false",,,,,,,,,,,,
"mainland_b_11","TID_MAINLAND_B_11","level/base/mainland_b_11.json","layout/mainland_b.level","0,2200,2000,110,40",10,199,215,"false",,,,,,,,,,,,
"mainland_b_12","TID_MAINLAND_B_12","level/base/mainland_b_12.json","layout/mainland_b.level","0,4300,3900,250,110",15,310,366,"false",,,,,,,,,,,,
"mainland_b_13","TID_MAINLAND_B_13","level/base/mainland_b_13.json","layout/mainland_b.level","0,4800,4300,280,120",16,360,442,"false",,,,,,,,,,,,
"mainland_b_14","TID_MAINLAND_B_14","level/base/mainland_b_14.json","layout/mainland_b.level","0,4300,3900,250,110",15,313,371,"false",,,,,,,,,,,,
"mainland_b_15","TID_MAINLAND_B_15","level/base/mainland_b_15.json","layout/mainland_b.level","0,4300,3900,250,110",15,326,390,"false",,,,,,,,,,,,
"mainland_b_16","TID_MAINLAND_B_16","level/base/mainland_b_16.json","layout/mainland_b.level","0,900,800,40,10",5,79,87,"false",,,,,,,,,,,,
"mainland_b_17","TID_MAINLAND_B_17","level/base/mainland_b_17.json","layout/mainland_b.level","0,1300,1000,50,10",7,128,134,"false",,,,,,,,,,,,
"mainland_b_18","TID_MAINLAND_B_18","level/base/mainland_b_18.json","layout/mainland_b.level","0,3800,3500,220,90",14,279,321,"false",,,,,,,,,,,,
"mainland_b_19","TID_MAINLAND_B_19","level/base/mainland_b_19.json","layout/mainland_b.level","0,2600,2200,120,50",11,230,254,"false",,,,,,,,,,,,
"mainland_b_20","TID_MAINLAND_B_20","level/base/mainland_b_20.json","layout/mainland_b.level","0,4300,3900,250,110",15,323,386,"false",,,,,,,,,,,,
"mainland_b_21","TID_MAINLAND_B_21","level/base/mainland_b_21.json","layout/mainland_b.level","0,2200,2000,110,40",10,214,234,"false",,,,,,,,,,,,
"mainland_b_22","TID_MAINLAND_B_22","level/base/mainland_b_22.json","layout/mainland_b.level","0,3400,3000,180,70",13,274,314,"false",,,,,,,,,,,,
"mainland_b_23","TID_MAINLAND_B_23","level/base/mainland_b_23.json","layout/mainland_b.level","0,2900,2500,150,60",12,238,265,"false",,,,,,,,,,,,
"mainland_b_24","TID_MAINLAND_B_24","level/base/mainland_b_24.json","layout/mainland_b.level","0,5800,5300,360,160",18,413,529,"false",,,,,,,,,,,,
"mainland_b_25","TID_MAINLAND_B_25","level/base/mainland_b_25.json","layout/mainland_b.level","0,1900,1500,80,30",9,155,163,"false",,,,,,,,,,,,
"mainland_b_26","TID_MAINLAND_B_26","level/base/mainland_b_26.json","layout/mainland_b.level","0,720,700,30,5",4,69,78,"false",,,,,,,,,,,,
"mainland_b_27","TID_MAINLAND_B_27","level/base/mainland_b_27.json","layout/mainland_b.level","0,500,400,20,5",1,1,28,"false",,,,,,,,,,,,
"mainland_b_28","TID_MAINLAND_B_28","level/base/mainland_b_28.json","layout/mainland_b.level","0,1900,1500,80,30",9,161,170,"false",,,,,,,,,,,,
"mainland_b_29","TID_MAINLAND_B_29","level/base/mainland_b_29.json","layout/mainland_b.level","0,900,800,40,10",5,82,89,"false",,,,,,,,,,,,
"mainland_b_30","TID_MAINLAND_B_30","level/base/mainland_b_30.json","layout/mainland_b.level","0,900,800,40,10",5,83,90,"false",,,,,,,,,,,,
"mainland_b_31","TID_MAINLAND_B_31","level/base/mainland_b_31.json","layout/mainland_b.level","0,640,600,30,5",3,52,64,"false",,,,,,,,,,,,
"mainland_b_32","TID_MAINLAND_B_32","level/base/mainland_b_32.json","layout/mainland_b.level","0,720,700,30,5",4,66,75,"false",,,,,,,,,,,,
"mainland_b_33","TID_MAINLAND_B_33","level/base/mainland_b_33.json","layout/mainland_b.level","0,500,400,20,5",1,8,32,"false",,,,,,,,,,,,
"mainland_b_34","TID_MAINLAND_B_34","level/base/mainland_b_34.json","layout/mainland_b.level","0,500,400,20,5",1,11,34,"false",,,,,,,,,,,,
"small_a_00","TID_SMALL_A_00","level/base/small_a_00.json","layout/small_a.level","0,1900,1500,80,30",9,179,191,"false",,,,,,,,,,,,
"small_a_01","TID_SMALL_A_01","level/base/small_a_01.json","layout/small_a.level","0,1900,1500,80,30",9,187,200,"false",,,,,,,,,,,,
"small_a_02","TID_SMALL_A_02","level/base/small_a_02.json","layout/small_a.level","0,1900,1500,80,30",9,192,206,"false",,,,,,,,,,,,
"small_a_03","TID_SMALL_A_03","level/base/small_a_03.json","layout/small_a.level","0,1900,1500,80,30",9,190,204,"false",,,,,,,,,,,,
"small_a_04","TID_SMALL_A_04","level/base/small_a_04.json","layout/small_a.level","0,1900,1500,80,30",9,184,197,"false",,,,,,,,,,,,
"small_a_05","TID_SMALL_A_05","level/base/small_a_05.json","layout/small_a.level","0,1900,1500,80,30",9,187,201,"false",,,,,,,,,,,,
"small_a_06","TID_SMALL_A_06","level/base/small_a_06.json","layout/small_a.level","0,1900,1500,80,30",9,196,211,"false",,,,,,,,,,,,
"small_a_07","TID_SMALL_A_07","level/base/small_a_07.json","layout/small_a.level","0,2600,2200,120,50",11,223,245,"false",,,,,,,,,,,,
"small_a_08","TID_SMALL_A_08","level/base/small_a_08.json","layout/small_a.level","0,2900,2500,150,60",12,237,264,"false",,,,,,,,,,,,
"small_a_09","TID_SMALL_A_09","level/base/small_a_09.json","layout/small_a.level","0,3400,3000,180,70",13,261,296,"false",,,,,,,,,,,,
"small_a_1","TID_SMALL_A_1","level/base/small_a_1.json","layout/small_a.level","0,1100,900,40,10",6,120,126,"false",,,,,,,,,,,,
"small_a_2_cannon","TID_SMALL_A_2_CANNON","level/base/small_a_2_cannon.json","layout/small_a.level","0,640,600,30,5",3,47,60,"false",,,,,,,,,,,,
"small_a_2_flamer","TID_SMALL_A_2_FLAMER","level/base/small_a_2_flamer.json","layout/small_a.level","0,550,500,20,5",2,27,45,"false",,,,,,,,,,,,
"small_a_2_missile","TID_SMALL_A_2_MISSILE","level/base/small_a_2_missile.json","layout/small_a.level","0,900,800,40,10",5,83,90,"false",,,,,,,,,,,,
"small_a_2_mortar","TID_SMALL_A_2_MORTAR","level/base/small_a_2_mortar.json","layout/small_a.level","0,640,600,30,5",3,39,54,"false",,,,,,,,,,,,
"small_a_3","TID_SMALL_A_3","level/base/small_a_3.json","layout/small_a.level","0,640,600,30,5",3,60,70,"false",,,,,,,,,,,,
"small_a_4","TID_SMALL_A_4","level/base/small_a_4.json","layout/small_a.level","0,1300,1000,50,10",7,128,134,"false",,,,,,,,,,,,
"small_a_5","TID_SMALL_A_5","level/base/small_a_5.json","layout/small_a.level","0,1900,1500,80,30",9,190,204,"false",,,,,,,,,,,,
"small_a_6","TID_SMALL_A_6","level/base/small_a_6.json","layout/small_a.level","0,4300,3900,250,110",15,335,404,"false",,,,,,,,,,,,
"small_a_7","TID_SMALL_A_7","level/base/small_a_7.json","layout/small_a.level","0,1900,1500,80,30",9,170,180,"false",,,,,,,,,,,,
"small_a_8","TID_SMALL_A_8","level/base/small_a_8.json","layout/small_a.level","0,2900,2500,150,60",12,232,257,"false",,,,,,,,,,,,
"small_a_9","TID_SMALL_A_9","level/base/small_a_9.json","layout/small_a.level","0,2200,2000,110,40",10,213,232,"false",,,,,,,,,,,,
"small_a_10","TID_SMALL_A_10","level/base/small_a_10.json","layout/small_a.level","0,2200,2000,110,40",10,216,236,"false",,,,,,,,,,,,
"small_a_11","TID_SMALL_A_11","level/base/small_a_11.json","layout/small_a.level","0,5300,4800,320,140",17,373,463,"false",,,,,,,,,,,,
"small_a_12","TID_SMALL_A_12","level/base/small_a_12.json","layout/small_a.level","0,2900,2500,150,60",12,244,273,"false",,,,,,,,,,,,
"small_a_13","TID_SMALL_A_13","level/base/small_a_13.json","layout/small_a.level","0,2200,2000,110,40",10,198,214,"false",,,,,,,,,,,,
"small_a_14","TID_SMALL_A_14","level/base/small_a_14.json","layout/small_a.level","0,1600,1200,60,20",8,141,148,"false",,,,,,,,,,,,
"small_a_15","TID_SMALL_A_15","level/base/small_a_15.json","layout/small_a.level","0,1900,1500,80,30",9,159,168,"false",,,,,,,,,,,,
"small_a_16","TID_SMALL_A_16","level/base/small_a_16.json","layout/small_a.level","0,4300,3900,250,110",15,284,328,"false",,,,,,,,,,,,
"small_a_17","TID_SMALL_A_17","level/base/small_a_17.json","layout/small_a.level","0,2200,2000,110,40",10,210,229,"false",,,,,,,,,,,,
"small_a_18","TID_SMALL_A_18","level/base/small_a_18.json","layout/small_a.level","0,1900,1500,80,30",9,190,204,"false",,,,,,,,,,,,
"small_a_19","TID_SMALL_A_19","level/base/small_a_19.json","layout/small_a.level","0,2900,2500,150,60",12,240,267,"false",,,,,,,,,,,,
"small_a_20","TID_SMALL_A_20","level/base/small_a_20.json","layout/small_a.level","0,1600,1200,60,20",8,141,148,"false",,,,,,,,,,,,
"small_a_21","TID_SMALL_A_21","level/base/small_a_21.json","layout/small_a.level","0,2900,2500,150,60",12,260,294,"false",,,,,,,,,,,,
"small_a_22","TID_SMALL_A_22","level/base/small_a_22.json","layout/small_a.level","0,2900,2500,150,60",12,242,270,"false",,,,,,,,,,,,
"small_a_23","TID_SMALL_A_23","level/base/small_a_23.json","layout/small_a.level","0,4800,4300,280,120",16,342,414,"false",,,,,,,,,,,,
"small_a_24","TID_SMALL_A_24","level/base/small_a_24.json","layout/small_a.level","0,2600,2200,120,50",11,230,255,"false",,,,,,,,,,,,
"small_a_25","TID_SMALL_A_25","level/base/small_a_25.json","layout/small_a.level","0,3400,3000,180,70",13,262,297,"false",,,,,,,,,,,,
"small_a_26","TID_SMALL_A_26","level/base/small_a_26.json","layout/small_a.level","0,1900,1500,80,30",9,196,212,"false",,,,,,,,,,,,
"small_a_27","TID_SMALL_A_27","level/base/small_a_27.json","layout/small_a.level","0,4800,4300,280,120",16,350,426,"false",,,,,,,,,,,,
"small_a_28","TID_SMALL_A_28","level/base/small_a_28.json","layout/small_a.level","0,4300,3900,250,110",15,317,377,"false",,,,,,,,,,,,
"small_a_29","TID_SMALL_A_29","level/base/small_a_29.json","layout/small_a.level","0,4300,3900,250,110",15,294,343,"false",,,,,,,,,,,,
"small_a_30","TID_SMALL_A_30","level/base/small_a_30.json","layout/small_a.level","0,2900,2500,150,60",12,250,281,"false",,,,,,,,,,,,
"small_a_31","TID_SMALL_A_31","level/base/small_a_31.json","layout/small_a.level","0,1100,900,40,10",6,36,99,"false",,,,,,,,,,,,
"small_a_32","TID_SMALL_A_32","level/base/small_a_32.json","layout/small_a.level","0,1100,900,40,10",6,36,102,"false",,,,,,,,,,,,
"small_a_2_mortar2","TID_SMALL_A_2_MORTAR2","level/base/small_a_2_mortar2.json","layout/small_a.level","0,1100,900,40,10",6,112,118,"false",,,,,,,,,,,,
"small_a_33","TID_SMALL_A_33","level/base/small_a_33.json","layout/small_a.level","0,640,600,30,5",3,52,64,"false",,,,,,,,,,,,
"small_a_34","TID_SMALL_A_34","level/base/small_a_34.json","layout/small_a.level","0,500,400,20,5",1,20,40,"false",,,,,,,,,,,,
"small_a_35","TID_SMALL_A_35","level/base/small_a_35.json","layout/small_a.level","0,1100,900,40,10",6,98,104,"false",,,,,,,,,,,,
"small_a_36","TID_SMALL_A_36","level/base/small_a_36.json","layout/small_a.level","0,1100,900,40,10",6,91,98,"false",,,,,,,,,,,,
"small_a_37","TID_SMALL_A_37","level/base/small_a_37.json","layout/small_a.level","0,1300,1000,50,10",7,132,138,"false",,,,,,,,,,,,
"small_a_38","TID_SMALL_A_38","level/base/small_a_38.json","layout/small_a.level","0,1300,1000,50,10",7,126,132,"false",,,,,,,,,,,,
"small_b_00","TID_SMALL_B_00","level/base/small_b_00.json","layout/small_b.level","0,1100,900,40,10",6,109,115,"false",,,,,,,,,,,,
"small_b_01","TID_SMALL_B_01","level/base/small_b_01.json","layout/small_b.level","0,1300,1000,50,10",7,127,133,"false",,,,,,,,,,,,
"small_b_02","TID_SMALL_B_02","level/base/small_b_02.json","layout/small_b.level","0,1100,900,40,10",6,108,114,"false",,,,,,,,,,,,
"small_b_03","TID_SMALL_B_03","level/base/small_b_03.json","layout/small_b.level","0,1300,1000,50,10",7,136,143,"false",,,,,,,,,,,,
"small_b_04","TID_SMALL_B_04","level/base/small_b_04.json","layout/small_b.level","0,1600,1200,60,20",8,142,149,"false",,,,,,,,,,,,
"small_b_05","TID_SMALL_B_05","level/base/small_b_05.json","layout/small_b.level","0,1100,900,40,10",6,99,105,"false",,,,,,,,,,,,
"small_b_06","TID_SMALL_B_06","level/base/small_b_06.json","layout/small_b.level","0,1900,1500,80,30",9,187,200,"false",,,,,,,,,,,,
"small_b_07","TID_SMALL_B_07","level/base/small_b_07.json","layout/small_b.level","0,1900,1500,80,30",9,193,208,"false",,,,,,,,,,,,
"small_b_08","TID_SMALL_B_08","level/base/small_b_08.json","layout/small_b.level","0,1300,1000,50,10",7,132,138,"false",,,,,,,,,,,,
"small_b_09","TID_SMALL_B_09","level/base/small_b_09.json","layout/small_b.level","0,4300,3900,250,110",15,319,379,"false",,,,,,,,,,,,
"small_b_1","TID_SMALL_B_1","level/base/small_b_1.json","layout/small_b.level","0,640,600,30,5",3,46,59,"false",,,,,,,,,,,,
"small_b_2","TID_SMALL_B_2","level/base/small_b_2.json","layout/small_b.level","0,640,600,30,5",3,47,60,"false",,,,,,,,,,,,
"small_b_3","TID_SMALL_B_3","level/base/small_b_3.json","layout/small_b.level","0,900,800,40,10",5,80,88,"false",,,,,,,,,,,,
"small_b_4_missile","TID_SMALL_B_4_MISSILE","level/base/small_b_4_missile.json","layout/small_b.level","0,900,800,40,10",5,83,90,"false",,,,,,,,,,,,
"small_b_4_flamer","TID_SMALL_B_4_FLAMER","level/base/small_b_4_flamer.json","layout/small_b.level","0,550,500,20,5",2,27,45,"false",,,,,,,,,,,,
"small_b_4_mortar","TID_SMALL_B_4_MORTAR","level/base/small_b_4_mortar.json","layout/small_b.level","0,720,700,30,5",4,76,84,"false",,,,,,,,,,,,
"small_b_4_cannon","TID_SMALL_B_4_CANNON","level/base/small_b_4_cannon.json","layout/small_b.level","0,640,600,30,5",3,47,60,"false",,,,,,,,,,,,
"small_b_5","TID_SMALL_B_5","level/base/small_b_5.json","layout/small_b.level","0,1900,1500,80,30",9,157,166,"false",,,,,,,,,,,,
"small_b_6","TID_SMALL_B_6","level/base/small_b_6.json","layout/small_b.level","0,1900,1500,80,30",9,152,160,"false",,,,,,,,,,,,
