"Name","SWF","ExportName","ExportNameEnemy","ParticleEmitter","Speed","StartHeight","StartOffset","IsBallistic","DisplayShadow","SpawnProjectile","SpawnCount","SpawnRangeMin","SpawnRangeMax","SpawnRandomAngleOffset","SpawnSpread","RopeShoot","RopePull","PullExportName"
"Tower Ammo","sc/in-game.sc","machine_gun_ammo","machine_gun_ammo",,2400,270,60,"true",,,,,,,,,,
"Bazooka Ammo","sc/in-game.sc","bazooka_ammo1","bazooka_ammo1","Bazooka trail",1200,90,60,"true","true",,,,,,,,,
"Tank Shell","sc/in-game.sc","cannon_ammo","cannon_ammo",,4000,135,500,"true","true",,,,,,,,,
"Boss Mortar","sc/in-game.sc","mortar_ammo","mortar_ammo","mortar_trail",600,95,20,"true","true",,,,,,,,,
"Barrage Ammo","sc/in-game.sc","barrage_ammo","barrage_ammo","Barrage_trail",3800,200,20,"true","true",,,,,,,,,
"smoke_ammo","sc/in-game.sc","smoke_ammo","smoke_ammo",,4000,200,20,"true","true",,,,,,,,,
"Grenadier Ammo","sc/in-game.sc","granade","granade",,1100,150,60,"true","true",,,,,,,,,
"ShockLauncherAmmo","sc/in-game.sc","stun_ammo","stun_ammo",,1200,300,500,"true","true",,,,,,,,,
"Flamer Ammo","sc/in-game.sc","Flamethrower_ammo","Flamethrower_ammo",,1000,0,0,,,,,,,,,,,
"DecoyAmmo","sc/in-game.sc","drone_ammo","drone_ammo_BG","Bazooka trail",2500,200,20,"true","true",,,,,,,,,
"Doom Ammo","sc/in-game.sc","doom_ammo","doom_ammo",,6000,300,370,"true",,,,,,,,,,
"Doom Ammo2","sc/in-game.sc","doom_ammo","doom_ammo",,4000,320,370,"true",,,,,,,,,,
"shock minigun Ammo","sc/in-game.sc","shock_minigun_ammo","shock_minigun_ammo",,2400,120,500,,,,,,,,,,,
"Tower Ammo2","sc/in-game.sc","machine_gun_ammo2","machine_gun_ammo2",,3500,300,60,"true",,,,,,,,,,
"Mortar Ammo2","sc/in-game.sc","mortar_ammo2","mortar_ammo2","mortar_trail",500,320,20,"true","true",,,,,,,,,
"Freeze Ammo","sc/in-game.sc","doom_ammo","doom_ammo",,4000,75,,"true",,,,,,,,,,
"Cluster Bomb","sc/in-game.sc","mortar_ammo2","mortar_ammo2","mortar_trail",600,320,20,"true","true","Cluster Shrapnel",5,200,300,30,360,,,
"Cluster Shrapnel","sc/in-game.sc","mortar_ammo","mortar_ammo","mortar_trail",100,0,0,"true","true",,,,,,,,,
"harpoon_projectile","sc/in-game.sc","harpoon_projectile","harpoon_projectile",,2100,250,500,"true","true",,,,,,,"line_shoot","line_pull","harpoon_projectile_1_closed"
"harpoon_projectile_2","sc/in-game.sc","harpoon_projectile_2","harpoon_projectile_2",,2100,250,500,"true","true",,,,,,,"line_shoot","line_pull","harpoon_projectile_2_closed"
"harpoon_projectile_3","sc/in-game.sc","harpoon_projectile_3","harpoon_projectile_3",,2100,250,500,"true","true",,,,,,,"line_shoot","line_pull","harpoon_projectile_3_closed"
"scary_mortar_ammo","sc/in-game.sc","scary_mortar_ammo","scary_mortar_ammo","Barrage_trail",600,320,20,"true","true",,,,,,,,,
"SargeGrenade","sc/in-game.sc","hero_grenade","hero_grenade","Bazooka trail",1100,150,60,"true","true",,,,,,,,,
"SargeClusterGrenade","sc/in-game.sc","hero_clusterbomb","hero_clusterbomb","mortar_trail",800,150,60,"true","true","SargeClusterGrenadeShrapnel",16,150,1000,10,120,,,
"SargeClusterGrenadeShrapnel","sc/in-game.sc","hero_grenade_shrapnel","hero_grenade_shrapnel","Bazooka trail",800,400,60,"true","true",,,,,,,,,
"MechroDemoCharge","sc/in-game.sc","detonate_pack_projectile","detonate_pack_projectile",,1200,150,20,"true","true",,,,,,,,,
"MechroHackingRay","sc/in-game.sc","mechnomancer_hack_projectile","mechnomancer_hack_projectile",,2400,50,60,,,,,,,,,,,
"MedicineManResurrectionCell","sc/in-game.sc","resurrection_cell_animation","resurrection_cell_animation",,400,1000,40,"true","true",,,,,,,,,
"MedicineManAmmo","sc/in-game.sc","healing_spark_asset","healing_spark_asset",,1400,300,,,,,,,,,,,,
"CrystalCritterAmmo","sc/in-game.sc","healing_crystal_spark_asset","healing_crystal_spark_asset",,1400,75,,,,,,,,,,,,
