"Name","TID","InfoTID","FlavorTID","IconSWF","IconExportName","BigPictureSWF","BigPicture","ActiveAbility","HeroLevel","UpgradeTimeH","UpgradeTimeM","UpgradeCost","Radius","DurationMS","TargetBuildingClass","HealPerSecond","ChargeSpeedBoost","ChargeStatusEffect","ChargeDuration","EffectBuildingSelected","DamageBoost","StunTimeMS","Spell","SpellSecondary","AttackDamage","AttackDamageSecondary","AttackRange","AttackRate","AttackSpread","DamageRadius","FriendlyFire","AttackEffect","Projectile","HitEffect","Energy","EnergyIncrease","AttackLength"
,,,,,,,,,4,16,,16,,7000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9,32,,32,,8000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,13,64,,64,,9000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,17,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clustergrenade","TID_ABILITY_CLUSTER_GRENADE","TID_STATBAR_HINT_ABILITY_GRENADE_ACTIVE_DESCRIPTION","TID_ABILITY_CLUSTER_GRENADE_FLAVOR","sc/ui.sc","icon_heroability_clustergrenade","sc/ui.sc","icon_heroability_clustergrenade","true",,,,,,,,,,,,,,,,,,,1130,0,200,600,"TRUE","Hero Sgt Cluster Grenade","SargeClusterGrenade","Reef Mortar Hit",3,3,1000
,,,,,,,,,,8,,8,,,,,,,,,,,,,862,87,,,,,,,,,,,
,,,,,,,,,4,16,,16,,,,,,,,,,,,,1309,131,,,,,,,,,,,
,,,,,,,,,8,32,,32,,,,,,,,,,,,,1988,199,,,,,,,,,,,
,,,,,,,,,12,64,,64,,,,,,,,,,,,,3017,302,,,,,,,,,,,
,,,,,,,,,16,,,,,,,,,,,,,,,,4580,458,,,,,,,,,,,
"Protector","TID_ABILITY_PROTECTOR","TID_STATBAR_HINT_ABILITY_PROTECTOR_PASSIVE_DESCRIPTION",,,,,,,,,,,,,,,,,,,,,,,-50,,1130,0,200,190,"TRUE",,"HealerAmmo","Healer_area",,,1000
,,,,,,,,,,,,,,,,,,,,,,,,,-53,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-56,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-59,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-62,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-65,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-68,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-71,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-74,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-77,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-80,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-83,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-86,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-89,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-92,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-95,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-98,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,,,,,,,
"Medicritters","TID_ABILITY_MEDICRITTERS","TID_STATBAR_HINT_ABILITY_MEDICRITTER_DESCRIPTION","TID_ABILITY_MEDICRITTER_FLAVOR","sc/ui.sc","icon_heroability_medicritters","sc/ui.sc","icon_heroability_medicritters","true",,,,,,,,,,,,,,,"HeroWitchDoctorSwarm",,,,,,,,,"WitchDoctorCrittersVo",,,8,7,1000
,,,,,,,,,,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,4,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7,32,,32,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9,64,,64,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crystalshields","TID_ABILITY_CRYSTALSHIELDS","TID_STATBAR_HINT_ABILITY_CRYSTALSHIELDS_DESCRIPTION","TID_ABILITY_CRYSTALSHIELDS_FLAVOR","sc/ui.sc","icon_heroability_crystalshields","sc/ui.sc","icon_heroability_crystalshields","true",,,,,,,,,,,,,,,"HeroShieldTroops",,,,,0,,,,"WitchDoctorShieldVo",,,6,8,1000
,,,,,,,,,2,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,5,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,8,32,,32,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,12,64,,64,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Defib","TID_ABILITY_DEFIB","TID_STATBAR_HINT_ABILITY_DEFIB_DESCRIPTION","TID_ABILITY_DEFIB_FLAVOR","sc/ui.sc","icon_heroability_defib","sc/ui.sc","icon_heroability_defib","true",,,,,,,,,,,,,,,"HeroWitchDoctorDefib",,,,,,,,,"WitchDoctorDefibVo",,,8,10,4000
,,,,,,,,,3,8,,8,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,6,16,,16,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9,32,,32,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,13,64,,64,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
