"Name","IsHeroAbility","UnlockTownHallLevel","UpgradeHouseLevel","DeployTimeMS","ChargingTimeMS","HitTimeMS","UpgradeTimeH","UpgradeCost","BoostTimeMS","SpeedBoost","ArmorBoost","DamageBoost","Damage","Shield","Radius","RadiusAgainstTroops","NumberOfHits","RandomRadius","TimeBetweenHitsMS","RandomRadiusAffectsOnlyGfx","IsStun","IsFocusFire","IsSmoke","DecoyCount","ProjectileForAllHits","Energy","EnergyIncrease","SpawnCharacter","SpawnCount","SpawnLimit","SpawnLifetime","ResurrectHousingSpace","ResurrectProjectile","ResurrectProjectileHitEffect","XpGain","TID","InfoTID","SubtitleTID","IconSWF","IconExportName","BigPictureSWF","BigPicture","PreDeployEffect","DeployEffect","DeployEffect2","ChargingEffect","HitEffect","Projectile","HitEffectBuildingSelected","HitEffectBuildingSelected2","DurationTID"
,,,20,,,,59,5900000,0,0,,,5644,,49,150,1,0,1,,,,,,,,,,,,,,,,85,,,,,"icon_ability_artillery",,,,,,,,,,,
,,,21,,,,,,0,0,,,6264,,49,150,1,0,1,,,,,,,,,,,,,,,,,,,,,"icon_ability_artillery",,,,,,,,,,,
"Flare",,3,1,0,0,0,2,6300,6000,0,0,,0,,20000,20000,1,0,1,"TRUE",,"TRUE",,,"TRUE",2,1,,,,,,,,14,"TID_FLARE","TID_FLARE_INFO","TID_FLARE_SUBTITLE","sc/ui.sc","icon_ability_flare","sc/ui.sc","icon_ability_flare","Weapon Deploy","Flare1",,,,"FocusFireAmmo","Flare building",,"TID_STATBAR_HINT_DURATION_FLARE"
,,,1,,,,8,105000,8000,0,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,"icon_ability_flare",,,,"Flare2",,,,,,,
,,,5,,,,17,350000,11000,0,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,"icon_ability_flare",,,,"Flare3",,,,,,,
,,,9,,,,26,1080000,15000,0,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,"icon_ability_flare",,,,"Flare4",,,,,,,
,,,12,,,,35,2600000,20000,0,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,"icon_ability_flare",,,,"Flare5",,,,,,,
,,,15,,,,41,4200000,25000,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,"icon_ability_flare",,,,"Flare6",,,,,,,
,,,18,,,,,,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"icon_ability_flare",,,,"Flare7",,,,,,,
"Medkit",,4,1,0,0,0,3,12100,0,0,,,-7,,350,350,25,200,300,"TRUE",,,,,,6,3,,,,,,,,17,"TID_MEDKIT","TID_MEDKIT_INFO","TID_MEDKIT_SUBTITLE","sc/ui.sc","icon_ability_heal","sc/ui.sc","icon_ability_heal","Weapon Deploy","Heal area","Heal area top",,,"HealAmmo",,,"TID_STATBAR_HINT_DURATION_MEDIKIT"
,,,1,,,,4,23800,0,0,,,-8,,350,350,25,200,300,,,,,,,,,,,,,,,,20,,,,,"icon_ability_heal",,,,,,,,,,,
,,,2,,,,7,50000,0,0,,,-9,,350,350,25,200,300,,,,,,,,,,,,,,,,26,,,,,"icon_ability_heal",,,,,,,,,,,
,,,3,,,,9,99000,0,0,,,-10,,350,350,25,200,300,,,,,,,,,,,,,,,,33,,,,,"icon_ability_heal",,,,,,,,,,,
,,,4,,,,14,168000,0,0,,,-11,,350,350,25,200,300,,,,,,,,,,,,,,,,38,,,,,"icon_ability_heal",,,,,,,,,,,
,,,5,,,,19,284000,0,0,,,-12,,350,350,25,200,300,,,,,,,,,,,,,,,,45,,,,,"icon_ability_heal",,,,,,,,,,,
,,,6,,,,25,450000,0,0,,,-13,,350,350,25,200,300,,,,,,,,,,,,,,,,52,,,,,"icon_ability_heal",,,,,,,,,,,
,,,7,,,,28,650000,0,0,,,-14,,350,350,25,200,300,,,,,,,,,,,,,,,,56,,,,,"icon_ability_heal",,,,,,,,,,,
,,,8,,,,28,760000,0,0,,,-15,,350,350,25,200,300,,,,,,,,,,,,,,,,56,,,,,"icon_ability_heal",,,,,,,,,,,
,,,9,,,,32,850000,0,0,,,-16,,350,350,25,200,300,,,,,,,,,,,,,,,,59,,,,,"icon_ability_heal",,,,,,,,,,,
,,,10,,,,37,1160000,0,0,,,-17,,350,350,25,200,300,,,,,,,,,,,,,,,,66,,,,,"icon_ability_heal",,,,,,,,,,,
,,,11,,,,44,1590000,0,0,,,-19,,350,350,25,200,300,,,,,,,,,,,,,,,,71,,,,,"icon_ability_heal",,,,,,,,,,,
,,,12,,,,44,1800000,0,0,,,-21,,350,350,25,200,300,,,,,,,,,,,,,,,,71,,,,,"icon_ability_heal",,,,,,,,,,,
,,,13,,,,54,2160000,0,0,,,-23,,350,350,25,200,300,,,,,,,,,,,,,,,,80,,,,,"icon_ability_heal",,,,,,,,,,,
,,,14,,,,60,2970000,0,0,,,-25,,350,350,25,200,300,,,,,,,,,,,,,,,,83,,,,,"icon_ability_heal",,,,,,,,,,,
,,,15,,,,60,3400000,0,0,,,-27,,350,350,25,200,300,,,,,,,,,,,,,,,,83,,,,,"icon_ability_heal",,,,,,,,,,,
,,,16,,,,67,3800000,0,0,,,-29,,350,350,25,200,300,,,,,,,,,,,,,,,,88,,,,,"icon_ability_heal",,,,,,,,,,,
,,,17,,,,70,4500000,0,0,,,-31,,350,350,25,200,300,,,,,,,,,,,,,,,,90,,,,,"icon_ability_heal",,,,,,,,,,,
,,,18,,,,73,5300000,0,0,,,-34,,350,350,25,200,300,,,,,,,,,,,,,,,,92,,,,,"icon_ability_heal",,,,,,,,,,,
,,,19,,,,76,6100000,0,0,,,-37,,350,350,25,200,300,,,,,,,,,,,,,,,,94,,,,,"icon_ability_heal",,,,,,,,,,,
,,,20,,,,78,6600000,0,0,,,-40,,350,350,25,200,300,,,,,,,,,,,,,,,,96,,,,,"icon_ability_heal",,,,,,,,,,,
,,,21,,,,,,0,0,,,-43,,350,350,25,200,300,,,,,,,,,,,,,,,,,,,,,"icon_ability_heal",,,,,,,,,,,
"Stun",,7,4,0,0,0,8,66000,5000,0,0,,0,,320,320,1,0,1,"TRUE","TRUE",,,,"TRUE",7,5,,,,,,,,30,"TID_STUN","TID_STUN_INFO","TID_STUN_SUBTITLE","sc/ui.sc","icon_ability_smoke","sc/ui.sc","icon_ability_smoke","Weapon Deploy","Stun Hit_1","Stun HitTop",,,"StunAmmo",,,"TID_STATBAR_HINT_DURATION_SHOCK"
,,,4,,,,21,245000,6000,0,,,,,320,320,1,0,1,,,,,,,,,,,,,,,,47,,,,,"icon_ability_smoke",,,,"Stun Hit_2","Stun HitTop",,,,,,
,,,7,,,,30,880000,7000,0,,,,,320,320,1,0,1,,,,,,,,,,,,,,,,60,,,,,"icon_ability_smoke",,,,"Stun Hit_3","Stun HitTop",,,,,,
,,,11,,,,49,2180000,8000,0,,,,,320,320,1,0,1,,,,,,,,,,,,,,,,76,,,,,"icon_ability_smoke",,,,"Stun Hit_4","Stun HitTop",,,,,,
,,,15,,,,57,3700000,9000,0,,,,,320,320,1,0,1,,,,,,,,,,,,,,,,81,,,,,"icon_ability_smoke",,,,"Stun Hit_5","Stun HitTop",,,,,,
,,,18,,,,0,0,10000,0,,,,,320,320,1,0,1,,,,,,,,,,,,,,,,,,,,,"icon_ability_smoke",,,,"Stun Hit_6","Stun HitTop",,,,,,
"Airstrike",,10,7,600,1000,1100,25,360000,0,0,,,190,,149,180,15,300,300,"FALSE",,,,,"TRUE",10,6,,,,,,,,52,"TID_BARRAGE","TID_BARRAGE_INFO","TID_BARRAGE_SUBTITLE","sc/ui.sc","icon_ability_airstrike","sc/ui.sc","icon_ability_airstrike","Artillery Deploy",,,,"Airstrike Hit","Barrage Ammo",,,
,,,7,,,,28,640000,0,0,,,209,,149,180,15,300,300,,,,,,,,,,,,,,,,56,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,8,,,,28,800000,0,0,,,230,,149,180,15,300,300,,,,,,,,,,,,,,,,56,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,9,,,,32,900000,0,0,,,253,,149,180,15,300,300,,,,,,,,,,,,,,,,59,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,10,,,,37,1230000,0,0,,,278,,149,180,15,300,300,,,,,,,,,,,,,,,,66,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,11,,,,44,1680000,0,0,,,306,,149,180,15,300,300,,,,,,,,,,,,,,,,71,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,12,,,,44,1900000,0,0,,,337,,149,180,15,300,300,,,,,,,,,,,,,,,,71,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,13,,,,54,2280000,0,0,,,370,,149,180,15,300,300,,,,,,,,,,,,,,,,80,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,14,,,,60,3140000,0,0,,,407,,149,180,15,300,300,,,,,,,,,,,,,,,,83,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,15,,,,60,3600000,0,0,,,448,,149,180,15,300,300,,,,,,,,,,,,,,,,83,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,16,,,,67,4000000,0,0,,,493,,149,180,15,300,300,,,,,,,,,,,,,,,,88,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,17,,,,67,4500000,0,0,,,542,,149,180,15,300,300,,,,,,,,,,,,,,,,88,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,17,,,,70,4800000,0,0,,,596,,149,180,15,300,300,,,,,,,,,,,,,,,,90,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,18,,,,73,5600000,0,0,,,656,,149,180,15,300,300,,,,,,,,,,,,,,,,92,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,19,,,,75,6400000,0,0,,,722,,149,180,15,300,300,,,,,,,,,,,,,,,,93,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,20,,,,77,7000000,0,0,,,794,,149,180,15,300,300,,,,,,,,,,,,,,,,95,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,21,,,,79,7500000,0,0,,,873,,149,180,15,300,300,,,,,,,,,,,,,,,,97,,,,,"icon_ability_airstrike",,,,,,,,,,,
,,,22,,,,,,0,0,,,960,,149,180,15,300,300,,,,,,,,,,,,,,,,,,,,,"icon_ability_airstrike",,,,,,,,,,,
"Smoke",,14,14,0,0,0,32,1350000,400,0,,,0,,430,430,32,0,250,"FALSE",,,"TRUE",,,2,1,,,,,,,,61,"TID_SMOKE_SCREEN","TID_SMOKE_SCREEN_INFO","TID_SMOKE_SCREEN_SUBTITLE","sc/ui.sc","icon_ability_smokescreen","sc/ui.sc","icon_ability_smokescreen","Weapon Deploy","Smokescreen_Shadow_1","Smokescreen_1",,,"smoke_ammo",,,"TID_STATBAR_HINT_DURATION_SMOKE"
,,,14,,,,35,1950000,,0,,,,,430,430,36,0,250,,,,,,,,,,,,,,,,64,,,,,,,,,"Smokescreen_Shadow_2","Smokescreen_2",,,,,,
,,,15,,,,35,2250000,,0,,,,,430,430,40,0,250,,,,,,,,,,,,,,,,64,,,,,,,,,"Smokescreen_Shadow_3","Smokescreen_3",,,,,,
,,,16,,,,40,3000000,,0,,,,,430,430,44,0,250,,,,,,,,,,,,,,,,68,,,,,,,,,"Smokescreen_Shadow_4","Smokescreen_4",,,,,,
,,,17,,,,41,3800000,,0,,,,,430,430,48,0,250,,,,,,,,,,,,,,,,69,,,,,,,,,"Smokescreen_Shadow_5","Smokescreen_5",,,,,,
,,,18,,,,,,,0,,,,,430,430,52,0,250,,,,,,,,,,,,,,,,,,,,,,,,,"Smokescreen_Shadow_6","Smokescreen_6",,,,,,
"Drone",,19,19,0,0,0,50,5300000,0,0,,,,,,,1,300,1,"FALSE",,,,6,"TRUE",8,5,,,,,,,,70,"TID_DRONE","TID_DRONE_INFO","TID_DRONE_SUBTITLE","sc/ui.sc","icon_ability_drone","sc/tutorial.sc","unit_drone","Weapon Deploy",,,,"Decoy Hit","DecoyAmmo",,,
,,,19,,,,56,6600000,0,0,,,,,,,1,300,1,,,,,7,,,,,,,,,,,74,,,,,"icon_ability_drone",,,,,,,,,,,
,,,19,,,,60,7000000,0,0,,,,,,,1,300,1,,,,,8,,,,,,,,,,,77,,,,,"icon_ability_drone",,,,,,,,,,,
,,,19,,,,66,7400000,0,0,,,,,,,1,300,1,,,,,9,,,,,,,,,,,81,,,,,"icon_ability_drone",,,,,,,,,,,
,,,20,,,,72,7800000,0,0,,,,,,,1,300,1,,,,,10,,,,,,,,,,,84,,,,,"icon_ability_drone",,,,,,,,,,,
,,,20,,,,78,8000000,0,0,,,,,,,1,300,1,,,,,11,,,,,,,,,,,88,,,,,"icon_ability_drone",,,,,,,,,,,
,,,20,,,,,,0,0,,,,,,,1,300,1,,,,,12,,,,,,,,,,,,,,,,"icon_ability_drone",,,,,,,,,,,
"HeroSpeedDamage","TRUE",0,1,0,0,0,0,0,2000,40,0,15,0,,1000,1000,25,200,300,"TRUE",,,,,,0,0,,,,,,,,,,,,,,,,"Hero Sgt Boost","Battle Order","Battle Order2",,,,,,
,,,,,,,,1,,40,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,42,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,45,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,47,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,50,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HeroDamageResistance","TRUE",0,1,0,0,0,0,0,2000,0,500,,0,,1000,1000,25,200,300,"TRUE",,,,,,0,0,,,,,,,,,,,,,,,,"SargeShield","Shield",,,,,,,"TID_STATBAR_HINT_DURATION_MEDIKIT"
,,,,,,,,1,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HeroMechanic","TRUE",0,1,0,0,0,0,0,0,0,0,0,0,,500,0,1,0,300,,,,,,,,,"Drone",3,12,,,,,,,,,,,,,,,,,"Mechnomancer Skill Critters Passive",,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HeroMechanicSwarm","TRUE",0,1,0,0,0,0,0,0,0,0,0,0,,500,0,1,0,300,,,,,,,,,"Drone",8,,,,,,,,,,,,,,,,,,"Mechnomancer Skill Critters",,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
"HeroWitchDoctorSwarm","TRUE",0,1,0,0,0,0,0,0,0,0,0,0,,500,0,1,0,300,,,,,,,,,"WitchDoctorDrone",4,,15000,,,,,,,,,,,,,,,,"Crystal Critter Summon",,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
"HeroShieldTroops","TRUE",0,1,0,0,0,0,0,8000,0,0,0,0,140,1000,1000,1,0,300,,,,,,,,,,,,,,,,,,,,,,,,,"Unit Shield Spell Pulse",,,,,,,
,,,,,,,,,8000,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,8500,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9000,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,9500,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,10000,,,,,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HeroWitchDoctorDefib","TRUE",0,1,0,0,0,0,0,,,,,,,,,8,,500,,,,,,,,,,,,,8,"MedicineManResurrectionCell","Resurrection Cell Hit",,,,,,,,,"Resurrection Aura Pulse",,,,,,,,
,,,,,,,,1,,,,,,,,,8,,500,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,10,,400,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,12,,330,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,14,,285,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,,,,,,,,,16,,250,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,
