"Name","Level","TID","InfoTID","Action","ActionCount","ActionData","DiamondReward","IconSWF","IconExportName","AndroidID","GameCenterPoints"
"com.supercell.reef.winwithoutlosses2",2,"TID_ACHIEVEMENT_WIN_WITHOUT_LOSSES_TITLE","TID_ACHIEVEMENT_WIN_WITHOUT_LOSSES","win_without_losses",1,50,40,,,"CgkI3vmPzagWEAIQJw",18
,,,,,,,,,,,
"com.supercell.reef.winevent0",0,"TID_ACHIEVEMENT_WIN_EVENT_TITLE","TID_ACHIEVEMENT_WIN_EVENT","win_event",5,,30,,,"CgkI3vmPzagWEAIQKA",9
"com.supercell.reef.winevent1",1,"TID_ACHIEVEMENT_WIN_EVENT_TITLE","TID_ACHIEVEMENT_WIN_EVENT","win_event",100,,80,,,"CgkI3vmPzagWEAIQKQ",13
"com.supercell.reef.winevent2",2,"TID_ACHIEVEMENT_WIN_EVENT_TITLE","TID_ACHIEVEMENT_WIN_EVENT","win_event",1000,,200,,,"CgkI3vmPzagWEAIQKg",18
,,,,,,,,,,,
"com.supercell.reef.deepsea0",0,"TID_ACHIEVEMENT_DEEPSEA_TITLE","TID_ACHIEVEMENT_DEEPSEA","deepsea",5,,10,,,"CgkI3vmPzagWEAIQKw",9
"com.supercell.reef.deepsea1",1,"TID_ACHIEVEMENT_DEEPSEA_TITLE","TID_ACHIEVEMENT_DEEPSEA","deepsea",50,,20,,,"CgkI3vmPzagWEAIQLA",13
"com.supercell.reef.deepsea2",2,"TID_ACHIEVEMENT_DEEPSEA_TITLE","TID_ACHIEVEMENT_DEEPSEA","deepsea",500,,30,,,"CgkI3vmPzagWEAIQLQ",18
,,,,,,,,,,,
"com.supercell.reef.coopvps0",0,"TID_ACHIEVEMENT_COOPVPS_TITLE","TID_ACHIEVEMENT_COOPVPS","coopvps",100,,10,,,"CgkI3vmPzagWEAIQLg",9
"com.supercell.reef.coopvps1",1,"TID_ACHIEVEMENT_COOPVPS_TITLE","TID_ACHIEVEMENT_COOPVPS","coopvps",400,,20,,,"CgkI3vmPzagWEAIQLw",13
"com.supercell.reef.coopvps2",2,"TID_ACHIEVEMENT_COOPVPS_TITLE","TID_ACHIEVEMENT_COOPVPS","coopvps",800,,30,,,"CgkI3vmPzagWEAIQMQ",18
,,,,,,,,,,,
"com.supercell.reef.hammerman0",0,"TID_ACHIEVEMENT_HAMMERMAN_TITLE","TID_ACHIEVEMENT_HAMMERMAN","hammerman",2000,,25,,,"CgkI3vmPzagWEAIQMg",9
"com.supercell.reef.hammerman1",1,"TID_ACHIEVEMENT_HAMMERMAN_TITLE","TID_ACHIEVEMENT_HAMMERMAN","hammerman",16000,,50,,,"CgkI3vmPzagWEAIQMw",13
"com.supercell.reef.hammerman2",2,"TID_ACHIEVEMENT_HAMMERMAN_TITLE","TID_ACHIEVEMENT_HAMMERMAN","hammerman",40000,,100,,,"CgkI3vmPzagWEAIQNA",18
,,,,,,,,,,,
"com.supercell.reef.gearheart0",0,"TID_ACHIEVEMENT_GEARHEART_TITLE","TID_ACHIEVEMENT_GEARHEART","gearheart",150,,25,,,"CgkI3vmPzagWEAIQNQ",9
"com.supercell.reef.gearheart1",1,"TID_ACHIEVEMENT_GEARHEART_TITLE","TID_ACHIEVEMENT_GEARHEART","gearheart",900,,50,,,"CgkI3vmPzagWEAIQNg",13
"com.supercell.reef.gearheart2",2,"TID_ACHIEVEMENT_GEARHEART_TITLE","TID_ACHIEVEMENT_GEARHEART","gearheart",2100,,100,,,"CgkI3vmPzagWEAIQNw",18
,,,,,,,,,,,
"com.supercell.reef.explorer0",0,"TID_ACHIEVEMENT_EXPLORER_TITLE","TID_ACHIEVEMENT_EXPLORER","explorer",25,,10,,,"CgkI3vmPzagWEAIQOA",9
"com.supercell.reef.explorer1",1,"TID_ACHIEVEMENT_EXPLORER_TITLE","TID_ACHIEVEMENT_EXPLORER","explorer",75,,20,,,"CgkI3vmPzagWEAIQOQ",13
"com.supercell.reef.explorer2",2,"TID_ACHIEVEMENT_EXPLORER_TITLE","TID_ACHIEVEMENT_EXPLORER","explorer",149,,30,,,"CgkI3vmPzagWEAIQOg",18
,,,,,,,,,,,
"com.supercell.reef.armourer0",0,"TID_ACHIEVEMENT_ARMOURER_TITLE","TID_ACHIEVEMENT_ARMOURER","armourer",30,,10,,,"CgkI3vmPzagWEAIQOw",9
"com.supercell.reef.armourer1",1,"TID_ACHIEVEMENT_ARMOURER_TITLE","TID_ACHIEVEMENT_ARMOURER","armourer",110,,20,,,"CgkI3vmPzagWEAIQPA",13
"com.supercell.reef.armourer2",2,"TID_ACHIEVEMENT_ARMOURER_TITLE","TID_ACHIEVEMENT_ARMOURER","armourer",235,,30,,,"CgkI3vmPzagWEAIQPQ",18
,,,,,,,,,,,
"com.supercell.reef.artisan0",0,"TID_ACHIEVEMENT_ARTISAN_TITLE","TID_ACHIEVEMENT_ARTISAN","artisan",30,,10,,,"CgkI3vmPzagWEAIQPg",9
"com.supercell.reef.artisan1",1,"TID_ACHIEVEMENT_ARTISAN_TITLE","TID_ACHIEVEMENT_ARTISAN","artisan",300,,20,,,"CgkI3vmPzagWEAIQPw",13
"com.supercell.reef.artisan2",2,"TID_ACHIEVEMENT_ARTISAN_TITLE","TID_ACHIEVEMENT_ARTISAN","artisan",3000,,30,,,"CgkI3vmPzagWEAIQQA",18
,,,,,,,,,,,
"com.supercell.reef.prototype0",0,"TID_ACHIEVEMENT_PROTOTYPE_TITLE","TID_ACHIEVEMENT_PROTOTYPE","prototype",24,,10,,,"CgkI3vmPzagWEAIQQQ",9
"com.supercell.reef.prototype1",1,"TID_ACHIEVEMENT_PROTOTYPE_TITLE","TID_ACHIEVEMENT_PROTOTYPE","prototype",360,,20,,,"CgkI3vmPzagWEAIQQg",13
"com.supercell.reef.prototype2",2,"TID_ACHIEVEMENT_PROTOTYPE_TITLE","TID_ACHIEVEMENT_PROTOTYPE","prototype",960,,30,,,"CgkI3vmPzagWEAIQQw",18
