"Name","TID","SubtitleTID","CategoryTID","SWF","CollectEffect","IconExportName","ResourceIconExportName","GroupIconExportName","StealEffect","BaseResource","HeroResource","ArtifactType","ArtifactTier","PrototypePart","PremiumCurrency","HudInstanceName","CapFullTID","TextRed","TextGreen","TextBlue","SoundEffect"
"RarePieceFire","TID_RARE_PIECE_FIRE","TID_RARE_PIECE_SUBTITLE_FIRE","TID_ARTIFACT_CATEGORY_FIRE","sc/ui.sc","Collect Rare Artifact Fire","icon_artifact_rare_fire","icon_artifact_rare_fire","icon_artifact_group_rare","Collect Rare Artifact Fire",,,3,2,,,,,,,,
"EpicPieceFire","TID_EPIC_PIECE_FIRE","TID_EPIC_PIECE_SUBTITLE_FIRE","TID_ARTIFACT_CATEGORY_FIRE","sc/ui.sc","Collect Epic Artifact Fire","icon_artifact_epic_fire","icon_artifact_epic_fire","icon_artifact_group_epic","Collect Epic Artifact Fire",,,3,3,,,,,,,,
"CommonPieceDark","TID_COMMON_PIECE_DARK","TID_COMMON_PIECE_SUBTITLE_DARK","TID_ARTIFACT_CATEGORY_DARK","sc/ui.sc","Collect Common Artifact Purple","icon_artifact_common_purple","icon_artifact_common_purple","icon_artifact_group_common","Collect Common Artifact Purple",,,4,1,,,,,,,,
"RarePieceDark","TID_RARE_PIECE_DARK","TID_RARE_PIECE_SUBTITLE_DARK","TID_ARTIFACT_CATEGORY_DARK","sc/ui.sc","Collect Rare Artifact Purple","icon_artifact_rare_purple","icon_artifact_rare_purple","icon_artifact_group_rare","Collect Rare Artifact Purple",,,4,2,,,,,,,,
"EpicPieceDark","TID_EPIC_PIECE_DARK","TID_EPIC_PIECE_SUBTITLE_DARK","TID_ARTIFACT_CATEGORY_DARK","sc/ui.sc","Collect Epic Artifact Purple","icon_artifact_epic_purple","icon_artifact_epic_purple","icon_artifact_group_epic","Collect Epic Artifact Purple",,,4,3,,,,,,,,
"PowerStone","TID_POWERSTONE","TID_POWERSTONE_SUBTITLE","TID_ARTIFACT_CATEGORY_POWER_STONE","sc/ui.sc","Collect Power Stone","icon_artifact_power_stone","icon_artifact_power_stone",,"Collect Power Stone",,,5,4,,,,,,,,
"ProtoPart1","TID_PROTOPART1","TID_PROTOPART1_SUBTITLE",,"sc/ui.sc","Collect Proto Part 1","icon_proto_resource_1","icon_proto_resource_1",,"Collect Proto Part 1",,,,,1,,,,,,,
"ProtoPart2","TID_PROTOPART2","TID_PROTOPART2_SUBTITLE",,"sc/ui.sc","Collect Proto Part 2","icon_proto_resource_2","icon_proto_resource_2",,"Collect Proto Part 2",,,,,2,,,,,,,
"ProtoPart3","TID_PROTOPART3","TID_PROTOPART3_SUBTITLE",,"sc/ui.sc","Collect Proto Part 3","icon_proto_resource_3","icon_proto_resource_3",,"Collect Proto Part 3",,,,,3,,,,,,,
"ProtoPart4","TID_PROTOPART4","TID_PROTOPART4_SUBTITLE",,"sc/ui.sc","Collect Proto Part 4","icon_proto_resource_4","icon_proto_resource_4",,"Collect Proto Part 4",,,,,4,,,,,,,
"Scrap","TID_SCRAP_RESOURCE","TID_SCRAP_RESOURCE_SUBTITLE",,"sc/ui.sc","Collect Scrap","icon_scrap","icon_scrap",,"Collect Scrap",,"true",,,,,,,,,,
"Ticket","TID_TICKET_RESOURCE","TID_TICKET_RESOURCE_SUBTITLE",,"sc/ui.sc","Collect Tickets","icon_curious_coin","icon_curious_coin",,"Collect Tickets",,"true",,,,,,,,,,
"Supplies","TID_SUPPLIES","TID_SUPPLIES_SUBTITLE",,"sc/ui.sc","Collect Supplies","icon_sector_resource","icon_sector_resource",,"Collect Supplies",,,,,,,,"TID_RESOURCE_CAP_FULL_SUPPLIES",,,,
