"Name","TID","AreaMesh","GlowMesh","BorderMesh","AreaTexture","AreaTexture2","GlowTexture","BorderTexture","BaseRegionIndex","BaseNodeIndex","Regions","BuildTimeD","BuildTimeH","BuildTimeM","BuildTimeS","BuildCost","RewardResourcePercent","RewardArtifactPieces","MaxStoredSupplies","SectorOverlayOpacity","SectorOverlayMultiplierRed","SectorOverlayMultiplierGreen","SectorOverlayMultiplierBlue"
,,,,,,,,,,,124,,,,,,,,,,,,
,,,,,,,,,,,130,,,,,,,,,,,,
"Sector4","TID_SECTOR_4_NAME","sector_04","sector_04_glow","sector_04_border","model/sector_stripe_04.png","model/area_gradient_04.png","model/sector_gradient_04.png","model/sector_border_01.png",62,2,9,0,0,0,0,0,20,1,100,128,255,164,47
,,,,,,,,,,,18,,,30,,100,40,1,200,,,,
,,,,,,,,,,,24,,2,,,300,60,2,400,,,,
,,,,,,,,,,,36,,4,,,600,80,2,600,,,,
,,,,,,,,,,,52,,8,,,900,100,3,800,,,,
,,,,,,,,,,,54,,,,,,,,,,,,
,,,,,,,,,,,62,,,,,,,,,,,,
,,,,,,,,,,,69,,,,,,,,,,,,
,,,,,,,,,,,71,,,,,,,,,,,,
,,,,,,,,,,,76,,,,,,,,,,,,
,,,,,,,,,,,83,,,,,,,,,,,,
,,,,,,,,,,,86,,,,,,,,,,,,
,,,,,,,,,,,87,,,,,,,,,,,,
,,,,,,,,,,,91,,,,,,,,,,,,
,,,,,,,,,,,101,,,,,,,,,,,,
,,,,,,,,,,,107,,,,,,,,,,,,
,,,,,,,,,,,110,,,,,,,,,,,,
,,,,,,,,,,,114,,,,,,,,,,,,
,,,,,,,,,,,118,,,,,,,,,,,,
,,,,,,,,,,,126,,,,,,,,,,,,
,,,,,,,,,,,131,,,,,,,,,,,,
,,,,,,,,,,,132,,,,,,,,,,,,
,,,,,,,,,,,139,,,,,,,,,,,,
,,,,,,,,,,,141,,,,,,,,,,,,
,,,,,,,,,,,144,,,,,,,,,,,,
,,,,,,,,,,,146,,,,,,,,,,,,
"Sector5","TID_SECTOR_5_NAME","sector_05","sector_05_glow","sector_05_border","model/sector_stripe_05.png","model/area_gradient_05.png","model/sector_gradient_05.png","model/sector_border_01.png",37,3,2,0,0,0,0,0,20,1,100,128,105,239,110
,,,,,,,,,,,7,,,30,,100,40,1,200,,,,
,,,,,,,,,,,16,,2,,,300,60,2,400,,,,
,,,,,,,,,,,22,,4,,,600,80,2,600,,,,
,,,,,,,,,,,25,,8,,,900,100,3,800,,,,
,,,,,,,,,,,28,,,,,,,,,,,,
,,,,,,,,,,,30,,,,,,,,,,,,
,,,,,,,,,,,37,,,,,,,,,,,,
,,,,,,,,,,,38,,,,,,,,,,,,
,,,,,,,,,,,48,,,,,,,,,,,,
,,,,,,,,,,,50,,,,,,,,,,,,
,,,,,,,,,,,57,,,,,,,,,,,,
,,,,,,,,,,,72,,,,,,,,,,,,
,,,,,,,,,,,82,,,,,,,,,,,,
,,,,,,,,,,,84,,,,,,,,,,,,
,,,,,,,,,,,89,,,,,,,,,,,,
,,,,,,,,,,,92,,,,,,,,,,,,
,,,,,,,,,,,99,,,,,,,,,,,,
,,,,,,,,,,,115,,,,,,,,,,,,
,,,,,,,,,,,117,,,,,,,,,,,,
,,,,,,,,,,,119,,,,,,,,,,,,
,,,,,,,,,,,127,,,,,,,,,,,,
,,,,,,,,,,,134,,,,,,,,,,,,
,,,,,,,,,,,143,,,,,,,,,,,,
"Sector6","TID_SECTOR_6_NAME","sector_06","sector_06_glow","sector_06_border","model/sector_stripe_06.png","model/area_gradient_06.png","model/sector_gradient_06.png","model/sector_border_01.png",47,1,1,0,0,0,0,0,20,1,100,128,255,230,82
,,,,,,,,,,,4,,,30,,100,40,1,200,,,,
,,,,,,,,,,,11,,2,,,300,60,2,400,,,,
,,,,,,,,,,,13,,4,,,600,80,2,600,,,,
,,,,,,,,,,,15,,8,,,900,100,3,800,,,,
,,,,,,,,,,,19,,,,,,,,,,,,
,,,,,,,,,,,20,,,,,,,,,,,,
,,,,,,,,,,,29,,,,,,,,,,,,
,,,,,,,,,,,32,,,,,,,,,,,,
,,,,,,,,,,,35,,,,,,,,,,,,
,,,,,,,,,,,44,,,,,,,,,,,,
,,,,,,,,,,,47,,,,,,,,,,,,
,,,,,,,,,,,51,,,,,,,,,,,,
,,,,,,,,,,,53,,,,,,,,,,,,
,,,,,,,,,,,59,,,,,,,,,,,,
,,,,,,,,,,,66,,,,,,,,,,,,
,,,,,,,,,,,78,,,,,,,,,,,,
,,,,,,,,,,,80,,,,,,,,,,,,
,,,,,,,,,,,85,,,,,,,,,,,,
,,,,,,,,,,,93,,,,,,,,,,,,
,,,,,,,,,,,100,,,,,,,,,,,,
,,,,,,,,,,,125,,,,,,,,,,,,
,,,,,,,,,,,104,,,,,,,,,,,,
,,,,,,,,,,,106,,,,,,,,,,,,
,,,,,,,,,,,121,,,,,,,,,,,,
,,,,,,,,,,,129,,,,,,,,,,,,
